ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
lion,121,1.11,2.48%,80.60%,119.66,5.41
house of cards,110,1.22,5.45%,52.99%,167.18,4.25
game of thrones,101,1.4,1.98%,43.97%,259.03,6.82
fred vargas,97,1.11,11.34%,41.67%,308.58,6.03
hidden figures,95,1.19,6.32%,76.11%,121.53,1.79
logan,90,1.12,10.00%,63.37%,118.46,4.61
harry potter,85,1.41,4.71%,46.67%,320.8,10.36
twin peaks,85,1.49,1.18%,37.80%,391.93,8.55
bluray,82,1.13,17.07%,17.20%,180.45,12.96
la la land,80,1.44,3.75%,47.83%,127.41,5.98
vikings,79,1.18,7.59%,51.61%,207.63,5.09
quand sort la recluse,75,1.12,25.33%,32.14%,115.05,2.17
drake more life,74,1.05,0.00%,91.03%,18.86,1.14
outlander,74,1.46,4.05%,43.52%,348.22,8.22
elle,72,1.1,0.00%,60.76%,180.25,6.38
the affair,71,1.24,9.86%,60.23%,117.75,3.17
le plongeur,69,1.3,1.45%,52.22%,206.45,5.41
homeland,66,1.42,1.52%,48.94%,254.7,6.85
elena ferrante,65,1.42,3.08%,40.22%,235.94,7.0
feist pleasure,65,1.09,4.62%,92.96%,29.46,0.58
thundercat,64,1.02,1.56%,98.46%,36.69,1.55
gorillaz humanz,63,1.06,1.59%,97.01%,19.38,0.13
the americans,62,1.08,4.84%,74.63%,122.26,3.66
dirty projectors,60,1.02,0.00%,100.00%,21.78,1.08
la femme qui fuit,58,1.78,3.45%,36.89%,253.09,7.93
guillaume musso,57,1.72,5.26%,35.71%,262.44,6.39
mac demarco,56,1.23,3.57%,86.96%,59.79,1.55
nxworries,56,1.02,1.79%,84.21%,31.54,1.8
Outlander,56,1.38,1.79%,12.99%,150.93,3.5
slowdive,56,1.09,3.57%,81.97%,64.0,1.86
1984,55,1.42,3.64%,58.97%,159.96,6.36
arrival,55,1.27,0.00%,61.43%,87.64,5.38
