Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Helen Pickles,25/06/2019,2,Cranfield,PLP Training Course,Rail,Standard,none claimed,,£107.40,NIL return
Peter Schofield,04/04/2019,1,Newcastle,Departmental Business,Rail,Standard,81.9,,£163.70,NIL return
Peter Schofield,10/04/2019,2,Birmingham,Departmental Business,Rail,Standard,£85.70,,£142.90,NIL return
Peter Schofield,18/04/2019,1,High Wycombe,Departmental Business,Rail,Standard,,,£13.60,NIL return
Peter Schofield,25/04/2019,2,Edinburgh (Joint ET),Departmental Business,Air,Standard,£71.60,,£220.23,NIL return
Peter Schofield,01/05/2019,2,Manchester,Site Visit,Rail,Standard,£86.00,,£218.00,NIL return
Peter Schofield,16/05/2019,2,Leeds,HASSRA Awards Dinner,,Standard,,,£141.90,NIL return
Peter Schofield,22/05/2019,2,Glasgow,Site Visit,Air,Standard,£95.00,,£286.33,NIL return
Peter Schofield,05/06/2019,2,Blackpool,Site Visit,Rail,Standard,£96.00,,£182.90,NIL return
Peter Schofield,19/06/2019,1,Grantham,Site Visit,Rail,Standard,,,£45.50,NIL return
Peter Schofield,27/06/2019,1,Margate,Site Visit,Rail,Standard,,,£51.40,NIL return
Sara Weller,03/04/2019,1,London ,Departmental Board,Taxi,,£0.00,taxi - reasonable adjustment,£390.42,NIL return
Sara Weller,23/04/2019,1,London,Meeting with PS,"Rail, Taxi",Standard,£0.00,,£71,NIL return
Sara Weller,24/04/2019,1,London,DWP meeting ,"Rail, Taxi",Standard,£0.00,,£73,NIL return
Sara Weller,02/05/2019,1,London,Meeting with senior DWP staff,Taxi,,£0.00,£0.00,£7,NIL return
Sara Weller,09/05/2019,1,London,Delivery Board,"Rail, Taxi",Standard,£0.00,£0.00,£60,NIL return
Sara Weller,28/05/2019,1,London,People and Resource Committee,"Rail, Taxi, Bus",Standard,£0.00,£0.00,£54.50,NIL return
Sara Weller,12/06/2019,1,London,Nomination Committee,"Rail, Taxi ",Standard,£0.00,£0.00,£54,NIL return
Sara Weller,18/06/2019,1,London,Service Transformation Baord,Rail,Standard,£0.00,£0.00,£43,NIL return
Sara Weller,11/07/2019,1,London,Delivery Board,"Rail, Taxi",Standard,£0.00,£0.00,£50,NIL return
Sara Weller,29/07/2019,1,London,Meeting with senior DWP staff,Taxi,,£0.00,£0.00,£8,NIL return
Hayley Tatum,03/04/2019,1,London,Departmental Board and Nominations Committee,"Rail, Tube",Standard,£0.00,£0.00,£27.10,NIL return
Hayley Tatum,09/05/2019,1,London,Delivery Board and Nominations Committee,"Rail, Tube",Standard,£0.00,£0.00,£27,NIL return
Martin Hagen,17/04/2019,1,London,DARAC ,"Rail, Tube",Standard,£0.00,£0.00,£104.80,NIL return
Martin Hagen,17/06/2019,1,London,DARAC Pre meet ,"Rail, Tube",Standard,£0.00,£0.00,£153,NIL return
Martin Hagen,21/06/2019,1,London,DARAC ,"Rail, Tube",Standard,£0.00,£0.00,£153,NIL return
Stephen Buckingham,02/04/2019,1,York,Gold Commander Leadership course,Car,,,Nil Return,£63.90,NIL return
Stephen Buckingham,03/04/2019,2,London,End of Year Discussion with Nick Joicy,Rail,Standard,£114.55,Nil Return,£481.75,NIL return
Stephen Buckingham,09/04/2019,2,London,LGBT workshop,Rail,Standard,£110.15,Nil Return,£477.35,NIL return
Stephen Buckingham,16/04/2019,2,London,Universal Credit Programme Board,Rail,Standard,104.55,Nil Return,£431.20,NIL return
Stephen Buckingham,23/04/2019,1,Manchester,IR35 Worshop,Rail,Standard,£5,Nil Return,£176.20,NIL return
Stephen Buckingham,24/04/2019,1,Edinburgh,Pension Tax course,Rail,Standard,Nil Return,Nil Return,£106.70,NIL return
Stephen Buckingham,25/04/2019,1,Leeds,Finance Executive Team meeting,Rail,Standard,Nil Return,Nil Return,£125.60,NIL return
Stephen Buckingham,29/04/2019,1,London,Individual coaching Leadership development,Rail,Standard,Nil Return,Nil Return,£536.10,NIL return
Andrew Graham ,03/04/2019,1,London,DB meeting ,Rail,Standard,£0.00,£0.00,£99,NIL return
Andrew Graham ,09/04/2019,1,London,DARAC Chair's meeting ,Rail,Standard,£0.00,£0.00,£61.45,NIL return
Andrew Graham ,15/04/2019,1,London,All NED meeting ,Rail,Standard,£0.00,£0.00,#REF!,NIL return
Andrew Graham ,17/04/2019,1,London,DARAC ,Rail,Standard,£0.00,£0.00,#REF!,NIL return
Andrew Graham ,09/05/2019,1,London,Delivery Board,Rail,Standard,£0.00,£0.00,#REF!,NIL return
Andrew Graham ,17/06/2019,1,London,DARAC Pre meet ,Rail,Standard,£0.00,£0.00,#REF!,NIL return
Andrew Graham ,20/06/2019,1,London,DARAC,Rail,Standard,£0.00,£0.00,#REF!,NIL return
David Snowball,01/04/2019,1,London/Liverpool,Official meetings,Rail,Standard,,,£149.90,NIL return
David Snowball,03/04/2019,1,Leeds ,Official meetings,Rail,Standard,,,£34.20,NIL return
David Snowball,16/04/2019,1,London/Liverpool,Official meetings,Rail,Standard,,,£149.90,NIL return
David Snowball,02/05/2019,1,London,Official meetings,Rail,Standard,,,£166.65,NIL return
David Snowball,13/05/2019,1,London/Liverpool,Official meetings,Rail,Standard,,,£149.90,NIL return
David Snowball,03/06/2019,3,London,Official meetings,Rail,Standard,£250.15,,£400.05,NIL return
David Snowball,10/06/2019,4,London/Glasgow,Official meetings,"Rail, Air",Standard/Economy,£152.89,,£613.37,NIL return
David Snowball,14/06/2019,1,Buxton,Official meetings,Car,,,,£42.30,NIL return
David Snowball,24/06/2019,4,Ashford/London/Bedford,Official meetings,Rail,Standard,£320.25,,£603.45,NIL return
Jonathan Mills,10/04/2019,2,Birmingham,Directors Away Day,Rail,Standard,,,£135.35,
Jonathan Mills,25/04/2019,2,Edinburgh,Joint ET with Scottish Government,Rail,Standard,,,£131.50,
Jonathan Mills,08/05/2019,1,Sheffield,Site visit to Policy Group Offices,Rail,Standard,,,£112.00,
Jonathan Mills,20/05/2019,1,Ashridge,Future Leaders Scheme into event,Rail,Standard,,,£19.50,
Jonathan Mills,24/05/2019,1,Leeds,Four Nations Policy Conference,Rail,Standard,,,£125.75,
Jonathan Mills,06/06/2019,1,Cambridge,Csap Policy Leaders Event,Rail,Standard,,,£38.70,
Jonathan Mills,27/06/2019,1,Birmingham,CSLive sessions (Host),Rail,Standard,,,£68.55,
James Wolfe,10/04/2019,2,Birmingham,Director's Away Day,Hotel,,£68.60,,£68.60,NIL return
James Wolfe,10/04/2019,2,Birmingham,Director's Away Day,Rail,Standard,,,£30.00,NIL return
James Wolfe,16/05/2019,2,London,Nuffield Conference,Rail,Standard,,,£16.40,NIL return
James Wolfe,17/05/2019,2,Oxford,Nuffield Conference,Rail,Standard,,,£27.30,NIL return
James Wolfe,06/06/2019,1,Ipswich,DWP Story,Rail,Standard,,,£21.00,NIL return
James Wolfe,11/06/2019,2,Hull,DWP Story,Hotel,Standard,£52.60,,£52.60,NIL return
James Wolfe,11/06/2019,2,Leeds,DWP Story,Rail,Standard,,,£84.00,NIL return
James Wolfe,11/06/2019,2,Hull,DWP Story,Rail,Standard,,,£12.30,NIL return
James Wolfe,12/06/2019,2,London Kings Cross,DWP Story,Rail,Standard,,,£12.30,NIL return
James Wolfe,18/06/2019,3,London,KPMG C-Suite Leadership Training programme,,Standard,,,"£7,500.00",NIL return
Donna Ward,18/06/2019,1,Sheffield,DWP Story - presenting,Rail,Standard,Nil,NIL,£81.50,NIL return
Donna Ward,27/06/2019,1,Manchester,EIF/RPC conference,Rail,Standard,Nil,NIL,£153.00,NIL return
Donna Ward,03/07/2019,1,Sheffield,Directorate Away Day,Rail,Standard,Nil,NIL,£215.00,NIL return
Pete Searle,25/03/2019,1,The Oval,People Performance Workshop,Tube,Standard,,,£4.70,
Pete Searle,26/03/2019,2,Sheffield,Internal Meeting SLT,Rail,Standard,£22.90,,£107.80,Nil return
Pete Searle,01/04/2019,2,York,,Rail,Standard,,,£248,
Pete Searle,02/04/2019,2,York,,"Tube, Rail",Standard,,,£30.30,Nil return
Pete Searle,10/04/2019,2,Birmingham,Directors Away Day,Rail,Standard,"Hotel - £96.60, Meal - £20.00",,£154.20,Nil return
Pete Searle,11/04/2019,2,Birmingham,,Rail,Standard,Lunch,,£6.55,Nil return
Pete Searle,24/04/2019,2,Edinburgh,Select Committee,"Air, Metro",Standard,"Hotel - £83.00, Meal - £11.55",,£426.27,Nil return
Pete Searle,25/04/2019,2,Edinburgh,,Air Fees,Standard,Meal - £5.00,,£24.00,Nil return
Pete Searle,30/04/2019,1,Leeds,Wellbeing SCS Training,Rail,Standard,"Hotel - £93.00, Meal - £25.00",,£154.90,Nil return
Pete Searle,01/05/2019,2,Manchester,Permanent Secretary Visit,Rail,Standard,"Hotel - £86.60, Meal - £13.90",,£196.50,Nil return
Pete Searle,15/05/2019,2,Sheffield,Locations Work,Rail,Standard,Meal - 21.17,,£194.60,Nil return
Pete Searle,23/05/2019,1,Leeds,Four Nations Policy Conference,Rail,Standard,Park Plaza Leeds,,£238.07,Nil return
Pete Searle,03/06/2019,1,Cardiff,DWP Story,,Standard,Mercure Cardiff,,£80.60,Nil return
Pete Searle,03/06/2019,2,Cardiff,DWP Story,"Rail, Taxi",Standard,Meals - £21.60,,£140.40,Nil return
Pete Searle,06/06/2019,1,London Bridge,Learning Day,Rail,Standard,,,£4.35,Nil return
Pete Searle,12/06/2019,1,Peckham,DWP Story,Rail,Standard,,,£8.20,Nil return
Pete Searle,26/06/2019,2,Blackpool,,Rail,Standard,Hotel - £90.60,,£318.60,Nil return
Pete Searle,01/07/2019,2,Taunton,DWP Story,Rail,Standard,Taunton House,,£126.50,Nil return
Pete Searle,02/07/2019,2,Manchester,DWP Story,Rail,Standard,,,£152.10,Nil return
Pete Searle,10/07/2019,2,Hull,DWP Story,Rail,Standard,,,£77.90,Nil return
Iain Walsh,08/04/2019,2,"Brussels, Belgium",Conference,Rail,Standard,£149.33,,£149.33,NIL return
Iain Walsh,10/04/2019,1,Birmingham,Directors' away day,Rail,Standard,,,£29.50,NIL return
Iain Walsh,10/04/2019,1,London,Directors' away day,Rail,Standard,,,£27.50,NIL return
Iain Walsh,23/05/2019,2,Leeds,Four Naions Policy Conference,Rail,Standard,£81.90,,£195.90,NIL return
Iain Walsh,12/06/2019,2,Wrexham,DWP Story Event,Rail,Standard,£79.50,,£160.30,NIL return
Iain Walsh,18/06/2019,2,Cardiff,DWP Story Event,Rail,Standard,£53.00,,£128.00,NIL return
Iain Walsh,20/06/2019,1,Sheffield,Internal DWP Staff meeting,Rail,Standard,,,£113.00,NIL return
Kate Davies,14/03/2019,1,Leeds,Visit Staff,Rail via Contract,2nd Class,£4.89,£112.25,£4.89,
Kate Davies,20/03/2019,1,Blackpool North,Accompanpied Peter,Rail via Contract,2nc Class,£20.00,£163.50,£20.00,
Kate Davies,28/03/2019,1,Sheffield,SLT Visit,Rail via Contract,2nd Class,£4.99,£98.50,£4.99,
Kate Davies,10/04/2019,2,Birmingham,Directors Away Day,Rail via Contract,2nd Class,£94.03,£39.85,£133.88,
Kate Davies,24/04/2019,2,Leeds,Team Meeting,Rail via Contract,2nd Class,,£69.00,£69.00,
Kate Davies,24/04/2019,1,London Kings Cross,Team Meeting,Rail via Contract,2nd Class,,£112.50,£112.50,
Kate Davies,29/05/2019,1,Blackpool North,DWP Story,Rail via Contract,2nd Class,£13.00,£139.90,£139.90,
Kate Davies,04/06/2019,2,Birmingham New Street,Director's Session SR,Rail via Contract,2nd Class,,£22.00,£22.00,
Mary Pattison,10/04/2019,2,Birmingham,DWP Senior Leaders meeting,Rail,Standard,,,£31.00,NIL return
Mary Pattison,24/04/2019,3,Edinburgh,Meeting with Scottish Government,Rail,Standard,£106.50,,£238,NIL return
Mary Pattison,15/05/2019,1,Leeds,Staff Meeting,Rail,Standard,,,£98.00,NIL return
Emma Haddad,10/04/2019,1,Birmingham,Director's Away Day & Team Event,Rail,Standard,£88.60,£74.35,£162.95,NIL return
Emma Haddad,25/04/2019,2,Edinburgh,ET and Site & Staff Visit,Air,Standard,£73.85,£184.56,£258.41,NIL return
Emma Haddad,01/05/2019,1,Preston,Site and Staff Visit,Rail,Standard,,£180.70,£180.70,NIL return
Emma Haddad,08/05/2019,1,Bridgend,Team Event and Site & Staff Visit,Rail,Standard,,£168.10,£168.10,NIL return
Emma Haddad,16/05/2019,1,Dudley,Site and Staff Visit,Rail,Standard,,£91.35,£91.35,NIL return
Emma Haddad,22/05/2019,1,Manchester & Sheffield,Team Event and Conference Attendance,Rail,Standard,,£285.00,£285.00,NIL return
Emma Haddad,10/06/2019,1,Thornaby,Site visit and meeting with Customer,Rail,Standard,,£240.50,£240.50,NIL return
Emma Haddad,12/06/2019,1,Leeds,Team Meeting,Rail,Standard,,£147.15,£147.15,NIL return
Emma Haddad,27/06/2019,1,Birmingham,Civil Service Live - Presented a slot,Rail,Standard,,£51.50,£51.50,NIL return
Richard West,02/04/2019,1,London,Operations Executive Team Meeting,Rail,Standard,£0.00,£303.10,£303.10,NIL return
Richard West,10/04/2019,2,Birmingham,Directors Away Day & Site Visit,Rail,Standard,£93.34,£164.20,£257.54,NIL return
Richard West,18/04/2019,1,Newcastle,Site Visit,Hire Car ,Standard,£5.00,£97.77,£102.77,NIL return
Richard West,29/04/2019,2,London,Interview Panel / Service Transformation Board ,Rail,Standard,£147.30,£311.20,£458.50,NIL return
Richard West,07/05/2019,1,London,Operations Executive Team Meeting,Rail ,Standard,£4.68,£298.10,£302.78,NIL return
Richard West,15/05/2019,1,London,Senior Leaders Meeting,Rail,Standard,£4.04,£298.10,£302.14,NIL return
Richard West,20/05/2019,1,London,Site Visit,Rail,Standard,£3.95,£298.10,£302.05,NIL return
Richard West,23/05/2019,2,London,Senior Leaders Meeting/ Engagement Session ,Rail,Standard,£136.60,£291.20,£427.80,NIL return
Richard West,04/06/2019,1,Birmingham,Directors Session - Spending Review ,Rail ,Standard,£0.00,£151.20,£151.20,NIL return
Richard West,05/06/2019,1,London,Investment Committee,Rail  ,Standard,£0.00,£304.10,£304.10,NIL return
Richard West,10/06/2019,1,London,Executive Team Meeting ,Rail,Standard,£0.00,£298.10,£298.10,NIL return
Richard West,13/06/2019,2,London,Senior Leaders Meeting/Interview ,Rail,Standard,£148.35,£305.90,£454.25,NIL return
Matthew Briggs,08/04/2019,1,Manchester,ESTP Programme Board meeting,Rail,Standard,None,,£193.80,
Matthew Briggs,10/04/2019,2,Birmingham,Directors away day,Rail,Standard,£68.60,,£131.30,
Matthew Briggs,23/04/2019,2,Leeds,Induction Event / SPO/SDT Senior Leader Event,Rail,Standard,£77.60,,£343.60,
Matthew Briggs,23/05/2019,1,Ipswich ,DWP Story,Private Car,,None,,£45.90,£45.90
Matthew Briggs,04/06/2019,1,Birmingham,Directors session - Spending Review,Rail,Standard,None,,£117.35,
Matthew Briggs,11/06/2019,2,Sheffield,Working Together Workshop,Rail,Standard,£88.59,,£310.19,£7.00
Matthew Briggs,25/06/2019,1,Newcastle,Site visit,Rail / Metro,Standard,£5.00,,£244.20,
Graeme Wallace ,01/04/2019,3,London/Dover,Meeting with Operational Exectutive team/Dover site visit ,Rail,Standard,£291.24,,£511.94,NIL return
Graeme Wallace ,10/04/2019,2,Birmingham,Directors Away Day,Rail,Standard,£92.55,,£360.50,NIL return
Graeme Wallace ,15/04/2019,2,London ,Meeting with Operational Exectutive team ,Rail,Standard,£160.59,,£541.69,NIL return
Graeme Wallace ,29/04/2019,2,London ,Attending Service Transformation Board,Rail,Standard,£149.90,,£523.25,NIL return
Graeme Wallace ,06/05/2019,3,London/Leeds,Meeting with Operational Exectutive team/SCS Training Event,Rail,Standard,£255.52,,£624.72,NIL return
Graeme Wallace ,16/05/2019,1,Washington ,Presenting DWP Story,Car,Standard,£5,,£26.15,NIL return
Graeme Wallace ,21/05/2019,2,London/Salisbury,Attending Service Transformation Board/presenting DWP Story,Train / Air,Standard,£96.70,,£335.37,NIL return
Graeme Wallace ,03/06/2019,2,Birmingham,Directors Spending Session,Rail,Standard,£88.38,,£347.38,NIL return
Graeme Wallace ,12/06/2019,1,London ,SCS Event,Rail,Standard,£9.98,,£340.38,NIL return
Graeme Wallace ,13/06/2019,1,Benton Park View,Retirement Provision Programme Board,Car,Standard,£0.00,£1.35,£1.35,NIL return
Graeme Wallace ,17/06/2019,3,London/Leeds,Attending Service Transformation Board,Rail,Standard,£150.94,,£439.14,NIL return
Graeme Wallace ,26/06/2019,2,Glasgow,Presenting DWP Story,Rail,Standard,£91.89,,£235.49,NIL return
Tom McCormack,02/04/2019,2,London,Meetings,Rail,Standard,£162.55,,£540.05,NIL return
Tom McCormack,10/04/2019,2,Birmingham,Director's Meetings,Rail,Standard,£126.85,,£417.15,NIL return
Tom McCormack,24/04/2019,1,Leeds,Meetings,Rail,Standard,£0.00,,NIL return,NIL return
Tom McCormack,07/05/2019,1,London,Meetings,Rail,Standard,£5.00,,£361.30,NIL return
Tom McCormack,08/05/2019,1,Falkirk,Site Visit,Rail,Standard,£5.00,,£159.15,NIL return
Tom McCormack,13/05/2019,1,Bury St Edmunds/London,Training/meeting,Rail,Standard,£0.00,,NIL return,NIL return
Tom McCormack,14/05/2019,1,Belfast,Site Visit,Air,Standard,£0.00,,NIL return,NIL return
Tom McCormack,16/05/2019,2,Leeds/York,Event/Awards Dinner,Rail,Standard,£8.90,,£172.80,NIL return
Tom McCormack,22/05/2019,3,Falkirk/Glasgow,Site Visit,Rail,Standard,£200.85,,£382.20,NIL return
Tom McCormack,03/06/2019,2,Dudley/Birmingham,Delivering Training/Meetings,Rail,Standard,£89.65,,£378.75,NIL return
Tom McCormack,05/06/2019,1,Falkirk,Delivering Training,Rail,Standard,£5.00,,£152.60,NIL return
Tom McCormack,11/06/2019,2,Birkenhead,Delivering Training,Rail,Standard,£114.75,,£268.55,NIL return
Tom McCormack,17/06/2019,2,London,Meetings,Rail,Standard,£154.56,,£532.06,NIL return
Tom McCormack,24/06/2019,1,Leicester,Delivering Training,Rail,Standard,£4.48,,£257.08,NIL return
Tom McCormack,25/06/2019,3,London/Plymouth,Meetings/Site Visits/Delivering Training,Rail / Air,Standard,£200.53,,£671.44,NIL return
Richard Cornish,02/04/2019,1,London,Executive Team Meeting ,Rail,Standard,Nil,Nil return,£40.80,NIL return
Richard Cornish,03/04/2019,1,London,Meetings with staff,Rail,Standard,Nil,Nil return,£40.80,NIL return
Richard Cornish,04/04/2019,1,London,Meetings with staff,Rail,Standard,Nil,Nil return,£40.80,NIL return
Richard Cornish,05/04/2019,1,London,Training,Rail,Standard,Nil,Nil return,£40.80,NIL return
Richard Cornish,08/04/2019,2,Isle of Wight,Executive Team Meeting ,Hire Car / Ferry,Standard,£58.50,Nil return,£274.47,NIL return
Richard Cornish,10/04/2019,2,London,Yellowhammer,Rail,Standard,£158.85,Nil return,£195.52,NIL return
Richard Cornish,16/04/2019,1,London,Meetings with staff,Rail,Standard,Nil,Nil return,£40.80,NIL return
Richard Cornish,18/04/2019,1,London,Meetings with staff,Rail,Standard,Nil,Nil return,£40.80,NIL return
Richard Cornish,23/04/2019,2,Scotland,Speaking at an Event,"Air, Rail",Standard,£4.75,Nil return,£355.65,NIL return
Richard Cornish,30/04/2019,1,London,Executive Team Meeting ,Rail,Standard,Nil,Nil return,£40.80,NIL return
Richard Cornish,01/05/2019,1,London,Meetings with staff,Rail,Standard,Nil,Nil return,£40.80,NIL return
Richard Cornish,02/05/2019,1,London,Meetings with staff,Rail,Standard,Nil,Nil return,£40.80,NIL return
Richard Cornish,07/05/2019,1,London,Meetings with staff,Rail,Standard,Nil,Nil return,£40.80,NIL return
Gail Adams,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Neil Couling,2019 04 25,2,Edinburgh,Edinburgh Joint ET Scottish Govt meeting,"Air, Taxi & Own Car",Standard,£94.60,,£466.19,NIL return
Neil Couling,2019 05 01,1,Milton Keynes,Guest speaker at Cranfield University,"Rail, Taxi",Standard,,"Evening meal 01.05.19,  accommodation 01.05.19 and taxi from university to Milton Keynes station 02.05.19 b y th University",£44.40,NIL return
Neil Couling,2019 05 02,1,Manchester,Project Delivery profession annual conference,Rail,Standard,,,£291.50,NIL return
Neil Couling,2019 05 16,1,York,National HASSRA Awards Dinner 16.05.19,Rail,Standard,,,£135.50,NIL return
Neil Couling,2019 05 17,1,Harrogate, Visit Harrogate JCP 17.05.19,Rail,Standard,£4.99,,£151.69,NIL return
Neil Couling,2019 05 29,1,Harrogate, UC PDE meeting 29.05,Rail,Standard,£123.96,,£270.36,NIL return
Neil Couling,2019 05 30,1,Leeds,Change ET away day ,Rail,Standard,£4.75,,£140.25,NIL return
Neil Couling,2019 06 03,2,Edinburgh,"Civil Service Live, Edinburgh","Rail, Taxi, Air",Standard,£120.80,,£407.53,NIL return
Neil Couling,2019 06 13,1,London,Civil Service Leadership Group at the Oval,Rail,Standard,,,£13.10,NIL return
Neil Couling,2019 06 21,1,Leeds,Roadshow at Quarry House Leeds,Rail,Standard,£4.75,,£275.75,NIL return
Neil Couling,2019 06 26,1,"Peel Park, Blackpool", Programme Inductions at Peel Park,"Rail, Taxi",Standard,,,£442.10,NIL return
Neil Couling,2019 06 27,2,Newcastle,Roadshow in Newcastle,"Rail, Air",Standard,£85.60,,£445.64,NIL return
Neil Couling,2019 07 04,2,Leeds & Sheffield,Change Group Programme Directors & SCS Away day & Roadshow Sheffield,Rail,Standard,,,£263,NIL return
Ian Wright,09/04/2019,2,London,Non-Executive Director role and Governance meeting,"Taxi, Rail",Standard,£174.20,,£364.30,NIL return
Ian Wright,10/04/2019,2,Birmingham,Senior Leaders Event,"Taxi, Rail",Standard,£116.95,,£350.25,NIL return
Ian Wright,15/04/2019,3,London,Governance meetings,"Taxi, Rail",Standard,£338.90,,£693.90,NIL return
Ian Wright,24/04/2019,1,Leeds,Governance meetings,"Taxi, Rail",Standard,£0.00,,£68.40,NIL return
Ian Wright,24/04/2019,1,London,Non-Executive Director role,"Taxi, Rail",Standard,£170.45,,£486.95,NIL return
Ian Wright,25/04/2019,1,Newcastle,Senior Event (Evening),Taxi,Standard,£0.00,,£27.00,NIL return
Ian Wright,01/05/2019,1,Manchester,Conference,"Taxi, Rail",Standard,£99.65,,£239.75,NIL return
Ian Wright,13/05/2019,3,London,Governance meetings,"Taxi, Rail",Standard,£495.25,,£671.25,NIL return
Ian Wright,16/05/2019,1,York,Senior Event (Evening),"Taxi, Rail",Standard,,"HASSRA event, accomodation/meal booked and paid for by HASSRA",£182.40,Nil Return
Ian Wright,20/05/2019,4,London,Governance meetings / interviewing ,"Taxi, Rail",Standard,£511.80,,£864.80,Nil Return
Ian Wright,29/05/2019,1,Harrogate,Governance meeting,"Taxi, Rail",Standard,£5.00,,£73.40,Nil Return
Ian Wright,29/05/2019,2,Leeds,Senior Away Day,"Taxi, Rail",Standard,£110.51,,£191.81,Nil Return
Ian Wright,04/06/2019,1,Washington,Delivering event,Bus,Standard,£0.00,,£10.00,Nil Return
Ian Wright,05/06/2019,1,London,Interviewing,"Taxi, Rail",Standard,£160.85,,£512.85,Nil Return
Craig Eblett,02/04/2019,2,London ,Meeting DG and also leadershio day,Rail,Standard,£171.60,£34.10,£532.70,NIL return
Craig Eblett,04/04/2019,1,Newcastle,Programme Wide Event ,Car,,,£14.60,£15,NIL return
Craig Eblett,09/04/2019,1,London ,Programme Director 121 and Programme Board ,Rail,Standard,£10.15,£21.10,£358.25,NIL return
Craig Eblett,10/04/2019,2,Birmingham,Directors Away Day- 2 day,Rail,Standard,£117.70,£38.10,£384.75,NIL return
Craig Eblett,16/04/2019,2,London ,"Commericals Deep Dive, Programme Board ",Rail,Standard,£29.00,£34.10,£390.10,NIL return
Craig Eblett,01/05/2019,2,Manchester,Wellbeing Confident Leaders SCS Training and PDP Conference ,Rail,Standard,£111.40,£34.10,£262.00,NIL return
Craig Eblett,07/05/2019,1,London ,HTP Stocktake,Rail, Standard ,£5.00,£21.10,£353.10,NIL return
Craig Eblett,09/05/2019,2,London ,Delivery Board Meeting ,Rail, Standard ,£14.95,£27.10,£369.05,NIL return
Craig Eblett,21/05/2019,1,Leeds,PD Fast Stream Event ,Rail,Standard,£5.00,£4.05,£65.45,NIL return
Craig Eblett,21/05/2019,2,London ,Programme Board ,Rail,Standard,£594.20,£53.93,£953.43,NIL return
Craig Eblett,28/05/2019,1,Sheffield ,Team Objectives Session ,Rail,Standard ,£3.60,£33.10,£145.60,NIL return
Craig Eblett,29/05/2019,2,Leeds,Change ET Away Day ,Rail,Standard,£120.90,£22.50,£233.40,NIL return
Craig Eblett,04/06/2019,3,London ,"Work and Health Team Meeting, Perm Sec Stocktake ",Rail,Standard,£279.40,£34.10,£642.70,NIL return
Craig Eblett,10/06/2019,1,London ,"Change/Digital Directors Session, Career Conversations with staff ",Rail, Standard ,£30.00,£8.00,£202.00,NIL return
Craig Eblett,11/06/2019,1,Glasgow,DWP Story Sesson ,"Air, Train, Hire Car",Standard,£97.00,£46.00,£332.57,NIL return
Craig Eblett,17/06/2019,1,Newcastle,Minister Meeting ,Rail,Standard,£4.99,£21.10,£353.09,NIL return
Craig Eblett,18/06/2019,1,Belfast,Project Board ,Air,Standard,£4.25,£109.55,£176.26,NIL return
Craig Eblett,20/06/2019,1,London ,"Programme Board, Portfolio Board ",Rail,Standard,£8.60,£21.10,£359.10,NIL return
Pauline Crellin,2019 04 15,2,"Easingwold, near York",Gold Commander Training,"Rail, Taxi",Standard,,,£295.00,NIL return
Pauline Crellin,2019 04 24,1,Leeds,Universal Credit PDE meeting Leeds,Rail,Standard,,,£265,NIL return
Pauline Crellin,2019 05 29,1,Harrogate,UC PDE meeting Harrogate,Rail,Standard,,,£269.00,NIL return
Pauline Crellin,2019 06 17,2,Harrogate,IPA Assurance Workshop,Rail,Standard,£89.60,,358.6,NIL return
Paul Francis,18/03/2019,1,Manchester,Team Visit & Meetings,Car,Standard,,Parking £11.00,£37.55,NIL return
Paul Francis,27/03/2019,2,"Leeds, England",Team Visit & Meetings,,,£25.00,,£25,NIL return
Paul Francis,04/04/2019,1,Manchester,Team Visit & Meetings,"Car, Rail",Standard,,Parking £11.00,£169.55,NIL return
Paul Francis,10/04/2019,2,Birmingham,Conference & Training,Rail,Standard,£86.70,,£211,NIL return
Paul Francis,24/04/2019,1,Leeds,Team Visit & Meetings,Rail,Standard,,,£129,NIL return
Paul Francis,24/04/2019,1,Newcastle,Conference & Training,Rail,Standard,,,£194,NIL return
Paul Francis,02/05/2019,1,Leeds,Team Visit & Meetings,Rail,Standard,,,£125,NIL return
Paul Francis,13/05/2019,1,Manchester,Team Visit & Meetings,"Car, Rail",Standard,,,£122,NIL return
Paul Francis,15/05/2019,1,Newcastle,Conference & Training,Rail,Standard,,,£194,NIL return
Paul Francis,20/05/2019,1,Leeds,Team Visit & Meetings,Rail,Standard,,,£187,NIL return
Paul Francis,23/05/2019,1,Manchester,Team Visit & Meetings,"Car, Rail",Standard,£5.00,Parking £11.00,£164,NIL return
Paul Francis,04/06/2019,1,Birmingham,Conference & Training,Rail,Standard,,,£96,NIL return
Paul Francis,13/06/2019,1,Leeds,Team Visit & Meetings,Rail,Standard,,,£124,NIL return
Paul Francis,20/06/2019,1,Manchester,Team Visit & Meetings,Rail,Standard,,,£121,NIL return
Paul Francis,27/06/2019,1,Newcastle,Conference & Training,Rail,Standard,,,£202,NIL return
Julie Gillis,10/04/2019,2,Birmingham,"Directors Away Day, New Ways of Working - It starts at the top and site visit to CFCD",Rail,Economy,£84.60,,£156.45,NIL return
