Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Aaron Jaffery,20/05/2019,1,Sheffield,Team meeting,Rail,Standard,£9.55,,£243.35,
Aaron Jaffery,22/05/2019,1,London,Board Meeting,Rail,Standard,£3.98,,£344.22,
Aaron Jaffery,24/05/2019,1,Hull,Site visit,Hire Car,Standard,£5.00,,£90.91,
Aaron Jaffery,03/06/2019,1,Newcastle,Site visit,Car,Standard,£0.00,,£10.30,
Aaron Jaffery,06/06/2019,1,Sheffield,Meeting with teams,Rail,Standard,£5.00,,£119.90,
Aaron Jaffery,11/06/2019,1,Blackpool,Internal meetings,Hire Car,Standard,£0.00,,£97.57,
Aaron Jaffery,12/06/2019,1,London,Internal meetings,Rail,Standard,£3.60,,£343.70,
Aaron Jaffery,13/06/2019,1,Leeds,Internal meetings,Rail,Standard,£5.00,,£112.00,
Aaron Jaffery,19/06/2019,1,Leeds,Event,Rail,Standard,£0.00,,£90.00,
Aaron Jaffery,20/06/2019,1,London,Site visit,Rail,Standard,£0.00,,£334.10,
Aaron Jaffery,21/06/2019,1,Blackpool,Meeting with teams,Hire Car,Standard,£3.10,,£92.46,
Aaron Jaffery,25/06/2019,1,Leeds,Internal meetings with DWP staff,Rail,Standard,£10.00,,£174.80,
Aaron Jaffery,26/06/2019,1,Newcastle,DWP Story,Car,Standard,£4.45,,£4.45,
Aleksei Doroshko,01/04/2019,2,Newcastle office,Meetings with colleagues and team,"Rail, Taxi",Standard,"Hotel - £71.60 , Meals - £13.34",,£278.51,
Aleksei Doroshko,08/04/2019,1,Manchester office,Meeting with colleagues,"Rail, Metro, Tube",Standard,"Hotels - £82.60, Meals - £23.28",,£286.28,
Aleksei Doroshko,09/04/2019,1,Blackpool,Meeting with colleagues,"Rail, Taxi",Standard,"Hotels - £90.60, Meals - £19.44",,£135.74,
Aleksei Doroshko,10/04/2019,1,"Newcastle Upon Tyne, Preston, Blackpool",Meeting with colleagues,"Rail, Taxi",Standard,"Hotel - £75.60, Meals - £16.04",,£191.14,
Aleksei Doroshko,11/04/2019,1,Newcastle,Meeting with colleagues,"Rail, Taxi",Standard,Meals - £4.25,,£160.19,
Aleksei Doroshko,24/04/2019,1,Newcastle,Digital Executive Team Meeting,"Rail,  Metro, Tube, Taxi",Standard,Meals - £12.10,,£284.87,
Aleksei Doroshko,10/05/2019,1,Sheffield,Digital Executive Team Meeting,"Rail, Taxi",Standard,,,£106.10,
Aleksei Doroshko,13/05/2019,1,London St Pancras,Meeting with colleagues,,,Meals,,£2.33,
Aleksei Doroshko,14/05/2019,1,"Newcastle Upon Tyne, Sheffield, London",Meeting with colleagues,"Rail, Taxi",Standard,"Hotels - £0.60, Meals - £40.50",,£262.10,
