Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,02/01/2018,CDC 50005325651 10/2018,115.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50006368798 10/2018,143.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50005331156  10/2018,200.81,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50006368751  10/2018,420.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50006368742 10/2018,482.6,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50006368760 10/2018,544.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50006368789 10/2018,975.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50005323051 10/2018,2097.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50002987959 10/2018,218.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Contracts - Access Rangers,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50005318857 10/2018,415.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Grassington NPC,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50005317557 10/2018,298.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Malham NPC,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50005333756  10/2018,1398.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Office Accomodation,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 50006368742 10/2018,152.4,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Toilets,Rates,,,,
Yorkshire Dales National Park Authority,02/01/2018,CDC 500055322753 10/2018,249.0,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Toilets,Rates,,,,
