ï»¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃ©ro-de-MinistÃ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,4780.65
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,88.65
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,2063.66
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,46.45
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,60533.97
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,108.66
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1221,Voice communications equipment,117.77
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1222,"Data(message/text, & computer)comm.equip",2899.0
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1222,"Data(message/text, & computer)comm.equip",15785.7
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,436.47
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,9.35
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,204.59
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,5.1
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,22154.45
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,6.69
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1223,Image/video equipment,11.47
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,64859.72
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,3.65
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,72.94
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,2.11
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,753105.44
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1227,Computer equip.small-desktop/pers./port.,3.95
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1228,Computer software,562.05
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1228,Computer software,134674.89
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,16267.02
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1229,Computer equipment parts,117731.61
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",1803.4
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",60638.36
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",255.47
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",5622.58
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",50071.65
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",164850.0
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",3314.05
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1231,"Off.furn.&furnish.,incl. parts",978.12
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,14107.75
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,12.09
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,241.23
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,7.02
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,16705.78
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1239,Other office equipment and parts,13.05
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,20670.88
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,346.6
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,10071.35
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,148.52
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,49942.0
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,1161.95
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1261,Road motor vehicles,610.7
2007/2008,1,Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,1263,Road motor vehicles parts,215.34
