ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
coco,160,1.11,8.75%,69.10%,86.19,2.98
call me by your name,158,1.3,12.03%,51.46%,119.32,2.87
joel dicker,155,1.12,13.55%,39.88%,108.96,3.86
the shape of water,140,1.07,4.29%,80.00%,82.56,2.66
thor,131,1.11,4.58%,60.00%,150.54,3.92
homeland,120,1.03,5.83%,76.42%,95.34,2.34
star wars,113,1.36,3.54%,49.35%,314.18,9.61
justice league,89,1.22,2.25%,58.72%,111.26,3.06
three billboards,76,1.13,9.21%,82.56%,95.32,1.86
dvsn,60,1.07,8.33%,84.38%,31.95,1.22
thor ragnarok,60,1.17,15.00%,62.86%,107.65,1.83
black panther,59,1.51,0.00%,61.80%,180.02,5.19
elena ferrante,58,1.22,1.72%,53.52%,301.72,7.17
lady bird,58,1.31,0.00%,56.58%,179.76,8.14
the americans,57,1.07,7.02%,57.38%,125.14,3.56
le plongeur,56,1.36,1.79%,44.74%,185.09,4.43
ray donovan,56,1.13,17.86%,50.79%,172.45,2.43
shape of water,56,1.04,23.21%,58.62%,39.38,1.18
Homeland,55,1.29,16.36%,52.11%,76.42,2.45
sapiens,55,1.58,3.64%,28.74%,336.62,8.18
harry potter,54,1.83,1.85%,33.33%,308.76,11.15
Thor,54,1.24,11.11%,62.69%,123.83,2.54
jumanji,53,1.25,5.66%,60.61%,129.51,3.68
the last jedi,52,1.17,21.15%,60.66%,86.21,2.29
blade runner,50,1.62,2.00%,32.10%,153.76,7.9
get out,50,1.24,2.00%,56.45%,104.42,4.0
dunkirk,49,1.41,0.00%,42.03%,172.45,7.8
it,48,1.33,2.08%,67.19%,196.56,7.5
marilou addison,48,1.98,0.00%,48.42%,420.83,16.77
1984,47,1.38,2.13%,56.92%,196.47,5.57
the handmaid's tale,47,1.11,4.26%,71.15%,152.98,2.85
elle,46,1.09,0.00%,26.00%,148.0,7.3
game of thrones,45,1.53,0.00%,30.43%,198.98,8.44
outlander,45,1.29,15.56%,48.28%,247.98,5.18
rhye blood,45,1.04,2.22%,97.87%,97.16,1.2
stephen hawking,45,1.49,6.67%,19.40%,245.73,10.58
stephen king,45,1.11,2.22%,58.00%,273.0,7.87
la femme qui fuit,43,1.84,0.00%,40.51%,224.07,6.58
james patterson,42,1.29,0.00%,53.70%,261.31,10.21
michel tremblay,41,1.29,0.00%,47.17%,264.44,6.73
american made,40,1.08,15.00%,58.14%,108.3,2.1
phantom thread,40,1.08,7.50%,79.07%,69.55,1.6
baby driver,39,1.46,0.00%,36.84%,181.49,6.38
la la land,39,1.54,2.56%,41.67%,213.49,4.41
nora roberts,39,1.56,0.00%,31.15%,366.54,12.21
Three billboards,39,1.08,35.90%,45.24%,77.23,0.85
yoga,39,1.54,5.13%,33.33%,382.23,12.41
dan brown,38,1.24,0.00%,59.57%,218.47,5.55
downsizing,38,1.05,18.42%,65.00%,84.03,1.32
car seat headrest,37,1.03,0.00%,97.37%,41.76,1.03
Martin McDonagh,37,1.11,16.22%,65.85%,99.41,2.14
Sapiens,37,1.32,2.70%,28.57%,246.7,5.54
the post,37,1.08,13.51%,82.50%,46.81,1.54
wonder,37,1.27,2.70%,63.83%,133.38,7.35
Blu Ray,36,1.25,0.00%,17.78%,253.78,13.86
Call me by your name,36,1.19,19.44%,48.84%,365.97,4.78
darkest hour,36,1.19,0.00%,65.12%,146.39,4.39
jessie ware glasshouse,36,1.03,0.00%,100.00%,7.08,0.11
JoÃ«l dicker,36,1.28,13.89%,28.26%,137.36,3.08
leonard cohen,36,1.31,0.00%,46.81%,391.64,11.03
miguel war leisure,36,1.03,0.00%,100.00%,48.78,0.0
shabazz palaces,36,1.06,0.00%,89.47%,36.86,1.44
sufjan stevens gift,36,1.0,0.00%,100.00%,5.44,0.0
wonder woman,36,1.47,2.78%,37.74%,232.14,7.36
against all logic,35,1.03,0.00%,100.00%,8.69,1.03
fargo,35,1.43,5.71%,42.00%,195.63,7.29
guillaume musso,35,1.66,2.86%,39.66%,246.89,6.83
tune yards creep,35,1.0,0.00%,100.00%,20.91,0.0
charli xcx pop,34,1.03,0.00%,97.14%,40.09,1.06
Coco,34,1.26,2.94%,55.81%,220.0,4.06
cupcakke,34,1.0,0.00%,100.00%,32.56,1.0
drake more life,34,1.03,0.00%,97.14%,54.29,1.06
future hndrxx,34,1.0,0.00%,100.00%,9.56,0.0
Joel dicker,34,1.29,8.82%,29.55%,236.38,4.32
kaitlyn Aurelia Smith,34,1.0,0.00%,100.00%,34.53,1.03
kehlani sweet,34,1.03,0.00%,100.00%,11.59,1.03
lil b black ken,34,1.0,0.00%,100.00%,6.32,0.0
migos culture,34,1.0,0.00%,100.00%,14.65,1.0
nils frahm all,34,1.0,0.00%,100.00%,13.74,1.0
open mike eagle,34,1.03,0.00%,100.00%,29.0,1.03
ought room,34,1.03,0.00%,88.57%,78.56,2.47
poem unlimited girls,34,1.0,0.00%,100.00%,5.85,0.0
romaplasm,34,1.0,0.00%,100.00%,9.18,0.0
sob x rbe,34,1.06,0.00%,97.22%,12.47,0.29
syd fin,34,1.0,0.00%,100.00%,27.29,1.0
thundercat drunk,34,1.0,0.00%,100.00%,18.79,1.06
ty segall,34,1.0,0.00%,100.00%,21.5,1.0
tyler creator flower,34,1.06,0.00%,97.22%,32.29,1.06
washed out mister,34,1.03,0.00%,97.14%,10.74,1.03
yaeji,34,1.03,0.00%,100.00%,18.82,0.0
donna leon,33,1.09,3.03%,44.44%,191.76,4.7
kelela take,33,1.24,9.09%,90.24%,83.15,0.27
soccer mommy,33,1.06,0.00%,100.00%,15.67,0.0
Star wars,33,1.03,9.09%,47.06%,172.73,3.97
westworld,33,1.15,6.06%,47.37%,125.64,4.61
blade runner 2049,32,1.13,0.00%,52.78%,147.59,4.69
guide de la route,32,1.44,6.25%,54.35%,273.88,5.06
JoÃ«l Dicker,32,1.16,28.13%,18.92%,88.09,2.63
Moi,32,1.06,31.25%,52.94%,36.63,1.66
twin peaks,32,1.53,15.63%,28.57%,234.22,4.97
i tonya,31,1.03,0.00%,96.88%,77.23,1.87
murder on the orient express,31,1.16,0.00%,69.44%,54.39,2.45
patrick senecal,31,1.39,3.23%,34.88%,307.58,12.81
timberlake woods,31,1.06,12.90%,78.79%,84.84,1.61
destroyer ken,30,1.07,0.00%,100.00%,41.33,1.5
john maus,30,1.07,0.00%,96.88%,19.37,1.57
Madame figaro,30,1.33,0.00%,32.50%,152.7,2.33
pokemon,30,2.3,3.33%,40.58%,459.63,12.67
samantha young,30,1.1,0.00%,54.55%,328.53,3.83
the greatest showman,30,1.07,20.00%,68.75%,63.87,1.3
curb your enthusiasm,29,1.41,3.45%,56.10%,157.83,3.86
suits,29,1.17,6.90%,67.65%,98.52,4.21
criterion,28,1.61,3.57%,40.00%,340.18,12.11
delphine de vigan,28,1.25,0.00%,54.29%,107.86,5.75
Figaro magazine,28,1.25,0.00%,34.29%,16.43,2.07
la disparition de stephanie mailer,28,1.36,21.43%,55.26%,59.32,0.39
michael connelly,28,1.5,0.00%,35.71%,293.57,10.39
quatre saisons de sang,28,1.07,53.57%,40.00%,9.71,0.54
CREC,27,4.07,33.33%,20.91%,522.52,15.11
justin timberlake,27,1.11,7.41%,63.33%,60.74,3.07
portugal,27,1.85,0.00%,36.00%,269.85,13.04
RenÃ© Homier-Roy,27,1.15,22.22%,41.94%,43.41,1.85
the crown,27,1.3,7.41%,45.71%,80.85,3.89
black mirror,26,1.23,3.85%,65.63%,209.23,2.54
denis fortier,26,1.23,15.38%,31.25%,197.42,4.54
It,26,1.23,0.00%,68.75%,150.54,5.96
Joel Dicker,26,1.12,11.54%,20.69%,122.31,3.0
la servante Ã©carlate,26,1.15,7.69%,40.00%,105.19,5.23
mgmT little,26,1.0,0.00%,92.31%,82.77,1.35
take me apart,26,1.08,0.00%,100.00%,56.65,2.19
walking dead,26,1.35,0.00%,42.86%,261.77,10.96
god's own country,25,1.0,8.00%,76.00%,39.72,1.6
house of cards,25,1.36,8.00%,41.18%,154.44,3.8
jeux video,25,1.12,4.00%,46.43%,257.96,13.0
la femme Ã  la fenÃªtre,25,1.08,12.00%,81.48%,73.52,2.0
le petit robert,25,1.08,8.00%,0.00%,126.84,1.88
renÃ© homier-roy,25,1.08,8.00%,48.15%,68.48,2.64
tfi,25,2.28,0.00%,29.82%,658.2,17.64
big little lies,24,1.25,12.50%,43.33%,205.38,6.42
camilla lackberg,24,1.04,4.17%,40.00%,300.46,7.29
Elena ferrante,24,1.46,4.17%,28.57%,173.08,5.29
g is for gumshoe,24,1.67,0.00%,40.00%,143.13,3.13
handmaid's tale,24,1.17,16.67%,39.29%,290.21,5.33
hercules love affair omnion,24,1.13,12.50%,77.78%,11.38,0.33
hochelaga,24,1.08,20.83%,53.85%,109.71,2.71
roman,24,1.33,4.17%,28.13%,462.0,18.96
