ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
The shape of water,24,1.08,8.33%,61.54%,49.75,1.88
yvon rivard,24,1.08,8.33%,46.15%,354.25,6.21
all i see is you,23,1.0,4.35%,95.65%,54.7,1.74
hundred waters,23,1.35,0.00%,87.10%,85.43,2.09
la forme de l'eau,23,1.04,4.35%,75.00%,59.83,1.43
Lady bird,23,1.3,4.35%,26.67%,168.96,6.61
le dernier chalet,23,1.0,17.39%,65.22%,96.13,1.7
marshall,23,1.09,4.35%,76.00%,41.91,1.74
mount eerie,23,1.04,0.00%,91.67%,37.22,2.04
spinoza,23,1.35,0.00%,32.26%,321.7,11.09
stranger things,23,1.04,4.35%,79.17%,64.61,1.74
sza,23,1.0,4.35%,30.43%,290.87,4.91
The Deuce,23,1.0,8.70%,91.30%,21.35,0.91
the disaster artist,23,1.04,8.70%,66.67%,109.96,2.65
"three billboards outside ebbing,missouri",23,1.0,8.70%,86.96%,12.26,0.3
vikings,23,1.04,8.70%,50.00%,116.22,4.83
dragon ball,22,1.5,0.00%,63.64%,247.41,7.36
goodbye christopher robin,22,1.05,0.00%,86.96%,44.86,0.36
homo deus,22,1.23,0.00%,55.56%,230.55,6.18
juliette,22,1.0,4.55%,31.82%,276.36,6.68
kingsman,22,1.82,0.00%,40.00%,114.45,8.05
lbj,22,1.0,0.00%,86.36%,28.41,1.14
le feu et la fureur,22,1.14,4.55%,72.00%,74.5,1.55
lisa gardner,22,1.18,0.00%,61.54%,163.09,5.5
Nora roberts,22,1.36,0.00%,26.67%,426.59,9.95
normand baillargeon,22,1.64,13.64%,16.67%,74.0,5.18
python,22,1.36,0.00%,43.33%,450.95,11.86
the good fight,22,1.18,27.27%,53.85%,124.45,1.55
"Three Billboards Outside Ebbing, Missouri",22,1.23,9.09%,74.07%,29.32,0.41
tricot,22,1.18,4.55%,50.00%,257.05,8.14
agatha christie,21,1.52,0.00%,43.75%,257.43,10.19
Blade runner,21,1.67,4.76%,40.00%,181.95,7.57
blu ray,21,1.0,0.00%,19.05%,77.71,6.57
catherine bourgault,21,1.95,0.00%,31.71%,343.71,8.29
la fille du train,21,1.43,4.76%,50.00%,409.0,8.52
Last jedi,21,1.1,14.29%,73.91%,58.05,0.19
le crime de l'orient express,21,1.38,23.81%,41.38%,139.1,3.14
Le pouvoir,21,1.14,9.52%,75.00%,64.05,2.24
legion,21,1.05,0.00%,81.82%,131.24,2.48
lost city,21,1.14,0.00%,66.67%,37.14,3.71
luc langevin,21,1.1,14.29%,56.52%,109.52,2.33
marc levy,21,1.1,0.00%,60.87%,152.62,5.62
mcewen,21,1.1,0.00%,13.04%,115.43,2.81
millenium,21,1.14,0.00%,62.50%,286.81,6.86
Nora Roberts,21,1.19,0.00%,44.00%,307.71,7.95
Ray Donovan,21,1.19,9.52%,60.00%,85.9,1.29
renÃ© homier roy,21,1.14,14.29%,50.00%,51.9,2.81
trouble no more,21,1.14,28.57%,25.00%,25.81,2.19
VALERIE PERRIN,21,1.14,38.10%,16.67%,52.62,1.76
wes anderson,21,1.33,0.00%,42.86%,147.24,6.48
123,20,1.3,0.00%,0.00%,286.05,4.6
alex rocket,20,1.0,0.00%,75.00%,120.2,2.8
arrival,20,1.25,5.00%,36.00%,69.2,5.9
biographie,20,1.45,0.00%,44.83%,424.05,17.6
broadchurch,20,1.15,5.00%,43.48%,70.95,5.45
c,20,1.75,15.00%,28.57%,228.1,8.1
dicker,20,1.1,0.00%,81.82%,190.1,2.95
empruntez un musÃ©e,20,1.2,15.00%,20.83%,190.9,4.65
fairy tail,20,1.65,5.00%,48.48%,397.65,7.05
frederic lenoir,20,1.55,0.00%,35.48%,368.4,11.55
house porches,20,1.05,0.00%,95.24%,27.6,1.4
industrial economics,20,1.1,0.00%,0.00%,66.2,1.25
jack ryan,20,1.0,0.00%,95.00%,33.1,2.6
la disparition de stÃ©phanie,20,1.1,20.00%,59.09%,34.7,1.9
la jeune fille sans mains,20,1.0,0.00%,95.00%,33.35,0.7
Midnight Texas,20,1.05,5.00%,85.71%,36.7,1.2
milk and honey,20,1.3,5.00%,46.15%,99.75,5.05
moi,20,1.15,15.00%,69.57%,34.65,1.5
okja,20,1.0,5.00%,95.00%,62.1,0.1
the square,20,1.25,5.00%,64.00%,113.8,1.6
this is us,20,1.25,5.00%,36.00%,89.6,4.0
((TypeOfDocumentFacet=Livres_numeriques) and (TypeContentLimit=romans) not ((OFF=f) or (OFF=s))) not RELB=m,19,1.11,0.00%,47.62%,324.58,11.47
american assassin,19,1.26,0.00%,45.83%,113.11,5.47
better call saul,19,1.05,0.00%,50.00%,176.84,4.16
Dan brown,19,1.26,5.26%,54.17%,185.42,4.63
expo 67,19,1.58,0.00%,53.33%,268.05,6.47
Fargo,19,1.11,0.00%,42.86%,220.37,5.0
Game of thrones,19,1.42,5.26%,25.93%,167.32,4.47
geostorm,19,1.11,10.53%,80.95%,23.84,0.47
karin slaughter,19,1.11,0.00%,66.67%,105.42,5.68
La servante Ã©carlate,19,1.21,26.32%,30.43%,301.79,2.21
margaret atwood,19,1.32,0.00%,44.00%,227.42,9.68
marie kondo,19,1.68,0.00%,28.13%,191.95,11.58
michel langlois,19,1.58,5.26%,40.00%,237.21,6.0
minecraft,19,1.95,0.00%,48.65%,650.68,19.26
paddington,19,1.11,0.00%,71.43%,29.32,1.89
Petite philosophie du matin,19,1.21,0.00%,0.00%,61.21,1.53
philip kerr,19,1.21,15.79%,26.09%,178.37,8.05
the affair,19,1.21,21.05%,47.83%,99.32,1.37
the fall,19,1.16,0.00%,54.55%,188.63,5.95
vera,19,1.16,15.79%,50.00%,56.37,2.89
120 battements par minute,18,1.28,5.56%,78.26%,105.5,0.5
2018,18,1.0,16.67%,27.78%,188.83,8.89
american horror story,18,1.67,0.00%,43.33%,96.0,5.72
Animal Kingdom,18,1.22,0.00%,72.73%,49.67,1.5
annihilation,18,1.33,0.00%,58.33%,203.56,7.22
asterix,18,1.56,5.56%,39.29%,180.89,6.89
camila cabello,18,1.11,16.67%,70.00%,31.78,1.39
cuba,18,1.56,0.00%,53.57%,139.5,6.94
Dan Brown,18,1.17,11.11%,52.38%,175.11,5.56
dumas,18,1.06,5.56%,73.68%,110.44,3.11
encabanÃ©e,18,1.28,0.00%,30.43%,135.44,4.11
excel,18,2.17,0.00%,30.77%,761.78,15.33
Geostorm,18,1.22,16.67%,63.64%,20.78,0.33
