DfENumber,SchoolName,Year,Places,PlaceAllocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8164702,All Saints Rc School,2016,178,178,172,4,2,0,0,0,6,0,21,4,0,0,117,30,0,178
8164500,Archbishop Holgates CE School,2016,270,280,263,10,6,1,0,0,8,115,81,49,0,0,27,0,0,280
8164003,Canon Lee School,2016,190,139,77,14,7,3,3,35,0,102,0,2,0,0,0,0,0,139
8164153,Fulford School,2016,220,221,220,1,0,0,0,0,3,216,2,0,0,0,0,0,0,221
8164063,Huntington School,2016,239,239,235,4,0,0,0,0,2,195,24,18,0,0,0,0,0,239
8164508,Joseph Rowntree School,2016,220,220,212,5,3,0,0,0,3,202,10,5,0,0,0,0,0,220
8164602,Manor CE Academy,2016,220,232,221,10,1,0,0,0,5,0,0,0,29,111,86,0,1,232
8164229,Millthorpe School,2016,204,204,184,15,5,0,0,0,4,133,18,49,0,0,0,0,0,204
8164703,York High School,2016,180,161,132,17,3,0,0,9,3,135,3,11,0,0,0,0,0,161
