name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,longitude,latitude,easting,northing,runtime
Matthews Yard,Croydon,,10090382144.0,E09000008,Fairfield,E05011468,1 Matthews Yard,Croydon,,-0.1010949345893873,51.372161064932726,532269.964158761,165388.9279942609,04/11/2021
Tiger Tiger,Croydon,,10014052022.0,E09000008,Fairfield,E05011468,16 High Street,Croydon,,-0.1007875603567883,51.372992420207936,532288.9641536344,165481.92796935933,04/11/2021
Project B,Croydon,,10090380116.0,E09000008,Fairfield,E05011468,1 Bell Hill,Croydon,,-0.1011570349462338,51.37343906229542,532261.9641608853,165530.92795626784,04/11/2021
Boxpark Croydon,Croydon,,10093049119.0,E09000008,Fairfield,E05011468,Boxpark Croydon 99,George Street,Croydon,-0.0936970094867044,51.374891650007264,532776.9640225231,165705.9279085112,04/11/2021
The Red Lion,Sutton,,5870110898.0,E09000029,Wandle Valley,E05000571,Hackbridge Road Sutton,,,-0.1576133532386902,51.378350614805846,528318.9652352479,165976.9278344722,04/11/2021
Oval Tavern,Croydon,www.theovaltavern.co.uk,100000000000.0,E09000008,Addiscombe West,E05011463,131 Oval Road,Croydon,,-0.0876196036623581,51.37832679948798,533189.9639117722,166098.92780133593,04/11/2021
Builders Arms,Croydon,www.buildersarmscroydon.co.uk,100000000000.0,E09000008,Addiscombe West,E05011463,65 Leslie Park Road,Croydon,,-0.0858458110772491,51.37951187620543,533309.9638794657,166233.9277648023,04/11/2021
The Duke,Kingston Upon Thames,www.thedukeofyork.com,128019405.0,E09000021,St. Mark's,E05000412,Kingston Upon Thames ,,,-0.3066998465788028,51.3919574553442,517908.9680671538,167239.92749027984,04/11/2021
Lamb Inn,Kingston Upon Thames,www.lambsurbiton.co.uk,128002149.0,E09000021,St. Mark's,E05000412,73 Brighton Road,Kingston Upon Thames,,-0.311382532492165,51.39204300227717,517582.9681547529,167241.92749033892,04/11/2021
Black Lion,Kingston Upon Thames,www.theblacklionsurbiton.co.uk,100000000000.0,E09000021,St. Mark's,E05000412,58 Brighton Road,Kingston Upon Thames,,-0.3104474119539102,51.39206549624857,517647.9681372896,167245.9274891236,04/11/2021
