Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals,Other (including hospitality given),Cost of Travel,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Patricia  Hayes,2019-06-20,1,London,Meeting with Midlands Connect,Rail,Standard,£0.00,£0.00,£95.00,95.00,Nil Return
Peter Wilkinson,2019-04-11,1,Birmingham ,"Meeting with Director, West Midlands Rail",Rail,Standard,£0.00,£0.00,£180.50,180.50,Nil Return
Peter Wilkinson,2019-05-28,1,Wolverhampton,Meeting with Community Rail Partnership,Rail,Standard,£0.00,£0.00,£71.70,71.70,Nil Return
Peter Wilkinson,2019-06-13,1,Bristol ,Speaking at the Great Western Rail Community Rail Showcase ,Rail,Standard,£0.00,£0.00,£84.80,84.80,Nil Return
Peter Wilkinson,2019-06-18,1,Cardiff ,"Director for Economic Infrastructure, Department for Economy, Skills and Natural Resources, Welsh Government ",Rail,Standard,£0.00,£0.00,£110.30,110.30,Nil Return
Philip Luxford,2019-05-22,1,London,Visit To British Transport Police,,,£0.00,£0.00,£2.40,2.40,Nil Return
Philip Luxford,2019-06-04,1,London,Site Visit To Network Rail Clapham,,,£0.00,£0.00,£2.40,2.40,Nil Return
Philip Luxford,2019-06-13,5,Farnborough,Visit To Rail Accident Investigation Branch at Farnborough,,,£0.00,£0.00,£12.00,12.00,Nil Return
Philip Luxford,2019-06-20,1,London,One Railway and Security Directorate Senior Leadership Team Off-Site Meeting,,,£0.00,£0.00,£2.40,2.40,Nil Return
Philip Luxford,2019-06-26,1,Aldergate,Meeting Of Rail Director General Security Group,,,£0.00,£0.00,£4.80,4.80,Nil Return
Polly Payne,2019-04-11,1,London,Speaking at Young Rail Professionals Event Annual Black Tie Dinner 2019,Taxi,Standard,£0.00,£0.00,£26.50,£26.50,Nil Return
Polly Payne,2019-05-15,1,London,Women in Rail Awards,Taxi,Standard,£0.00,£0.00,£99.60,£99.60,Nil Return
Richard  Bruce,2019-05-21,1,"Paris, France","AL, Cities & Climate Change - How Artificial Intelligence is transforming cities ",International Rail,Standard,£0.00,£0.00,£339.50,339.50,Nil Return
Roger  Hargreaves,2019-04-11,1,London,Maritime Security Committee,Rail,Standard,£0.00,£0.00,£177.50,177.50,Nil Return
Roger  Hargreaves,2019-06-19,1,Southampton,Maritime and Coastguard Non-exec Director Interviews ,Rail,Standard,£0.00,£0.00,£45.60,45.60,Nil Return
Rosalind  Wall,2019-04-30,1,Bristol ,DVSA Board ,Rail,Standard,£0.00,£0.00,£84.80,84.80,Nil Return
Rosalind  Wall,2019-06-24,1,Cambridge,CSaP Professional Development Policy Workshop,Rail,Standard,£0.00,£0.00,£40.60,40.60,Nil Return
Ruth  Hannant,2019-05-07,1,London,Travel to Rail Delivery Group Board Meeting,Underground,Standard,£0.00,£0.00,£4.90,£4.90,Nil Return
Ruth  Hannant,2019-05-09,2,Berkhamsted,(DG) Future Leaders Scheme - Cohort 56,Rail,Standard,£0.00,£0.00,£31.60,£31.60,Nil Return
Ruth  Hannant,2019-05-21,2,Belfast,Whitehall Industry Group Exchange 2019 Module 3,"Plane, Rail & Taxi",Standard,£99.00,£0.00,£173.33,£272.33,Nil Return
Sam  Caughey,2019-04-01,1,Nottingham,Rail North Committee ,,,£10.15,£0.00,£0.00,10.15,Nil Return
