animal_id,animal_type,secondary_color,breed_group,primary_breed,tag_no,tag_type,tag_subtype,vaccine,serial_no,vet_id,location (1)
A614370,CAT,BRN TABBY,SHORTHAIR,DOMESTIC SH,,,,,,,
A544556,DOG,WHITE,MASTIFF,PIT BULL,,,,,,,
A566855,DOG,,MASTIFF,AMERICAN STAFF,L1VOID6-043457,RAB VAC CERT.,HLP SCAN,,3711587,G000067,SHELTER
A580979,DOG,,SETTER/RETRIEVE,GREAT PYRENEES,L15-072766,LIC ALTERED,COUNTER,,AMC,G000402,SHELTER
A596812,DOG,,COLLIE,AUST SHEPHERD,RAB9122272,RABIES CERT,VET,BANFIELD,KS,G000492,SHELTER
A608707,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L16-023034,LIC ALTERED,VET,KHS,EMS,G000088,SHELTER
A553290,DOG,,TOY,POMERANIAN,51727,RAB VAC CERT.,VET,AUBURNDALE,RR,G000052,SHELTER
A601690,DOG,BLACK,POINTER,POINTER,R16-1288,RABIES CERT,RESQ,MAS,,G124495,SHELTER
A623235,DOG,,COLLIE,AUST SHEPHERD,L15-031972,LIC ALTERED,HLP SCAN,,6175786,G000061,LOCKBOX
A563562,DOG,,POINTER,WEIMARANER,L15-019323,LIC ALTERED,VET,KHS,ARL,G000088,SHELTER
A571292,DOG,,POODLE,POODLE MIN,L15-010953,LIC ALTERED,VET,BARBOUR,LB,G000059,SHELTER
A583447,DOG,BROWN,HOUND,BEAGLE,L16-036436,LIC UNALTERED,HLP WEB,,4239552,G000104,SHELTER
A554856,DOG,WHITE,SPITZ,ALASKAN HUSKY,985112004690425,MICROCHIP RTO,HOME AGAIN,,,,SHELTER
A617192,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L17-047782,LIC ALTERED,ADOPT,MAS,KLM,G000469,SHELTER
A601601,DOG,WHITE,COLLIE,COLLIE SMOOTH,L17-052036,LIC 3YSR,COUNTER,JOHNSON,,G000104,LICENSE
A594014,DOG,,HOUND,BEAGLE,L16-040674,LIC ALTERED,HLP WEB,,4675442,G000356,LOCKBOX
A537472,DOG,BLACK,SHEPHERD,GERM SHEPHERD,L14-038150,LIC UNALTERED,MAIL,DAVIS,LB,G000064,SHELTER
A588693,DOG,WHITE,SHEPHERD,GERM SHEPHERD,L17-018819,LIC ALTERED,HLP WEB,,5916372,G000076,LOCKBOX
A590674,CAT,GRAY,LONGHAIR,DOMESTIC LH,985112007581697,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A517100,DOG,BL BRINDLE,TERRIER,BULL TERRIER,L16-049966,LIC SR,COUNTER,DIXIE,ARL,G000053,SHELTER
A574823,DOG,,SPANIEL,COCKER SPAN,L15-063839,LIC ALTERED,MAIL,DR JOHNS,ARL,G000104,SHELTER
A566002,DOG,BROWN,HOUND,CATAHOULA,R15-5549,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A606360,DOG,,MASTIFF,PIT BULL,U16-008742,RABIES CERT,HLP SCAN,,5183302,G000064,LOCKBOX
A615649,DOG,BROWN,MASTIFF,PIT BULL,L17-041213,LIC ALTERED,VET,,ARL,G000088,SHELTER
A617008,DOG,,SIGHTHOUND,GREYHOUND,L16-007533,LIC ALTERED,HLP WEB,SNIP,5827627,G000372,SHELTER
A624497,DOG,TAN,TOY,CHIHUAHUA SH,L17-047704,LIC ALTERED,ADOPT,MAS,KLM,G000469,SHELTER
A580688,DOG,,MASTIFF,PIT BULL,985112006925314,MICROCHIP RTO,HOME AGAIN,,,,SHELTER
A450485,DOG,TRICOLOR,HOUND,BEAGLE,D14-018431,LIC ALTERED,ONLINE,BLUECROSS,JQR,,SHELTER
