animal_id,animal_type,secondary_color,breed_group,primary_breed,tag_no,tag_type,tag_subtype,vaccine,serial_no,vet_id,location (1)
A269670,DOG,WHITE,TERRIER,PARSON RUSS TER,L16-020717,LIC ALTERED,HLP IMPORT,,4042141,G000372,LOCKBOX
A579391,DOG,,SETTER/RETRIEVE,NEWFOUNDLAND,L15-035310,LIC ALTERED,HLP SCAN,,4389007,G000069,LOCKBOX
A580049,DOG,,MIX,MIX,L17-051561,LIC SR,HLP SCAN,,6578665,G000064,LOCKBOX
A553976,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L15-000826,LIC ALTERED,HLP WEB,,3292796,G000338,LOCKBOX
A574184,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A467999,DOG,,SPANIEL,CAVALIER SPAN,D13-0013749,LIC ALTERED,VET,BARBOUR,TM,G000059,SHELTER
A563403,CAT,,SHORTHAIR,DOMESTIC SH,L14-018567,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A571297,DOG,,TERRIER,TIBETAN TERR,L15-053225,LIC ALTERED,MAIL,SHIVELY,ARL,G000338,SHELTER
A566137,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L15-004913,LIC UNALTERED,HLP WEB,,3693386,G000082,LOCKBOX
A506533,DOG,,COLLIE,AUST SHEPHERD,L14-057197,LIC ALTERED,MAIL,COUNTRY,ARL,G000340,SHELTER
A566661,OTHER,,MAMMAL,DEER,,,,,,,
A622362,DOG,BLACK,TOY,SHIH TZU,L17-003360,LIC ALTERED,COUNTER,,ARL,G000053,LICENSE
A490867,DOG,,TERRIER,JACK RUSS TER,L15-024024,LIC ALTERED,HLP SCAN,,3550301,G000067,SHELTER
A568822,DOG,BROWN,COLLIE,BORDER COLLIE,L16-014453,LIC ALTERED,COUNTER,,AMC,G000053,SHELTER
A586902,DOG,WHITE,MASTIFF,AMERICAN STAFF,R16-3066,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A572462,DOG,TAN,MASTIFF,PIT BULL,L15-050490,LIC MULTIPLE,COUNTER,HEATHER,,G000372,SHELTER
A585604,CAT,WHITE,SHORTHAIR,DOMESTIC SH,985112006881380,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A626931,CAT,,LONGHAIR,DOMESTIC MH,L17-007616,LIC 3Y,HLP SCAN,,6369670,G000068,LOCKBOX
A589260,CAT,GRAYISH,SHORTHAIR,DOMESTIC SH,U16-007613,RABIES CERT,HLP IMPORT,DEF3,4497173,G000058,LOCKBOX
A613765,DOG,WHITE,TOY,HAVANESE,L17-012401,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A564962,CAT,,SHORTHAIR,DOMESTIC SH,L15-028701,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A580886,DOG,,SHEPHERD,WELSH CORGI CAR,U16-006188,RABIES CERT,HLP IMPORT,,4132606,G000056,LOCKBOX
A551386,CAT,,SHORTHAIR,DOMESTIC SH,985112001109242,MICROCHIP,HLP SCAN,,3223192,,LOCKBOX
A587501,DOG,BROWN,MASTIFF,PIT BULL,,,,,,,
A601848,DOG,BROWN,MASTIFF,ROTTWEILER,L16-027746,LIC UNALTERED,COUNTER,,ARL,G000338,SHELTER
A580039,DOG,,SIGHTHOUND,GREYHOUND,L15-037585,LIC 3Y,HLP SCAN,,4096437,G000291,SHELTER
A589177,DOG,WHITE,SETTER/RETRIEVE,GREAT PYRENEES,985112006516513,MICROCHIP RTO,HOME AGAIN,,,,SHELTER
A577577,CAT,,SHORTHAIR,DOMESTIC SH,L15-039991,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A553572,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L17-036834,LIC ALTERED,HLP SCAN,,5912317,G000060,LOCKBOX
A559032,DOG,,MASTIFF,AMER BULLDOG,L15-034193,LIC ALTERED,HLP SCAN,,3504265,G000061,LOCKBOX
A591075,CAT,,SHORTHAIR,DOMESTIC SH,985112007558718,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A578789,DOG,,TOY,DACHSHUND,L15-026898,LIC UNALTERED,HLP SCAN,,4049172,G000074,SHELTER
A565858,CAT,BRN TABBY,SHORTHAIR,DOMESTIC SH,L15-023644,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A607378,DOG,BROWN,MASTIFF,AMER BULLDOG,L16-044700,LIC ALTERED,HLP WEB,,5235583,G000348,LOCKBOX
A440119,DOG,,TERRIER,MIN PINSCHER,L14-038117,LIC UNALTERED,COUNTER,MAS,LB,G124495,SHELTER
A601735,CAT,,SHORTHAIR,DOMESTIC SH,985112007909884,MICROCHIP ADO,HOME AGAIN,MAS,,,SHELTER
A584562,CAT,GRAY,SHORTHAIR,DOMESTIC SH,,,,,,,
A603588,DOG,,MASTIFF,ST BERNARD SMTH,RAB9577994,RABIES CERT,VET,BANFIELD,LB,G000056,SHELTER
A556648,DOG,,MASTIFF,BOXER,L16-025104,LIC ALTERED,HLP SCAN,,4457596,G000075,LOCKBOX
A611841,CAT,,SHORTHAIR,DOMESTIC SH,L15-039157,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A550446,DOG,,HOUND,BEAGLE,RAB43270,RAB VAC CERT.,VET,SENECA,ARL,G000360,SHELTER
A562627,DOG,,SPITZ,SIBERIAN HUSKY,,,,,,,
A579539,DOG,WHITE,COLLIE,AUST SHEPHERD,L15-072571,LIC ALTERED,COUNTER,SPRINGHURS,ARL,G000341,SHELTER
A568240,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A627369,CAT,,SHORTHAIR,DOMESTIC SH,L17-001649,LIC ALTERED,HLP SCAN,,6386179,G000061,LOCKBOX
A585898,CAT,,LONGHAIR,DOMESTIC MH,L15-036821,LIC ALTERED,HLP SCAN,,4376121,G000069,LOCKBOX
A568031,CAT,,,UNKNOWN,L15-027859,LIC ALTERED,VET,MYDOGEATS,ARL,G000474,SHELTER
A587376,DOG,BROWN,TOY,CHIHUAHUA SH,U16-007424,RABIES CERT,HLP IMPORT,,4433405,G000058,LOCKBOX
A551389,DOG,,HOUND,BEAGLE,L15-001866,LIC ALTERED,HLP SCAN,,3223203,G000060,LOCKBOX
A589450,DOG,,COLLIE,BORDER COLLIE,U16-007873,RABIES CERT,HLP IMPORT,DEF3,4497436,G000056,LOCKBOX
A466101,DOG,,SETTER/RETRIEVE,GOLDEN RETR,L15-042427,LIC ALTERED,HLP SCAN,,3504626,G000067,LOCKBOX
A462795,DOG,,POINTER,VIZSLA,L17-026972,LIC ALTERED,MAIL,,AMC,G000061,SHELTER
A596350,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L16-013717,LIC ALTERED,VET,AUDUBON,LB,G000055,SHELTER
A570909,DOG,,,UNKNOWN,L15-057799,LIC 3Y,HLP IMPORT,,3836373,G000372,SHELTER
A625160,DOG,WHITE,SPITZ,SIBERIAN HUSKY,L17-037206,LIC 3Y,VET,,ARL,G000073,LICENSE
A615670,DOG,WHITE,MASTIFF,PIT BULL,L17-012261,LIC ALTERED,ADOPT,LMAS,,G000404,SHELTER
A612419,DOG,,COLLIE,QUEENSLAND HEEL,L17-031024,LIC 3Y,HLP SCAN,,5553449,G000068,LOCKBOX
A549416,DOG,,,,L16-055720,LIC SR,HLP SCAN,,5221226,G000066,LOCKBOX
A560403,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A554945,DOG,,POODLE,POODLE TOY,L15-019731,LIC UNALTERED,COUNTER,,AMC,G000338,SHELTER
A598546,DOG,,HOUND,BEAGLE,L17-011631,LIC ALTERED,HLP SCAN,,6359193,G000069,LOCKBOX
A584669,CAT,,LONGHAIR,MAINE COON,L16-029522,LIC ALTERED,HLP SCAN,,4319093,G000064,LOCKBOX
A470963,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L16-014110,LIC SR,COUNTER,METRO,LB,G124495,SHELTER
A594713,CAT,BLK TABBY,SHORTHAIR,DOMESTIC SH,L16-025717,LIC ALTERED,VET,AUBURNDALE,LB,G000052,SHELTER
A629888,DOG,BLACK,TERRIER,TIBETAN TERR,L17-027077,LIC ALTERED,VET,,SM,G000088,LICENSE
A601959,DOG,GRAY,TOY,YORKSHIRE TERR,L16-07452,LIC ALTERED,VET,,ARL,G000088,SHELTER
A570561,DOG,,HOUND,BEAGLE,U15-003851,RABIES CERT,HLP IMPORT,,3824520,G000058,LOCKBOX
A574902,DOG,,TOY,SHIH TZU,,,,,,,
A463834,DOG,,TOY,DACHSHUND LH,D13-035445,LIC ALTERED,VET,AUDUBON,HMA,G000055,SHELTER
A595048,CAT,WHITE,SHORTHAIR,DOMESTIC SH,985112007776661,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A299165,CAT,,SHORTHAIR,DOMESTIC SH,C13-007352,LIC ALTERED,VET,DAVIS,ST,G000064,SHELTER
A594612,DOG,,POINTER,WEIMARANER,L16-058658,LIC ALTERED,HLP SCAN,,4684710,G000071,LOCKBOX
A591091,DOG,TAN,SHEPHERD,GERM SHEPHERD,,,,,,,
A580776,DOG,,TOY,DACHSHUND,U16-006015,RABIES CERT,HLP IMPORT,,4132432,G000058,LOCKBOX
A594807,DOG,,POODLE,BICHON FRISE,RAB-45809,RABIES CERT,VET,SENECA,LB,G000360,SHELTER
A585795,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L16-001338,LIC ALTERED,MAIL,JOHNSON,LB,G000344,SHELTER
A632191,CAT,,SHORTHAIR,DOMESTIC SH,L17-041654,LIC ALTERED,VET,,ARL,G000088,LICENSE
A134610,CAT,,SHORTHAIR,DOMESTIC SH,C02-005926,LIC ALTERED,,,,,CONVERT
A623567,DOG,,SHEPHERD,GERM SHEPHERD,L17-028449,LIC ALTERED,HLP SCAN,,6196770,G000067,LOCKBOX
A613437,DOG,GRAY,TOY,YORKSHIRE TERR,L17-044325,LIC ALTERED,ADOPT,LMAS,MM,G124495,SHELTER
A597852,DOG,WHITE,TOY,CHIHUAHUA SH,L17-001092,LIC 3Y,COUNTER,,AMC,G000338,LICENSE
A560347,DOG,,SHEPHERD,WELSH CORGI CAR,982000363899236,MICROCHIP,HLP WEB,,4207625,,LOCKBOX
A603796,DOG,BLACK,MASTIFF,PIT BULL,985112008496006,MICROCHIP ADO,ADOPT,,,,SHELTER
A577895,DOG,,TOY,SHIH TZU,L16-032140,LIC SR,HLP SCAN,,5085039,G000074,LOCKBOX
A534657,DOG,,TOY,DACHSHUND,L15-018564,LIC ALTERED,MAIL,DERBY CITY,LB,G000250,SHELTER
A591727,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L16-059534,LIC SR,VET,JEFFERSON,LB,G000072,SHELTER
A428976,DOG,BR BRINDLE,MASTIFF,BOXER,L16-053263,LIC ALTERED,HLP WEB,GASLIGHT,5357589,G000358,SHELTER
A583865,DOG,,HOUND,BEAGLE,L16-036540,LIC 3YSR,MAIL,JOHNSON,ARL,G000344,SHELTER
A573346,DOG,TAN,MASTIFF,AMERICAN STAFF,985112006321829,MICROCHIP RTO,HOME AGAIN,,,,SHELTER
A573442,DOG,WHITE,SETTER/RETRIEVE,LABRADOR RETR,L15-059759,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A556436,DOG,,SETTER/RETRIEVE,GOLDEN RETR,985112005979000,MICROCHIP,HOME AGAIN,,,,SHELTER
A581739,DOG,,COLLIE,COLLIE ROUGH,L15-036107,LIC ALTERED,HLP SCAN,,4167888,G000069,LOCKBOX
A570323,CAT,,LONGHAIR,DOMESTIC MH,L15-010935,LIC ALTERED,VET,BARBOUR,LB,G000059,SHELTER
A555338,CAT,,SHORTHAIR,DOMESTIC SH,U15-001519,RABIES CERT,HLP SCAN,,3384774,G000339,LOCKBOX
A582447,DOG,WHITE,MASTIFF,PIT BULL,985112006925818,MICROCHIP ADO,HOME AGAIN,MAS,,,SHELTER
A620275,DOG,,COLLIE,SHETLD SHEEPDOG,L17-025836,LIC ALTERED,ADOPT,MAS,KLM,G000469,SHELTER
A589635,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A524398,DOG,,MASTIFF,CHINESE SHARPEI,L16-025219,LIC ALTERED,HLP SCAN,,4613879,G000075,LOCKBOX
A529519,DOG,,COLLIE,COLLIE ROUGH,L17-029433,LIC ALTERED,HLP SCAN,,6357362,G000250,LOCKBOX
A553793,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A555827,CAT,,SHORTHAIR,DOMESTIC SH,L14-051358,LIC ALTERED,HLP SCAN,,3390386,G000071,LOCKBOX
A619260,CAT,BROWN,SHORTHAIR,SIAMESE,985113001065875,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A569766,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A625912,DOG,,HOUND,BEAGLE,L17-014892,LIC ALTERED,VET,,SIM,G000088,LICENSE
A589972,DOG,,MASTIFF,PIT BULL,L16-057078,REJECT,HLP SCAN,,4509783,G000291,LOCKBOX
A555161,DOG,,TOY,MALTESE,U15-001237,RABIES CERT,HLP IMPORT,,3341045,G000058,LOCKBOX
A594118,CAT,,SHORTHAIR,DOMESTIC SH,985 112 007 560 058,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A627499,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A578070,DOG,,TERRIER,JACK RUSS TER,U15-44987,RAB VAC CERT.,VET,SENECA,ARL,G000360,SHELTER
A587694,DOG,WHITE,TOY,PUG,L16-008463,LIC ALTERED,COUNTER,DIXON,,G000076,SHELTER
A610927,DOG,,SETTER/RETRIEVE,GOLDEN RETR,L16-026908,LIC ALTERED,HLP SCAN,,5472935,G000222,LOCKBOX
A550999,DOG,,TOY,CHIHUAHUA SH,L14-005843,LIC ALTERED,HLP SCAN,,3213579,G000069,LOCKBOX
A572046,DOG,BLACK,TERRIER,PARSON RUSS TER,U15-004292,RABIES CERT,HLP IMPORT,,3862516,G000056,LOCKBOX
A601037,CAT,WHITE,SHORTHAIR,DOMESTIC SH,L16-053398,LIC MULTIPLE,COUNTER,SNIP,EMS,G000372,SHELTER
A269670,DOG,WHITE,TERRIER,PARSON RUSS TER,D13-002901,LIC ALTERED,VET,AUBURNDALE,HMA,G000052,SHELTER
A577532,DOG,TAN,COLLIE,BORDER COLLIE,L16-043072,LIC ALTERED,HLP WEB,,5002033,G000338,LOCKBOX
A630750,DOG,,SPITZ,AKITA,,,,,,,
A545045,CAT,,SHORTHAIR,DOMESTIC SH,L15-022959,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A581395,CAT,,SHORTHAIR,DOMESTIC SH,L15-050750,LIC ALTERED,HLP SCAN,,4151590,G000067,LOCKBOX
A562708,DOG,WHITE,SHEPHERD,WELSH CORGI PEM,L15-003785,LIC UNALTERED,HLP WEB,,3589149,G000352,LOCKBOX
A562098,DOG,WHITE,TERRIER,RAT TERRIER,,,,,,,
A582742,DOG,,HOUND,BEAGLE,L15-035438,LIC ALTERED,HLP SCAN,GAILOR,4205162,G000069,SHELTER
A015504,CAT,,SHORTHAIR,DOMESTIC SH,C07-002803,LIC ALTERED,,FAIR-DIXIE,,G000098,SHELTER
A570885,DOG,WHITE,HOUND,BEAGLE,L15-057773,LIC ALTERED,HLP IMPORT,,3836348,G000372,LOCKBOX
A618360,DOG,WHITE,SIGHTHOUND,IBIZAN HOUND,R17-0513,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A596856,DOG,BROWN,HOUND,BEAGLE,L16-007228,LIC ALTERED,VET,,ARL,G000088,SHELTER
A524664,DOG,WHITE,MASTIFF,PIT BULL,R14-3167,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A565492,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A582814,DOG,BROWN,TOY,MALTESE,L15-009613,LIC SR,MAIL,AUDUBON,ARL,G000055,SHELTER
A573906,DOG,,TOY,YORKSHIRE TERR,L17-046730,LIC SR,MAIL,,ARL,G000059,LICENSE
A579722,DOG,,MASTIFF,PIT BULL,L15-070048,LIC ALTERED,COUNTER,,AMC,G000372,SHELTER
A566662,OTHER,,MAMMAL,DEER,,,,,,,
A460287,CAT,WHITE,SHORTHAIR,DOMESTIC SH,C11-073158,LIC ALTERED,VET,CHEROKEE,TM,G000062,SHELTER
A611278,DOG,,MASTIFF,PIT BULL,L17-049156,LIC ALTERED,HLP SCAN,,6491480,G000069,LOCKBOX
A592376,CAT,,SHORTHAIR,DOMESTIC SH,L16-008321,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A586276,DOG,,MASTIFF,PIT BULL,,,,,,,
A590247,CAT,,SHORTHAIR,DOMESTIC SH,985112007782198,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A618411,DOG,,TOY,CHIHUAHUA SH,RAB0373851,RABIES CERT,VET,BANFIELD,LB,G000056,SHELTER
A578133,DOG,WHITE,TOY,HAVANESE,L15-057993,LIC ALTERED,HLP IMPORT,,4041797,G000372,SHELTER
A584134,DOG,,COLLIE,COLLIE ROUGH,L16-036678,LIC ALTERED,HLP WEB,,4275575,G000402,LOCKBOX
A393438,CAT,WHITE,SHORTHAIR,DOMESTIC SH,C11-073352,LIC ALTERED,ONLINE,FENWICK,SK,,SHELTER
A593646,DOG,TAN,MASTIFF,ROTTWEILER,,,,,,,
A531473,DOG,,TERRIER,RAT TERRIER,L15-003035,LIC ALTERED,HLP WEB,,3524392,G000078,LOCKBOX
A600569,DOG,GRAY,MASTIFF,AMERICAN STAFF,985112008172149,MICROCHIP ADO,HOME AGAIN,MAS,,,SHELTER
A530488,DOG,,TOY,CHIHUAHUA SH,U14-002022,RABIES CERT,HLP SCAN,,2715081,G000075,LOCKBOX
A586025,DOG,FAWN,MASTIFF,PIT BULL,981020017458059,MICROCHIP,PET WATCH,SNIP,,,SHELTER
A629051,DOG,,MASTIFF,PIT BULL,L17-009807,LIC ALTERED,ADOPT,LMAS,,G124495,SHELTER
A534654,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L16-002823,LIC MULTIPLE,MAIL,DIXIE,ARL,G000053,SHELTER
A562777,DOG,SILVER,TERRIER,SCHNAUZER MIN,L16-039833,LIC ALTERED,HLP WEB,,4594424,G000345,LOCKBOX
A589755,CAT,WHITE,SHORTHAIR,DOMESTIC SH,,,,,,,
A582228,DOG,BROWN,TOY,CHIHUAHUA SH,,,,,,,
A600929,DOG,,SETTER/RETRIEVE,GOLDEN RETR,L15-002268,LIC ALTERED,VET,MIDDLETOWN,4790743,G000074,LOCKBOX
A588822,CAT,BROWN,SHORTHAIR,SIAMESE,985112007307451,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A507846,DOG,,TOY,SHIH TZU,4A79492B21,MICROCHIP,HOME AGAIN,SHELDEN,EMS,G000076,SHELTER
A556576,DOG,BR BRINDLE,MASTIFF,BULLMASTIFF,L15-001592,LIC ALTERED,HLP WEB,,3413400,G000067,SHELTER
A578842,DOG,,HOUND,RHOD RIDGEBACK,985121008636258,MICROCHIP,HLP SCAN,,4457521,,LOCKBOX
A599200,DOG,,SPITZ,AMER ESKIMO,L17-011575,LIC ALTERED,HLP SCAN,,5913840,G000069,LOCKBOX
A601300,CAT,,SHORTHAIR,DOMESTIC SH,L17-020613,LIC ALTERED,HLP WEB,,6183058,G000250,LOCKBOX
A577940,CAT,,SHORTHAIR,DOMESTIC SH,L15-039829,LIC ALTERED,VET,KHS,ARL,G000088,SHELTER
A585266,DOG,,TOY,MALTESE,985112003184277,MICROCHIP ADO,HOME AGAIN,MAS,,,SHELTER
A631990,DOG,BROWN,TERRIER,MIN PINSCHER,R17-1381,RAB VAC CERT.,ADOPT,LMAS,,G124495,SHELTER
A570325,CAT,,LONGHAIR,DOMESTIC LH,L16-015087,LIC ALTERED,VET,BARBOUR,LB,G000059,SHELTER
A263498,DOG,WHITE,SPANIEL,CAVALIER SPAN,D09-031504,LIC UNALTERED,,DIXIE,,,SHELTER
A561995,DOG,BLACK,MASTIFF,BOXER,L17-054019,LIC ALTERED,HLP SCAN,,6651791,G000250,LOCKBOX
A633154,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A621518,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A304265,DOG,,POODLE,POODLE TOY,D08-014044,LIC UNALTERED,,DR JOHNS,JF,,SHELTER
A628867,DOG,BROWN,SHEPHERD,GERM SHEPHERD,,,,,,,
A630575,DOG,,HOUND,BEAGLE,L16-007725,LIC ALTERED,COUNTER,,AMC,G000053,LICENSE
A580081,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L15-038101,LIC ALTERED,HLP SCAN,,4096602,G000075,LOCKBOX
A631534,DOG,WHITE,TOY,DACHSHUND,,,,,,,
A002536,DOG,,TERRIER,AIREDALE TERR,D14-001714,LIC ALTERED,VET,CHEROKEE,SL,G000062,SHELTER
A605036,DOG,,MASTIFF,BOXER,,,,,,,
A604028,DOG,,COLLIE,QUEENSLAND HEEL,L16-033017,LIC 3Y,HLP SCAN,,5078104,G000068,LOCKBOX
A122511,CAT,WHITE,SHORTHAIR,DOMESTIC SH,C07-001836,LIC UNALTERED,,SHIVELY,JF,,SHELTER
A607211,DOG,WHITE,MASTIFF,PIT BULL,L17-036565,LIC ALTERED,COUNTER,,AMC,G000060,SHELTER
A579285,DOG,UNKNOWN,COLLIE,AUST CATTLE DOG,,,,,,,
A586380,DOG,,HOUND,BEAGLE,L16-048145,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A570175,DOG,BLACK,TOY,YORKSHIRE TERR,RAB15-6029,RABIES CERT,COUNTER,,AMC,G124495,SHELTER
A558105,DOG,,TOY,MALTESE,L15-013688,LIC ALTERED,MAIL,PRESTON,ARL,G000077,SHELTER
A632400,DOG,,MASTIFF,FRENCH BULLDOG,L17-054848,LIC UNALTERED,COUNTER,HIGHLANDS,,G000339,LICENSE
A597935,DOG,,SETTER/RETRIEVE,GOLDEN RETR,,,,,,,
A632670,DOG,,MASTIFF,BOXER,L17-000428,LIC 3Y,HLP SCAN,,6654345,G000067,LOCKBOX
A627340,DOG,WHITE,MASTIFF,PIT BULL,,,,,,,
A608155,DOG,TAN,SHEPHERD,GERM SHEPHERD,17-015246,LIC ALTERED,HLP WEB,,5307967,G000380,SHELTER
A591961,CAT,,SHORTHAIR,DOMESTIC SH,985112007782842,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A624618,DOG,BROWN,SPITZ,NORW ELKHOUND,L17-041859,LIC ALTERED,VET,,SIM,G000088,LICENSE
A602265,CAT,,SHORTHAIR,DOMESTIC SH,L16-050522,LIC ALTERED,ADOPT,MAS,KLM,G000469,SHELTER
A245382,DOG,,HOUND,BEAGLE,3Y14-011650,LIC 3YSR,COUNTER,SIMS,,,SHELTER
A615982,DOG,WHITE,TOY,BOSTON TERRIER,R17-0626,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A342095,DOG,,POODLE,PORT WATER DOG,D08-036342,LIC UNALTERED,,INDIANA,JF,,SHELTER
A617963,DOG,,TERRIER,CAIRN TERRIER,L17-030902,LIC ALTERED,VET,CHEROKEE,LB,G000062,SHELTER
A534767,DOG,,SETTER/RETRIEVE,LABRADOR RETR,L15-004784,LIC 3YSR,HLP WEB,,3684664,G000344,SHELTER
A594066,DOG,,MASTIFF,PIT BULL,L16-014003,LIC PDD,COUNTER,GAILOR,KS,G000069,SHELTER
A619860,CAT,WHITE,SHORTHAIR,DOMESTIC SH,985113001070206,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A583516,DOG,CREAM,SETTER/RETRIEVE,GOLDEN RETR,965000000412668,MICROCHIP,HLP WEB,,4240683,,LOCKBOX
A578711,DOG,WHITE,SPANIEL,COCKER SPAN,L15-008665,LIC ALTERED,HLP WEB,,4044269,G000379,LOCKBOX
A629504,DOG,,MIX,MIX,L17-013851,LIC ALTERED,HLP SCAN,,6491213,G000069,LOCKBOX
A527039,DOG,,TOY,PAPILLON,L16-025249,LIC SR,HLP SCAN,,4683961,G000075,LOCKBOX
A596377,CAT,,SHORTHAIR,DOMESTIC SH,L16-007220,LIC ALTERED,VET,,AMC,G000088,SHELTER
A608555,DOG,,TERRIER,WEST HIGHLAND,L17-022023,LIC SR,HLP WEB,,6425882,G000370,LOCKBOX
A631694,CAT,WHITE,LONGHAIR,DOMESTIC LH,L17-048316,LIC ALTERED,VET,,ARL,G000088,LICENSE
A625747,CAT,WHITE,LONGHAIR,DOMESTIC LH,L17-009365,LIC ALTERED,ADOPT,MAS,,G124495,SHELTER
A534532,DOG,BLACK,TERRIER,RAT TERRIER,L14-019130,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A574024,DOG,,TOY,CHINESE CRESTED,VOID....,RAB VAC CERT.,MAIL,SHELDON,LB,G000076,SHELTER
A577426,DOG,WHITE,HOUND,BEAGLE,L15-008472,LIC 3Y,HLP WEB,,4020714,G000064,LOCKBOX
A632989,DOG,GRAY,MASTIFF,BOXER,R18-0001,LIC ALTERED,ADOPT,LMAS,,G124495,SHELTER
A383750,DOG,TAN,TOY,DACHSHUND,D14-057966,LIC ALTERED,HLP WEB,DR JOHNS,2346785,G000104,SHELTER
A567479,DOG,BLACK,TOY,SHIH TZU,,,,,,,
A596457,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A620372,DOG,WHITE,MASTIFF,PIT BULL,U17-015530,RABIES CERT,COUNTER,,AMC,G000338,LICENSE
A587687,DOG,WHITE,MASTIFF,BOXER,L16-048436,LIC ALTERED,VET,KHS,LB,G000088,SHELTER
A561834,CAT,WHITE,LONGHAIR,DOMESTIC MH,985112005217646,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A604879,DOG,WHITE,TOY,PUG,L17-003861,LIC 3Y,VET,,SM,G000059,LICENSE
A577124,DOG,,TOY,CHIHUAHUA SH,985 112 006 517 014,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A557060,DOG,TAN,TOY,CHIHUAHUA SH,R15-2558,RAB VAC CERT.,RESQ,MAS,,G124495,SHELTER
A604372,CAT,,SHORTHAIR,DOMESTIC SH,L16-018076,LIC SR,HLP SCAN,,5085208,G000069,LOCKBOX
A591245,DOG,WHITE,TERRIER,BRUSS GRIFFON,L16-010756,LIC 3Y,MAIL,GASLIGHT,ARL,G000358,SHELTER
A544419,DOG,,MASTIFF,PIT BULL,985112005879741,MICROCHIP ADO,HOME AGAIN,MAS,,,SHELTER
A610222,DOG,WHITE,TERRIER,JACK RUSS TER,L16-053209,LIC ALTERED,VET,GASLIGHT,LB,G000358,SHELTER
A570532,DOG,,HOUND,BEAGLE,U15-003807,RABIES CERT,HLP IMPORT,,3824475,G000057,LOCKBOX
A552483,DOG,,POODLE,POODLE TOY,U15-005227,RABIES CERT,HLP IMPORT,,3970877,G000056,LOCKBOX
A624948,DOG,BLACK,MASTIFF,AMER BULLDOG,,,,,,,
A583968,CAT,,SHORTHAIR,DOMESTIC SH,L16-056048,LIC ALTERED,HLP SCAN,,4263304,G000067,LOCKBOX
A599232,DOG,,TOY,SHIH TZU,L16-018643,LIC ALTERED,HLP SCAN,,4859576,G000069,LOCKBOX
A583936,DOG,,POINTER,POINTER,985112005872274,MICROCHIP,HLP SCAN,,4263204,,LOCKBOX
A622215,CAT,MUTED,SHORTHAIR,DOMESTIC SH,,,,,,,
A556384,DOG,,TOY,MALTESE,L15-035394,LIC ALTERED,HLP SCAN,,4376199,G000069,LOCKBOX
A605638,DOG,,TOY,YORKSHIRE TERR,L16-032282,LIC SR,HLP SCAN,,5134677,G000074,LOCKBOX
A551431,DOG,WHITE,MASTIFF,AMERICAN STAFF,985112004456204,MICROCHIP,HLP WEB,,3224979,,LOCKBOX
A308506,DOG,,MASTIFF,BOXER,D10-007465,LIC ALTERED,,ST MATT,,,SHELTER
