animal_id,animal_type,color_group,primary_color,breed_group,primary_breed,status_date,location,animal_identity,tag_no,tag_type,tag_subtype
A550382,CAT,BR,ORG TABBY,SHORTHAIR,DOMESTIC SH,2015-01-13 00:00:00,LOCKBOX,465277.0,L15-015162,LIC ALTERED,HLP WEB
A553979,DOG,B,GRAY,SPITZ,ALASKAN HUSKY,2015-02-24 00:00:00,LOCKBOX,468893.0,L16-039373,LIC ALTERED,HLP WEB
A574084,DOG,W,WHITE,MASTIFF,PIT BULL,2015-10-15 00:00:00,SHELTER,489028.0,L16-004136,LIC UNALTERED,VET
A608169,DOG,BR,BROWN,HOUND,BLUETICK HOUND,2017-01-17 00:00:00,SHELTER,523003.0,985113000781907,MICROCHIP ADO,HOME AGAIN
A534216,DOG,B,BLUE,MASTIFF,PIT BULL,2014-08-13 00:00:00,SHELTER,449057.0,985112004355258,MICROCHIP ADO,HOME AGAIN
A520036,DOG,BR,BROWN,COLLIE,SHETLD SHEEPDOG,2014-03-06 00:00:00,SHELTER,434821.0,L17-026952,LIC 3Y,COUNTER
A620153,CAT,B,GRAY,LONGHAIR,DOMESTIC LH,2017-06-17 00:00:00,SHELTER,534882.0,L17-025971,LIC ALTERED,ADOPT
A551760,DOG,BR,GOLD,SETTER/RETRIEVE,GOLDEN RETR,2015-01-28 00:00:00,LOCKBOX,466662.0,L17-033296,LIC ALTERED,HLP SCAN
A617850,DOG,OO,UNKNOWN,MASTIFF,ROTTWEILER,2017-05-24 00:00:00,WEB,532609.0,,,
A584286,CAT,BR,BRN TABBY,SHORTHAIR,DOMESTIC SH,2016-03-02 00:00:00,SHELTER,499245.0,,,
A554235,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2015-02-26 00:00:00,LOCKBOX,469149.0,L15-043641,LIC ALTERED,HLP SCAN
A580618,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2016-01-13 00:00:00,SHELTER,495572.0,R16-1520,RAB VAC CERT.,RESQ
A583853,DOG,B,BLACK,TOY,SHIH TZU,2016-02-24 00:00:00,LOCKBOX,498818.0,L16-024711,LIC ALTERED,VET
A579672,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2015-12-26 00:00:00,LOCKBOX,494624.0,L15-058600,LIC ALTERED,HLP SCAN
A590952,DOG,OO,BROWN,MASTIFF,BOXER,2016-05-26 00:00:00,SHELTER,505869.0,L16-007371,LIC ALTERED,VET
A616656,DOG,B,BLUE,MASTIFF,PIT BULL,2017-05-05 00:00:00,LOCKBOX,531409.0,L17-018101,LIC UNALTERED,HLP WEB
A597139,CAT,OO,ORG TABBY,SHORTHAIR,DOMESTIC SH,2016-08-13 00:00:00,SHELTER,512053.0,985112007776084,MICROCHIP ADO,ADOPT
A556358,DOG,B,TRICOLOR,SETTER/RETRIEVE,BERNESE MTN DOG,2015-03-24 00:00:00,LOCKBOX,471271.0,0A02335669,MICROCHIP,HLP SCAN
A607720,DOG,OO,FAWN,MASTIFF,BOXER,2017-01-07 00:00:00,SHELTER,522551.0,L17-044623,LIC UNALTERED,COUNTER
A563752,DOG,OO,UNKNOWN,SETTER/RETRIEVE,LABRADOR RETR,2015-06-22 00:00:00,WEB,478678.0,,,
A353024,DOG,B,BLACK,TERRIER,JACK RUSS TER,2008-06-13 00:00:00,SHELTER,129350.0,L16-015593,LIC SR,COUNTER
A482871,DOG,OO,TAN,HOUND,BEAGLE,2012-12-26 00:00:00,SHELTER,397389.0,L16-026026,LIC ALTERED,VET
A552136,DOG,OO,TRICOLOR,HOUND,BEAGLE,2015-02-03 00:00:00,SHELTER,467044.0,L16-044349,LIC ALTERED,HLP WEB
A574505,DOG,B,TRICOLOR,TERRIER,PARSON RUSS TER,2015-10-19 00:00:00,LOCKBOX,489450.0,L15-044500,LIC ALTERED,HLP SCAN
A568662,DOG,B,BLACK,POODLE,POODLE STND,2015-08-14 00:00:00,SHELTER,483603.0,L15-028205,LIC ALTERED,VET
A622058,DOG,BR,BROWN,HOUND,BEAGLE,2017-07-18 00:00:00,SHELTER,536782.0,L17-009007,LIC ALTERED,ADOPT
A601161,CAT,W,WHITE,SHORTHAIR,DOMESTIC SH,2016-09-26 00:00:00,SHELTER,516070.0,,,
A554270,DOG,W,WHITE,,ST BERNARD MX,2015-02-26 00:00:00,LOCKBOX,469184.0,L15-058509,LIC ALTERED,HLP SCAN
A580158,DOG,BR,BROWN,SHEPHERD,WELSH CORGI CAR,2016-01-04 00:00:00,LOCKBOX,495110.0,L15-027112,LIC ALTERED,HLP SCAN
A574851,DOG,OO,BLACK,TERRIER,AIREDALE TERR,2015-10-22 00:00:00,SHELTER,489797.0,L16-016434,LIC SR,MAIL
A587086,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2016-04-14 00:00:00,SHELTER,502043.0,L16-001204,LIC ALTERED,MAIL
A557638,CAT,B,BLACK,LONGHAIR,DOMESTIC MH,2015-04-11 00:00:00,SHELTER,472553.0,,,
A550282,DOG,BR,TAN,SHEPHERD,GERM SHEPHERD,2015-01-10 00:00:00,SHELTER,465177.0,L16-025286,LIC ALTERED,HLP SCAN
A547978,DOG,B,BROWN,TOY,YORKSHIRE TERR,2014-12-15 00:00:00,SHELTER,462872.0,L16-033572,LIC ALTERED,COUNTER
A613405,CAT,OO,ORG TABBY,SHORTHAIR,DOMESTIC SH,2017-03-23 00:00:00,SHELTER,528167.0,L16-013273,LIC ALTERED,VET
A608703,DOG,OO,BLACK,TOY,PEKINGESE,2017-01-24 00:00:00,SHELTER,523538.0,L16-004446,LIC ALTERED,VET
A585179,CAT,B,GRAY,SHORTHAIR,DOMESTIC SH,2016-03-12 00:00:00,SHELTER,500132.0,,,
A582111,DOG,B,BLACK,TERRIER,PATTERDALE TERR,2016-01-30 00:00:00,SHELTER,497068.0,L16-005845,LIC ALTERED,ADOPT
A534517,DOG,W,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2014-08-18 00:00:00,SHELTER,449360.0,L15-17625,LIC ALTERED,VET
A565139,CAT,OO,UNKNOWN,SHORTHAIR,AMER SH,2015-07-07 00:00:00,WEB,480070.0,,,
A609908,DOG,BR,BROWN,SHEPHERD,GERM SHEPHERD,2017-02-09 00:00:00,SHELTER,524743.0,L15-039441,LIC ALTERED,VET
A567501,CAT,OO,BLACK,SHORTHAIR,DOMESTIC SH,2015-08-04 00:00:00,SHELTER,482440.0,L17-048718,LIC 3Y,HLP SCAN
A570632,DOG,B,BLACK,TERRIER,TERRIER,2015-09-08 00:00:00,LOCKBOX,485576.0,U15-003946,RABIES CERT,HLP IMPORT
A553885,DOG,BR,TAN,SHEPHERD,GERM SHEPHERD,2015-03-16 00:00:00,SHELTER,468800.0,,,
A603904,DOG,OO,WHITE,TERRIER,WEST HIGHLAND,2016-11-08 00:00:00,SHELTER,518810.0,RAB9353775,RABIES CERT,VET
A603813,CAT,OO,TAN,SHORTHAIR,DOMESTIC SH,2016-11-08 00:00:00,SHELTER,518719.0,L16-022802,LIC ALTERED,MAIL
A565592,CAT,BR,BROWN,SHORTHAIR,AMER SH,2015-07-12 00:00:00,WEB,480523.0,,,
A587783,DOG,B,BLACK,TERRIER,RAT TERRIER,2016-04-20 00:00:00,SHELTER,502739.0,L17-042258,LIC ALTERED,HLP SCAN
A608132,DOG,W,WHITE,TOY,MALTESE,2017-01-16 00:00:00,SHELTER,522966.0,RAB0373735,RABIES CERT,VET
A571913,DOG,B,BLACK,SHEPHERD,GERM SHEPHERD,2015-09-23 00:00:00,LOCKBOX,486856.0,L17-009953,LIC UNALTERED,COUNTER
A631884,DOG,OO,WHITE,TOY,PEKINGESE,2017-12-06 00:00:00,LICENSE,546507.0,L17-005633,LIC ALTERED,VET
A524173,DOG,BR,FAWN,MASTIFF,BOXER,2014-04-21 00:00:00,LICENSE,438968.0,L16-040438,LIC ALTERED,HLP WEB
A632560,DOG,B,BLACK,TOY,SHIH TZU,2017-12-18 00:00:00,LOCKBOX,547189.0,U17-009726,RABIES CERT,HLP SCAN
A348762,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2008-04-30 00:00:00,SHELTER,214241.0,L17-010903,LIC ALTERED,HLP SCAN
A550459,DOG,OO,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2015-01-13 00:00:00,SHELTER,465354.0,981020013365892981,MICROCHIP,HLP WEB
A630729,DOG,OO,TRICOLOR,HOUND,BEAGLE,2017-11-21 00:00:00,SHELTER,545362.0,895113001317554,MICROCHIP ADO,HOME AGAIN
A617893,CAT,OO,GRAY,SHORTHAIR,DOMESTIC SH,2017-05-24 00:00:00,SHELTER,532652.0,985113001043696,MICROCHIP ADO,HOME AGAIN
A214293,DOG,OO,CHOCOLATE,SETTER/RETRIEVE,LABRADOR RETR,2017-11-06 00:00:00,LOCKBOX,120615.0,L16-030904,LIC SR,VET
