Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,18.01.2019,16.02.2019,GPC01190000001,12.00
Stockport MBC,Corporate and Support Services,Central Services to the public,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,11.01.2019,16.02.2019,GPC01190000002,172.00
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.01.2019,16.02.2019,GPC01190000003,88.50
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 4CDTSJ2UU2,Publicity and Promotion,Facilities & Management Services  ,31.01.2019,16.02.2019,GPC01190000004,171.40
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  NJ8XCKELG2,Publicity and Promotion,Facilities & Management Services  ,31.01.2019,16.02.2019,GPC01190000005,228.94
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  HUYFYJNLG2,Publicity and Promotion,Facilities & Management Services  ,17.01.2019,16.02.2019,GPC01190000006,600.00
Stockport MBC,Corporate and Support Services,Central Support Costs,GRAMMARLY COKE02-B2MV,Publicity and Promotion,Facilities & Management Services  ,16.01.2019,16.02.2019,GPC01190000007,112.32
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,31.01.2019,16.02.2019,GPC01190000008,19.18
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,29.01.2019,16.02.2019,GPC01190000009,8.40
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.01.2019,16.02.2019,GPC01190000010,20.51
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.01.2019,16.02.2019,GPC01190000011,3.93
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,23.01.2019,16.02.2019,GPC01190000012,20.82
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,22.01.2019,16.02.2019,GPC01190000013,12.85
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,21.01.2019,16.02.2019,GPC01190000014,12.97
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.01.2019,16.02.2019,GPC01190000015,15.52
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.01.2019,16.02.2019,GPC01190000016,11.54
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.01.2019,16.02.2019,GPC01190000017,15.54
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.01.2019,16.02.2019,GPC01190000018,19.62
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.01.2019,16.02.2019,GPC01190000019,17.77
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.01.2019,16.02.2019,GPC01190000020,10.97
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.01.2019,16.02.2019,GPC01190000021,11.30
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.01.2019,16.02.2019,GPC01190000022,27.06
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.01.2019,16.02.2019,GPC01190000023,46.43
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,31.01.2019,16.02.2019,GPC01190000024,355.20
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,21.01.2019,16.02.2019,GPC01190000025,-30.20
