Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
07/08/1997 10:00,120101,1,60,2,West Bound,2,South,218,0,,6,0,
07/08/1997 11:00,120101,1,60,1,East Bound,2,South,168,0,,6,0,
07/08/1997 11:00,120101,1,60,2,West Bound,2,South,224,0,,6,0,
07/08/1997 12:00,120101,1,60,1,East Bound,2,South,184,0,,6,0,
07/08/1997 12:00,120101,1,60,2,West Bound,2,South,221,0,,6,0,
07/08/1997 13:00,120101,1,60,1,East Bound,2,South,208,0,,6,0,
07/08/1997 13:00,120101,1,60,2,West Bound,2,South,226,0,,6,0,
07/08/1997 14:00,120101,1,60,1,East Bound,2,South,226,0,,6,0,
07/08/1997 14:00,120101,1,60,2,West Bound,2,South,216,0,,6,0,
07/08/1997 15:00,120101,1,60,1,East Bound,2,South,210,0,,6,0,
07/08/1997 15:00,120101,1,60,2,West Bound,2,South,229,0,,6,0,
07/08/1997 16:00,120101,1,60,1,East Bound,2,South,207,0,,6,0,
07/08/1997 16:00,120101,1,60,2,West Bound,2,South,239,0,,6,0,
07/08/1997 17:00,120101,1,60,1,East Bound,2,South,313,0,,6,0,
07/08/1997 17:00,120101,1,60,2,West Bound,2,South,230,0,,6,0,
07/08/1997 18:00,120101,1,60,1,East Bound,2,South,221,0,,6,0,
07/08/1997 18:00,120101,1,60,2,West Bound,2,South,212,0,,6,0,
07/08/1997 19:00,120101,1,60,1,East Bound,2,South,157,0,,6,0,
07/08/1997 19:00,120101,1,60,2,West Bound,2,South,150,0,,6,0,
07/08/1997 20:00,120101,1,60,1,East Bound,2,South,146,0,,6,0,
07/08/1997 20:00,120101,1,60,2,West Bound,2,South,131,0,,6,0,
07/08/1997 21:00,120101,1,60,1,East Bound,2,South,88,0,,6,0,
07/08/1997 21:00,120101,1,60,2,West Bound,2,South,88,0,,6,0,
07/08/1997 22:00,120101,1,60,1,East Bound,2,South,53,0,,6,0,
07/08/1997 22:00,120101,1,60,2,West Bound,2,South,62,0,,6,0,
07/08/1997 23:00,120101,1,60,1,East Bound,2,South,50,0,,6,0,
07/08/1997 23:00,120101,1,60,2,West Bound,2,South,27,0,,6,0,
08/08/1997 00:00,120101,1,60,1,East Bound,2,South,15,0,,6,0,
08/08/1997 00:00,120101,1,60,2,West Bound,2,South,15,0,,6,0,
08/08/1997 01:00,120101,1,60,1,East Bound,2,South,9,0,,6,0,
08/08/1997 01:00,120101,1,60,2,West Bound,2,South,9,0,,6,0,
08/08/1997 02:00,120101,1,60,1,East Bound,2,South,4,0,,6,0,
08/08/1997 02:00,120101,1,60,2,West Bound,2,South,6,0,,6,0,
08/08/1997 03:00,120101,1,60,1,East Bound,2,South,5,0,,6,0,
08/08/1997 03:00,120101,1,60,2,West Bound,2,South,2,0,,6,0,
08/08/1997 04:00,120101,1,60,1,East Bound,2,South,8,0,,6,0,
08/08/1997 04:00,120101,1,60,2,West Bound,2,South,6,0,,6,0,
08/08/1997 05:00,120101,1,60,1,East Bound,2,South,18,0,,6,0,
08/08/1997 05:00,120101,1,60,2,West Bound,2,South,28,0,,6,0,
08/08/1997 06:00,120101,1,60,1,East Bound,2,South,52,0,,6,0,
08/08/1997 06:00,120101,1,60,2,West Bound,2,South,58,0,,6,0,
08/08/1997 07:00,120101,1,60,1,East Bound,2,South,147,0,,6,0,
08/08/1997 07:00,120101,1,60,2,West Bound,2,South,204,0,,6,0,
08/08/1997 08:00,120101,1,60,1,East Bound,2,South,148,0,,6,0,
08/08/1997 08:00,120101,1,60,2,West Bound,2,South,220,0,,6,0,
08/08/1997 09:00,120101,1,60,1,East Bound,2,South,161,0,,6,0,
08/08/1997 09:00,120101,1,60,2,West Bound,2,South,196,0,,6,0,
08/08/1997 10:00,120101,1,60,1,East Bound,2,South,164,0,,6,0,
08/08/1997 10:00,120101,1,60,2,West Bound,2,South,233,0,,6,0,
08/08/1997 11:00,120101,1,60,1,East Bound,2,South,209,0,,6,0,
