Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
23/07/1999 07:00,70301,1,60,1,Northbound,1,NorthEast,62,0,,1,0,
23/07/1999 07:00,70301,1,60,2,Southbound,2,SouthWest,56,0,,1,0,
23/07/1999 08:00,70301,1,60,1,Northbound,1,NorthEast,87,0,,1,0,
23/07/1999 08:00,70301,1,60,2,Southbound,2,SouthWest,62,0,,1,0,
23/07/1999 09:00,70301,1,60,1,Northbound,1,NorthEast,71,0,,1,0,
23/07/1999 09:00,70301,1,60,2,Southbound,2,SouthWest,47,0,,1,0,
23/07/1999 10:00,70301,1,60,1,Northbound,1,NorthEast,56,0,,1,0,
23/07/1999 10:00,70301,1,60,2,Southbound,2,SouthWest,51,0,,1,0,
23/07/1999 11:00,70301,1,60,1,Northbound,1,NorthEast,101,0,,1,0,
23/07/1999 11:00,70301,1,60,2,Southbound,2,SouthWest,74,0,,1,0,
23/07/1999 12:00,70301,1,60,1,Northbound,1,NorthEast,76,0,,1,0,
23/07/1999 12:00,70301,1,60,2,Southbound,2,SouthWest,37,0,,1,0,
23/07/1999 13:00,70301,1,60,1,Northbound,1,NorthEast,78,0,,1,0,
23/07/1999 13:00,70301,1,60,2,Southbound,2,SouthWest,83,0,,1,0,
23/07/1999 14:00,70301,1,60,1,Northbound,1,NorthEast,85,0,,1,0,
23/07/1999 14:00,70301,1,60,2,Southbound,2,SouthWest,100,0,,1,0,
23/07/1999 15:00,70301,1,60,1,Northbound,1,NorthEast,74,0,,1,0,
23/07/1999 15:00,70301,1,60,2,Southbound,2,SouthWest,109,0,,1,0,
23/07/1999 16:00,70301,1,60,1,Northbound,1,NorthEast,87,0,,1,0,
23/07/1999 16:00,70301,1,60,2,Southbound,2,SouthWest,115,0,,1,0,
23/07/1999 17:00,70301,1,60,1,Northbound,1,NorthEast,76,0,,1,0,
23/07/1999 17:00,70301,1,60,2,Southbound,2,SouthWest,115,0,,1,0,
23/07/1999 18:00,70301,1,60,1,Northbound,1,NorthEast,63,0,,1,0,
23/07/1999 18:00,70301,1,60,2,Southbound,2,SouthWest,89,0,,1,0,
23/07/1999 19:00,70301,1,60,1,Northbound,1,NorthEast,57,0,,1,0,
23/07/1999 19:00,70301,1,60,2,Southbound,2,SouthWest,73,0,,1,0,
23/07/1999 20:00,70301,1,60,1,Northbound,1,NorthEast,55,0,,1,0,
23/07/1999 20:00,70301,1,60,2,Southbound,2,SouthWest,53,0,,1,0,
23/07/1999 21:00,70301,1,60,1,Northbound,1,NorthEast,24,0,,1,0,
23/07/1999 21:00,70301,1,60,2,Southbound,2,SouthWest,26,0,,1,0,
23/07/1999 22:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
23/07/1999 22:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
23/07/1999 23:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
23/07/1999 23:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 00:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 00:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 01:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 01:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 02:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 02:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 03:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 03:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 04:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 04:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 05:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 05:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 06:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 06:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 07:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 07:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 08:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 08:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 09:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 09:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
24/07/1999 10:00,70301,1,60,1,Northbound,1,NorthEast,0,0,,1,0,
24/07/1999 10:00,70301,1,60,2,Southbound,2,SouthWest,0,0,,1,0,
