ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
homeland,126,1.1,7.94%,65.22%,140.15,2.87
blade runner,80,1.45,3.75%,36.21%,153.6,5.63
elle,79,1.25,0.00%,36.36%,155.97,6.91
elena ferrante,71,1.34,0.00%,45.26%,281.37,8.49
it,69,1.33,1.45%,77.17%,206.48,7.03
harry potter,68,1.43,5.88%,47.42%,573.69,11.29
twin peaks,66,1.58,3.03%,43.27%,252.85,8.74
call me by your name,63,1.7,3.17%,39.25%,227.43,5.41
coco,56,1.2,10.71%,61.19%,105.04,3.05
Homeland,56,1.18,19.64%,53.03%,115.59,3.55
game of thrones,54,1.33,0.00%,29.17%,222.93,6.59
thor,54,1.11,0.00%,68.33%,215.41,5.26
le plongeur,51,1.33,0.00%,39.71%,246.02,6.06
la femme qui fuit,49,2.06,6.12%,39.60%,280.0,8.04
shameless,49,1.24,14.29%,49.18%,272.29,6.24
yoga,49,1.49,0.00%,53.42%,451.02,13.04
sza,48,1.06,0.00%,90.20%,51.02,2.0
black panther,47,1.79,8.51%,45.24%,231.02,5.66
eSport,46,1.48,0.00%,7.35%,344.7,5.59
marilou addison,46,2.15,0.00%,49.49%,300.57,15.15
moses sumney,46,1.07,2.17%,93.88%,21.83,1.15
sapiens,46,1.63,0.00%,34.67%,158.37,5.74
wonder woman,46,1.7,2.17%,41.03%,284.0,8.83
big little lies,45,1.47,2.22%,27.27%,234.29,6.76
criterion,42,1.4,4.76%,33.90%,218.1,8.57
the americans,42,1.05,2.38%,77.27%,274.07,7.45
Figaro magazine,41,1.29,0.00%,30.19%,31.63,2.32
madame figaro,41,1.02,0.00%,33.33%,68.95,3.44
Madame figaro,41,1.39,0.00%,35.09%,79.93,2.22
fargo,40,1.2,2.50%,64.58%,179.88,6.2
kelela take,40,1.05,0.00%,92.86%,15.85,0.1
stephen king,40,1.2,0.00%,64.58%,227.9,7.98
house of cards,39,1.38,0.00%,50.00%,289.51,8.54
james patterson,38,1.16,2.63%,68.18%,242.95,9.39
kevin morby,37,1.0,0.00%,97.30%,71.46,1.68
wonder,37,1.24,2.70%,54.35%,175.62,5.73
dunkirk,36,1.42,2.78%,45.10%,191.97,4.83
marie mille dessureault,36,1.44,2.78%,59.62%,137.03,4.19
alex rocket,35,1.0,0.00%,97.14%,33.57,1.29
get out,35,1.29,0.00%,48.89%,201.31,6.06
justin timberlake,35,1.11,11.43%,48.72%,169.63,2.71
laurel halo,35,1.03,0.00%,94.44%,30.0,2.06
lisa gardner,35,1.37,2.86%,43.75%,353.17,8.57
ray donovan,35,1.06,5.71%,54.05%,148.83,3.83
timberlake woods,35,1.03,5.71%,86.11%,138.17,1.89
blade runner 2049,34,1.32,0.00%,53.33%,156.32,5.85
leonard cohen,34,1.32,0.00%,48.89%,216.62,11.15
lion,34,1.21,2.94%,65.85%,191.12,6.18
pierre lemaitre,34,1.44,5.88%,34.69%,269.68,6.0
ty segall,34,1.03,0.00%,97.14%,43.06,1.12
aromanticism,33,1.0,0.00%,96.97%,69.18,0.21
destroyer ken,33,1.03,0.00%,97.06%,63.85,1.03
dvsn,33,1.0,0.00%,100.00%,17.7,1.03
