Key-Clé,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnéeFinancière
299404,"Crawford, John Douglas",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEPA,"York University (Toronto, Ontario)",Ontario,Ontario,Canada,Canada,200203
473310,"Prud'Homme, Denis",CO,Co-Investigator,Co-chercheur,CGBA,Université de Moncton (New Brunswick),New Brunswick,Nouveau-Brunswick,Canada,Canada,200203
473310,"Marette, André",CO,Co-Investigator,Co-chercheur,CFBA,Université Laval,Québec,Québec,Canada,Canada,200203
473310,"Deshaies, Yves",CO,Co-Investigator,Co-chercheur,CFBA,Université Laval,Québec,Québec,Canada,Canada,200203
473310,"Mauriege, Pascale",CO,Co-Investigator,Co-chercheur,CFBA,Université Laval,Québec,Québec,Canada,Canada,200203
473310,"Després, Jean-Pierre",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFBA,Université Laval,Québec,Québec,Canada,Canada,200203
473310,"Bergeron, Jean",CO,Co-Investigator,Co-chercheur,AEHD,Centre Hospitalier Universitaire de Québec,Québec,Québec,Canada,Canada,200203
473310,"Bergeron, Nathalie N",CO,Co-Investigator,Co-chercheur,CFBA,Université Laval,Québec,Québec,Canada,Canada,200203
989267,"Miller, Freda D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200203
121583,"Arsenault, Larry A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200203
196120,"Becker, Laurence E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200203
930181,"Kunimoto, Dennis Y",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Mosmann, Timothy R",CO,Co-Investigator,Co-chercheur,SGBA,University of Rochester (New York),New York,New York,United States,États-Unis,200203
930181,"Pabst, Henry F",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Paterson, Alan R",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Mcgann, Locksley E",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Boshkov, Lynn K",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Cass, Carol E",CO,Co-Investigator,Co-chercheur,CBAX,Alberta Cancer Board (Calgary),Alberta,Alberta,Canada,Canada,200203
930181,"Pazderka, Feldzgeritta",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Rabinovitch, Alexander",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Shaw, Andrew R",CO,Co-Investigator,Co-chercheur,CBAB,Cross Cancer Institute (Edmonton),Alberta,Alberta,Canada,Canada,200203
930181,"Wegmann, Thomas G",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Guilbert, Larry J",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Singh, Bhagirath",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200203
930181,"Gati, Wendy P",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Lien, Dale C",CO,Co-Investigator,Co-chercheur,CBAC,Alberta Health Services,Alberta,Alberta,Canada,Canada,200203
930181,"Allalunis-Turner, M. Joan",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Cass, David D",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
930181,"Yacyshyn, Bruce R",CO,Co-Investigator,Co-chercheur,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
871876,"Olafson, Robert W",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,VANI,Vancouver Island Technology Park,British Columbia,Colombie-Britannique,Canada,Canada,200203
281968,"Adams, Michael A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEDA,"Queen's University (Kingston, Ontario)",Ontario,Ontario,Canada,Canada,200203
468162,"Allen, Theresa M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200203
443401,"Backx, Peter H",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEPA,"York University (Toronto, Ontario)",Ontario,Ontario,Canada,Canada,200203
805552,"Beaudet, Alain",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CIHR,"Canadian Institutes of Health Research (Ottawa, Ontario)/Instituts de recherche en santé du Canada (Ottawa, Ontario)",Ontario,Ontario,Canada,Canada,200203
803448,"Beaulieu, Jean-François",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFDA,Université de Sherbrooke,Québec,Québec,Canada,Canada,200203
136659,"Benchimol, Samuel",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEPA,"York University (Toronto, Ontario)",Ontario,Ontario,Canada,Canada,200203
529585,"Borgeat, Pierre",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200203
529585,"Naccache, Paul H",CO,Co-Investigator,Co-chercheur,CFBA,Université Laval,Québec,Québec,Canada,Canada,200203
147531,"Candido, Edward P",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200203
427598,"Chaconas, George",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBBA,University of Calgary,Alberta,Alberta,Canada,Canada,200203
952555,"Corcoran, Michael E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200203
187707,"Cullis, Pieter R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200203
325608,"Delespesse, Guy J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCD,Hôpital Notre-Dame (Montréal),Québec,Québec,Canada,Canada,200203
129769,"Dick, John E",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAE,Princess Margaret Cancer Centre (Toronto),Ontario,Ontario,Canada,Canada,200203
593493,"Doolittle, W. F",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CHAA,Dalhousie University (Nova Scotia),Nova Scotia,Nouvelle-Écosse,Canada,Canada,200203
677776,"Escher, Emanuel",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFDA,Université de Sherbrooke,Québec,Québec,Canada,Canada,200203
349340,"Ferrier, Gregory R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CHAA,Dalhousie University (Nova Scotia),Nova Scotia,Nouvelle-Écosse,Canada,Canada,200203
889549,"Floras, John S",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAD,Sinai Health System (Toronto),Ontario,Ontario,Canada,Canada,200203
288648,"Gauldie, Jack",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200203
652960,"Goltzman, David",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200203
328168,"Graham, Frank L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200203
700032,"Hamet, Pavel",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200203
700032,"Deblois, Denis",CO,Co-Investigator,Co-chercheur,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200203
700032,"Orlov, Sergei N",CO,Co-Investigator,Co-chercheur,CFCA,Université de Montréal,Québec,Québec,Canada,Canada,200203
