ï»¿Title,"All staff (excluding atypical) by age group, disability status, ethnicity, nationality, sex, academic contract marker and activity standard occupational classification",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ethnicity,Mixed,Northern Ireland,Non-academic contract,Administrative and secretarial occupations,5
Ethnicity,Mixed,Northern Ireland,Non-academic contract,Skilled trades occupations,0
Ethnicity,Mixed,Northern Ireland,Non-academic contract,"Caring, leisure and other service occupations",0
Ethnicity,Mixed,Northern Ireland,Non-academic contract,Sales and customer service occupations,0
Ethnicity,Mixed,Northern Ireland,Non-academic contract,"Process, plant and machine operatives",0
Ethnicity,Mixed,Northern Ireland,Non-academic contract,Elementary occupations,0
Ethnicity,Mixed,Northern Ireland,Non-academic contract,Total non-academic staff,10
Ethnicity,Mixed,Scotland,Academic contract,"Managers, directors and senior officials",0
Ethnicity,Mixed,Scotland,Academic contract,Professional occupations,395
Ethnicity,Mixed,Scotland,Academic contract,Associate professional and technical occupations,0
Ethnicity,Mixed,Scotland,Academic contract,Clerical and manual occupations,0
Ethnicity,Mixed,Scotland,Academic contract,Total academic staff,395
Ethnicity,Mixed,Scotland,Non-academic contract,"Managers, directors and senior officials ",5
Ethnicity,Mixed,Scotland,Non-academic contract,Professional occupations ,50
Ethnicity,Mixed,Scotland,Non-academic contract,Associate professional and technical occupations ,60
Ethnicity,Mixed,Scotland,Non-academic contract,Administrative and secretarial occupations,75
Ethnicity,Mixed,Scotland,Non-academic contract,Skilled trades occupations,5
Ethnicity,Mixed,Scotland,Non-academic contract,"Caring, leisure and other service occupations",10
Ethnicity,Mixed,Scotland,Non-academic contract,Sales and customer service occupations,0
Ethnicity,Mixed,Scotland,Non-academic contract,"Process, plant and machine operatives",0
Ethnicity,Mixed,Scotland,Non-academic contract,Elementary occupations,35
Ethnicity,Mixed,Scotland,Non-academic contract,Total non-academic staff,240
Ethnicity,Mixed,Wales,Academic contract,"Managers, directors and senior officials",0
Ethnicity,Mixed,Wales,Academic contract,Professional occupations,120
Ethnicity,Mixed,Wales,Academic contract,Associate professional and technical occupations,0
Ethnicity,Mixed,Wales,Academic contract,Clerical and manual occupations,0
Ethnicity,Mixed,Wales,Academic contract,Total academic staff,120
Ethnicity,Mixed,Wales,Non-academic contract,"Managers, directors and senior officials ",5
Ethnicity,Mixed,Wales,Non-academic contract,Professional occupations ,25
Ethnicity,Mixed,Wales,Non-academic contract,Associate professional and technical occupations ,15
Ethnicity,Mixed,Wales,Non-academic contract,Administrative and secretarial occupations,30
Ethnicity,Mixed,Wales,Non-academic contract,Skilled trades occupations,5
Ethnicity,Mixed,Wales,Non-academic contract,"Caring, leisure and other service occupations",0
Ethnicity,Mixed,Wales,Non-academic contract,Sales and customer service occupations,0
Ethnicity,Mixed,Wales,Non-academic contract,"Process, plant and machine operatives",0
Ethnicity,Mixed,Wales,Non-academic contract,Elementary occupations,15
Ethnicity,Mixed,Wales,Non-academic contract,Total non-academic staff,95
Ethnicity,Mixed,All,Academic contract,"Managers, directors and senior officials",5
Ethnicity,Mixed,All,Academic contract,Professional occupations,4450
Ethnicity,Mixed,All,Academic contract,Associate professional and technical occupations,30
Ethnicity,Mixed,All,Academic contract,Clerical and manual occupations,0
Ethnicity,Mixed,All,Academic contract,Total academic staff,4485
Ethnicity,Mixed,All,Non-academic contract,"Managers, directors and senior officials ",165
Ethnicity,Mixed,All,Non-academic contract,Professional occupations ,855
Ethnicity,Mixed,All,Non-academic contract,Associate professional and technical occupations ,1055
Ethnicity,Mixed,All,Non-academic contract,Administrative and secretarial occupations,1420
Ethnicity,Mixed,All,Non-academic contract,Skilled trades occupations,85
Ethnicity,Mixed,All,Non-academic contract,"Caring, leisure and other service occupations",155
Ethnicity,Mixed,All,Non-academic contract,Sales and customer service occupations,60
Ethnicity,Mixed,All,Non-academic contract,"Process, plant and machine operatives",10
Ethnicity,Mixed,All,Non-academic contract,Elementary occupations,460
Ethnicity,Mixed,All,Non-academic contract,Total non-academic staff,4265
Ethnicity,Other,England,Academic contract,"Managers, directors and senior officials",5
Ethnicity,Other,England,Academic contract,Professional occupations,3695
Ethnicity,Other,England,Academic contract,Associate professional and technical occupations,10
Ethnicity,Other,England,Academic contract,Clerical and manual occupations,0
Ethnicity,Other,England,Academic contract,Total academic staff,3710
Ethnicity,Other,England,Non-academic contract,"Managers, directors and senior officials ",45
Ethnicity,Other,England,Non-academic contract,Professional occupations ,335
Ethnicity,Other,England,Non-academic contract,Associate professional and technical occupations ,355
Ethnicity,Other,England,Non-academic contract,Administrative and secretarial occupations,405
Ethnicity,Other,England,Non-academic contract,Skilled trades occupations,40
Ethnicity,Other,England,Non-academic contract,"Caring, leisure and other service occupations",60
Ethnicity,Other,England,Non-academic contract,Sales and customer service occupations,20
Ethnicity,Other,England,Non-academic contract,"Process, plant and machine operatives",5
Ethnicity,Other,England,Non-academic contract,Elementary occupations,245
Ethnicity,Other,England,Non-academic contract,Total non-academic staff,1510
Ethnicity,Other,Northern Ireland,Academic contract,"Managers, directors and senior officials",0
Ethnicity,Other,Northern Ireland,Academic contract,Professional occupations,20
Ethnicity,Other,Northern Ireland,Academic contract,Associate professional and technical occupations,0
Ethnicity,Other,Northern Ireland,Academic contract,Clerical and manual occupations,0
Ethnicity,Other,Northern Ireland,Academic contract,Total academic staff,20
Ethnicity,Other,Northern Ireland,Non-academic contract,"Managers, directors and senior officials ",0
Ethnicity,Other,Northern Ireland,Non-academic contract,Professional occupations ,0
Ethnicity,Other,Northern Ireland,Non-academic contract,Associate professional and technical occupations ,0
Ethnicity,Other,Northern Ireland,Non-academic contract,Administrative and secretarial occupations,5
Ethnicity,Other,Northern Ireland,Non-academic contract,Skilled trades occupations,0
Ethnicity,Other,Northern Ireland,Non-academic contract,"Caring, leisure and other service occupations",0
Ethnicity,Other,Northern Ireland,Non-academic contract,Sales and customer service occupations,0
Ethnicity,Other,Northern Ireland,Non-academic contract,"Process, plant and machine operatives",0
Ethnicity,Other,Northern Ireland,Non-academic contract,Elementary occupations,0
Ethnicity,Other,Northern Ireland,Non-academic contract,Total non-academic staff,10
Ethnicity,Other,Scotland,Academic contract,"Managers, directors and senior officials",0
Ethnicity,Other,Scotland,Academic contract,Professional occupations,535
Ethnicity,Other,Scotland,Academic contract,Associate professional and technical occupations,0
Ethnicity,Other,Scotland,Academic contract,Clerical and manual occupations,0
Ethnicity,Other,Scotland,Academic contract,Total academic staff,535
Ethnicity,Other,Scotland,Non-academic contract,"Managers, directors and senior officials ",5
Ethnicity,Other,Scotland,Non-academic contract,Professional occupations ,30
Ethnicity,Other,Scotland,Non-academic contract,Associate professional and technical occupations ,40
Ethnicity,Other,Scotland,Non-academic contract,Administrative and secretarial occupations,70
Ethnicity,Other,Scotland,Non-academic contract,Skilled trades occupations,5
Ethnicity,Other,Scotland,Non-academic contract,"Caring, leisure and other service occupations",5
Ethnicity,Other,Scotland,Non-academic contract,Sales and customer service occupations,0
Ethnicity,Other,Scotland,Non-academic contract,"Process, plant and machine operatives",0
Ethnicity,Other,Scotland,Non-academic contract,Elementary occupations,55
Ethnicity,Other,Scotland,Non-academic contract,Total non-academic staff,210
Ethnicity,Other,Wales,Academic contract,"Managers, directors and senior officials",0
Ethnicity,Other,Wales,Academic contract,Professional occupations,245
Ethnicity,Other,Wales,Academic contract,Associate professional and technical occupations,0
Ethnicity,Other,Wales,Academic contract,Clerical and manual occupations,0
Ethnicity,Other,Wales,Academic contract,Total academic staff,250
Ethnicity,Other,Wales,Non-academic contract,"Managers, directors and senior officials ",5
Ethnicity,Other,Wales,Non-academic contract,Professional occupations ,30
Ethnicity,Other,Wales,Non-academic contract,Associate professional and technical occupations ,15
Ethnicity,Other,Wales,Non-academic contract,Administrative and secretarial occupations,25
Ethnicity,Other,Wales,Non-academic contract,Skilled trades occupations,0
Ethnicity,Other,Wales,Non-academic contract,"Caring, leisure and other service occupations",0
Ethnicity,Other,Wales,Non-academic contract,Sales and customer service occupations,0
Ethnicity,Other,Wales,Non-academic contract,"Process, plant and machine operatives",0
Ethnicity,Other,Wales,Non-academic contract,Elementary occupations,15
Ethnicity,Other,Wales,Non-academic contract,Total non-academic staff,90
Ethnicity,Other,All,Academic contract,"Managers, directors and senior officials",5
Ethnicity,Other,All,Academic contract,Professional occupations,4495
Ethnicity,Other,All,Academic contract,Associate professional and technical occupations,15
Ethnicity,Other,All,Academic contract,Clerical and manual occupations,0
Ethnicity,Other,All,Academic contract,Total academic staff,4515
Ethnicity,Other,All,Non-academic contract,"Managers, directors and senior officials ",50
Ethnicity,Other,All,Non-academic contract,Professional occupations ,395
Ethnicity,Other,All,Non-academic contract,Associate professional and technical occupations ,420
Ethnicity,Other,All,Non-academic contract,Administrative and secretarial occupations,500
Ethnicity,Other,All,Non-academic contract,Skilled trades occupations,45
Ethnicity,Other,All,Non-academic contract,"Caring, leisure and other service occupations",65
Ethnicity,Other,All,Non-academic contract,Sales and customer service occupations,25
Ethnicity,Other,All,Non-academic contract,"Process, plant and machine operatives",5
Ethnicity,Other,All,Non-academic contract,Elementary occupations,315
Ethnicity,Other,All,Non-academic contract,Total non-academic staff,1815
Ethnicity,Not known,England,Academic contract,"Managers, directors and senior officials",10
Ethnicity,Not known,England,Academic contract,Professional occupations,13470
Ethnicity,Not known,England,Academic contract,Associate professional and technical occupations,55
Ethnicity,Not known,England,Academic contract,Clerical and manual occupations,0
Ethnicity,Not known,England,Academic contract,Total academic staff,13535
Ethnicity,Not known,England,Non-academic contract,"Managers, directors and senior officials ",370
Ethnicity,Not known,England,Non-academic contract,Professional occupations ,1940
Ethnicity,Not known,England,Non-academic contract,Associate professional and technical occupations ,1920
Ethnicity,Not known,England,Non-academic contract,Administrative and secretarial occupations,2655
Ethnicity,Not known,England,Non-academic contract,Skilled trades occupations,285
Ethnicity,Not known,England,Non-academic contract,"Caring, leisure and other service occupations",310
Ethnicity,Not known,England,Non-academic contract,Sales and customer service occupations,115
Ethnicity,Not known,England,Non-academic contract,"Process, plant and machine operatives",145
Ethnicity,Not known,England,Non-academic contract,Elementary occupations,1150
Ethnicity,Not known,England,Non-academic contract,Total non-academic staff,8895
Ethnicity,Not known,Northern Ireland,Academic contract,"Managers, directors and senior officials",0
Ethnicity,Not known,Northern Ireland,Academic contract,Professional occupations,125
Ethnicity,Not known,Northern Ireland,Academic contract,Associate professional and technical occupations,0
Ethnicity,Not known,Northern Ireland,Academic contract,Clerical and manual occupations,0
Ethnicity,Not known,Northern Ireland,Academic contract,Total academic staff,125
Ethnicity,Not known,Northern Ireland,Non-academic contract,"Managers, directors and senior officials ",0
Ethnicity,Not known,Northern Ireland,Non-academic contract,Professional occupations ,15
Ethnicity,Not known,Northern Ireland,Non-academic contract,Associate professional and technical occupations ,15
Ethnicity,Not known,Northern Ireland,Non-academic contract,Administrative and secretarial occupations,15
Ethnicity,Not known,Northern Ireland,Non-academic contract,Skilled trades occupations,0
Ethnicity,Not known,Northern Ireland,Non-academic contract,"Caring, leisure and other service occupations",0
Ethnicity,Not known,Northern Ireland,Non-academic contract,Sales and customer service occupations,0
Ethnicity,Not known,Northern Ireland,Non-academic contract,"Process, plant and machine operatives",0
Ethnicity,Not known,Northern Ireland,Non-academic contract,Elementary occupations,10
Ethnicity,Not known,Northern Ireland,Non-academic contract,Total non-academic staff,60
Ethnicity,Not known,Scotland,Academic contract,"Managers, directors and senior officials",20
Ethnicity,Not known,Scotland,Academic contract,Professional occupations,3460
Ethnicity,Not known,Scotland,Academic contract,Associate professional and technical occupations,55
Ethnicity,Not known,Scotland,Academic contract,Clerical and manual occupations,0
Ethnicity,Not known,Scotland,Academic contract,Total academic staff,3540
Ethnicity,Not known,Scotland,Non-academic contract,"Managers, directors and senior officials ",150
Ethnicity,Not known,Scotland,Non-academic contract,Professional occupations ,340
Ethnicity,Not known,Scotland,Non-academic contract,Associate professional and technical occupations ,480
Ethnicity,Not known,Scotland,Non-academic contract,Administrative and secretarial occupations,790
Ethnicity,Not known,Scotland,Non-academic contract,Skilled trades occupations,180
Ethnicity,Not known,Scotland,Non-academic contract,"Caring, leisure and other service occupations",155
Ethnicity,Not known,Scotland,Non-academic contract,Sales and customer service occupations,25
Ethnicity,Not known,Scotland,Non-academic contract,"Process, plant and machine operatives",20
Ethnicity,Not known,Scotland,Non-academic contract,Elementary occupations,625
Ethnicity,Not known,Scotland,Non-academic contract,Total non-academic staff,2755
Ethnicity,Not known,Wales,Academic contract,"Managers, directors and senior officials",5
Ethnicity,Not known,Wales,Academic contract,Professional occupations,610
Ethnicity,Not known,Wales,Academic contract,Associate professional and technical occupations,5
Ethnicity,Not known,Wales,Academic contract,Clerical and manual occupations,0
Ethnicity,Not known,Wales,Academic contract,Total academic staff,620
Ethnicity,Not known,Wales,Non-academic contract,"Managers, directors and senior officials ",20
Ethnicity,Not known,Wales,Non-academic contract,Professional occupations ,80
Ethnicity,Not known,Wales,Non-academic contract,Associate professional and technical occupations ,55
Ethnicity,Not known,Wales,Non-academic contract,Administrative and secretarial occupations,105
Ethnicity,Not known,Wales,Non-academic contract,Skilled trades occupations,15
Ethnicity,Not known,Wales,Non-academic contract,"Caring, leisure and other service occupations",10
Ethnicity,Not known,Wales,Non-academic contract,Sales and customer service occupations,5
Ethnicity,Not known,Wales,Non-academic contract,"Process, plant and machine operatives",0
Ethnicity,Not known,Wales,Non-academic contract,Elementary occupations,20
Ethnicity,Not known,Wales,Non-academic contract,Total non-academic staff,315
Ethnicity,Not known,All,Academic contract,"Managers, directors and senior officials",35
Ethnicity,Not known,All,Academic contract,Professional occupations,17665
Ethnicity,Not known,All,Academic contract,Associate professional and technical occupations,115
Ethnicity,Not known,All,Academic contract,Clerical and manual occupations,0
Ethnicity,Not known,All,Academic contract,Total academic staff,17820
Ethnicity,Not known,All,Non-academic contract,"Managers, directors and senior officials ",540
Ethnicity,Not known,All,Non-academic contract,Professional occupations ,2375
Ethnicity,Not known,All,Non-academic contract,Associate professional and technical occupations ,2470
Ethnicity,Not known,All,Non-academic contract,Administrative and secretarial occupations,3565
Ethnicity,Not known,All,Non-academic contract,Skilled trades occupations,485
Ethnicity,Not known,All,Non-academic contract,"Caring, leisure and other service occupations",475
Ethnicity,Not known,All,Non-academic contract,Sales and customer service occupations,145
Ethnicity,Not known,All,Non-academic contract,"Process, plant and machine operatives",165
Ethnicity,Not known,All,Non-academic contract,Elementary occupations,1800
Ethnicity,Not known,All,Non-academic contract,Total non-academic staff,12025
Nationality,UK,England,Academic contract,"Managers, directors and senior officials",330
Nationality,UK,England,Academic contract,Professional occupations,121655
Nationality,UK,England,Academic contract,Associate professional and technical occupations,945
Nationality,UK,England,Academic contract,Clerical and manual occupations,0
Nationality,UK,England,Academic contract,Total academic staff,122935
Nationality,UK,England,Non-academic contract,"Managers, directors and senior officials ",9165
Nationality,UK,England,Non-academic contract,Professional occupations ,34575
Nationality,UK,England,Non-academic contract,Associate professional and technical occupations ,37740
Nationality,UK,England,Non-academic contract,Administrative and secretarial occupations,51860
Nationality,UK,England,Non-academic contract,Skilled trades occupations,4715
Nationality,UK,England,Non-academic contract,"Caring, leisure and other service occupations",5045
Nationality,UK,England,Non-academic contract,Sales and customer service occupations,1945
Nationality,UK,England,Non-academic contract,"Process, plant and machine operatives",1115
Nationality,UK,England,Non-academic contract,Elementary occupations,15725
Nationality,UK,England,Non-academic contract,Total non-academic staff,161880
Nationality,UK,Northern Ireland,Academic contract,"Managers, directors and senior officials",10
Nationality,UK,Northern Ireland,Academic contract,Professional occupations,1765
Nationality,UK,Northern Ireland,Academic contract,Associate professional and technical occupations,25
Nationality,UK,Northern Ireland,Academic contract,Clerical and manual occupations,0
Nationality,UK,Northern Ireland,Academic contract,Total academic staff,1800
Nationality,UK,Northern Ireland,Non-academic contract,"Managers, directors and senior officials ",155
Nationality,UK,Northern Ireland,Non-academic contract,Professional occupations ,620
Nationality,UK,Northern Ireland,Non-academic contract,Associate professional and technical occupations ,545
Nationality,UK,Northern Ireland,Non-academic contract,Administrative and secretarial occupations,1130
Nationality,UK,Northern Ireland,Non-academic contract,Skilled trades occupations,85
Nationality,UK,Northern Ireland,Non-academic contract,"Caring, leisure and other service occupations",95
Nationality,UK,Northern Ireland,Non-academic contract,Sales and customer service occupations,35
Nationality,UK,Northern Ireland,Non-academic contract,"Process, plant and machine operatives",5
Nationality,UK,Northern Ireland,Non-academic contract,Elementary occupations,205
Nationality,UK,Northern Ireland,Non-academic contract,Total non-academic staff,2880
Nationality,UK,Scotland,Academic contract,"Managers, directors and senior officials",45
Nationality,UK,Scotland,Academic contract,Professional occupations,14860
Nationality,UK,Scotland,Academic contract,Associate professional and technical occupations,225
Nationality,UK,Scotland,Academic contract,Clerical and manual occupations,0
Nationality,UK,Scotland,Academic contract,Total academic staff,15130
Nationality,UK,Scotland,Non-academic contract,"Managers, directors and senior officials ",840
Nationality,UK,Scotland,Non-academic contract,Professional occupations ,4175
Nationality,UK,Scotland,Non-academic contract,Associate professional and technical occupations ,5135
Nationality,UK,Scotland,Non-academic contract,Administrative and secretarial occupations,7520
Nationality,UK,Scotland,Non-academic contract,Skilled trades occupations,870
Nationality,UK,Scotland,Non-academic contract,"Caring, leisure and other service occupations",975
Nationality,UK,Scotland,Non-academic contract,Sales and customer service occupations,115
Nationality,UK,Scotland,Non-academic contract,"Process, plant and machine operatives",120
Nationality,UK,Scotland,Non-academic contract,Elementary occupations,3115
Nationality,UK,Scotland,Non-academic contract,Total non-academic staff,22870
Nationality,UK,Wales,Academic contract,"Managers, directors and senior officials",95
Nationality,UK,Wales,Academic contract,Professional occupations,7950
Nationality,UK,Wales,Academic contract,Associate professional and technical occupations,65
Nationality,UK,Wales,Academic contract,Clerical and manual occupations,0
Nationality,UK,Wales,Academic contract,Total academic staff,8105
Nationality,UK,Wales,Non-academic contract,"Managers, directors and senior officials ",920
Nationality,UK,Wales,Non-academic contract,Professional occupations ,2110
Nationality,UK,Wales,Non-academic contract,Associate professional and technical occupations ,1720
Nationality,UK,Wales,Non-academic contract,Administrative and secretarial occupations,3615
Nationality,UK,Wales,Non-academic contract,Skilled trades occupations,445
Nationality,UK,Wales,Non-academic contract,"Caring, leisure and other service occupations",245
Nationality,UK,Wales,Non-academic contract,Sales and customer service occupations,90
Nationality,UK,Wales,Non-academic contract,"Process, plant and machine operatives",35
Nationality,UK,Wales,Non-academic contract,Elementary occupations,830
Nationality,UK,Wales,Non-academic contract,Total non-academic staff,10005
Nationality,UK,All,Academic contract,"Managers, directors and senior officials",475
Nationality,UK,All,Academic contract,Professional occupations,146230
Nationality,UK,All,Academic contract,Associate professional and technical occupations,1260
Nationality,UK,All,Academic contract,Clerical and manual occupations,5
Nationality,UK,All,Academic contract,Total academic staff,147970
Nationality,UK,All,Non-academic contract,"Managers, directors and senior officials ",11080
Nationality,UK,All,Non-academic contract,Professional occupations ,41480
Nationality,UK,All,Non-academic contract,Associate professional and technical occupations ,45135
Nationality,UK,All,Non-academic contract,Administrative and secretarial occupations,64130
Nationality,UK,All,Non-academic contract,Skilled trades occupations,6110
Nationality,UK,All,Non-academic contract,"Caring, leisure and other service occupations",6360
Nationality,UK,All,Non-academic contract,Sales and customer service occupations,2185
Nationality,UK,All,Non-academic contract,"Process, plant and machine operatives",1275
Nationality,UK,All,Non-academic contract,Elementary occupations,19880
Nationality,UK,All,Non-academic contract,Total non-academic staff,197630
Nationality,Other European Union,England,Academic contract,"Managers, directors and senior officials",20
Nationality,Other European Union,England,Academic contract,Professional occupations,30940
Nationality,Other European Union,England,Academic contract,Associate professional and technical occupations,85
Nationality,Other European Union,England,Academic contract,Clerical and manual occupations,0
Nationality,Other European Union,England,Academic contract,Total academic staff,31045
Nationality,Other European Union,England,Non-academic contract,"Managers, directors and senior officials ",370
Nationality,Other European Union,England,Non-academic contract,Professional occupations ,2755
Nationality,Other European Union,England,Non-academic contract,Associate professional and technical occupations ,2650
Nationality,Other European Union,England,Non-academic contract,Administrative and secretarial occupations,3580
Nationality,Other European Union,England,Non-academic contract,Skilled trades occupations,340
Nationality,Other European Union,England,Non-academic contract,"Caring, leisure and other service occupations",405
Nationality,Other European Union,England,Non-academic contract,Sales and customer service occupations,155
Nationality,Other European Union,England,Non-academic contract,"Process, plant and machine operatives",95
Nationality,Other European Union,England,Non-academic contract,Elementary occupations,1975
Nationality,Other European Union,England,Non-academic contract,Total non-academic staff,12325
Nationality,Other European Union,Northern Ireland,Academic contract,"Managers, directors and senior officials",5
Nationality,Other European Union,Northern Ireland,Academic contract,Professional occupations,1090
Nationality,Other European Union,Northern Ireland,Academic contract,Associate professional and technical occupations,10
Nationality,Other European Union,Northern Ireland,Academic contract,Clerical and manual occupations,0
Nationality,Other European Union,Northern Ireland,Academic contract,Total academic staff,1110
Nationality,Other European Union,Northern Ireland,Non-academic contract,"Managers, directors and senior officials ",80
Nationality,Other European Union,Northern Ireland,Non-academic contract,Professional occupations ,195
Nationality,Other European Union,Northern Ireland,Non-academic contract,Associate professional and technical occupations ,160
Nationality,Other European Union,Northern Ireland,Non-academic contract,Administrative and secretarial occupations,260
Nationality,Other European Union,Northern Ireland,Non-academic contract,Skilled trades occupations,25
Nationality,Other European Union,Northern Ireland,Non-academic contract,"Caring, leisure and other service occupations",15
Nationality,Other European Union,Northern Ireland,Non-academic contract,Sales and customer service occupations,10
Nationality,Other European Union,Northern Ireland,Non-academic contract,"Process, plant and machine operatives",0
Nationality,Other European Union,Northern Ireland,Non-academic contract,Elementary occupations,65
Nationality,Other European Union,Northern Ireland,Non-academic contract,Total non-academic staff,810
Nationality,Other European Union,Scotland,Academic contract,"Managers, directors and senior officials",5
Nationality,Other European Union,Scotland,Academic contract,Professional occupations,4775
Nationality,Other European Union,Scotland,Academic contract,Associate professional and technical occupations,20
Nationality,Other European Union,Scotland,Academic contract,Clerical and manual occupations,0
Nationality,Other European Union,Scotland,Academic contract,Total academic staff,4800
Nationality,Other European Union,Scotland,Non-academic contract,"Managers, directors and senior officials ",35
Nationality,Other European Union,Scotland,Non-academic contract,Professional occupations ,325
Nationality,Other European Union,Scotland,Non-academic contract,Associate professional and technical occupations ,390
Nationality,Other European Union,Scotland,Non-academic contract,Administrative and secretarial occupations,640
Nationality,Other European Union,Scotland,Non-academic contract,Skilled trades occupations,60
Nationality,Other European Union,Scotland,Non-academic contract,"Caring, leisure and other service occupations",85
Nationality,Other European Union,Scotland,Non-academic contract,Sales and customer service occupations,10
Nationality,Other European Union,Scotland,Non-academic contract,"Process, plant and machine operatives",5
Nationality,Other European Union,Scotland,Non-academic contract,Elementary occupations,540
Nationality,Other European Union,Scotland,Non-academic contract,Total non-academic staff,2085
Nationality,Other European Union,Wales,Academic contract,"Managers, directors and senior officials",5
Nationality,Other European Union,Wales,Academic contract,Professional occupations,1120
Nationality,Other European Union,Wales,Academic contract,Associate professional and technical occupations,5
Nationality,Other European Union,Wales,Academic contract,Clerical and manual occupations,0
Nationality,Other European Union,Wales,Academic contract,Total academic staff,1130
Nationality,Other European Union,Wales,Non-academic contract,"Managers, directors and senior officials ",15
Nationality,Other European Union,Wales,Non-academic contract,Professional occupations ,80
Nationality,Other European Union,Wales,Non-academic contract,Associate professional and technical occupations ,55
Nationality,Other European Union,Wales,Non-academic contract,Administrative and secretarial occupations,105
Nationality,Other European Union,Wales,Non-academic contract,Skilled trades occupations,15
Nationality,Other European Union,Wales,Non-academic contract,"Caring, leisure and other service occupations",15
Nationality,Other European Union,Wales,Non-academic contract,Sales and customer service occupations,5
Nationality,Other European Union,Wales,Non-academic contract,"Process, plant and machine operatives",0
Nationality,Other European Union,Wales,Non-academic contract,Elementary occupations,55
Nationality,Other European Union,Wales,Non-academic contract,Total non-academic staff,340
Nationality,Other European Union,All,Academic contract,"Managers, directors and senior officials",35
Nationality,Other European Union,All,Academic contract,Professional occupations,37925
Nationality,Other European Union,All,Academic contract,Associate professional and technical occupations,125
Nationality,Other European Union,All,Academic contract,Clerical and manual occupations,0
Nationality,Other European Union,All,Academic contract,Total academic staff,38080
Nationality,Other European Union,All,Non-academic contract,"Managers, directors and senior officials ",500
Nationality,Other European Union,All,Non-academic contract,Professional occupations ,3360
Nationality,Other European Union,All,Non-academic contract,Associate professional and technical occupations ,3255
Nationality,Other European Union,All,Non-academic contract,Administrative and secretarial occupations,4590
Nationality,Other European Union,All,Non-academic contract,Skilled trades occupations,435
Nationality,Other European Union,All,Non-academic contract,"Caring, leisure and other service occupations",515
Nationality,Other European Union,All,Non-academic contract,Sales and customer service occupations,175
Nationality,Other European Union,All,Non-academic contract,"Process, plant and machine operatives",105
Nationality,Other European Union,All,Non-academic contract,Elementary occupations,2630
Nationality,Other European Union,All,Non-academic contract,Total non-academic staff,15560
Nationality,Non-European Union,England,Academic contract,"Managers, directors and senior officials",20
Nationality,Non-European Union,England,Academic contract,Professional occupations,24530
Nationality,Non-European Union,England,Academic contract,Associate professional and technical occupations,45
Nationality,Non-European Union,England,Academic contract,Clerical and manual occupations,0
Nationality,Non-European Union,England,Academic contract,Total academic staff,24595
Nationality,Non-European Union,England,Non-academic contract,"Managers, directors and senior officials ",205
Nationality,Non-European Union,England,Non-academic contract,Professional occupations ,1825
Nationality,Non-European Union,England,Non-academic contract,Associate professional and technical occupations ,1500
Nationality,Non-European Union,England,Non-academic contract,Administrative and secretarial occupations,1945
Nationality,Non-European Union,England,Non-academic contract,Skilled trades occupations,135
Nationality,Non-European Union,England,Non-academic contract,"Caring, leisure and other service occupations",235
Nationality,Non-European Union,England,Non-academic contract,Sales and customer service occupations,85
Nationality,Non-European Union,England,Non-academic contract,"Process, plant and machine operatives",40
Nationality,Non-European Union,England,Non-academic contract,Elementary occupations,1445
Nationality,Non-European Union,England,Non-academic contract,Total non-academic staff,7410
Nationality,Non-European Union,Northern Ireland,Academic contract,"Managers, directors and senior officials",0
Nationality,Non-European Union,Northern Ireland,Academic contract,Professional occupations,400
Nationality,Non-European Union,Northern Ireland,Academic contract,Associate professional and technical occupations,5
Nationality,Non-European Union,Northern Ireland,Academic contract,Clerical and manual occupations,0
Nationality,Non-European Union,Northern Ireland,Academic contract,Total academic staff,405
Nationality,Non-European Union,Northern Ireland,Non-academic contract,"Managers, directors and senior officials ",5
Nationality,Non-European Union,Northern Ireland,Non-academic contract,Professional occupations ,10
Nationality,Non-European Union,Northern Ireland,Non-academic contract,Associate professional and technical occupations ,5
Nationality,Non-European Union,Northern Ireland,Non-academic contract,Administrative and secretarial occupations,20
Nationality,Non-European Union,Northern Ireland,Non-academic contract,Skilled trades occupations,0
Nationality,Non-European Union,Northern Ireland,Non-academic contract,"Caring, leisure and other service occupations",0
Nationality,Non-European Union,Northern Ireland,Non-academic contract,Sales and customer service occupations,0
Nationality,Non-European Union,Northern Ireland,Non-academic contract,"Process, plant and machine operatives",0
Nationality,Non-European Union,Northern Ireland,Non-academic contract,Elementary occupations,5
Nationality,Non-European Union,Northern Ireland,Non-academic contract,Total non-academic staff,45
Nationality,Non-European Union,Scotland,Academic contract,"Managers, directors and senior officials",5
Nationality,Non-European Union,Scotland,Academic contract,Professional occupations,3590
Nationality,Non-European Union,Scotland,Academic contract,Associate professional and technical occupations,10
Nationality,Non-European Union,Scotland,Academic contract,Clerical and manual occupations,0
Nationality,Non-European Union,Scotland,Academic contract,Total academic staff,3600
Nationality,Non-European Union,Scotland,Non-academic contract,"Managers, directors and senior officials ",15
Nationality,Non-European Union,Scotland,Non-academic contract,Professional occupations ,195
Nationality,Non-European Union,Scotland,Non-academic contract,Associate professional and technical occupations ,160
Nationality,Non-European Union,Scotland,Non-academic contract,Administrative and secretarial occupations,365
Nationality,Non-European Union,Scotland,Non-academic contract,Skilled trades occupations,5
Nationality,Non-European Union,Scotland,Non-academic contract,"Caring, leisure and other service occupations",20
