DfENumber,SchoolName,Year,Places,PlaceAllocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8164702,All Saints Rc School,2013,178,174,164,8,2,0,0,0,1,0,16,21,0,0,113,23,0,174
8164500,Archbishop Holgates CE School,2013,216,201,191,10,0,0,0,0,2,101,62,10,0,0,26,0,0,201
8164003,Canon Lee School,2013,190,111,107,3,0,0,0,1,0,110,0,0,0,0,0,0,0,111
8164153,Fulford School,2013,208,213,213,0,0,0,0,0,9,201,3,0,0,0,0,0,0,213
8164063,Huntington School,2013,239,237,230,7,0,0,0,0,2,160,20,55,0,0,0,0,0,237
8164508,Joseph Rowntree School,2013,220,196,195,1,0,0,0,0,5,147,15,29,0,0,0,0,0,196
8164602,Manor CE School,2013,180,180,180,0,0,0,0,0,5,0,0,0,0,76,99,0,0,180
8164229,Millthorpe School,2013,204,170,144,21,2,0,0,3,2,122,11,32,0,0,0,0,0,170
8164703,York High School,2013,180,180,170,9,0,0,0,1,4,150,11,14,0,0,0,0,0,180
