County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Tompkins,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Psithyrus) ashtoni,Ashton's Cuckoo Bumble Bee,SH,G4
Tompkins,Animal,Reptiles,Snakes,Diadophis punctatus,Ring-necked Snake,S5,G5
Niagara,Plant,Flowering Plants,Other Flowering Plants,Erigenia bulbosa,Harbinger-of-spring,S1,G5
Jefferson,Animal,Birds,Gnatcatchers,Polioptila caerulea,Blue-gray Gnatcatcher,S5,G5
Onondaga,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Eurybia spectabilis,Showy Aster,S2,G5
Suffolk,Plant,Flowering Plants,Sedges,Carex muehlenbergii var. enervis,Muhlenberg's Veinless Sedge,S3,G5T5
Ontario,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler,S5B,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Crassula aquatica,Water Pigmyweed,S1,G5
Schenectady,Plant,Flowering Plants,Orchids,Triphora trianthophoros ssp. trianthophoros,Nodding Pogonia,S2,G3G4T3T4
Washington,Plant,Flowering Plants,Sedges,Carex merritt-fernaldii,Fernald's Sedge,S2S3,G5
Broome,Animal,Dragonflies and Damselflies,Damselflies,Lestes australis,Southern Spreadwing,S2S3,G5
Allegany,Animal,Mammals,Bats,Lasionycteris noctivagans,Silver-haired Bat,S2S3B,G3G4
Livingston,Animal,Amphibians,Salamanders,Eurycea longicauda,Longtail Salamander,S2S3,G5
Suffolk,Plant,Conifers,Conifers,Pinus virginiana,Virginia Pine,S1,G5
Westchester,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,S5B,G5
Richmond,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,"S2S3B,S2N",G5
Dutchess,Natural Community,Tidal Wetlands,Intertidal Wetlands,Brackish intertidal mudflats,Brackish Intertidal Mudflats,S1S2,G3G4
Niagara,Plant,Flowering Plants,Other Flowering Plants,Cornus drummondii,Rough-leaf Dogwood,S1,G5
Nassau,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,S5,G5
Fulton,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow,SNA,G5
Columbia,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,S5,G5
Richmond,Animal,Butterflies and Moths,Moths,Catocala umbrosa,An Underwing Moth,SH,G5
Livingston,Plant,Flowering Plants,Sedges,Carex emoryi,Emory's Sedge,S2,G5
Onondaga,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern,S2S3,G4
Allegany,Animal,Reptiles,Turtles,Apalone spinifera,Spiny Softshell,S2S3,G5
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Plantago cordata,Heart-leaved Plantain,S3,G4
Essex,Plant,Ferns and Fern Allies,Clubmosses,Huperzia selago,Fir Clubmoss,S1,G5
Rensselaer,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,S1,G1G2
Tioga,Plant,Flowering Plants,Grasses,Calamagrostis canadensis var. macouniana,MacounÂ¿s Bluejoint Grass,SH,G5T5?
Ontario,Animal,Birds,Wrens,Troglodytes aedon,House Wren,S5,G5
Kings,Animal,Butterflies and Moths,Butterflies and Skippers,Parrhasius m-album,White-m Hairstreak,SU,G5
Washington,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,S5,G5
Madison,Plant,Flowering Plants,Other Flowering Plants,Lithospermum parviflorum,Shaggy Marbleseed,SH,G4G5T4
Albany,Plant,Flowering Plants,Other Flowering Plants,Oxalis violacea,Violet Wood Sorrel,S2S3,G5
Fulton,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander,S5,G5
Rockland,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,S4B,G5
Seneca,Animal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay,S5,G5
Ulster,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,S5B,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Lespedeza stuevei,Velvety Bush Clover,S2,G4?
St. Lawrence,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,"S2S3B,S2N",G5
Genesee,Natural Community,Freshwater Nontidal Wetlands,Forested Peatlands,Rich hemlock-hardwood peat swamp,Rich Hemlock-Hardwood Peat Swamp,S2S3,G3G4
Franklin,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,S2?B,G5
Oswego,Plant,Flowering Plants,Other Flowering Plants,Trillium cernuum,Nodding Trillium,S3,G5
Ulster,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum,Jefferson Salamander,S4,G4
Lewis,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,S5B,G5
Oswego,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,S5B,G5
Greene,Animal,Birds,Creepers,Certhia americana,Brown Creeper,S5,G5
Tompkins,Animal,Dragonflies and Damselflies,Dragonflies,Gomphus abbreviatus,Spine-crowned Clubtail,S1,G4
Allegany,Animal,Birds,Wood-Warblers,Geothlypis philadelphia,Mourning Warbler,S5B,G5
Monroe,Animal,Fish,Darters and Sunfishes,Lepomis peltastes,Northern Sunfish,S1,G5
Franklin,Animal,Birds,Pigeons and Doves,Zenaida macroura,Mourning Dove,S5,G5
New York,Plant,Flowering Plants,Grasses,Poa cuspidata,Early Blue Grass,S1,G5
Chautauqua,Animal,Birds,Blackbirds and Orioles,Icterus spurius,Orchard Oriole,S4B,G5
Washington,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,S5,G5
Tompkins,Plant,Flowering Plants,Other Flowering Plants,Sparganium natans,Small Bur-reed,S2,G5
Nassau,Plant,Flowering Plants,Other Flowering Plants,Utricularia striata,Fibrous Bladderwort,S2,G4G5
Livingston,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,S5B,G5
Greene,Animal,Birds,Wood-Warblers,Setophaga striata,Blackpoll Warbler,S3B,G5
Rensselaer,Natural Community,Tidal Wetlands,Intertidal Wetlands,Freshwater tidal marsh,Freshwater Tidal Marsh,S2,G3G4
Erie,Animal,Amphibians,Frogs and Toads,Pseudacris triseriata,Western Chorus Frog,S2S3,G5
Schuyler,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck,S5,G5
Kings,Plant,Flowering Plants,Grasses,Tripsacum dactyloides var. dactyloides,Northern Gama Grass,S2,G5TNR
Westchester,Animal,Dragonflies and Damselflies,Dragonflies,Cordulegaster obliqua,Arrowhead Spiketail,S3,G4
Oneida,Plant,Flowering Plants,Other Flowering Plants,Utricularia geminiscapa,Hiddenfruit Bladderwort,S3,G4G5
Saratoga,Animal,Birds,Flycatchers,Sayornis phoebe,Eastern Phoebe,S5B,G5
Jefferson,Plant,Flowering Plants,Sedges,Carex haydenii,Cloud Sedge,S1S2,G5
Saratoga,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,S5,G5
Columbia,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex,SNA,GU
Tioga,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,S5,G5
Cayuga,Animal,Birds,Finches and Crossbills,Haemorhous purpureus,Purple Finch,S5,G5
Ulster,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,S4,G5
Wyoming,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,S5,G5
Schoharie,Animal,Birds,Wrens,Troglodytes aedon,House Wren,S5,G5
Dutchess,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch,SNA,G5
Albany,Plant,Flowering Plants,Orchids,Aplectrum hyemale,Puttyroot,S1,G5
Suffolk,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,S5,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Oxybasis rubra var. rubra,Red Pigweed,S2,G5
St. Lawrence,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,S5B,G5
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,S5B,G5
Lewis,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler,S5B,G5
Queens,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,S3,G5
Lewis,Natural Community,Uplands,Open Uplands,Calcareous shoreline outcrop,Calcareous Shoreline Outcrop,S2,G3G4
Lewis,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Inland poor fen,Inland Poor Fen,S3,G4
