County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Nassau,Animal,Birds,Wood-Warblers,Protonotaria citrea,Prothonotary Warbler,S2B,G5
Cattaraugus,Animal,Fish,"Minnows, Shiners, Suckers",Erimystax x-punctatus,Gravel Chub,SH,G4
Westchester,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,S5,G5
Queens,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Eupatorium pubescens,Serrate Round-leaf Boneset,S1,G5T5
Steuben,Animal,Reptiles,Snakes,Storeria dekayi,Dekay's Brownsnake,S5,G5
Monroe,Animal,Birds,Flycatchers,Empidonax alnorum,Alder Flycatcher,S5B,G5
Onondaga,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,S4,G5
Niagara,Natural Community,Uplands,Forested Uplands,Maple-basswood rich mesic forest,Maple-Basswood Rich Mesic Forest,S3,G4
St. Lawrence,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,S5B,G5
Erie,Plant,Flowering Plants,Grasses,Poa sylvestris,Forest Blue Grass,S1,G5
Herkimer,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk,"S3S4B,S3N",G5
Ontario,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,S5,G5
Franklin,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,S3B,G5
Cattaraugus,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,S5B,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Rubus chamaemorus,Cloudberry,SX,G5
Wyoming,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,S1,G2G3
Broome,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,S5B,G5
Suffolk,Plant,Flowering Plants,Sedges,Rhynchospora nitens,Short-beaked Beak Sedge,S2,G4?
Niagara,Plant,Flowering Plants,Other Flowering Plants,Draba arabisans,Rock Whitlow Grass,S2,G4
Greene,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,S5,G5
Ontario,Animal,Fish,"Minnows, Shiners, Suckers",Erimyzon sucetta,Lake Chubsucker,SH,G5
Tioga,Plant,Flowering Plants,Grasses,Dichanthelium scoparium,Velvet Panic Grass,S1,G5
Albany,Plant,Flowering Plants,Other Flowering Plants,Eriocaulon parkeri,Estuary Hatpins,SX,G3
Schuyler,Animal,Birds,"Grouse, Pheasants, Turkeys",Phasianus colchicus,Ring-necked Pheasant,SNA,G5
Orange,Animal,Birds,Cormorants,Phalacrocorax auritus,Double-crested Cormorant,S3,G5
Chemung,Animal,Birds,Cardinals and Buntings,Pheucticus ludovicianus,Rose-breasted Grosbeak,S5B,G5
Franklin,Animal,Birds,Shrikes,Lanius ludovicianus,Loggerhead Shrike,S1B,G4
Nassau,Plant,Flowering Plants,Other Flowering Plants,Ranunculus pusillus,Spearwort,SX,G5
Orange,Animal,Butterflies and Moths,Moths,Hemileuca maia maia,Inland Barrens Buckmoth,S1S2,G5T5
Ulster,Plant,Flowering Plants,Sedges,Carex reznicekii,Reznicek's Sedge,S1S2,G5
Oswego,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,S5B,G5
Saratoga,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,S5B,G5
Kings,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Egretta caerulea,Little Blue Heron,S2,G5
Tompkins,Animal,Birds,Owls,Bubo virginianus,Great Horned Owl,S5,G5
Tompkins,Plant,Flowering Plants,Other Flowering Plants,Draba arabisans,Rock Whitlow Grass,S2,G4
Livingston,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,SNA,G5
Yates,Animal,Beetles,Lady Beetles,Coccinella trifasciata,Three-banded Lady Beetle,S2S3,GNR
Oswego,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,S5,G5
Chautauqua,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,S5B,G5
Queens,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,S5B,G5
Rockland,Animal,Birds,Finches and Crossbills,Haemorhous purpureus,Purple Finch,S5,G5
Broome,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse,S5,G5
Broome,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager,S5B,G5
Cayuga,Animal,Birds,"Ducks, Geese, Waterfowl",Mergus merganser,Common Merganser,S5,G5
Washington,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum,Jefferson Salamander,S4,G4
Livingston,Animal,Birds,Blackbirds and Orioles,Quiscalus quiscula,Common Grackle,S5B,G5
Sullivan,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. pubescens,Large Yellow Lady's Slipper,S3,G5T5
Ontario,Animal,Dragonflies and Damselflies,Damselflies,Lestes unguiculatus,Lyre-tipped Spreadwing,S2S3,G5
Broome,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,"S3B,S3N",G5
Niagara,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo,S5B,G5
New York,Plant,Flowering Plants,Other Flowering Plants,Agalinis maritima var. maritima,Seaside Gerardia,S2S3,G5T5
Allegany,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo,S5B,G5
Livingston,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Cathartes aura,Turkey Vulture,S4B,G5
Wayne,Animal,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Bobolink,S5B,G5
Cattaraugus,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,S5B,G5
Nassau,Plant,Flowering Plants,Other Flowering Plants,Scutellaria elliptica var. elliptica,Hairy Skullcap,SX,G5T5
Franklin,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,S5B,G5
Rockland,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,S5,G5
Wyoming,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo platypterus,Broad-winged Hawk,S5B,G5
Nassau,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,S5,G5
Sullivan,Animal,Reptiles,Snakes,Diadophis punctatus,Ring-necked Snake,S5,G5
Genesee,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse,S5,G5
Chenango,Animal,Reptiles,Turtles,Chrysemys picta,Painted Turtle,S5,G5
Saratoga,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,S5B,G5
Suffolk,Plant,Flowering Plants,Sedges,Carex collinsii,Collins' Sedge,S1,G4
Ontario,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse,S5,G5
Clinton,Plant,Flowering Plants,Orchids,Cypripedium arietinum,Ram's-head Lady's Slipper,S2,G3
Essex,Animal,Birds,Woodpeckers,Picoides arcticus,Black-backed Woodpecker,S3?,G5
New York,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,S5,G5
Lewis,Plant,Flowering Plants,Other Flowering Plants,Utricularia minor,Lesser Bladderwort,S3,G5
New York,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,S3,G5
Cayuga,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,S5B,G5
Queens,Plant,Flowering Plants,Sedges,Carex davisii,Davis' Sedge,S2,G4
Jefferson,Plant,Flowering Plants,Other Flowering Plants,Viola nephrophylla,Northern Bog Violet,S1,G5
Atlantic Ocean and Long Island Sound,Animal,Fish,Silversides,Menidia beryllina,Inland Silverside,S2S3,G5
Kings,Plant,Flowering Plants,Other Flowering Plants,Ranunculus septentrionalis,Swamp Buttercup,S1,GNR
Cattaraugus,Animal,Birds,Nightbirds,Chordeiles minor,Common Nighthawk,S2S3B,G5
Onondaga,Animal,Birds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher,S5B,G5
Erie,Plant,Flowering Plants,Other Flowering Plants,Andersonglossum boreale,Northern Wild Comfrey,S1S2,G5T4T5
Cortland,Animal,Birds,Larks,Eremophila alpestris,Horned Lark,S3S4B,G5
Warren,Plant,Flowering Plants,Other Flowering Plants,Ranunculus septentrionalis,Swamp Buttercup,S1,GNR
Dutchess,Animal,Reptiles,Snakes,Thamnophis sirtalis,Common Gartersnake,S5,G5
Seneca,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,"S2S3B,S2N",G5
Oneida,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,S5,G5
Richmond,Plant,Flowering Plants,Other Flowering Plants,Ranunculus septentrionalis,Swamp Buttercup,S1,GNR
Columbia,Animal,Birds,Cardinals and Buntings,Pheucticus ludovicianus,Rose-breasted Grosbeak,S5B,G5
Cortland,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,S5B,G5
Essex,Plant,Flowering Plants,Other Flowering Plants,Juglans cinerea,Butternut,S4,G4
Nassau,Animal,Birds,Swallows,Progne subis,Purple Martin,S4B,G5
Delaware,Animal,Birds,Wood-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler,S5B,G5
Cortland,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,S5B,G5
Broome,Plant,Flowering Plants,Other Flowering Plants,Stachys hyssopifolia var. hyssopifolia,Rough Hedge Nettle,S2,G5T4T5
Chemung,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. parviflorum,Small Southern Yellow Lady's Slipper,SH,G5T3T5
Oswego,Natural Community,Uplands,Open Uplands,Calcareous shoreline outcrop,Calcareous Shoreline Outcrop,S2,G3G4
Ulster,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. pubescens,Large Yellow Lady's Slipper,S3,G5T5
Montgomery,Animal,Reptiles,Snakes,Lampropeltis triangulum,Milksnake,S5,G5
Rockland,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,S5,G5
Albany,Plant,Flowering Plants,Other Flowering Plants,Hydrastis canadensis,Goldenseal,S2,G3G4
Schenectady,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,S5B,G5
Rensselaer,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon,SNA,G5
Oswego,Animal,Fish,Salmon and Trout,Coregonus kiyi,Kiyi,SX,G3G4
Chautauqua,Animal,Fish,"Minnows, Shiners, Suckers",Moxostoma duquesnei,Black Redhorse,S2,G5
Westchester,Plant,Flowering Plants,Other Flowering Plants,Asclepias viridiflora,Green Milkweed,S2,G5
Lewis,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,S5B,G5
Sullivan,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,S5,G5
Bronx,Plant,Flowering Plants,Other Flowering Plants,Salicornia bigelovii,Dwarf Glasswort,S2S3,G5
Oswego,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,S3,G5
Oneida,Animal,Birds,Wood-Warblers,Geothlypis philadelphia,Mourning Warbler,S5B,G5
Jefferson,Animal,Birds,Creepers,Certhia americana,Brown Creeper,S5,G5
Suffolk,Plant,Conifers,Conifers,Chamaecyparis thyoides,Atlantic White Cedar,S2,G4
Rensselaer,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,S5B,G5
Orleans,Animal,Birds,Owls,Tyto alba,Barn Owl,S1S2,G5
Allegany,Animal,Amphibians,Salamanders,Pseudotriton ruber,Red Salamander,S3S4,G5
Livingston,Animal,Birds,Wood-Warblers,Setophaga petechia,Yellow Warbler,S5B,G5
Queens,Plant,Flowering Plants,Other Flowering Plants,Lupinus perennis ssp. perennis,Wild Lupine,S3,G5T4?
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,S5B,G5
Schenectady,Animal,Birds,Flycatchers,Sayornis phoebe,Eastern Phoebe,S5B,G5
St. Lawrence,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Sterna hirundo,Common Tern,S3B,G5
Clinton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,"S2S3B,S2N",G5
Cortland,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer,S5,G5
Albany,Animal,Birds,"Rails, Coots and Cranes",Rallus limicola,Virginia Rail,S5,G5
Schenectady,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,S5B,G5
Livingston,Natural Community,Lakes and Ponds,Natural Lakes and Ponds,Eutrophic pond,Eutrophic Pond,S4,G4
Jefferson,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,S5B,G5
Erie,Plant,Flowering Plants,Sedges,Bolboschoenus maritimus ssp. paludosus,Seaside Bulrush,S2,G5
Schuyler,Animal,Reptiles,Turtles,Glyptemys insculpta,Wood Turtle,S3,G3
Essex,Plant,Flowering Plants,Sedges,Carex merritt-fernaldii,Fernald's Sedge,S2S3,G5
Greene,Animal,Birds,Wrens,Cistothorus palustris,Marsh Wren,S5,G5
Wayne,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,S5B,G5
St. Lawrence,Animal,Reptiles,Turtles,Graptemys geographica,Common Map Turtle,S3,G5
Dutchess,Animal,Reptiles,Snakes,Agkistrodon contortrix,Copperhead,S3,G5
Sullivan,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker,S5,G5
Columbia,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,S5,G5
Genesee,Animal,Mussels and Clams,Freshwater Mussels,Lampsilis ovata,Pocketbook,S2S3,G5
Ulster,Plant,Mosses,Peat Mosses,Sphagnum angermanicum,Angerman's peat moss,S1,G4
Wyoming,Animal,Dragonflies and Damselflies,Damselflies,Lestes unguiculatus,Lyre-tipped Spreadwing,S2S3,G5
Onondaga,Animal,Birds,Cormorants,Phalacrocorax auritus,Double-crested Cormorant,S3,G5
Nassau,Animal,Birds,Wood-Warblers,Vermivora chrysoptera x cyanoptera,Lawrence's Warbler,SNA,GNA
Kings,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,S5B,G5
St. Lawrence,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,S1S2,G5
Yates,Animal,Fish,"Minnows, Shiners, Suckers",Erimyzon sucetta,Lake Chubsucker,SH,G5
Otsego,Animal,Dragonflies and Damselflies,Dragonflies,Anax longipes,Comet Darner,S2S3,G5
Essex,Plant,Flowering Plants,Other Flowering Plants,Borodinia missouriensis,Green Rock Cress,S2,G5
Cattaraugus,Animal,Butterflies and Moths,Butterflies and Skippers,Pieris virginiensis,West Virginia White,S3,G3?
Kings,Plant,Flowering Plants,Grasses,Cenchrus tribuloides,Dune Sandspur,S2,G5
Queens,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,"S3B,SNRN",G5
Cortland,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird,S5B,G5
Ulster,Natural Community,Uplands,Open Uplands,Calcareous cliff community,Calcareous Cliff Community,S3,G4
Tioga,Animal,Birds,Wood-Warblers,Vermivora chrysoptera x cyanoptera,Lawrence's Warbler,SNA,GNA
Westchester,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,Red maple-hardwood swamp,Red Maple-Hardwood Swamp,S4S5,G5
Fulton,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex,SNA,GU
Orleans,Animal,Mussels and Clams,Freshwater Mussels,Potamilus alatus,Pink Heelsplitter,S2S3,G5
Albany,Animal,Fish,"Minnows, Shiners, Suckers",Notropis bifrenatus,Bridle Shiner,S2?,G3
Suffolk,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,S5B,G5
Cattaraugus,Plant,Flowering Plants,Sedges,Carex emoryi,Emory's Sedge,S2,G5
Tompkins,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,S1,G4
Albany,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,S5B,G5
Chautauqua,Animal,Mussels and Clams,Freshwater Mussels,Actinonaias ligamentina,Mucket,S1S2,G5
Genesee,Animal,Birds,Blackbirds and Orioles,Sturnella magna,Eastern Meadowlark,S5B,G5
Broome,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,S5B,G5
Yates,Animal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,S5B,G5
Columbia,Plant,Flowering Plants,Sedges,Carex abscondita,Thicket Sedge,S1,G4G5
Chenango,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,S5,G5
Genesee,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow,SNA,G5
Cattaraugus,Animal,Birds,Nuthatches,Sitta carolinensis,White-breasted Nuthatch,S5,G5
Livingston,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,S5,G5
Cortland,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,S5B,G5
Hamilton,Plant,Flowering Plants,Other Flowering Plants,Andersonglossum boreale,Northern Wild Comfrey,S1S2,G5T4T5
Genesee,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,S5B,G5
Steuben,Animal,Dragonflies and Damselflies,Damselflies,Lestes unguiculatus,Lyre-tipped Spreadwing,S2S3,G5
Columbia,Animal,Birds,Wood-Warblers,Vermivora chrysoptera,Golden-winged Warbler,S3B,G4
Wayne,Plant,Flowering Plants,Other Flowering Plants,Agastache nepetoides,Yellow Giant-hyssop,S2S3,G5
Jefferson,Animal,Birds,Chickadees and Titmice,Poecile atricapillus,Black-capped Chickadee,S5,G5
Columbia,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,S5,G5
Sullivan,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,S5B,G5
Lewis,Plant,Flowering Plants,Other Flowering Plants,Rhododendron canadense,Rhodora,S2,G5
Columbia,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,S4,G5
St. Lawrence,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,S5,G5
Oneida,Animal,Birds,"Ducks, Geese, Waterfowl",Anas acuta,Northern Pintail,"S1B,S3N",G5
Onondaga,Plant,Flowering Plants,Sedges,Eleocharis quadrangulata,Angled Spike Rush,S1,G5
Washington,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum ciliolatum,Lindley's Aster,S1,G5
Washington,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter cooperii,Cooper's Hawk,S4,G5
Allegany,Animal,Birds,Wood-Warblers,Setophaga pinus,Pine Warbler,S5B,G5
Dutchess,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,S5B,G5
Kings,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,S5,G5
Monroe,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler,S5B,G5
Niagara,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,S1,G1G2
Cattaraugus,Animal,Fish,"Minnows, Shiners, Suckers",Notropis dorsalis,Bigmouth Shiner,S2,G5
Fulton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,"S3B,S3N",G5
Erie,Plant,Flowering Plants,Other Flowering Plants,Allium cernuum,Wild Onion,S2,G5
Wayne,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,"S3B,S1N",G5
Wyoming,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,"S3B,S1N",G5
Tioga,Plant,Flowering Plants,Sedges,Carex styloflexa,Bent Sedge,S1,G4G5
Jefferson,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,S4,G5
Lewis,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warbler,S5B,G5
Queens,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,S3S4B,G5
Dutchess,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Aquila chrysaetos,Golden Eagle,"SHB,S1N",G5
Franklin,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,Spruce-fir swamp,Spruce-Fir Swamp,S3,G3G4
Cayuga,Plant,Flowering Plants,Sedges,Eleocharis uniglumis,Salt-marsh Spike Rush,S2,G5
Albany,Animal,Birds,Cormorants,Phalacrocorax auritus,Double-crested Cormorant,S3,G5
Nassau,Animal,Fish,Needlefishes,Strongylura marina,Atlantic Needlefish,S2S3,G5
Monroe,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe,S5B,G5
Chenango,Plant,Flowering Plants,Other Flowering Plants,Orontium aquaticum,Golden Club,S2,G5
Schuyler,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon,SNA,G5
Kings,Animal,Dragonflies and Damselflies,Damselflies,Ischnura ramburii,Rambur's Forktail,S2S3,G5
Orange,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Thoracobombus) fervidus,Yellow Bumble Bee,S1,G4?
Nassau,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Helianthus angustifolius,Swamp Sunflower,S2,G5
Cattaraugus,Animal,Birds,Wood-Warblers,Geothlypis formosa,Kentucky Warbler,S2B,G5
Orange,Animal,Birds,Wood-Warblers,Protonotaria citrea,Prothonotary Warbler,S2B,G5
Wyoming,Animal,Birds,Flycatchers,Empidonax minimus,Least Flycatcher,S5B,G5
Albany,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,S5B,G5
Yates,Animal,Birds,Creepers,Certhia americana,Brown Creeper,S5,G5
Herkimer,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,S5B,G5
Wayne,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum lanceolatum var. interior,Small-headed Aster,SH,G5T5
Erie,Plant,Flowering Plants,Other Flowering Plants,Sisyrinchium mucronatum,Sharp-tipped Blue-eyed Grass,S1,G5
Putnam,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,S5B,G5
Chenango,Plant,Flowering Plants,Other Flowering Plants,Potamogeton alpinus,Red Pondweed,S1S2,G5
Washington,Animal,Birds,Owls,Asio flammeus,Short-eared Owl,S2,G5
Cattaraugus,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher,S5B,G5
Orleans,Animal,Reptiles,Turtles,Glyptemys insculpta,Wood Turtle,S3,G3
Madison,Plant,Flowering Plants,Other Flowering Plants,Persicaria setacea,Swamp Smartweed,S1S2,G5
Queens,Plant,Flowering Plants,Other Flowering Plants,Plantago maritima var. juncoides,Seaside Plantain,S2S3,G5T5
Rockland,Plant,Flowering Plants,Other Flowering Plants,Persicaria setacea,Swamp Smartweed,S1S2,G5
Suffolk,Natural Community,Uplands,Open Uplands,Maritime dunes,Maritime Dunes,S3,G4
Cayuga,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,S3,G5
Tioga,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,S5B,G4
Nassau,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,S5,G5
St. Lawrence,Plant,Flowering Plants,Other Flowering Plants,Potamogeton alpinus,Red Pondweed,S1S2,G5
Steuben,Animal,Reptiles,Snakes,Crotalus horridus,Timber Rattlesnake,S3,G4
Jefferson,Plant,Flowering Plants,Other Flowering Plants,Tomostima reptans,Carolina Whitlow Grass,S2,G5
Washington,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch,SNA,G5
Orange,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,Hemlock-hardwood swamp,Hemlock-Hardwood Swamp,S4,G4G5
Queens,Plant,Flowering Plants,Other Flowering Plants,Betula nigra,River Birch,S3,G5
Herkimer,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Medium fen,Medium Fen,S2S3,G3G4
Ontario,Plant,Flowering Plants,Other Flowering Plants,Polygonum erectum,Erect Knotweed,S2S3,G5
Clinton,Animal,Animal Assemblages,Animal Assemblages,Bat Colony,Bat Colony,SNR,GNR
Oneida,Plant,Flowering Plants,Other Flowering Plants,Saxifraga aizoides,Yellow Mountain Saxifrage,S2,G5
Saratoga,Animal,Dragonflies and Damselflies,Dragonflies,Anax longipes,Comet Darner,S2S3,G5
Nassau,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,S5B,G5
Rockland,Plant,Flowering Plants,Orchids,Platanthera ciliaris,Orange Fringed Orchid,S1,G5
Chautauqua,Animal,Birds,"Ducks, Geese, Waterfowl",Oxyura jamaicensis,Ruddy Duck,S1,G5
Schenectady,Animal,Reptiles,Turtles,Clemmys guttata,Spotted Turtle,S3,G5
Wyoming,Animal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander,S5,G5
Queens,Plant,Flowering Plants,Other Flowering Plants,Juglans cinerea,Butternut,S4,G4
Westchester,Plant,Flowering Plants,Other Flowering Plants,Viburnum dentatum var. venosum,Southern Arrowwood,S2,G5T4T5
Essex,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,S5B,G5
Chemung,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,S5B,G5
Suffolk,Animal,Butterflies and Moths,Moths,Acronicta albarufa,Barrens Dagger Moth,S1,G3G4
Schoharie,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler,S5B,G5
Lewis,Animal,Reptiles,Snakes,Storeria occipitomaculata,Red-bellied Snake,S5,G5
Saratoga,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramia longicauda,Upland Sandpiper,S3B,G5
Nassau,Plant,Flowering Plants,Other Flowering Plants,Asclepias rubra,Red Milkweed,SX,G4G5
Otsego,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk,S5,G5
Westchester,Plant,Flowering Plants,Other Flowering Plants,Chenopodium standleyanum,Standley's Goosefoot,S1S3,G5
Erie,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,S5B,G5
Queens,Plant,Flowering Plants,Sedges,Carex hormathodes,Marsh Straw Sedge,S2S3,G4G5
Montgomery,Animal,Reptiles,Snakes,Storeria occipitomaculata,Red-bellied Snake,S5,G5
Suffolk,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler,S5B,G5
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Helanthium tenellum,Burhead,SX,G5?
Niagara,Plant,Flowering Plants,Other Flowering Plants,Quercus shumardii,Shumard Oak,S1,G5
Greene,Animal,Mammals,Rabbits and Hares,Sylvilagus transitionalis,New England Cottontail,S1S2,G3
Niagara,Animal,Birds,Kingfishers,Megaceryle alcyon,Belted Kingfisher,S5,G5
Warren,Plant,Flowering Plants,Sedges,Carex houghtoniana,Houghton's Sedge,S2,G5
Orleans,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,S5,G5
Niagara,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,S1,G4
