animal_id,animal_type,color_group,primary_color,breed_group,primary_breed,status_date,location,animal_identity,tag_no,tag_type,tag_subtype
A608598,DOG,BR,TRICOLOR,COLLIE,AUST SHEPHERD,2017-01-24 00:00:00,LOCKBOX,523433.0,L17-015416,LIC 3YSR,HLP WEB
A573374,DOG,OO,BLACK,COLLIE,BORDER COLLIE,2015-10-05 00:00:00,SHELTER,488317.0,U15-44890,RAB VAC CERT.,VET
A596498,DOG,BR,BROWN,HOUND,BEAGLE,2016-08-08 00:00:00,LOCKBOX,511422.0,L16-041524,LIC ALTERED,HLP WEB
A623030,CAT,,,SHORTHAIR,DOMESTIC SH,2017-08-05 00:00:00,LOCKBOX,537758.0,982000357768307,MICROCHIP,HLP SCAN
A601275,DOG,OO,GRAY,MASTIFF,PIT BULL,2016-09-28 00:00:00,SHELTER,516183.0,L16-007234,LIC ALTERED,VET
A595820,CAT,,,SHORTHAIR,DOMESTIC SH,2016-08-01 00:00:00,LOCKBOX,510741.0,L17-038808,LIC SR,HLP SCAN
A588657,DOG,OO,WHITE,TOY,SHIH TZU,2016-04-28 00:00:00,SHELTER,503572.0,L16-045666,LIC ALTERED,VET
A524664,DOG,B,BLACK,MASTIFF,PIT BULL,2014-04-25 00:00:00,SHELTER,439464.0,985112003877990,MICROCHIP ADO,HOME AGAIN
A632670,DOG,BR,TAN,MASTIFF,BOXER,2017-12-18 00:00:00,LOCKBOX,547297.0,L17-000428,LIC 3Y,HLP SCAN
A552663,OTHER,W,WHITE,FISH,TROPICAL,2015-02-06 00:00:00,SHELTER,467575.0,,,
A553312,DOG,OO,CREAM,SETTER/RETRIEVE,GOLDEN RETR,2015-02-13 00:00:00,LOCKBOX,468226.0,L15-043574,LIC ALTERED,HLP SCAN
A605087,DOG,OO,BLACK,TOY,BOSTON TERRIER,2016-11-21 00:00:00,SHELTER,519938.0,L17-028942,LIC ALTERED,COUNTER
A552158,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2015-02-03 00:00:00,SHELTER,467066.0,982000357781400,MICROCHIP,PET WATCH
