Month,Hours
2016-03,139890.25
2016-04,138170.75
2016-05,173107.5
2016-06,137221.75
2016-07,174565.75
2016-08,141404.75
2016-09,143870.5
2016-10,170997.0
2016-11,139804.25
2016-12,140182.0
2017-01,158762.25
2017-02,130682.25
