ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moyenne_de_la_recherche
banks,38,1.08,2.63%,82.93%,28.61,2.74
batman,38,1.61,0.00%,45.90%,209.61,7.66
dany bedar,38,1.08,0.00%,58.54%,28.34,1.92
La femme qui fuit,38,1.11,10.53%,38.10%,187.39,4.55
mike molly,38,1.03,5.26%,89.74%,26.71,1.61
star trek beyond,38,1.03,7.89%,84.62%,35.42,1.55
the 100,38,1.21,0.00%,54.35%,104.89,3.89
maxwell black,37,1.0,0.00%,97.30%,26.0,1.89
michael connelly,37,1.19,0.00%,50.00%,341.43,8.14
plume latraverse,37,1.41,5.41%,42.31%,265.22,5.89
woody allen,37,1.3,8.11%,52.08%,161.41,5.89
downton abbey,36,1.33,5.56%,25.00%,210.72,6.53
lynda lemay,36,1.14,2.78%,70.73%,120.42,2.97
the jungle book,36,1.06,2.78%,76.32%,52.75,2.36
breaking bad,35,1.66,2.86%,39.66%,262.17,7.4
criterion blu ray,35,1.09,17.14%,47.37%,204.46,4.57
mafia 3,35,1.37,17.14%,35.42%,105.6,5.31
martin michaud,35,1.09,2.86%,42.11%,89.43,4.34
nicolas jaar sirens,35,1.03,2.86%,97.22%,11.09,0.0
normand baillargeon,35,1.4,11.43%,12.24%,239.34,4.91
once upon a time,35,1.43,0.00%,54.00%,252.71,7.97
Shameless,35,1.09,2.86%,73.68%,60.09,2.2
1984,34,1.41,0.00%,56.25%,339.82,11.5
bine,34,1.21,8.82%,12.20%,248.03,7.32
groenland,34,1.15,2.94%,76.92%,64.0,2.79
minecraft,34,1.91,0.00%,40.00%,434.74,14.76
Narcos,34,1.18,11.76%,77.50%,95.06,1.5
sunset song,34,1.06,29.41%,61.11%,29.24,1.21
yoga,34,1.35,2.94%,47.83%,297.65,11.53
3 fois par jour,33,1.12,36.36%,29.73%,205.09,4.06
central intelligence,33,1.06,0.00%,85.71%,76.36,1.88
cuisine,33,1.21,3.03%,55.00%,385.45,12.24
Harry Potter,33,1.3,3.03%,34.88%,323.7,9.15
ima,33,1.21,3.03%,70.00%,123.15,3.58
inferno,33,1.45,0.00%,37.50%,186.85,6.85
kim thuy,33,1.33,0.00%,50.00%,347.85,8.09
lady gaga,33,1.09,6.06%,75.00%,120.55,2.73
le livre de la jungle,33,1.18,9.09%,71.79%,145.15,2.85
louise penny,33,1.36,3.03%,42.22%,349.33,8.48
miss peregrine,33,1.18,3.03%,41.03%,133.42,6.21
shawn mendes,33,1.18,12.12%,69.23%,79.15,2.24
the lobster,33,1.36,0.00%,60.00%,181.09,6.15
bruno pelletier,32,1.13,0.00%,83.33%,96.0,2.84
fargo,32,1.38,3.13%,45.45%,101.28,2.91
guillaume musso,32,1.53,3.13%,40.82%,383.91,10.0
les superbes,32,1.09,3.13%,45.71%,196.25,4.5
madame figaro,32,1.03,0.00%,30.30%,95.31,3.81
penny dreadful,32,1.16,9.38%,56.76%,86.16,4.19
pokemon,32,2.69,3.13%,36.05%,329.16,16.81
white lung,32,1.03,3.13%,90.91%,42.78,1.13
((TypeOfDocumentFacet=Livres_numeriques) and (TypeContentLimit=romans) not ((OFF=f) or (OFF=s))) not RELB=m,31,1.26,3.23%,38.46%,237.16,7.03
crystal castle amnesty,31,1.0,0.00%,100.00%,5.1,0.0
fifa 17,31,2.0,3.23%,25.81%,213.45,7.81
gabrielle bernstein the univers has got your back,31,1.06,61.29%,36.36%,35.9,0.23
Homeland,31,1.1,3.23%,61.76%,211.87,4.35
java,31,1.81,0.00%,44.64%,380.97,9.23
nicolas jaar,31,1.03,6.45%,87.50%,94.0,1.84
orange is the new black,31,1.23,0.00%,44.74%,195.87,5.29
Quantico,31,1.06,12.90%,66.67%,143.1,4.19
the nice guys,31,1.03,0.00%,71.88%,79.16,2.45
x men,31,1.06,3.23%,87.88%,175.84,5.65
britney spears glory,30,1.0,0.00%,86.67%,21.43,1.97
Game of thrones,30,1.53,6.67%,15.22%,368.2,10.67
julianna barwick,30,1.0,0.00%,90.00%,88.0,3.67
jungle book,30,1.1,10.00%,66.67%,116.1,3.1
samantha young,30,1.0,0.00%,76.67%,97.4,3.07
sia,30,1.4,3.33%,52.38%,134.47,4.77
veep,30,1.1,6.67%,66.67%,99.57,2.13
adele,29,1.55,3.45%,53.33%,163.38,8.93
britney spears,29,1.1,6.90%,68.75%,173.52,2.59
cafe society,29,1.14,24.14%,63.64%,38.9,0.55
elementary,29,1.1,3.45%,62.50%,182.52,5.17
gotham,29,1.34,0.00%,51.28%,145.59,5.59
kylie minogue,29,1.03,3.45%,93.33%,15.21,2.03
le code quÃ©bec,29,1.17,3.45%,23.53%,145.93,4.9
quantico,29,1.07,6.90%,77.42%,108.21,1.79
The good wife,29,1.03,55.17%,43.33%,57.66,0.76
x-men apocalypse,29,1.14,10.34%,75.76%,84.52,1.34
banshee,28,1.11,7.14%,67.74%,72.89,3.29
castle,28,1.5,0.00%,45.24%,176.11,4.82
celine dion,28,1.57,3.57%,38.64%,212.07,8.21
me before you,28,1.04,3.57%,82.76%,155.29,3.86
michel tremblay,28,1.18,3.57%,69.70%,229.18,9.25
psychologie,28,1.36,3.57%,57.89%,459.0,11.61
supergirl,28,1.21,3.57%,47.06%,65.32,4.61
the man who knew infinity,28,1.0,10.71%,78.57%,18.0,0.5
Veep,28,1.14,3.57%,65.63%,122.82,1.61
zootopia,28,1.29,0.00%,61.11%,346.64,5.32
anatomie et physiologie kinley,27,1.15,0.00%,12.90%,88.67,3.74
