HMG Ref,Title,Description/Notes for Minister,Dept,Control Type,Requested Value,Status/Decision/Result,Minister Sub Date
HMG4886,London Jordan International Conference,Investment conference hosted by the PM and King of Jordan - activity to take place Feb 2019,DFID,Advertising and Marketing ,"£569,199",Approved,06/09/2018
HMG4776,Safeguarding Summit ,A one day summit held in Oct 2018 to bring together the development sector to look at safeguarding issues and secure international commitments ,DFID,Advertising and Marketing ,"£549,360",Approved,25/07/2018
