COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE
"Energy Control Unlimited, Inc.",Cattaraugus,Dayton,31009200000000,G. Hills 1,UL,GD,-79.00488,42.37641
Unknown,Chautauqua,Arkwright,31013000000000,Stelnock W,UM,GD,-79.25495,42.43405
Newfield Gas & Oil,Livingston,West Sparta,31051000000000,McNair 7,UM,DW,-77.73052,42.59883
Unknown,Steuben,West Union,31101000000000,Unnamed,UM,DW,,
"Republic Light, Heat & Power",Ontario,East Bloomfield,31069000000000,Bailey G O 1,UM,DW,-77.45296,42.85808
Unknown,Erie,Alden,31029000000000,Knowles James,UM,GD,-78.54531,42.90655
Unknown,Cattaraugus,Allegany,31009700000000,KC 982,UN,NL,-78.54751,42.00135
"Loomis, T.B.",Yates,Potter,31123000000000,Loomis 2,UM,DH,-77.23125,42.74719
Unknown,Cattaraugus,Allegany,31009700000000,KC 616,UN,NL,-78.52736999999999,42.001781
Unknown,Steuben,Prattsburg,31101000000000,Merritt,UM,DW,,
"Cabot, G.L.",Oneida,Camden,31065000000000,Roberts M,UN,DW,-75.79782,43.37126
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,Woodard 3,UM,NL,-76.13741999999999,43.624759999999995
Miller Oil Co.,Cattaraugus,Allegany,31009600000000,Kinley KU5,UL,OD,-78.50288,42.00652
Unknown,Cattaraugus,Allegany,31009700000000,KC 840,UN,NL,-78.53648000000001,42.006122999999995
Unknown,Allegany,Wirt,31003700000000,Reiman L 102,UN,NL,-78.15243000000001,42.095379
Phoenix Gas Co.,Seneca,Seneca Falls,31099000000000,Wescott Bros 3,UM,GD,-76.77865,42.94328
DYM Corp.,Cattaraugus,Conewango,31009000000000,Mike Keller 1,UN,OW,-78.99011999999999,42.23988
Unknown,Allegany,Bolivar,31003700000000,Dunn P 45,UM,NL,-78.15393,42.060089000000005
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley O-26,UL,OD,-77.70395,42.09702
Unknown,Allegany,Wirt,31003700000000,Jakima S 5,UN,NL,-78.14276,42.09362
Unknown,Allegany,Bolivar,31003700000000,PYR 123,UN,NL,-78.18005,42.083633
Unknown,Seneca,Junius,31099000000000,Pryor,UM,DH,,
Unknown,Allegany,Wirt,31003700000000,Webb E 27,UM,NL,-78.14793,42.098114
"Republic Light, Heat & Power",Ontario,East Bloomfield,31069000000000,Denby M M Thomas 3,UM,GD,-77.47426,42.868520000000004
"Dearth, G. et al",Chemung,Veteran,31015000000000,Turner 1,UL,DW,-76.7989,42.22235
Unknown,Allegany,Bolivar,31003700000000,Dunn P 98,UN,NL,-78.15665,42.057983
Unknown,Cattaraugus,Allegany,31009700000000,KC 196,UN,NL,-78.50485,42.002720000000004
Unknown,Cattaraugus,Allegany,31009700000000,KC 953,UN,NL,-78.54435,42.009289
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Austin 278,UL,NL,-77.70272,42.093090000000004
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Keenan 345,UL,NL,-77.69582,42.0886
Unknown,Cattaraugus,Allegany,31009700000000,KC 733,UN,NL,-78.53116,42.012032
Moore Producing Co.,Allegany,Bolivar,31003600000000,Curtis Farm U28,UL,IW,-78.19076,42.076808
Unknown,Allegany,Wirt,31003700000000,Jakima S 58,UN,NL,-78.14551999999999,42.092983000000004
Unknown,Allegany,Bolivar,31003700000000,DF 11,UL,NL,-78.11721,42.04739
"Republic Light, Heat & Power",Chautauqua,Sheridan,31013000000000,Pattison L C,UM,GD,-79.19144,42.497859999999996
Unknown,Allegany,Wirt,31003700000000,Reiman L 22,UN,NL,-78.14751,42.095856
P & G Oil Co.,Allegany,Willing,31003600000000,Minges U9,UL,NL,-77.89914,42.07999
Unknown,Allegany,Alma,31003700000000,Root F 104,UM,NL,-78.05696,42.061768
Unknown,Cattaraugus,Allegany,31009700000000,KC 652,UM,NL,-78.52861,42.012966
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-14,UL,IW,-77.70078000000001,42.09559
Unknown,Chautauqua,Hanover,31013000000000,Stone E T and Eliz 1,UN,NL,-79.11910999999999,42.49703
Unknown,Allegany,Bolivar,31003700000000,Root K 14,UL,NL,-78.07507,42.059608000000004
Unknown,Ontario,West Bloomfield,31069000000000,Rollins 3,UM,NL,,
Unknown,Allegany,Wirt,31003700000000,Crockett D 74,UL,NL,-78.17535,42.08685
Unknown,Allegany,Wirt,31003700000000,Jakima S 28,UN,NL,-78.14369,42.092152
