Reference Number,Owning Dept/ALB Department,ALB,Case Name,Case details,Value (£) (excluding VAT),Approval date,Control
HMGD093,HMRC,,Simple Assessment Reconciliation,Project will complete work required for customers to continue to receive Simple Assessment charges and to ensure that the accounting for the charges can then be reconciled.,£5.9m,28/05/2019,ICT
HMGD090,HMRC,,O365 Project,2019/20 project costs to complete the roll out of O365 for HMRC staff.,£1.2m,06/06/2019,ICT
