animal_id,animal_type,color_group,primary_color,breed_group,primary_breed,status_date,location,animal_identity,tag_no,tag_type,tag_subtype
A612142,DOG,BR,BROWN,SHEPHERD,GERM SHEPHERD,2017-03-07 00:00:00,WEB,526925.0,,,
A628428,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2017-10-17 00:00:00,LOCKBOX,543071.0,L17-048633,LIC ALTERED,HLP SCAN
A630873,CAT,W,WHITE,SHORTHAIR,AMER SH,2017-11-27 00:00:00,LOCKBOX,545507.0,L17-022918,LIC ALTERED,HLP WEB
A569073,CAT,OO,ORANGE,SHORTHAIR,DOMESTIC SH,2015-08-21 00:00:00,SHELTER,484015.0,L17-052006,LIC ALTERED,MAIL
A596252,DOG,BR,CHOCOLATE,SETTER/RETRIEVE,LABRADOR RETR,2016-08-04 00:00:00,SHELTER,511168.0,,,
A561703,DOG,BR,RED,POINTER,VIZSLA,2015-05-28 00:00:00,LOCKBOX,476627.0,RAB9124165,LIC ALTERED,VET
A569171,CAT,BR,ORG TABBY,LONGHAIR,DOMESTIC MH,2015-08-22 00:00:00,SHELTER,484113.0,L16-042288,LIC 3YSR,HLP WEB
A631000,CAT,,,SHORTHAIR,DOMESTIC SH,2017-11-27 00:00:00,LOCKBOX,545635.0,U17-009692,RABIES CERT,HLP SCAN
A598276,CAT,BR,WHITE,SHORTHAIR,DOMESTIC SH,2016-09-16 00:00:00,SHELTER,513199.0,,,
A554068,CAT,BR,BRN TABBY,SHORTHAIR,DOMESTIC SH,2015-02-25 00:00:00,SHELTER,468982.0,,,
A587022,DOG,OO,BLUE,MASTIFF,PIT BULL,2016-04-13 00:00:00,SHELTER,501979.0,R16-3131,RAB VAC CERT.,RESQ
A618186,DOG,OO,BLACK,HOUND,BEAGLE,2017-05-26 00:00:00,SHELTER,532946.0,L17-041138,LIC ALTERED,VET
A549669,DOG,W,WHITE,TOY,HAVANESE,2015-01-06 00:00:00,LOCKBOX,464563.0,L16-043442,LIC ALTERED,HLP WEB
A604733,CAT,OO,GRAY,SHORTHAIR,DOMESTIC SH,2016-11-15 00:00:00,SHELTER,519582.0,L16-029454,LIC ALTERED,VET
A595835,DOG,BR,BROWN,SETTER/RETRIEVE,LABRADOR RETR,2016-08-01 00:00:00,LOCKBOX,510756.0,L17-033836,LIC ALTERED,HLP SCAN
A614666,DOG,B,BLACK,MASTIFF,GREAT DANE,2017-04-07 00:00:00,SHELTER,529415.0,985113001043712,MICROCHIP ADO,HOME AGAIN
A624019,DOG,OO,TRICOLOR,HOUND,BEAGLE,2017-08-22 00:00:00,LICENSE,538740.0,L17-037235,LIC ALTERED,VET
A608885,DOG,OO,CREAM,SETTER/RETRIEVE,LABRADOR RETR,2017-01-25 00:00:00,SHELTER,523720.0,RAB9714803,RABIES CERT,VET
A449479,DOG,BR,RED,HOUND,BEAGLE,2011-12-21 00:00:00,SHELTER,363505.0,985121006718351,MICROCHIP ADO,HOME AGAIN
A587265,CAT,B,CALICO,LONGHAIR,DOMESTIC LH,2016-04-14 00:00:00,LOCKBOX,502222.0,U16-007270,RABIES CERT,HLP IMPORT
A629254,DOG,W,WHITE,MASTIFF,PIT BULL,2017-10-31 00:00:00,SHELTER,543893.0,L17-054993,LIC ALTERED,COUNTER
A580097,DOG,B,BLACK,MIX,MIX,2016-01-03 00:00:00,LOCKBOX,495049.0,L16-041232,LIC ALTERED,HLP WEB
A610734,DOG,OO,BLACK,MASTIFF,GREAT DANE,2017-02-20 00:00:00,SHELTER,525544.0,L17-044028,LIC UNALTERED,COUNTER
A576350,DOG,OO,BROWN,HOUND,BEAGLE,2015-11-13 00:00:00,SHELTER,491299.0,L15-039968,LIC ALTERED,VET
A628955,DOG,OO,GRAY,TOY,SHIH TZU,2017-10-25 00:00:00,LICENSE,543594.0,L17-041641,LIC ALTERED,VET
A609900,DOG,OO,WHITE,TERRIER,JACK RUSS TER,2017-02-09 00:00:00,SHELTER,524735.0,OA11065972,MICROCHIP,PET WATCH
