animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A577425,DOG,SETTER/RETRIEVE,GOLDEN RETR,L16-044079,LIC ALTERED,HLP WEB,10.5,2016-11-28 00:00:00,2017-11-16 00:00:00,RENEWED
A583973,CAT,SHORTHAIR,DOMESTIC SH,L16-056016,LIC ALTERED,HLP SCAN,9.0,2016-02-24 00:00:00,2017-01-04 00:00:00,RENEWED
A562321,DOG,TOY,SHIH TZU,U15-003015,RABIES CERT,HLP IMPORT,,2015-06-05 00:00:00,2018-05-09 00:00:00,CURRENT
A622134,DOG,SHEPHERD,GERM SHEPHERD,985113001069641,MICROCHIP RTO,HOME AGAIN,25.0,2018-07-21 00:00:00,2019-07-21 00:00:00,CURRENT
A578706,DOG,HOUND,BEAGLE,L15-032689,LIC ALTERED,HLP IMPORT,9.5,2015-12-11 00:00:00,2016-11-20 00:00:00,RENEWED
A623024,DOG,COLLIE,AUST SHEPHERD,L17-035089,LIC ALTERED,HLP SCAN,10.0,2017-08-05 00:00:00,2018-05-09 00:00:00,CURRENT
A598383,DOG,,MIXM,L17-027591,LIC ALTERED,HLP SCAN,10.0,2017-09-28 00:00:00,2018-05-26 00:00:00,CURRENT
A626120,DOG,POODLE,BICHON FRISE,L17-229941,LIC ALTERED,ADOPT,10.0,2017-10-04 00:00:00,2018-10-03 00:00:00,CURRENT
A584259,DOG,MASTIFF,PIT BULL,,,,,,,
A588252,DOG,MASTIFF,PIT BULL,L17-006468,LIC ALTERED,MAIL,10.0,2017-05-16 00:00:00,2018-05-11 00:00:00,CURRENT
A559906,DOG,SIGHTHOUND,BASENJI,045818585,MICROCHIP,HLP WEB,0.0,2015-06-23 00:00:00,,CURRENT
A576020,DOG,TOY,CHIHUAHUA SH,,,,,,,
A573699,DOG,SHEPHERD,GERM SHEPHERD,,,,,,,
A617550,RABBIT,RABBIT,RABBIT SH,,,,,,,
A591926,DOG,SHEPHERD,GERM SHEPHERD,0A117C757E,MICROCHIP,HLP IMPORT,0.0,2016-06-08 00:00:00,,CURRENT
A586303,DOG,SHEPHERD,GERM SHEPHERD,L16-002964,LIC SR,MAIL,5.0,2016-03-31 00:00:00,2016-12-29 00:00:00,RENEWED
A577982,CAT,SHORTHAIR,DOMESTIC SH,L15-019495,LIC ALTERED,VET,9.0,2015-12-09 00:00:00,2016-09-01 00:00:00,CURRENT
A623182,DOG,SHEPHERD,GERM SHEPHERD,L17-003237,LIC ALTERED,MAIL,10.0,2017-08-09 00:00:00,2018-07-31 00:00:00,CURRENT
A068213,CAT,SHORTHAIR,DOMESTIC SH,L16-025816,LIC SR,VET,5.0,2016-08-23 00:00:00,2017-07-29 00:00:00,CURRENT
A598918,DOG,,DACHSHUND SM,L16-018758,LIC SR,HLP SCAN,5.0,2016-08-30 00:00:00,2017-07-23 00:00:00,CURRENT
A620357,CAT,SHORTHAIR,SIAMESE,,,,,,,
A488444,DOG,MASTIFF,PIT BULL,D14-020139,LIC UNALTERED,COUNTER,50.0,2013-05-21 00:00:00,2014-04-09 00:00:00,CURRENT
A602121,DOG,SETTER/RETRIEVE,LABRADOR RETR,,,,,,,
A551921,CAT,SHORTHAIR,DOMESTIC SH,51700,RAB VAC CERT.,VET,0.0,2015-01-31 00:00:00,2015-01-31 00:00:00,RENEWED
A553201,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A508650,DOG,COLLIE,BORDER COLLIE,L14-027748,LIC ALTERED,HLP SCAN,9.0,2014-10-08 00:00:00,2015-08-29 00:00:00,RENEWED
A554067,DOG,MASTIFF,PIT BULL,,,,,,,
A580019,DOG,SETTER/RETRIEVE,IRISH SETTER,0A02604138,MICROCHIP,HLP WEB,0.0,2016-01-02 00:00:00,,CURRENT
A581723,DOG,MASTIFF,BULLDOG,L16-030944,LIC ALTERED,HLP SCAN,10.0,2017-02-13 00:00:00,2017-11-16 00:00:00,CURRENT
A471264,DOG,SETTER/RETRIEVE,LABRADOR RETR,L15-016982,LIC ALTERED,VET,9.0,2015-08-28 00:00:00,2016-04-30 00:00:00,RENEWED
A568110,CAT,,UNKNOWN,L15-057722,LIC ALTERED,HLP IMPORT,9.5,2015-08-06 00:00:00,2016-03-25 00:00:00,CURRENT
A616464,DOG,MASTIFF,AM PIT BULL TER,,,,,,,
A606535,DOG,SHEPHERD,GERM SHEPHERD,L16-044407,LIC ALTERED,HLP WEB,10.5,2016-12-13 00:00:00,2017-06-01 00:00:00,CURRENT
A575652,DOG,COLLIE,AUST SHEPHERD,000000099324628,MICROCHIP,HLP WEB,0.0,2015-11-02 00:00:00,,CURRENT
A628081,DOG,MASTIFF,PIT BULL,L17-009111,LIC ALTERED,ADOPT,10.0,2017-11-25 00:00:00,2018-11-10 00:00:00,CURRENT
A471883,DOG,COLLIE,AUST SHEPHERD,L15-023111,LIC ALTERED,COUNTER,9.0,2015-06-04 00:00:00,2016-06-01 00:00:00,CURRENT
A565295,DOG,COLLIE,AUST SHEPHERD,,,,,,,
A616306,DOG,MASTIFF,AM PIT BULL TER,L17-029526,LIC ALTERED,COUNTER,10.0,2017-04-28 00:00:00,2018-03-25 00:00:00,CURRENT
A591878,DOG,COLLIE,SHETLD SHEEPDOG,L16-045388,LIC ALTERED,HLP SCAN,10.0,2016-06-07 00:00:00,2017-04-16 00:00:00,RENEWED
A593442,DOG,SETTER/RETRIEVE,LABRADOR RETR,985112007612731,MICROCHIP ADO,HOME AGAIN,25.0,2016-07-04 00:00:00,2017-07-04 00:00:00,CURRENT
A402942,CAT,SHORTHAIR,DOMESTIC SH,C10-020916,LIC ALTERED,,9.0,2009-12-31 00:00:00,2010-07-28 00:00:00,CURRENT
A556763,DOG,MASTIFF,BOXER,985112005137019,MICROCHIP RTO,HOME AGAIN,25.0,2016-04-01 00:00:00,2017-04-01 00:00:00,CURRENT
A572718,DOG,TOY,DACHSHUND,L16-040156,LIC ALTERED,HLP WEB,10.5,2016-06-22 00:00:00,2017-06-22 00:00:00,RENEWED
A603626,DOG,MASTIFF,PIT BULL,L16-007714,LIC UNALTERED,COUNTER,50.0,2017-09-27 00:00:00,2017-10-09 00:00:00,CURRENT
A569575,DOG,HOUND,BEAGLE,985112006053457,MICROCHIP ADO,HOME AGAIN,25.0,2015-10-28 00:00:00,2016-10-28 00:00:00,CURRENT
A608800,DOG,TOY,DACHSHUND,L16-009380,LIC ALTERED,VET,10.0,2017-01-25 00:00:00,2017-12-08 00:00:00,CURRENT
A584742,CAT,SHORTHAIR,DOMESTIC SH,L16-048120,LIC ALTERED,VET,9.0,2016-03-09 00:00:00,2017-01-14 00:00:00,CURRENT
A606321,DOG,SHEPHERD,GERM SHEPHERD,,,,,,,
A577740,DOG,MASTIFF,PIT BULL,L15-009670,LIC UNALTERED,COUNTER,60.0,2016-02-26 00:00:00,2016-04-11 00:00:00,RENEWED
A595584,DOG,SHEEPDOG,BOUV FLANDRES,,,,,,,
A575968,DOG,HOUND,BEAGLE,U15-44965,RAB VAC CERT.,VET,0.0,2015-11-07 00:00:00,2018-10-28 00:00:00,CURRENT
A337152,DOG,SHEPHERD,WELSH CORGI CAR,D10-053210,LIC SR,,4.5,2010-01-15 00:00:00,2010-12-31 00:00:00,RENEWED
A393270,DOG,TOY,LHASA APSO,L14-059157,LIC ALTERED,COUNTER,9.0,2014-08-01 00:00:00,2014-12-03 00:00:00,RENEWED
A558813,DOG,HOUND,BEAGLE,L15-013957,LIC ALTERED,MAIL,9.0,2015-04-30 00:00:00,2016-04-01 00:00:00,RENEWED
A189393,CAT,SHORTHAIR,DOMESTIC SH,C07-013862,LIC ALTERED,,7.0,2006-09-27 00:00:00,2007-08-26 00:00:00,RENEWED
A551801,CAT,SHORTHAIR,DOMESTIC SH,L14-029722,LIC ALTERED,HLP SCAN,9.5,2015-01-28 00:00:00,2015-12-15 00:00:00,RENEWED
A602974,DOG,SETTER/RETRIEVE,GOLDEN RETR,RAB52791,RABIES CERT,VET,0.0,2016-10-27 00:00:00,2016-09-13 00:00:00,CURRENT
A570627,CAT,SHORTHAIR,DOMESTIC SH,U15-003940,RABIES CERT,HLP IMPORT,,2015-09-09 00:00:00,2016-08-27 00:00:00,CURRENT
A599121,CAT,SHORTHAIR,DOMESTIC SH,RAB9353846,RABIES CERT,VET,0.0,2016-09-01 00:00:00,2016-07-29 00:00:00,CURRENT
A582881,DOG,SETTER/RETRIEVE,LABRADOR RETR,L15-036981,LIC ALTERED,HLP SCAN,9.0,2016-02-09 00:00:00,2016-10-23 00:00:00,CURRENT
A583553,DOG,TOY,BOSTON TERRIER,L17-018560,LIC UNALTERED,HLP WEB,60.5,2017-05-23 00:00:00,2018-02-10 00:00:00,CURRENT
A558116,CAT,SHORTHAIR,DOMESTIC SH,L15-009510,LIC ALTERED,MAIL,9.0,2016-02-15 00:00:00,2016-12-16 00:00:00,RENEWED
A619183,DOG,TOY,CHIHUAHUA SH,L17-006719,LIC ALTERED,COUNTER,10.0,2017-06-23 00:00:00,2018-06-15 00:00:00,CURRENT
A591203,CAT,LONGHAIR,DOMESTIC MH,L16-005797,LIC ALTERED,COUNTER,10.0,2016-09-02 00:00:00,2017-09-02 00:00:00,CURRENT
A611957,DOG,POODLE,POODLE MIN,,,,,,,
