Ecoregion,Park,Point transect name,Point transect identification,Elevation (m),Year,Month,Day,Temperature (Celcius),Sky condition,Wind speed (km/h),Common_Name,Scientific_Name,Number of Birds Detected from 0-3:20 (minutes),Number of Birds Detected from 3:20-6:40 (minutes),Number of Birds Detected from 6:40-10:00 (minutes),Behaviour,Easting coordinate,Northing coordinate
Écorégion,Parc,Nom du point-transect,Identification du point-transect,Élévation (m),Anneé,Mois,Jour,Température (Celcius),Condition du ciel,Vitesse du vent (km/h),Nom commun,Nom scientifique,Nombre doiseaux observés entre 0 et 3 min 20 (minutes),Nombre doiseaux observés entre 3 min 20 et 6 min 40 (minutes),Nombre doiseaux observés entre 6 min 40 et 10 min (minutes),Comportement,Abscisse,Ordonnée
Alpine,GNP,Abbott Ridge,3,2334,2014,7,9,14.8,clear,1.6,PINE SISKIN,Carduelis pinus,1,1,2,Calling,464268,5677100
Alpine,GNP,Abbott Ridge,3,2334,2016,6,28,10.6,Broken,0,TOWNSEND'S SOLITAIRE,Myadestes townsendi,1,1,1,Singing,464268,5677100
Alpine,GNP,Abbott Ridge,3,2334,2018,7,8,11.3,broken,0,AMERICAN PIPIT,Anthus spinoletta,0,1,0,Singing,464268,5677100
Alpine,GNP,Abbott Ridge,3,2334,2018,7,8,11.3,broken,0,SWAINSON'S THRUSH,Catharus ustulatus,0,0,1,Calling,464268,5677100
Alpine,GNP,Abbott Ridge,3,2334,2019,7,12,9.5,Broken,9,PINE SISKIN,Carduelis pinus,3,0,1,Calling,464268,5677100
Alpine,GNP,Abbott Ridge,3,2334,2019,7,12,9.5,Broken,9,HERMIT THRUSH,Catharus guttatus,2,2,2,Singing,464268,5677100
Alpine,GNP,Abbott Ridge,3,2334,2020,7,11,9,Clear,2,CHIPPING SPARROW,Spizella passerina,1,1,1,Singing,464268,5677100
Alpine,GNP,Abbott Ridge,3,2334,2020,7,11,9,Clear,2,TOWNSEND'S SOLITAIRE,Myadestes townsendi,1,1,1,Singing,464268,5677100
Alpine,GNP,Abbott Ridge,4,2365,2014,7,9,13.2,clear,5.5,DARK-EYED JUNCO,Junco hyemalis,0,0,1,Singing,464364,5676817
