Production Year,Operator,County,Town,Producing Formation,Injection Wells,Disposal Wells,"Oil Produced, bbl",Purchaser Codes
1984,Southwestern Central School District,Chautauqua,ELLICOTT,MEDINA,0,0,0,
1994,"Envirogas, Inc.",Erie,NEWSTEAD,MEDINA,0,0,0,GK
1987,Miller Brewing Co.,Cayuga,SPRINGPORT,QUEENSTON,0,0,0,
1975,"Bouquin, Fred C Jr",Cattaraugus,ALLEGANY,CHIPMUNK,0,0,1446,OC
1986,Interco Energy Development Corp,Wyoming,ARCADE,MEDINA,0,0,0,GX
1988,"Petri Baking Products, Inc.",Chautauqua,DUNKIRK,MEDINA,0,0,0,
1989,"Eastern States Energy, Inc.",Erie,ORCHARD PARK,MEDINA,0,0,0,GK
1967,"Glass,  Theodore G.",Chautauqua,BUSTI,GLADE,0,0,2350,OB
1995,"Oil, Gas & Land Services, Inc.",Chautauqua,CHARLOTTE,ONONDAGA-BASS ISLAND,0,0,0,
1975,"Root, Ralph Mr.",Allegany,BOLIVAR,SCIO,0,0,487,OB
1995,"Nornew, Inc.",Chautauqua,KIANTONE,MEDINA,0,0,0,GK
1985,"Wormley, Fred K",Allegany,ANDOVER,RICHBURG,0,0,50,OB
1990,Terra Energy,Chautauqua,DUNKIRK,MEDINA,0,0,0,GK
1977,"Edwards, Nathan B Jr",Steuben,WEST UNION,FULMER VALLEY,0,0,20,
1989,Laurdon Gas,Chautauqua,ARKWRIGHT,MEDINA,0,0,0,GK
1986,"Sprague, Gary R",Chautauqua,BUSTI,MEDINA,0,0,0,
1997,"Weber, Richard",Erie,TONAWANDA,MEDINA,0,0,0,
1994,"Markham, Charles A., Jr. & Janet E.",Cattaraugus,DAYTON,MEDINA,0,0,0,
1988,Petroleum Security Corp.,Erie,MARILLA,MEDINA,0,0,0,
1988,"Universal Resources Holdings, Incorporated",Chautauqua,ELLINGTON,MEDINA,0,0,0,GH
1996,"Murphy, Peter & Henley, Robert",Erie,NEWSTEAD,MEDINA,0,0,0,
1989,"SCG Gas Quest, Inc.",Erie,EVANS,MEDINA,0,0,0,GQ
1975,"State Line Oil & Gas Co.,Inc.",Chautauqua,RIPLEY,MEDINA,0,0,0,
1993,"Capron, Lee H. and Elsie",Chautauqua,BUSTI,MEDINA,0,0,0,
1972,"Clark, Newton",Allegany,,,0,0,86,OB
1993,Energy Production Co.,Cattaraugus,PORTVILLE,UPPER DEVONIAN,0,0,0,
1995,East Aurora Union Free School District,Erie,AURORA,MEDINA,0,0,0,
1999,National Fuel Gas Supply Corp.,Erie,WEST SENECA,MEDINA,0,0,0,
1995,"Rose, Philip M.",Cattaraugus,OLEAN,BRADFORD,0,0,48,OC
1989,"Lyndon Oil Co.,Inc.",Cattaraugus,CARROLLTON,BRADFORD,0,0,14999,OA
1990,"J M Resources, Inc.",Chautauqua,ARKWRIGHT,MEDINA,0,0,0,GK
