Production Year,Operator,County,Town,Producing Formation,Injection Wells,Disposal Wells,"Oil Produced, bbl",Purchaser Codes
1997,Salzmans Farm,Erie,EDEN,MEDINA,0,0,0,
1995,Panama Central School District,Chautauqua,HARMONY,MEDINA,0,0,0,
1987,"American Penn Energy,  Inc.",Chautauqua,CHERRY CREEK,MEDINA,0,0,0,GH
1970,Iroquois Gas Corp.,Chautauqua,ARKWRIGHT,MEDINA,0,0,0,GX
1983,"Cline, Willard M",Cattaraugus,CARROLLTON,BRADFORD,0,0,0,
1985,"Universal Resources Holdings, Incorporated",Chautauqua,ARKWRIGHT,MEDINA,0,0,0,GK
1999,Terra Energy,Chautauqua,DUNKIRK,MEDINA,0,0,0,GX
1993,Haran Energy Corp.,Erie,ELMA,MEDINA,0,0,0,GX
1981,Wood Oil Co.,Cattaraugus,OLEAN,BRADFORD,0,0,793,OA
1999,Belden & Blake Corporation,Chautauqua,PORTLAND,MEDINA,0,0,0,GK
1992,"Kidder Exploration, Inc.",Cattaraugus,DAYTON,MEDINA,0,0,0,GK
1990,"Templeton, W M",Cattaraugus,OTTO,MEDINA,0,0,0,GK
1981,Quaker State Corp.,Cattaraugus,OLEAN,BRADFORD,0,0,589,OB
1986,"Templeton Energy,  Inc.",Chautauqua,STOCKTON,MEDINA,0,0,0,"GK,GX"
1997,Eastern American Energy Corp.,Steuben,HORNELLSVILLE,ORISKANY,0,0,0,GH
1972,"Burlingame, Leonard L",Allegany,OLEAN,BRADFORD,0,0,80,OA
1999,"Industrial Patterns, Inc.",Allegany,GENESEE,WAUGH & PORTER,0,0,0,
1989,"Fifteen Alberta Resources, Inc",Chautauqua,ELLERY,MEDINA,0,0,0,GK
1985,Ginell Oil & Gas Association.,Erie,EVANS,MEDINA,0,0,0,GK
1992,Wells College,Cayuga,LEDYARD,QUEENSTON,0,0,0,
1985,"Excel Industries, Inc.",Erie,NEWSTEAD,MEDINA,0,0,0,
1998,Schreiner Oil and Gas Inc.,Chautauqua,CHAUTAUQUA,MEDINA,0,0,0,GX
1979,Cone Brothers,Genesee,STAFFORD,MEDINA,0,0,0,
1968,Iroquois Gas Corp.,Cattaraugus,PERRYSBURG,MEDINA,0,0,0,GX
1969,"Jennings, Earl",Allegany,WIRT,RICHBURG,0,0,451,OB
1987,National Fuel Gas Supply Corp.,Erie,WALES,MEDINA,0,0,0,GK
1980,Estate of Edward Eckstrom,Chautauqua,BUSTI,GLADE,0,0,36,OB
1981,"Templeton Energy,  Inc.",Erie,BRANT,MEDINA,0,0,0,GK
1972,Thropp Oil & Gas Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,5452,"OA,OC"
1992,Auburn Country Club,Cayuga,OWASCO,ONONDAGA,0,0,0,
1993,Carol Holly Oil Corp.,Chautauqua,CARROLL,MEDINA,0,0,0,GK
1992,Farm Energy Trust,Wyoming,GENESEE FALLS,MEDINA,0,0,0,
1996,"Rodgers, Ronald D.",Chautauqua,,,0,0,0,
1996,"Fairmont Oil Co., Inc.",Allegany,CANEADEA,MEDINA,0,0,0,
1975,"Shear, Norman & Marjorie",Allegany,WARD,SCIO,0,0,445,OB
1986,Meridian Exploration Corp.,Cayuga,AURELIUS,QUEENSTON,0,0,0,GX
1998,New York Gas & Oil Drilling Co,Wyoming,BENNINGTON,MEDINA,0,0,0,GR
1998,"Brown, Edward J. and Anne D.",Seneca,FAYETTE,QUEENSTON,0,0,0,
1989,"Clark, Donald C",Wyoming,PERRY,MEDINA,0,0,0,
1979,"Potter, Clair W",Chautauqua,BUSTI,GLADE,0,0,262,OA
1985,"Meeder, William H",Wyoming,MIDDLEBURY,MEDINA,0,0,0,
1979,Waste Water Treatment Plant,Chautauqua,DUNKIRK,MEDINA,0,0,0,
1986,"O'Shanter Resources,  Inc.",Cattaraugus,OLEAN,BRADFORD,0,0,732,OA
1973,"Paragon Resources, Inc.",Chautauqua,MINA,MEDINA,0,0,0,
1998,"Czarniak, Dennis G. and Donna",Erie,COLDEN,MEDINA,0,0,0,
1990,"Empire Exploration, Inc.",Cattaraugus,LEON,MEDINA,0,0,0,
1990,C.J. Gas,Chautauqua,WESTFIELD,MEDINA,0,0,0,
1997,"Vogel, Stasia Zoladz",Erie,EVANS,MEDINA,0,0,0,
1986,Eden Central School District,Erie,EDEN,MEDINA,0,0,0,
1987,I Squared Energy II,Erie,NEWSTEAD,MEDINA,0,0,0,
1975,Messer Oil Corp.,Allegany,BOLIVAR,RICHBURG,0,0,3678,OB
1991,Eden Central School District,Erie,EDEN,MEDINA,0,0,0,
1988,TGX Corp.,Chautauqua,STOCKTON,MEDINA,0,0,0,GX
1998,Seneca Resources Corporation,Cattaraugus,DAYTON,MEDINA,0,0,0,GK
1993,"Quebecor Printing Buffalo, Inc",Erie,CHEEKTOWAGA,MEDINA,0,0,0,
1996,"Betts-Cooper, Robin",Chautauqua,MINA,MEDINA,0,0,0,
1967,Transamerican Petroleum Corp.,Wyoming,MIDDLEBURY,,0,0,0,
1987,"P & S Drilling, Inc.",Erie,ELMA,MEDINA,0,0,0,"GK,GX"
1985,"East View Farms, Inc.",Genesee,PAVILION,MEDINA,0,0,0,
1995,Lomak Operating Company,Chautauqua,WESTFIELD,MEDINA,0,0,0,GK
1990,Elma Partnership,Erie,ELMA,MEDINA,0,0,0,
1977,"Yahn & Yahn, Inc.",Steuben,WEST UNION,FULMER VALLEY,0,0,0,OB
1999,"Ardent Resources, Inc.",Chautauqua,HARMONY,MEDINA,0,0,0,GH
1993,"Sinclairville Petroleum, Inc.",Erie,EVANS,MEDINA,0,0,0,
1987,"Greater Buffalo Press,  Inc.",Erie,TONAWANDA,MEDINA,0,0,0,
1968,"D.W. Franchot & Co., Inc.",Steuben,,FULMER VALLEY,0,0,5237,OB
1999,Cal Ban Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,2353,OD
1982,Berea Oil & Gas Corp.,Chautauqua,CHERRY CREEK,MEDINA,0,0,0,GH
1992,National Fuel Gas Supply Corp.,Erie,WEST SENECA,MEDINA,0,0,0,GK
1997,Whiting Well Partnership,Erie,NEWSTEAD,MEDINA,0,0,0,GX
1989,"Envirogas, Inc.",Chautauqua,ELLICOTT,MEDINA,0,0,0,GK
1990,"Duntley, Kevin R. and Luise",Cattaraugus,DAYTON,MEDINA,0,0,0,
1984,"Murphy, Peter & Henley, Robert",Erie,NEWSTEAD,MEDINA,0,0,0,GK
1986,"GFS Energy, Inc.",Wyoming,COVINGTON,MEDINA,0,0,0,GK
1987,Mitchell Exploration Corp.,Cattaraugus,FARMERSVILLE,MEDINA,0,0,0,
1983,"Allen, Lillian B",Allegany,WILLING,,0,0,77,
1989,A & F Oil Co.,Allegany,GENESEE,RICHBURG,0,0,53,OB
1982,"Jennings, Alfred",Allegany,AMITY,SCIO,4,0,100,OB
1975,"Garr, Grace",Cattaraugus,ALLEGANY,BRADFORD,0,0,122,OA
1988,"Trahan Petroleum, Inc.",Chautauqua,HARMONY,MEDINA,0,0,0,GH
1969,Iroquois Gas Corp.,Allegany,INDEPENDENCE,CHEMUNG,0,0,0,
1994,U S Energy Development Corp.,Chautauqua,CHAUTAUQUA,MEDINA,0,0,0,GH
1973,Thornton Co.,Allegany,,RICHBURG,0,0,2297,OB
1988,"Empire Exploration, Inc.",Erie,CONCORD,ONONDAGA,0,0,0,
1994,"Stephan, Phillip D.",Cattaraugus,ALLEGANY,BRADFORD,0,0,337,OC
1998,National Fuel Gas Supply Corp.,Erie,BRANT,MEDINA,0,0,0,
1983,Miller Brewing Co.,Cayuga,AURELIUS,QUEENSTON,0,0,0,
1971,"Alden Aurora Gas Co.,  Inc.",Erie,ALDEN,MEDINA,0,0,0,GX
1988,21 West Green Street Associates,Chautauqua,POMFRET,MEDINA,0,0,0,GK
1987,"Eaton, Edward M",Cattaraugus,ALLEGANY,BRADFORD,0,0,0,
1985,"Fairmont Oil Co., Inc.",Allegany,RUSHFORD,UPPER DEVONIAN,0,0,0,
1984,"Church, Walter L",Chautauqua,GERRY,MEDINA,0,0,0,
1986,"Chautauqua Energy, Inc.",Chautauqua,SHERMAN,MEDINA,0,0,0,GH
1976,Frisina Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,240,OA
1985,"Resource Exploration, Inc.",Chautauqua,NORTH HARMONY,MEDINA,0,0,0,GH
1985,Oilmark & Co.,Chautauqua,RIPLEY,MEDINA,0,0,0,GK
1984,"Geise, Francis L",Cattaraugus,ALLEGANY,BRADFORD,0,0,208,"OA,OC"
1999,"Universal Resources Holdings, Incorporated",Chautauqua,CHARLOTTE,MEDINA,0,0,0,GK
1992,J. J. Bucher Producing Corporation,Allegany,BOLIVAR,RICHBURG,14,0,3336,OC
1996,"Tiffany, Glenn O",Tioga,OWEGO,MARCELLUS,0,0,0,
1989,"Angell,George B",Allegany,ALMOND,MARCELLUS,0,0,0,GK
1995,"GFS Energy, Inc.",Chautauqua,GERRY,MEDINA,0,0,0,"GH,GK"
1993,"Empire Exploration, Inc.",Erie,EDEN,MEDINA,0,0,0,GK
1984,Westinghouse Electric Corp.,Erie,CHEEKTOWAGA,MEDINA,0,0,0,
1998,"Trahan Petroleum, Inc.",Cattaraugus,CONEWANGO,MEDINA,0,0,0,GH
1992,"Proctor, William F.",Erie,NORTH COLLINS,MEDINA,0,0,0,
1985,"Bounty Holdings, Incorporated",Chautauqua,ELLICOTT,MEDINA,0,0,0,"GK,GX"
1997,United States Gypsum Co.,Wyoming,SHELDON,MEDINA,0,0,0,"GH,GR"
1998,"REI-NY, LLC",Chautauqua,ELLERY,AKRON,0,0,0,
1981,"Faulkner, M Gordon",Cattaraugus,ALLEGANY,,0,0,56,OA
1988,Brooklyn Union Gas Co.,Queens,QUEENS,UNKNOWN,0,0,0,
1988,Freeman Oil Co.,Allegany,AMITY,SCIO,36,0,625,OB
1991,"Coleman, Timothy D.",Steuben,HARTSVILLE,UNKNOWN,0,0,0,
1976,Olean Freres Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,583,OB
1986,Walker Exploration & Production Corp.,Chautauqua,RIPLEY,MEDINA,0,0,0,GK
1983,"Doran & Associates, Inc.",Cattaraugus,CONEWANGO,MEDINA,0,0,0,
1992,TGX Corp.,Chautauqua,ARKWRIGHT,MEDINA,0,0,0,GK
1993,National Fuel Gas Supply Corp.,Allegany,WILLING,PENNY & FULMER VALLEY,0,0,0,GI
1995,"Kelly, Michael A.",Wyoming,PERRY,MEDINA,0,0,0,
1990,"Jennings, Earl",Allegany,ALMA,RICHBURG,0,0,141,OB
1989,"Envirogas, Inc.",Cattaraugus,LEON,MEDINA,0,0,0,
1979,A & F Oil Co.,Seneca,,MEDINA,0,0,0,
1979,Bucher Brothers,Cattaraugus,ALLEGANY,BRADFORD,0,0,1061,OA
1998,"D'Antoni, Vincenzo",Steuben,GREENWOOD,FULMER VALLEY,0,0,0,
1972,"Rumsey,  Adrian",Chemung,VAN ETTEN,ORISKANY,0,0,0,
1993,"Universal Resources Holdings, Incorporated",Chautauqua,ELLICOTT,MEDINA,0,0,0,GK
1986,Donovan & Bess,Allegany,BOLIVAR,WAUGH & PORTER,0,0,150,OB
1996,"Johnson, Norman G.",Genesee,BATAVIA,MEDINA,0,0,0,
1981,Vandermark Associates,Allegany,WARD,ORISKANY,0,0,0,
1987,U S Energy Development Corp.,Chautauqua,ARKWRIGHT,MEDINA,0,0,0,"GK,GX"
1979,"Yahn & Yahn, Inc.",Allegany,INDEPENDENCE,FULMER VALLEY,6,0,2065,OB
1978,Columbia Gas Transmission Corp.,Steuben,HARTSVILLE,ORISKANY,0,0,0,
1973,"Allison & Day Oil Co., Inc.",Allegany,,RICHBURG,0,0,0,
1991,Laurdon Gas,Chautauqua,SHERIDAN,MEDINA,0,0,0,
1975,"Church, Walter L",Chautauqua,GERRY,MEDINA,0,0,0,
1998,Emerald Oil Company,Allegany,WIRT,WAUGH & PORTER,0,0,10,OD
1995,L. W. Resources,Chautauqua,CHARLOTTE,MEDINA,0,0,0,
1996,Perry Gas Co.,Wyoming,PERRY,MEDINA,0,0,0,GP
1984,Visco-Mcdonald,Cattaraugus,DAYTON,MEDINA,0,0,0,
1984,4-R Investment Co.,Chautauqua,GERRY,MEDINA,0,0,0,GK
1983,"Bunnell, Herbert F.",Allegany,ALMA,RICHBURG,38,0,1438,
1996,United States Gypsum Co.,Genesee,ALABAMA,MEDINA,0,0,0,GR
1998,"Flexovit Usa, Inc.",Erie,EVANS,MEDINA,0,0,0,GK
1977,National Fuel Gas Supply Corp.,Chautauqua,ARKWRIGHT,MEDINA,0,0,0,
1993,"Caflisch, James E.",Chautauqua,CLYMER,MEDINA,0,0,0,
1992,"St Columbans On The Lake, Inc.",Chautauqua,HANOVER,MEDINA,0,0,0,
1995,"Chautauqua Energy, Inc.",Chautauqua,SHERMAN,MEDINA,0,0,0,GK
1974,"Church, Walter L",Chautauqua,GERRY,MEDINA,0,0,0,
1990,National Fuel Gas Supply Corp.,Steuben,JASPER,ONONDAGA-ORISKANY,0,0,0,GK
1993,"Eclipse Energy Company, LLC",Erie,EDEN,MEDINA,0,0,0,
1992,"Oil, Gas & Land Services, Inc.",Chautauqua,CHARLOTTE,MEDINA,0,0,0,GX
1986,Empire Energies,Erie,BOSTON,MEDINA,0,0,0,"GK,GX"
1975,Surprise Oil Co.,Allegany,,RICHBURG,0,0,19,OB
1969,Worldwide Energy Corp.,Yates,BENTON,MEDINA,0,0,0,GX
1999,"Weil Resources, Inc.",Erie,EVANS,MEDINA,0,0,0,GK
1986,"Allegro Oil & Gas,  Inc.",Allegany,GENESEE,RICHBURG,0,0,319,OB
1990,"Youngberg, Larry",Chautauqua,HANOVER,MEDINA,0,0,0,
1997,"Greeley, John A.",Cattaraugus,ALLEGANY,BRADFORD,0,0,0,
1988,"Barnes, Gertrude",Cattaraugus,ALLEGANY,BRADFORD,0,0,0,
1993,"Trahan Petroleum, Inc.",Chautauqua,ELLINGTON,MEDINA,0,0,0,"GH,GK"
1979,Strippit Inc.,Erie,ALDEN,MEDINA,0,0,0,
1991,Waste Water Treatment Plant,Chautauqua,DUNKIRK,MEDINA,0,0,0,
1995,Seneca Resources Corporation,Ontario,BRISTOL,MEDINA,0,0,0,GK
1995,Lomak Operating Company,Chautauqua,POLAND,MEDINA,0,0,0,GH
1994,"Loree, Ann E.",Yates,BENTON,QUEENSTON,0,0,0,
1986,"Doran & Associates, Inc.",Cattaraugus,SOUTH VALLEY,MEDINA,0,0,0,GH
1974,"Young, Glenn",Chautauqua,BUSTI,GLADE,0,0,2058,OB
1986,Pennzoil Products Co.,Cattaraugus,OLEAN,BRADFORD,58,0,0,
1982,"Shultz, Martin K",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,6058,OB
1991,"Subsea Oil & Gas, Inc.",Erie,BRANT,MEDINA,0,0,0,GK
1998,"Smith, Albert E.",Chemung,VAN ETTEN,ORISKANY,0,0,0,
1996,"Vanscoy, James S & Regina M.",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,237,OC
1986,"Union Drilling,  Inc.",Seneca,FAYETTE,QUEENSTON,0,0,0,
1971,"Bellows, Herbert & Nellie",Allegany,WELLSVILLE,FULMER VALLEY,0,0,64,OB
1982,"Envirogas, Inc.",Cattaraugus,RANDOLPH,MEDINA,0,0,0,
1999,A.D.C.O. Well Services Inc.,Cayuga,SPRINGPORT,QUEENSTON,0,0,0,
1983,Houghton College,Allegany,CANEADEA,DEVONIAN SHALE,0,0,0,
1995,Seneca Resources Corporation,Chautauqua,SHERIDAN,MEDINA,0,0,0,GK
1991,"Childs, Alanson & Marjorie",Allegany,GENESEE,RICHBURG,0,0,153,OB
1984,Byron-Bergen Central School,Genesee,BERGEN,MEDINA,0,0,0,
1985,"GFS Energy, Inc.",Erie,NEWSTEAD,MEDINA,0,0,0,GQ
1983,"Francis, David K.",Erie,COLLINS,AKRON,0,0,228,
1976,Dunning & Barnes Oil Co.,Allegany,GENESEE,RICHBURG,0,0,398,OB
1986,"P & S Drilling, Inc.",Erie,ELMA,MEDINA,0,0,0,"GK,GX"
1995,Belden & Blake Corporation,Chautauqua,PORTLAND,MEDINA,0,0,0,GK
1998,"D-J's Farms, Inc.",Seneca,FAYETTE,QUEENSTON,0,0,0,
1980,"Envirogas, Inc.",Chautauqua,BUSTI,MEDINA,0,0,0,GK
1994,Banks Gas Drilling Co.,Erie,BOSTON,MEDINA,0,0,0,GK
1984,National Fuel Gas Supply Corp.,Cattaraugus,PERSIA,MEDINA,0,0,0,
1986,"Empire Exploration, Inc.",Cattaraugus,DAYTON,MEDINA,0,0,0,"GH,GK,GX"
1992,"GFS Energy, Inc.",Steuben,JASPER,UPPER DEVONIAN,0,0,0,GK
1989,Benson Oil Co.,Cattaraugus,ALLEGANY,CHIPMUNK,18,0,2331,"OA,OB"
1988,"GFS Energy, Inc.",Wyoming,PERRY,MEDINA,0,0,0,GK
1994,"Otis Eastern Service, Inc.",Allegany,ANDOVER,PENNY,0,0,184,OC
1968,"Ebenezer Oil Co., Inc.",Allegany,INDEPENDENCE,RICHBURG,0,0,2822,OB
1991,"Kingsley, Edgar",Wyoming,COVINGTON,MEDINA,0,0,0,
1997,"Crooks, Fred H.",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,0,
1988,"Harris, William",Genesee,PAVILION,MEDINA,0,0,0,
1980,"Minderler, Lawrence J",Cattaraugus,ALLEGANY,BRADFORD,0,0,268,OA
1989,"20 Bliss Street, Inc.",Chautauqua,DUNKIRK,MEDINA,0,0,0,GK
1987,"Skiver, Allen D",Allegany,GENESEE,RICHBURG,0,0,0,
1981,"Tony's, Inc.",Chautauqua,PORTLAND,MEDINA,0,0,0,
1980,Estate of  Richard G Smith,Allegany,GENESEE,RICHBURG,0,0,400,OB
1982,Springport Associates,Cayuga,AURELIUS,QUEENSTON,0,0,0,GI
1986,"Dudeck, James R",Chautauqua,POMFRET,MEDINA,0,0,0,
1975,Pennzoil Products Co.,Cattaraugus,CARROLLTON,CHIPMUNK,0,0,61158,OA
1987,Lake Shore Partnership,Cattaraugus,PERRYSBURG,MEDINA,0,0,0,
1967,Updegraff C.H. & Nichols W.M.,Cattaraugus,,MEDINA,0,0,0,GX
1996,"Scott, Glenn H.",Chautauqua,VILLENOVA,MEDINA,0,0,0,
1993,"Weil Resources, Inc.",Erie,LANCASTER,MEDINA,0,0,0,GK
1992,National Fuel Gas Supply Corp.,Genesee,STAFFORD,MEDINA,0,0,0,GK
1970,O. Boyce McDivitt,Cattaraugus,OLEAN,BRADFORD,0,0,3029,OX
1998,Meridian Exploration Corp.,Cayuga,FLEMING,QUEENSTON,0,0,0,GX
1970,"State Line Oil & Gas Co.,Inc.",Chautauqua,RIPLEY,MEDINA,0,0,0,GX
1978,Wasson/Regis Oil Company,Allegany,BOLIVAR,RICHBURG,0,0,679,OB
1990,Pennzoil Products Co.,Cattaraugus,ALLEGANY,CHIPMUNK,143,0,1150,OA
1989,"Atwood Energy, Inc.",Cattaraugus,NAPOLI,MEDINA,0,0,0,
1982,Dan Gernatt Farms,Erie,NORTH COLLINS,MEDINA,0,0,0,
1995,"Dresser Industrial Park, Inc.",Erie,LANCASTER,MEDINA,0,0,0,
1975,"Seager, Howard C.",Allegany,,FULMER VALLEY,0,0,182,OB
1983,"Energy Oil, Inc.",Erie,MARILLA,MEDINA,0,0,0,
1982,Thomas A Miller Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,394,OB
1984,CNG Transmission Corp.,Steuben,CANISTEO,ONONDAGA,0,0,0,
1984,"Alden Aurora Gas Co.,  Inc.",Wyoming,BENNINGTON,MEDINA,0,0,0,
1997,"Weil Resources, Inc.",Erie,WALES,MEDINA,0,0,0,GK
1985,"Curtis & Son Oil, Inc.",Chautauqua,BUSTI,GLADE,0,0,604,OB
1997,"Chautauqua Energy, Inc.",Chautauqua,PORTLAND,MEDINA,0,0,0,GK
1986,Cunningham Natural Gas Corp.,Allegany,WILLING,ORISKANY,0,0,0,GM
1986,"Templeton Energy,  Inc.",Erie,NEWSTEAD,MEDINA,0,0,0,"GK,GX"
1995,"Vanscoy, James S & Regina M.",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,115,OC
1992,"Minderler, John A.",Cattaraugus,ALLEGANY,BRADFORD,0,0,459,OA
1990,J and  R Oil Company,Allegany,BOLIVAR,RICHBURG,64,0,0,
1989,"Westinghouse, Est. Elizabeth M",Erie,AURORA,MEDINA,0,0,0,
1977,Boraldon & Co.,Erie,BRANT,MEDINA,0,0,0,GK
1990,"P & S Drilling, Inc.",Erie,ELMA,MEDINA,0,0,0,GX
1988,Miller Brewing Co.,Cayuga,SENNETT,QUEENSTON,0,0,0,
1976,"Flint Oil & Gas, Inc.",Erie,EVANS,MEDINA,0,0,0,GK
1994,Union Springs School District,Cayuga,SPRINGPORT,QUEENSTON,0,0,0,
1998,"Universal Resources Holdings, Incorporated",Chautauqua,GERRY,MEDINA,0,0,0,"GH,GK"
1985,"Traxler, Joyce",Genesee,LE ROY,MEDINA,0,0,0,
1982,"Doran & Associates, Inc.",Chautauqua,HARMONY,MEDINA,0,0,0,
1995,"Envirogas, Inc.",Erie,BOSTON,MEDINA,0,0,0,GK
1981,Estate of Edith Reisdorf,Wyoming,SHELDON,MEDINA,0,0,0,
1990,"Overbagh, Malcolm & Sharon",Chautauqua,SHERMAN,MEDINA,0,0,0,
1995,"Wasson, Lisa J.",Livingston,LEICESTER,MEDINA,0,0,0,
1997,"Nornew, Inc.",Chautauqua,HARMONY,MEDINA,0,0,0,GH
1977,Gailbert Exploration,Chautauqua,HANOVER,MEDINA,0,0,0,GK
1968,Witco Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,187325,"GX,OC"
1992,"Chautauqua Energy, Inc.",Chautauqua,CLYMER,ONONDAGA-BASS ISLAND,0,0,628,"GA,OA"
1984,"Reynolds, James W",Allegany,WELLSVILLE,FULMER VALLEY,0,0,0,
1987,Fea Gas Co.,Chautauqua,SHERIDAN,MEDINA,0,0,0,"GK,GX"
1988,Frank H. Stephan Oil Group,Cattaraugus,ALLEGANY,BRADFORD,3,0,3846,OC
1997,"Desert Gas Exploration, Inc.",Chautauqua,STOCKTON,MEDINA,0,0,0,GK
1983,"P & S Drilling, Inc.",Erie,NEWSTEAD,MEDINA,0,0,0,
1981,"Desert Gas Exploration, Inc.",Chautauqua,HANOVER,MEDINA,0,0,0,GK
1970,"Wilcox,Wilcox & Wilcox",Chautauqua,BUSTI,GLADE,0,0,67,OC
1993,Fault Line Oil Corporation,Cattaraugus,FREEDOM,MEDINA,0,0,0,GX
1988,"J M Resources, Inc.",Chautauqua,DUNKIRK,MEDINA,0,0,0,GK
1986,"Miller, Connie S.",Erie,HAMBURG,MEDINA,0,0,0,
1984,Berea Oil & Gas Corp.,Chautauqua,ELLERY,MEDINA,0,0,0,GH
1971,"Cross, Merton M.",Cattaraugus,PERRYSBURG,MEDINA,0,0,0,
1991,Kinley Oil & Gas Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,14649,"OB,OC"
1978,"Fitzgerald, Marie C.",Allegany,CLARKSVILLE,MEDINA,0,0,0,
1990,"Eclipse Management Assoc., Inc",Chautauqua,WESTFIELD,MEDINA,0,0,0,GK
1992,Fault Line Oil Corporation,Cattaraugus,ASHFORD,MEDINA,0,0,0,GX
1998,Estate of Donald Vanstrom,Chautauqua,ELLICOTT,MEDINA,0,0,0,
1987,Wood Oil Co.,Cattaraugus,OLEAN,BRADFORD,0,0,795,OA
1997,Miller & Moore,Erie,EDEN,MEDINA,0,0,0,
1975,Willets & Paul Corp.,Allegany,GENESEE,RICHBURG,0,0,2939,OB
1991,U S Energy Development Corp.,Chautauqua,GERRY,ONONDAGA-BASS ISLAND,0,0,0,"GH,GK"
1993,Akron Central School District,Erie,NEWSTEAD,MEDINA,0,0,0,
1983,National Fuel Gas Supply Corp.,Erie,COLLINS,MEDINA,0,0,0,
1990,Franklin Brine Treatment Corp.,Chautauqua,CLYMER,ONONDAGA-BASS ISLAND,0,1,0,
1998,"Eclipse Energy Company, LLC",Erie,NORTH COLLINS,MEDINA,0,0,0,GK
1973,Winwest Oil & Mining Ltd.,Ontario,SENECA,MEDINA,0,0,0,GX
1992,L. W. Resources,Chautauqua,RIPLEY,MEDINA,0,0,0,GK
1997,"Weil Resources, Inc.",Chautauqua,HANOVER,MEDINA,0,0,0,GK
1998,"Southwell, Russell  W",Chautauqua,BUSTI,GLADE,0,0,894,OD
1968,Iroquois Gas Corp.,Ontario,RICHMOND,MEDINA,0,0,0,GX
1986,Newman & Uhl Producing Co.,Cattaraugus,CARROLLTON,CHIPMUNK,0,0,4264,OA
1994,L. W. Resources,Erie,COLLINS,MEDINA,0,0,0,GK
1977,National Fuel Gas Supply Corp.,Steuben,INDEPENDENCE,CHEMUNG,0,0,0,
1993,Auburn Country Club,Cayuga,OWASCO,ONONDAGA,0,0,0,
1970,"Jones, Merle R",Allegany,BOLIVAR,RICHBURG,0,0,1321,OB
1982,"Alden Aurora Gas Co.,  Inc.",Genesee,DARIEN,MEDINA,0,0,0,GK
1992,"Hearthstone Manor, Inc.",Erie,CHEEKTOWAGA,QUEENSTON,0,0,0,
1999,National Fuel Gas Supply Corp.,Erie,NORTH COLLINS,MEDINA,0,0,0,
1995,"Chautauqua Energy, Inc.",Cattaraugus,DAYTON,MEDINA,0,0,0,GK
1983,Altec Specialty Steel Corp.,Chautauqua,DUNKIRK,MEDINA,0,0,0,
1999,"Lenape Resources, Inc.",Chautauqua,BUSTI,MEDINA,0,0,0,GK
1998,"Geo Ventures, Inc.",Chautauqua,CHERRY CREEK,MEDINA,0,0,0,GK
1986,"Templeton Energy,  Inc.",Erie,EVANS,MEDINA,0,0,0,GK
1987,"Tony's, Inc.",Chautauqua,DUNKIRK,MEDINA,0,0,0,
1983,CNG Transmission Corp.,Steuben,CANISTEO,ONONDAGA,0,0,0,
1985,"Slater, Patricia A.",Erie,ALDEN,MEDINA,0,0,0,
1988,Walker Exploration & Production Corp.,Chautauqua,PORTLAND,MEDINA,0,0,0,GK
1996,"Wattles, Richard F.",Erie,BOSTON,MEDINA,0,0,0,
1999,"Lenape Resources, Inc.",Chautauqua,POMFRET,MEDINA,0,0,0,GK
1993,CNG Transmission Corp.,Steuben,DANSVILLE,ONONDAGA,0,0,0,GI
1997,"Matrix Energy Development, Inc.",Erie,CONCORD,MEDINA,0,0,0,GK
1985,Banks Gas Drilling Co.,Erie,BOSTON,MEDINA,0,0,0,"GK,GX"
1993,Regal Energy Limited,Erie,HAMBURG,MEDINA,0,0,0,GK
1995,"Newman, Edgar F",Yates,BENTON,QUEENSTON,0,0,0,
1987,East Aurora Union Free School District,Erie,AURORA,MEDINA,0,0,0,
1972,Wyckoff Development Co.,Steuben,JASPER,ORISKANY,0,0,0,GX
1981,"Templeton Energy,  Inc.",Chautauqua,ARKWRIGHT,MEDINA,0,0,0,GK
1982,"Cline, Willard M",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,0,
1994,"Shields, Timothy R. & Donnalee F.",Cattaraugus,RANDOLPH,MEDINA,0,0,0,
1985,"Doran & Associates, Inc.",Chautauqua,CARROLL,MEDINA,0,0,249,"GH,OB"
1988,Pennzoil Products Co.,Cattaraugus,CARROLLTON,CHIPMUNK,185,0,17504,OA
1993,"Cordova Resources, Inc.",Chautauqua,POMFRET,MEDINA,0,0,0,GK
1972,"Monroe, Edna",Allegany,ANDOVER,,0,0,0,
1999,"Croscut, Frederick C.",Chautauqua,SHERMAN,MEDINA,0,0,0,
1982,Phelps Dodge Fuel Development Corp.,Erie,BOSTON,MEDINA,0,0,0,
1978,"Faulkner, M Gordon",Cattaraugus,ALLEGANY,BRADFORD,0,0,61,OA
