COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE
"Sanderson, et al",Yates,Milo,31123000000000,Sanderson 2,UL,GW,-77.03223,42.650929999999995
Seneca Nation of Indians,Cattaraugus,Perrysburg,31009600000000,Bishop 1678,UN,GD,-79.00199,42.52385
Unknown,Allegany,Alma,31003700000000,Root F 31,UL,NL,-78.0528,42.062389
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Young 0-8,UL,OD,-77.71101,42.09162
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Jamison 0,UL,GD,-76.16637,43.54395
Unknown,Allegany,Wirt,31003700000000,Jakima S 37,UN,NL,-78.14425,42.092739
"Republic Light, Heat & Power",Chautauqua,Sheridan,31013000000000,Feinen Maria 2,UN,GD,-79.2802,42.46403
"Lamphier, William",Steuben,Lindley,31101000000000,Hill 1,UM,DW,-77.18978,42.08395
Allegany Gas,Steuben,Erwin,31101000000000,Landers 1,UM,DW,-77.18224000000001,42.13368
Unknown,Allegany,Wirt,31003700000000,Crockett D 11,UN,NL,-78.17097,42.087193
Unknown,Allegany,Bolivar,31003700000000,Dunn P 103,UN,NL,-78.1569,42.056404
Unknown,Cattaraugus,Allegany,31009700000000,KC 201,UN,NL,-78.50513000000001,42.010517
Unknown,Allegany,Clarksville,31003600000000,Smith 005,UL,OD,-78.21767,42.10843
Unknown,Allegany,Wirt,31003700000000,Jakima S 36,UN,NL,-78.14423000000001,42.093734999999995
Unknown,Cattaraugus,Allegany,31009700000000,KC 637,UN,NL,-78.52826,42.007694
Unknown,Cattaraugus,Allegany,31009700000000,KC 200,UN,NL,-78.50501,42.001152000000005
Bolivar Bucher,Allegany,Bolivar,31003600000000,Bucher U6,UL,NL,-78.17249,42.070054
Unknown,Ontario,Richmond,31069000000000,Johnson,UM,GD,,
Unknown,Allegany,Alma,31003700000000,Fisher J 12,UN,NL,-78.06026,42.065247
Great Lakes Gas Corp.,Wyoming,Bennington,31121000000000,Hall R et al,UL,GD,-78.35239,42.835527
Unknown,Steuben,Hornellsville,31101600000000,Wizeman U1,UL,NL,-77.6218,42.34073
Unknown,Allegany,Bolivar,31003700000000,PFG 81,UN,NL,-78.13523,42.074081
Unknown,Cattaraugus,Allegany,31009700000000,KC 805,UN,NL,-78.53461,42.007381
Donavan Construction,Steuben,Bath,31101000000000,Whitcomb 1,UL,GD,-77.23371,42.313
Unknown,Allegany,Bolivar,31003700000000,PG 19,UM,NL,-78.07584,42.063373999999996
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nicholsrun Eo-21,UN,OD,-78.56795,42.01651
Unknown,Cattaraugus,Allegany,31009600000000,Stephan U10,UL,OD,-78.49474000000001,42.041378
Tri State,Steuben,Bath,31101000000000,White 1,UM,DW,-77.28449,42.32188
Unknown,Oswego,Richland,31075600000000,Golden U1,UL,GD,-76.19051999999999,43.5654
Monitor Petroleum Co.,Erie,Hamburg,31029000000000,Eddy Amy C 1,UN,GD,-78.85265,42.72201
"Lee Oil Company, Inc.",Cattaraugus,Carrollton,31009200000000,McCaffery 8,UL,OD,-78.60745,42.0703
New York Natural Gas Co.,Livingston,Geneseo,31051000000000,Austin 1,UL,DW,-77.75549000000001,42.76522
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 21,UL,OD,-78.17811,42.08173
Unknown,Cattaraugus,Allegany,31009700000000,KC 565,UN,NL,-78.5257,42.005997
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 1A,UM,IW,-78.17785,42.08205
Unknown,Allegany,Wirt,31003700000000,Crockett D 71,UN,NL,-78.17478,42.086494
Unknown,Cattaraugus,Allegany,31009700000000,KC 517,UM,NL,-78.52404,42.000183
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian U1,UL,NL,-78.04924,42.07677
Unknown,Allegany,Scio,31003600000000,M034,UL,IW,-78.02488000000001,42.093509999999995
Unknown,Ontario,Gorham,31069000000000,Dintruff Peter 2,UM,GD,-77.22985,42.762029999999996
Unknown,Cattaraugus,Allegany,31009700000000,KC 855,UN,NL,-78.53754,42.003925
Unknown,Cattaraugus,Allegany,31009700000000,KC 52,UN,NL,-78.48758000000001,42.023266
Unknown,Allegany,Genesee,31003600000000,Oconnor 16,UL,OD,-78.23604,42.050796000000005
"Lee Oil Company, Inc.",Steuben,West Union,31101100000000,Rex O-384,UL,OD,-77.69868000000001,42.09592
"Tjhung, Frank T.",Allegany,Wellsville,31003700000000,GPS 1131,UL,OD,-77.84358,42.10277
Unknown,Cattaraugus,Allegany,31009700000000,KC 865,UN,NL,-78.53867,42.007427
Unknown,Allegany,Bolivar,31003700000000,Dunn P 116,UM,NL,-78.15755,42.061295
Unknown,Allegany,Bolivar,31003600000000,DF UN2,UL,NL,-78.12989,42.041594
Meridian Gas Co.,Onondaga,Lysander,31067000000000,Westfall 2,UM,GD,-76.30072,43.15494
Unknown,Cattaraugus,Allegany,31009700000000,KC 717,UN,NL,-78.53063,42.004909999999995
Unknown,Allegany,Alma,31003700000000,Root F 42,UL,NL,-78.05369,42.06256
Case Oil Corp.,Allegany,Bolivar,31003600000000,Homestead W12,UL,IW,-78.08988000000001,42.0604
Unknown,Cattaraugus,Allegany,31009600000000,McGuire 2,UL,OD,-78.52781,42.042014
Case Oil Corp.,Allegany,Bolivar,31003600000000,Homestead 1331,UL,IW,-78.10074,42.067291
Unknown,Allegany,Wirt,31003700000000,Schamberger J 75,UM,NL,-78.18894,42.086807
"Dougherty, F.L.",Chautauqua,Sheridan,31013000000000,None Specified,UN,NL,-79.25941999999999,42.47201
Page,Steuben,Erwin,31101000000000,Ayres,UM,GW,-77.14205,42.14273
Unknown,Allegany,Bolivar,31003700000000,Dunn J 20,UM,NL,-78.16230999999999,42.060032
Unknown,Allegany,Alma,31003700000000,Balcerak G 56,UM,NL,-78.06526,42.063694
Unknown,Allegany,Wirt,31003700000000,Crockett D 83,UN,NL,-78.17669000000001,42.08419
"Carpenter, J.",Schuyler,Hector,31097000000000,Shearer 1,UL,DW,-76.83203,42.38889
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Gollner 3,UM,GD,-76.11716,43.56955
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 88,UN,NL,-78.15104000000001,42.071056
"State Line Oil & Gas Co.,Inc.",Chautauqua,Ripley,31013000000000,Steadman 1,UN,GD,-79.66709,42.25391
Unknown,Allegany,Wirt,31003700000000,Schamberger J 82,UM,NL,-78.18947,42.088741
Unknown,Allegany,Wirt,31003700000000,Webb E 5,UM,NL,-78.14560999999999,42.098597999999996
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,McKinley P-2,UL,IW,-77.70089,42.09386
Unknown,Cattaraugus,Allegany,31009600000000,Kurty U14,UL,OD,-78.5052,42.02811
Unknown,Allegany,Bolivar,31003700000000,DF 5,UL,NL,-78.11574,42.04566
Unknown,Cattaraugus,Allegany,31009700000000,KC 415,UM,NL,-78.52062,42.018192
Unknown,Allegany,Genesee,31003600000000,Oconnor 24,UL,OD,-78.23706,42.052745
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 027,UL,IW,-78.05995,42.07516
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 62,UN,NL,-78.15005,42.075866999999995
Unknown,Allegany,Alma,31003700000000,Root F 139,UN,NL,-78.0585,42.060665
Unknown,Allegany,Bolivar,31003700000000,DF 39,UL,NL,-78.12338000000001,42.040013
Valley Drilling Corp. of America,Chautauqua,Busti,31013200000000,Lawrence Eckstrom 4,UL,OD,-79.29623000000001,41.99944
Unknown,Allegany,Alma,31003700000000,Root F 93,UN,NL,-78.05649,42.06414
Unknown,Monroe,Chili,31055000000000,Moffit,UM,GW,,
"BDH Oil, Inc.",Cattaraugus,Allegany,31009200000000,Mallory Nr2,UL,OD,-78.55611,42.012209999999996
Unknown,Allegany,Bolivar,31003700000000,Dunn P 92,UM,NL,-78.15649,42.060486
Unknown,Allegany,Bolivar,31003700000000,Szathmary D 8,UN,NL,-78.07436,42.075233000000004
Unknown,Allegany,Bolivar,31003700000000,DF 116,UN,NL,-78.14421,42.03933
Unknown,Allegany,Wirt,31003700000000,Schamberger J 1,UM,NL,-78.18417,42.087654
Unknown,Allegany,Bolivar,31003700000000,PFG 117,UN,NL,-78.13953000000001,42.074749
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,McLeary Wm Sonle 0,UN,GD,-76.09168000000001,43.62915
Unknown,Cattaraugus,Allegany,31009600000000,Carey U01,UL,OD,-78.49571,42.07628
Unknown,Allegany,Wirt,31003700000000,Crockett D 15,UN,NL,-78.17123000000001,42.086769
Test Oil Co.,Cattaraugus,Red House,31009100000000,Allegany State Park 59,UN,OD,-78.72685,42.0279
Unknown,Allegany,Wirt,31003700000000,Schamberger J 22,UM,NL,-78.18575,42.089081
Unknown,Allegany,Wirt,31003700000000,Crockett D 88,UN,NL,-78.17685,42.085724
Unknown,Allegany,Wirt,31003700000000,Webb E 27,UM,NL,-78.14793,42.098114
Central NY Gas Corp,Broome,Lisle,31007000000000,Pease Harry 1,UN,DW,-75.99096,42.36105
Unknown,Allegany,Bolivar,31003700000000,DF 3,UL,NL,-78.11506,42.04484
Moose Oil Co.,Allegany,Bolivar,31003600000000,Polly w-11,UL,IW,-78.11319,42.026053999999995
"Loomis, T.B.",Yates,Middlesex,31123000000000,Loomis 3,UM,DH,-77.23795,42.74637
"Basic Energy Producers, Inc.",Chautauqua,Portland,31013100000000,Pognant 1,UL,GD,-79.432,42.38364
"Fralick, C.W. & Assoc.",Tompkins,Danby,31109000000000,Taubman Mary 2,UN,DH,-76.50001999999999,42.35885
Case Oil Corp.,Allegany,Bolivar,31003600000000,Homestead W10,UL,IW,-78.08993000000001,42.061271999999995
Colonial Oil & Gas Corp.,Monroe,Hamlin,31055100000000,Kerberle 1,UL,GW,-77.95787,43.333220000000004
Unknown,Allegany,Genesee,31003600000000,Oconnor 15,UL,OD,-78.23521,42.050885
Unknown,Allegany,Wirt,31003700000000,Jakima S 16,UN,NL,-78.14322,42.093979
Swan Oil,Ontario,East Bloomfield,31069000000000,Hardy 1,UL,DW,-77.41223000000001,42.93452
Finance Oil & Gas,Erie,Collins,31029100000000,Uley Moses R-69 (I-1665),UN,GD,-78.96106,42.54159
Unknown,Cattaraugus,Allegany,31009700000000,KC 165,UN,NL,-78.49956999999999,42.016490999999995
Unknown,Cattaraugus,Allegany,31009700000000,KC 887,UN,NL,-78.54008,42.002712
Unknown,Allegany,Alma,31003700000000,Root F 51,UM,NL,-78.05471,42.062424
Unknown,Allegany,Bolivar,31003700000000,PYR 139,UN,NL,-78.18073000000001,42.082291
