Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,Unnamed: 11,Unnamed: 12
Richard Forster,2020-02-12,3.0,"London and Birmingham, UK",Internal meeting/attend event in Houses of Parliament/West Midlands Regional Engagement Group,Rail,Standard, £391.45 ,Nil Return, £644.40 ,Nil Return,,
Richard Forster,2020-02-17,1.0,"Nottingham, UK",Site visit to Business Tax & Credits,Rail,Standard, £17.00 ,Nil Return, £141.17 ,Nil Return,,
Richard Forster,2020-02-19,1.0,"London, UK",To meet with Accenture,Rail,Standard, £29.84 ,Nil Return, £243.09 ,Nil Return,,
Richard Forster,2020-02-20,2.0,"Newcastle, UK",Operational Excellence Senior Leadership Team meetings,Rail,Standard, £159.28 ,Nil Return, £204.53 ,Nil Return,,
Richard Forster,2020-02-24,2.0,"London, UK",Executive Committee workshop,Rail,Standard, £228.73 ,Nil Return, £501.98 ,Nil Return,,
Richard Forster,2020-03-10,1.0,"Cardiff, UK",Test and Learn workshop,Car,,Nil Return,Nil Return, £45.90 ,Nil Return,,
Richard Forster,2020-03-12,1.0,"Nottingham, UK",Customer Service group UP EVENT,Rail,Standard, £21.60 ,Nil Return, £103.95 ,Nil Return,,
Haroona Franklin,2020-02-25,1.0,"Maidstone, UK",To meet with the Leader of Kent County Council as part of their EU Exit plans,Rail,Standard, Nil Return , Nil Return , £32.00 , Nil Return ,,
Kevin Franklin,2020-02-12,1.0,"Southend, UK",Internal meeting,Rail,Standard, Nil Return ,Nil Return, £32.00 ,Nil Return,,
Elizabeth Fullerton-Rome,2020-02-04,1.0,"Southend, UK",Audit & Risk Committee Meeting,Rail,Standard, Nil Return ,Nil Return, £38.00 ,Nil Return,,
Marc Gill,2020-01-06,4.0,"London, UK",External Meetings & Operational Delivery Meetings,Rail,Standard, £387.00 , Nil Return , £717.00 , Nil Return ,,
Marc Gill,2020-01-12,1.0,"Bradford, UK",Operational Site Visits,Hire Car,Standard, Nil Return , Nil Return , £79.21 , Nil Return ,,
Marc Gill,2020-01-16,1.0,"London, UK",Operational Delivery Meeting,Rail,Standard, Nil Return , Nil Return , £343.50 , Nil Return ,,
Marc Gill,2020-01-20,1.0,"London, UK",Operational Delivery Meeting,Rail,Standard, Nil Return , Nil Return , £148.00 , Nil Return ,,
Marc Gill,2020-01-21,1.0,"Leeds, UK",Operational Delivery Meeting,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Marc Gill,2020-01-22,1.0,"London, UK",Governance Meetings,Rail,Standard, Nil Return , Nil Return , £58.00 , Nil Return ,,
Marc Gill,2020-01-27,1.0,"London, UK",Operational Delivery Event,Rail,Standard, Nil Return , Nil Return , £330.00 , Nil Return ,,
Marc Gill,2020-01-30,1.0,"Manchester, UK",Operational Delivery Event,Rail,Standard, Nil Return , Nil Return , £128.50 , Nil Return ,,
Marc Gill,2020-02-04,1.0,"London, UK",Operational Delivery Event,Rail,Standard, £268.49 , Nil Return , £423.69 , Nil Return ,,
Marc Gill,2020-02-05,1.0,"Birmingham, UK",Operational Delivery Event,Rail,Standard, £116.40 , Nil Return , £316.40 , Nil Return ,,
Marc Gill,2020-02-11,1.0,"Peterlee and Washington, UK",Operational Site Visits,Hire Car,Standard, Nil Return , Nil Return , £30.24 , Nil Return ,,
Marc Gill,2020-02-24,1.0,"Edinburgh, UK",Interviewing,Rail,Standard, £31.24 , Nil Return , £57.53 , Nil Return ,,
Marc Gill,2020-02-25,3.0,"Manchester, UK",Forward Institute Residential,Rail,Standard, £342.00 , Nil Return , £390.00 , Nil Return ,,
