Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,Unnamed: 11,Unnamed: 12
Angela MacDonald,2020-02-27,1.0,"London, UK",Executive committee Workshop,Rail,Standard, Nil Return , Nil Return , £273.25 , Nil Return ,,
Angela MacDonald,2020-03-03,2.0,"London, UK",Customer Experience Committee/HMRC Charter/Live Streaming,Rail,Standard, £286.69 , Nil Return , £423.44 , Nil Return ,,
Angela MacDonald,2020-03-05,1.0,"Exeter, UK",Site visit,Rail/Taxi,Standard, £79.09 , Nil Return , £306.69 , Nil Return ,,
Angela MacDonald,2020-03-10,1.0,"London, UK",Executive Committee meeting,Rail,Standard, Nil Return , Nil Return , £273.25 , Nil Return ,,
Angela MacDonald,2020-03-12,1.0,"Manchester, UK",Operational Delivery Profession Cross Government Roadshow,Rail,Standard, £15.00 , Nil Return , £39.43 , Nil Return ,,
Angela MacDonald,2020-03-12,1.0,"London, UK",Executive committee Workshop,Rail,Standard, £129.00 , Nil Return , £287.75 , Nil Return ,,
Maurice Mattholie,2020-01-16,1.0,"Leeds, UK",Meeting with Chief Digital & Information Officer group colleagues,Rail,Standard, £8.00 , Nil Return , £234.25 , Nil Return ,,
Maurice Mattholie,2020-01-20,3.0,"Leeds, UK",Extended Leadership Team meeting,Rail,Standard, £176.00 , Nil Return , £289.65 , Nil Return ,,
Maurice Mattholie,2020-01-30,2.0,"Telford, UK",Self Assessment Filing Peak Key Business Event,Rail,Standard, £212.00 , Nil Return , £336.50 , Nil Return ,,
Maurice Mattholie,2020-02-03,2.0,"Worthing, UK",Site visit with Chief Digital & Information Officer group colleagues,Car,, £71.00 , Nil Return , £165.50 , Nil Return ,,
Maurice Mattholie,2020-03-03,3.0,"Bristol, UK",Chief Digital & Information Officer group Senior Leadership Team & Extended Leadership Team Meetings,Rail,Standard, £375.00 , Nil Return , £559.50 , Nil Return ,,
Cerys McDonald,2020-01-14,1.0,"London, UK",internal meetings and 1-2-1's,Rail,Standard, Nil Return , Nil Return , £174.00 , Nil Return ,,
Cerys McDonald,2020-01-21,2.0,"London, UK",internal meetings 21st Jan and directorate conference 22nd Jan,Rail,Standard, £98.00 , Nil Return , £272.00 , Nil Return ,,
Cerys McDonald,2020-01-23,1.0,"London, UK",Senior Leadership Conference ,Rail,Standard, Nil Return , Nil Return , £174.00 , Nil Return ,,
Cerys McDonald,2020-01-29,2.0,"London, UK",internal meetings and 1-2-1's,Rail,Standard, Nil Return , Nil Return , £190.00 , Nil Return ,,
Cerys McDonald,2020-02-03,1.0,"London, UK",meetings ,Rail,Standard, Nil Return , Nil Return , £249.00 , Nil Return ,,
Cerys McDonald,2020-02-11,1.0,"London, UK",internal meetings and 1-2-1's,Rail,Standard, Nil Return , Nil Return , £190.00 , Nil Return ,,
Cerys McDonald,2020-02-19,2.0,"London, UK",internal meetings and SCS interviewing ,Rail,Standard, Nil Return , Nil Return , £190.00 , Nil Return ,,
Cerys McDonald,2020-03-05,1.0,"London, UK",internal meetings and meeting with external stakeholders,Rail,Standard, Nil Return , Nil Return , £176.00 , Nil Return ,,
Cerys McDonald,2020-03-16,1.0,"London, UK",internal meetings am and appearance at House of Lords Finance Bill Sub Committee pm,Rail,Standard, Nil Return , Nil Return , £248.00 , Nil Return ,,
Claire McGuckin,2020-01-07,1.0,"London, UK",Senior Leader Meeting,Rail,Standard, Nil Return , Nil Return , £40.75 , Nil Return ,,
Claire McGuckin,2020-01-08,2.0,"Cardiff, UK",Site Visit / Operational Business,Car,, £106.15 , Nil Return , £137.83 , Nil Return ,,
Claire McGuckin,2020-01-13,1.0,"London, UK",Operational Business / Personal Development,Rail,Standard, Nil Return , Nil Return , £40.75 , Nil Return ,,
Claire McGuckin,2020-01-14,2.0,"Manchester/Liverpool, UK",Senior Leader meeting/Site visit,Car/Rail,Standard, £96.80 , Nil Return , £235.35 , Nil Return ,,
Claire McGuckin,2020-01-22,1.0,"Leeds, UK",Senior Leader meeting,Car,, Nil Return , Nil Return , £27.90 , Nil Return ,,
Claire McGuckin,2020-01-23,1.0,"London, UK",Senior Leader meeting,Rail,Standard, Nil Return , Nil Return , £40.75 , Nil Return ,,
Claire McGuckin,2020-01-27,2.0,"Glasgow Central/Newcastle, UK",Site visit,Car/Air/Rail,Economy/Standard, £91.41 , Nil Return , £341.24 , Nil Return ,,
Claire McGuckin,2020-01-29,2.0,"Manchester, UK",Site Visit/Operational Business/Senior Leader Event,Car/Rail,Standard, £85.00 , Nil Return , £154.25 , Nil Return ,,
Claire McGuckin,2020-01-31,1.0,"Leicester, UK",Site visit,Car,, Nil Return , Nil Return , £12.06 , Nil Return ,,
Claire McGuckin,2020-02-04,1.0,"London, UK",Senior Leader meeting/Site visit,Rail,Standard, Nil Return , Nil Return , £40.75 , Nil Return ,,
Claire McGuckin,2020-02-05,1.0,"London, UK",Senior Leader meeting/Site visit,Rail,Standard, Nil Return , Nil Return , £40.75 , Nil Return ,,
Claire McGuckin,2020-02-11,1.0,"Nottingham/Northampton, UK",Site visit/ Operational Business,Car,, Nil Return , Nil Return , £15.84 , Nil Return ,,
Claire McGuckin,2020-02-12,1.0,"London, UK",Live Streaming Event,Rail,Standard, Nil Return , Nil Return , £40.75 , Nil Return ,,
Claire McGuckin,2020-02-13,2.0,"Glasgow, UK",Senior Leader meeting/Site visit,Car/Air,Economy, £112.92 , Nil Return , £247.14 , Nil Return ,,
Claire McGuckin,2020-02-24,2.0,"Glasgow, UK",Operational Business/Senior Leader interviews,Rail/Air,Economy, £115.10 , Nil Return , £258.06 , Nil Return ,,
Claire McGuckin,2020-02-26,1.0,"Leeds, UK",Senior Leader meeting,Car,, Nil Return , Nil Return , £27.90 , Nil Return ,,
Claire McGuckin,2020-02-28,1.0,"London, UK",Live Streaming Event,Rail,Standard, Nil Return , Nil Return , £40.75 , Nil Return ,,
Claire McGuckin,2020-03-04,2.0,"Newcastle, UK",Site visit/Senior leader meeting/Senior Leader Interview,Car,, £98.45 , Nil Return , £146.24 , Nil Return ,,
Claire McGuckin,2020-03-12,1.0,"Manchester, UK",Operational Business / Senior leader event,Car/ Rail,Standard, Nil Return , Nil Return , £93.75 , Nil Return ,,
Sarah McMann,2020-01-07,1.0,"Leeds, UK",internal meeting,Rail,Standard, £85.00 ,Nil Return, £112.00 ,Nil Return,,
Sarah McMann,2020-01-14,1.0,"Leeds, UK",internal meeting,Rail,Standard,Nil Return,Nil Return, £57.00 ,Nil Return,,
Sarah McMann,2020-01-15,1.0,"Manchester, UK",internal meeting,Car,,Nil Return,Nil Return, £50.85 ,Nil Return,,
Sarah McMann,2020-01-16,1.0,"Leeds, UK",internal meeting,Car,,Nil Return,Nil Return, £48.60 ,Nil Return,,
Sarah McMann,2020-01-21,1.0,"London, UK",internal meeting,Rail,Mixed,Nil Return,Nil Return, £265.00 ,Nil Return,,
Sarah McMann,2020-01-22,1.0,"Salford, UK",internal meeting,Hire car,,Nil Return,Nil Return, £77.35 ,Nil Return,,
Sarah McMann,2020-01-29,1.0,"London, UK",internal meeting,Rail,Standard,Nil Return,Nil Return, £164.00 ,Nil Return,,
Sarah McMann,2020-01-29,1.0,"Manchester, UK",internal meeting,Rail,Standard,Nil Return,Nil Return, £183.00 ,Nil Return,,
Sarah McMann,2020-01-30,1.0,"Thornaby, UK",internal meeting,Rail,Standard,Nil Return,Nil Return, £58.00 ,Nil Return,,
Sarah McMann,2020-02-03,5.0,"Seattle, USA",external meetings,Hire car / Air,Mixed, £151.30 ,Nil Return," £7,014.51 ",Nil Return,,
Sarah McMann,2020-02-13,1.0,"Manchester, UK",internal meeting,Car,, £7.15 ,Nil Return, £57.10 ,Nil Return,,
Sarah McMann,2020-02-27,1.0,"London, UK",internal meeting,Rail,Standard,Nil Return,Nil Return, £328.00 ,Nil Return,,
Sarah McMann,2020-03-03,4.0,"Bristol, UK",internal meeting,Hire car,, £294.24 ,Nil Return, £483.17 ,Nil Return,,
Sarah McMann,2020-03-10,1.0,"Leeds, UK",internal and external meetings,Car,,Nil Return,Nil Return, £58.50 ,Nil Return,,
Sarah McMann,2020-03-11,1.0,"Leeds, UK",internal meeting,Passenger,, £6.45 ,Nil Return, £6.45 ,Nil Return,,
Helen Megarry,2020-01-29,1.0,"Nottingham, UK",Attend workshops,Rail,Standard, Nil Return , Nil Return , £185.00 , Nil Return ,,
Helen Megarry,2020-02-04,1.0,"Nottingham, UK",Lead workshop,Rail,Standard, Nil Return , Nil Return , £92.00 , Nil Return ,,
Helen Megarry,2020-02-12,1.0,"Nottingham, UK",Attend management team meeting,Rail,Standard, Nil Return , Nil Return , £92.00 , Nil Return ,,
Helen Megarry,2020-03-11,1.0,"Nottingham, UK",Attend management team meeting,Rail,Standard, Nil Return , Nil Return , £160.00 , Nil Return ,,
Nicole Newbury,2020-01-06,1.0,"London, UK",Internal Staff One to One  Face to face meetings,Rail,Standard, Nil Return , Nil Return , £148.00 , Nil Return ,,
Nicole Newbury,2020-01-07,1.0,"Nottingham, UK",Nottingham Regional Centre Development - Senior Sponsor Internal visit,Rail,Standard, Nil Return , Nil Return , £34.00 , Nil Return ,,
Nicole Newbury,2020-01-08,1.0,"London, UK",Wealthy and Mid-Sized Business Compliance Senior Leadership Team Meeting Attendance / Internal,Rail,Standard, Nil Return , Nil Return , £156.00 , Nil Return ,,
Nicole Newbury,2020-01-10,1.0,"Leicester, UK",Nottingham Regional Centre Development - Senior Sponsor Leicester Site visit / Internal,Rail,Standard, Nil Return , Nil Return , £16.00 , Nil Return ,,
Nicole Newbury,2020-01-13,1.0,"London, UK",Customer Meeting / External,Rail,Standard, Nil Return , Nil Return , £182.00 , Nil Return ,,
Nicole Newbury,2020-01-22,1.0,"London, UK",Training & Development / Internal,Rail,Standard, Nil Return , Nil Return , £135.00 , Nil Return ,,
Nicole Newbury,2020-01-23,1.0,"London, UK",HMRC Enterprise Leadership Group Attendance/Internal,Rail,Standard, Nil Return , Nil Return , £156.00 , Nil Return ,,
Nicole Newbury,2020-01-24,1.0,"London, UK",Recruitment / Internal,Rail,Standard, Nil Return , Nil Return , £90.00 , Nil Return ,,
Nicole Newbury,2020-01-27,1.0,"London, UK",Internal Staff One to One  Face to face meetings,Rail,Standard, Nil Return , Nil Return , £135.00 , Nil Return ,,
Nicole Newbury,2020-02-04,2.0,"Croydon, UK",2 day Wealthy & Mid-Sized Business Compliance Senior Leadership Team Meeting / Site visit - Internal,Rail,Standard, £89.00 , Nil Return , £264.00 , Nil Return ,,
Nicole Newbury,2020-02-11,1.0,"London, UK",Customer Compliance Group Senior Leadership Team Meetings Attendance/ Internal,Rail,Standard, Nil Return , Nil Return , £218.00 , Nil Return ,,
Nicole Newbury,2020-02-12,1.0,"London, UK",Customer Compliance Group Senior Leadership Team Meetings Attendance/ Internal,Rail,Standard, Nil Return , Nil Return , £87.00 , Nil Return ,,
Nicole Newbury,2020-02-14,1.0,"Manchester, UK",Wealthy & Mid-Sized Business Compliance Staff Technical Conference attendance / Internal,Rail,Standard, Nil Return , Nil Return , £79.00 , Nil Return ,,
Nicole Newbury,2020-03-03,1.0,"London, UK",Wealthy & Mid-Sized Business Compliance Senior Leadership Team Meeting Attendance / Internal,Rail,Standard, Nil Return , Nil Return , £156.00 , Nil Return ,,
Nicole Newbury,2020-03-05,1.0,"London, UK",Training & Development / Internal,Rail,Standard, Nil Return , Nil Return , £142.00 , Nil Return ,,
Nicole Newbury,2020-03-17,1.0,"London, UK",Customer Compliance Group Senior Leadership Team Meetings Attendance/ Internal,Rail,Standard, Nil Return , Nil Return , £159.00 , Nil Return ,,
Ken Palframan,2020-01-08,1.0,"London, UK",HR Target Operating Model Scoping workshop ,Rail,Standard, £149.35 ,Nil Return, £324.30 ,Nil Return,,
Ken Palframan,2020-01-14,2.0,"Newcastle, UK",2 day HR Senior Leadership Team,Rail,Standard, £242.10 ,Nil Return, £328.65 ,Nil Return,,
Ken Palframan,2020-01-21,2.0,"London, UK",Location Programme Steering Group and Extended Leadership Team Meeting,Rail,Standard, £259.31 ,Nil Return, £473.71 ,Nil Return,,
Ken Palframan,2020-01-31,1.0,"Nottingham, UK",G6 Interview panel,Rail,Standard, £-   ,Nil Return, £43.15 ,Nil Return,,
Ken Palframan,2020-02-03,1.0,"London, UK",Departmental Trade Unions Strategic Workforce Locations meeting & HR Senior Leadership Team Business Planning meeting,Rail,Standard, £3.99 ,Nil Return, £147.54 ,Nil Return,,
Ken Palframan,2020-02-03,1.0,"Preston, UK",Site visit with Esther,Rail,Standard, £97.65 ,Nil Return, £259.90 ,Nil Return,,
Ken Palframan,2020-02-04,2.0,"London, UK",HR Ops 2 day Senior Leadership Team,Rail,Standard, £268.76 ,Nil Return, £514.56 ,Nil Return,,
Ken Palframan,2020-02-12,1.0,"London, UK",HR Senior Leadership Team,Rail,Standard, £133.84 ,Nil Return, £418.34 ,Nil Return,,
Ken Palframan,2020-02-24,4.0,"London, UK","HR Transformation Design 2 day workshop, Location Programme steering group, HR Senior Leadership Team Performance call, Korn Ferry all day meeting",Rail,Standard, £578.68 ,Nil Return, £803.68 ,Nil Return,,
Samantha Pullin,2020-01-27,1.0,"Bristol, UK",To visit Bristol based teams,Rail,Standard,Nil Return,Nil Return, £36.00 ,Nil Return,,
Aidan Reilly,2020-01-14,1.0,"Southend, UK",Series of internal meetings with staff based outside of London,Rail,Standard, Nil Return , Nil Return , £33.00 , Nil Return ,,
Simon Ricketts,2020-01-21,1.0,"London, UK",Board Meeting,Rail,Standard, Nil Return , Nil Return , £57.00 , Nil Return ,,
Paul Riley,2020-01-09,1.0,"London, UK",to chair external meetings,Rail,Standard, Nil Return , Nil Return , £213.00 , Nil Return ,,
Paul Riley,2020-01-16,1.0,"Belfast, UK","Visit Regional Centre, Senior Sponsor role in Belfast         ",Air,Economy, Nil Return , Nil Return , £225.41 , Nil Return ,,
Paul Riley,2020-01-20,1.0,"London, UK",attend senior meetings,Rail,Standard, Nil Return , Nil Return , £152.00 , Nil Return ,,
Paul Riley,2020-01-20,1.0,"Warrington Bank Quay, UK",attend senior meetings,Rail,Standard, Nil Return , Nil Return , £56.00 , Nil Return ,,
Paul Riley,2020-01-30,1.0,"London, UK",to chair external meetings,Rail,Standard, Nil Return , Nil Return , £329.00 , Nil Return ,,
Paul Riley,2020-02-02,2.0,"London, UK",prep for House of Lords on 3 Feb,Rail,Standard, £55.00 , Nil Return , £148.00 , Nil Return ,,
Paul Riley,2020-02-03,1.0,"Warrington Bank Quay, UK",House of Lords,Rail,Standard, Nil Return , Nil Return , £319.00 , Nil Return ,,
Paul Riley,2020-02-06,1.0,"Belfast, UK","Visit Regional Centre, Senior Sponsor role in Belfast         ",Air,Economy, Nil Return , Nil Return , £102.86 , Nil Return ,,
Paul Riley,2020-02-13,2.0,"London, UK",attend conference in London on 14 Feb,Rail,Standard, £90.00 , Nil Return , £181.00 , Nil Return ,,
Paul Riley,2020-02-18,1.0,"London, UK",attend senior meetings ,Rail,Standard, Nil Return , Nil Return , £319.00 , Nil Return ,,
Paul Riley,2020-02-20,1.0,"London, UK",attend senior leadership team meeting,Rail,Standard, Nil Return , Nil Return , £280.00 , Nil Return ,,
Paul Riley,2020-02-24,1.0,"London, UK",attend Executive Committee workshop,Rail,Standard, Nil Return , Nil Return , £334.00 , Nil Return ,,
Paul Riley,2020-02-28,1.0,"Belfast, UK","Visit Regional Centre, Senior Sponsor role in Belfast         ",Air,Economy, Nil Return , Nil Return , £105.41 , Nil Return ,,
Paul Riley,2020-03-04,2.0,"London, UK",to attend an SCS training course,Rail,Standard, £252.00 , Nil Return , £524.00 , Nil Return ,,
Paul Riley,2020-03-09,1.0,"London, UK",to attend a meeting and chair external meeting,Rail,Standard, Nil Return , Nil Return , £240.00 , Nil Return ,,
Paul Riley,2020-03-16,2.0,"London, UK",House of Lords,Rail,Standard, £116.00 , Nil Return , £435.00 , Nil Return ,,
Joanna Rowland,2020-02-12,1.0,"Birmingham, UK",Making Tax Digital for Business team awayday,Rail,Standard, £123.34 , Nil Return , £307.34 , Nil Return ,,
Joanna Rowland,2020-02-17,2.0,"Telford, UK",Team and supplier visit,Rail / Taxi,Standard, £24.50 , Nil Return , £195.50 , Nil Return ,,
Peter Schofield,2020-01-14,1.0,"Newcastle, UK",Chief People Officer Group Senior Leadership Team meeting,Rail,Standard, £219.70 , Nil Return , £428.70 , Nil Return ,,
Peter Schofield,2020-01-27,2.0,"Newcastle, UK",Leadership Development Session & Site Visit with team,Rail,Standard, £148.00 , Nil Return , £313.00 , Nil Return ,,
Peter Schofield,2020-02-03,1.0,"Worthing, UK",Team engagement sessions,Rail,Standard, Nil Return , Nil Return , £32.00 , Nil Return ,,
Peter Schofield,2020-02-04,1.0,"Gatwick Airport, UK",Team engagement sessions,Rail,Standard, £4.35 , Nil Return , £52.35 , Nil Return ,,
Peter Schofield,2020-02-14,1.0,"Birmingham, UK",Appeal meeting,Rail,Standard, £7.48 , Nil Return , £40.48 , Nil Return ,,
Peter Schofield,2020-03-03,3.0,"Bristol, UK",Extended Leadership Team / Senior Leadership Team events,Hotel,, £283.65 , Nil Return , £431.65 , Nil Return ,,
Peter Schofield,2020-03-10,2.0,"Liverpool, UK",Leadership Development Session & Site Visit with team,Hotel,, Nil Return , Nil Return , £88.00 , Nil Return ,,
Jon Sherman,2020-02-03,5.0,"Accra, Ghana",Capacity building mission,Air / Rail,Economy / Standard, £9.46 , Nil Return , £693.37 , Nil Return ,,
Mike Shipp,2020-03-12,2.0,"Newcastle, UK","Visiting Newcastle-based Change, Assurance & Investment Team",Metro,, £90.45 ,Nil Return, £99.05 ,Nil Return,,
Tom Smith,2020-03-02,1.0,"Folkestone, UK",Visit to Eurotunnel,Rail,Standard, Nil Return ,Nil Return, £48.00 ,Nil Return,,
Kerrie Spendiff,2020-03-06,3.0,"Manchester, UK",Visit to team,Rail,Standard,Nil Return,Nil Return, £195.00 ,Nil Return,,
Ruth Stanier,2020-01-06,1.0,"Oxford, UK",Major Programme Leadership Academy Orchestrating Major Projects residential phase ,Rail,Standard, Nil Return , Nil Return , £31.00 , Nil Return ,,
Ruth Stanier,2020-02-11,1.0,"Bristol, UK",Off-site Executive Committee Meeting (ExCom),Rail,Standard, Nil Return , Nil Return , £144.00 , Nil Return ,,
Poli Stuart-Lacey,2020-01-29,1.0,"Leeds, UK",Communication's Senior Leadership Team off-site visit to front-line Compliance caseworkers in Leeds ,Rail,Standard, Nil Return , Nil Return , £100.00 , Nil Return ,,
Poli Stuart-Lacey,2020-02-11,1.0,"Bristol, UK",Executive Committee off-site at Bristol for the opening of the new regional centre. ,Rail,Standard, Nil Return , Nil Return , £148.00 , Nil Return ,,
Kate Tilley,2020-01-20,1.0,"Birmingham, UK",Meeting,Rail,Standard, Nil Return , Nil Return , £58.95 , Nil Return ,,
Kate Tilley,2020-02-04,1.0,"Birmingham, UK",Team Meeting,Rail,Standard, Nil Return , Nil Return , £58.95 , Nil Return ,,
Jo Wakeman,2020-01-16,2.0,"Belfast, UK",Visit to Belfast Large Business team,Air,Economy, £67.50 ,Nil Return, £277.68 ,Nil Return,,
Jo Wakeman,2020-01-20,1.0,"Birmingham, UK",Respect at Work Accelerated Solutions Event,Rail,Standard, Nil Return ,Nil Return, £76.00 ,Nil Return,,
Jo Wakeman,2020-01-22,1.0,"Nottingham, UK",Personnel interview,Rail,Standard, Nil Return ,Nil Return, £126.00 ,Nil Return,,
Jo Wakeman,2020-02-24,1.0,"London, UK",Attend Law Society Tax Committee Annual Dinner,Tube,, Nil Return ,Nil Return, £4.30 ,Nil Return,,
Jo Wakeman,2020-02-27,1.0,"London, UK",Large Business IT accelerated solutions event,Tube,, Nil Return ,Nil Return, £7.20 ,Nil Return,,
Jo Wakeman,2020-03-04,1.0,"London, UK",Customer Compliance Group Dispute Resolution Board and Respect at Work workshop,Tube,, Nil Return ,Nil Return, £4.30 ,Nil Return,,
Jo Wakeman,2020-03-06,1.0,"Reading, UK",Visit to Large Business Reading team,Rail / Tube,Standard, Nil Return ,Nil Return, £54.95 ,Nil Return,,
Jo Wakeman,2020-03-13,2.0,"Aberdeen, UK",visit to Large Business Aberdeen Team,Air / Rail / Taxi / Tube,Economy/Standard, Nil Return ,Nil Return, £331.99 ,Nil Return,,
Mervyn Walker,2020-02-04,1.0,"Southend, UK",Audit & Risk Committee Meeting,Rail,Standard, Nil Return , Nil Return , £24.00 ,Nil Return,,
Esther Wallington,2020-01-29,1.0,"Leeds, UK",National Leadership Forum ,Rail,Standard, Nil Return , Nil Return , £111.00 , Nil Return ,,
Esther Wallington,2020-02-03,1.0,"Preston, UK",Site Visit ,Hotel,, £73.00 , Nil Return , £73.00 , Nil Return ,,
Esther Wallington,2020-02-11,1.0,"Bristol, UK",Executive Committee Meeting ,Rail,Standard, Nil Return , Nil Return , £148.00 , Nil Return ,,
Esther Wallington,2020-03-03,1.0,"Liverpool, UK",International Womens Day event,Rail,Standard, £89.00 , Nil Return , £339.10 , Nil Return ,,
Esther Wallington,2020-03-12,1.0,"Leeds, UK",Site Visit ,Rail,Standard, £73.00 , Nil Return , £219.00 , Nil Return ,,
Steven Walters,2020-01-06,1.0,"London, UK",Directorate team meeting,Rail,Standard, £89.00 ,Nil Return, £210.00 ,Nil Return,,
Steven Walters,2020-01-14,2.0,"London, UK",Executive Committee workshop,Rail,Standard, £371.00 ,Nil Return, £492.00 ,Nil Return,,
Steven Walters,2020-01-23,1.0,"London, UK",Enterprise Leadership meeting and Executive Committee workshop,Rail,Standard, Nil Return , Nil Return , £121.00 , Nil Return ,,
Steven Walters,2020-02-04,1.0,"London, UK",Chief Executive Officer group Senior Leadership Team final meeting,Rail / Tube,Standard, £4.72 , Nil Return , £130.52 , Nil Return ,,
Steven Walters,2020-02-12,2.0,"London, UK",Directorate team meeting,Rail / Tube,Standard, £134.43 , Nil Return , £260.23 , Nil Return ,,
Steven Walters,2020-02-20,1.0,"London, UK",Customer Strategy & Tax Design Senior Leadership Team meeting,Rail,Standard, Nil Return , Nil Return , £121.00 , Nil Return ,,
Steven Walters,2020-02-21,1.0,"London, UK",Executive Committee Making Tax Digital review,Tube,, £4.04 , Nil Return , £8.84 , Nil Return ,,
Steven Walters,2020-02-24,2.0,"London, UK",Executive Committee Strategy Sessions,Rail / Tube / Car,Standard, £16.22 , Nil Return , £457.02 , Nil Return ,,
Steven Walters,2020-03-06,1.0,"London, UK",Meeting with Chief Executive Officer plus other meetings,Rail / Tube,Standard, £5.59 , Nil Return , £131.39 , Nil Return ,,
Steven Walters,2020-03-13,1.0,"London, UK",Executive Committee Strategy Sessions,Tube,, £7.27 , Nil Return , £12.07 , Nil Return ,,
Hannah Watson,2020-01-09,1.0,"London, UK",Internal Workshop,Rail,Standard, Nil Return ,Nil Return, £287.00 ,Nil Return,,
Hannah Watson,2020-01-16,1.0,"Newcastle, UK",HR Senior Leadership Team,Rail,Standard, Nil Return ,Nil Return, £103.00 ,Nil Return,,
Hannah Watson,2020-01-23,1.0,"London, UK",Internal/External meetings,Rail,Standard, Nil Return ,Nil Return, £287.00 ,Nil Return,,
Hannah Watson,2020-02-13,1.0,"London, UK",HR Senior Leadership Team,Taxi / Rail,Standard, Nil Return ,Nil Return, £333.00 ,Nil Return,,
Hannah Watson,2020-02-19,1.0,"Manchester, UK",Internal Meeting,Taxi / Rail,Standard, £8.25 ,Nil Return, £56.05 ,Nil Return,,
Hannah Watson,2020-02-24,2.0,"London, UK",External Workshop,Meals,, £46.05 ,Nil Return, £46.05 ,Nil Return,,
Hannah Watson,2020-03-03,1.0,"Leeds, UK",Internal Workshop,Rail,Standard, Nil Return ,Nil Return, £116.00 ,Nil Return,,
Hannah Watson,2020-03-19,1.0,"London, UK",Internal Meeting,Rail,Standard, Nil Return ,Nil Return, £287.00 ,Nil Return,,
Hannah Watson,2020-03-26,1.0,"Liverpool, UK",HR Senior Leadership Team,Rail,Standard, £108.00 ,Nil Return, £163.00 ,Nil Return,,
Richard West,2020-01-06,2.0,"London, UK",Internal meetings,Rail,Standard, £343.00 , Nil Return , £616.00 , Nil Return ,,
Richard West,2020-01-09,1.0,"Nottingham, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £35.00 , Nil Return ,,
Richard West,2020-01-15,1.0,"Bootle, UK",Urgent site visit,Hire Car,, Nil Return , Nil Return , £51.31 , Nil Return ,,
Richard West,2020-01-16,1.0,"Nottingham, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £34.00 , Nil Return ,,
Richard West,2020-01-22,1.0,"Belfast, UK",Site visit,Air,Economy, Nil Return , Nil Return , £327.07 , Nil Return ,,
Richard West,2020-01-23,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £86.00 , Nil Return ,,
Richard West,2020-01-24,1.0,"Shipley, UK",Workshop,Hire Car,, Nil Return , Nil Return , £39.31 , Nil Return ,,
Richard West,2020-01-28,1.0,"Nottingham, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £20.00 , Nil Return ,,
Richard West,2020-01-29,1.0,"London, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £273.00 , Nil Return ,,
Richard West,2020-02-03,1.0,"Nottingham, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £20.00 , Nil Return ,,
Richard West,2020-02-04,1.0,"London, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £273.00 , Nil Return ,,
Richard West,2020-02-10,1.0,"London, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-02-10,1.0,"Bristol, UK",Site visit,Rail,Standard, Nil Return , Nil Return , £112.00 , Nil Return ,,
Richard West,2020-02-11,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-02-11,1.0,"Bristol, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £132.00 , Nil Return ,,
Richard West,2020-02-11,2.0,"London, UK",Site visit,Rail,Standard, £224.00 , Nil Return , £260.00 , Nil Return ,,
Richard West,2020-02-13,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £58.00 , Nil Return ,,
Richard West,2020-02-17,1.0,"London, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-02-17,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-02-19,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-02-24,1.0,"London, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-02-27,1.0,"London, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-02-27,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-03-03,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-03-04,1.0,"Nottingham, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £63.00 , Nil Return ,,
Richard West,2020-03-04,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £11.00 , Nil Return ,,
Richard West,2020-03-05,1.0,"London, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
Richard West,2020-03-06,1.0,"Leeds, UK",Internal meetings,Rail,Standard, Nil Return , Nil Return , £136.00 , Nil Return ,,
