Title,Locations,Distributor,Director,Writer
A Taiwanese Tale of Two Cities,Pier 7,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin"
Godzilla,Sacramento & Front St.,Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Twisted,Piers 30-32,Paramount Pictures,Philip Kaufman,Sarah Thorp
Dirty Harry,"California Hall (625 Polk Street, Van Ness/Civic Center)",Warner Brothers,Don Siegel,Harry Julian Fink
San Andreas,555 California,Warner Bros.,Brad Peyton,Allan Loeb 
Time After Time,Lombard & Broderick Streets (Marina District),Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Pushing Dead,42 Walter Street,TBD,Tom Brown,Tom Brown
Bullitt,John Muir Drive (Lake Merced),Warner Brothers,Peter Yates,Alan R. Trustman
Experiment in Terror,Candlestick Park,Columbia Pictures,Blake Edwards,The Gordons
Chance Season 2,Embarcadero between Bay and Chestnut St,Hulu,Rozann Dawson,Alexandra Cunningham
Chance- Season 1 ep110,"Cliffhouse, 1090 Point Lobos Ave.",HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann
Tales of the City,Grant and Green St,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley"
Etruscan Smile,"Outpost Studios, 69 Green Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
On the Beach,,United Artists,Stanley Kramer,John Paxton
The Candidate,"Westin St. Francis Hotel (335 Powell Street, Union Square)",Warner Bros. Pictures,Michael Ritchie,Jeremy Larner
Bullitt,Brocklebank Apartments (1000 Mason Street),Warner Brothers,Peter Yates,Alan R. Trustman
Burglar,California Academy of Sciences (Golden Gate Park),Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III
The Diary of a Teenage Girl,The Magazine at 920 Larkin,Sony Pictures Classics,Marielle Heller,Marielle Heller
The Diary of a Teenage Girl,SPECS' Twelve Adler Museum Caf̩,Sony Pictures Classics,Marielle Heller,Marielle Heller
Bedazzled,1155 Filbert Street at Hyde,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis
Interview With The Vampire,Golden Gate Bridge,Geffen Pictures,Neil Jordan,Anne Rice
Greed,Cliff House (1090 Point Lobos Avenue),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim 
GirlBoss,Mission between 19th and 25th St.,Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Quitters,Tonga Room,,Noah Pritzker,Noah Pritzker
The OA Part II,"Fairmont Hotel (950 Mason Street, Nob Hill)",Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Etruscan Smile,"Marriott Marquis, 780 Mission Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Petulia,Pier 43 1/2,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus
Jagged Edge,City Hall,Columbia Pictures,Richard Marquand,Joe Eszterhas
Etruscan Smile,"Bentley Reserve, 301 Battery Street",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Summertime,Stanyan & Belgrave,8 Distribution,Gabriele Muccino,Gabriele Muccino
Sense8,16th St.,Netflix,The Wachowskis,The Wachowskis
The Laughing Policeman,,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman
Flower Drum Song,Chinatown,Universal Pictures,Henry Koster,Joseph Fields
High Anxiety,"Fort Point (Presidio, Golden Gate National Recreation Area)",Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks
Looking,The Caf̩ at 2369 Market St.,Home Box Office (HBO),Andrew Haigh,Michael Lannan
Blue Jasmine,Grant & Washington St.,Sony Pictures Classics,Woody Allen,Woody Allen
San Andreas,Washington Square,Warner Bros.,Brad Peyton,Allan Loeb 
Chu Chu and the Philly Flash,Transbay Terminal (Mission Street at 1st Street),Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana
Dream for an Insomniac,Elbo Room (647 Valencia Street),Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo
Nine Months,The Malloch Apartment Building (1360 Montgomery Street),Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus
A Night Full of Rain,Embarcadero Freeway,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller
Magnum Force,City Hall,Warner Bros. Pictures,Ted Post,John Milius
Dark Passage,"Filbert Steps, Filbert Street",Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis
Chance - Season 1 Pilot,Jefferson Square Park,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
I Am Michael,Flint & 16th (Castro),,Justin Kelly,Justin Kelly
Chance- Season 1 ep104,200 Kansas St.,HULU,Carl Franklin,Peter Elkoff
"Looking ""Special""",Castro Street between 17th & 18th,HBO,Andrew Haigh,Michael Lannan
Sense8,20th,Netflix,The Wachowskis,The Wachowskis
The Wedding Planner,Montgomery Street at Union Street,Sony Pictures Entertainment,Adam Shankman,Pamela Falk
Beautiful Boy,18th St at San Bruno Ave.,Amazon Studios,Felix van Groeningen,Luke Davies
Babies,,Focus Features,Thomas Balmes,Thomas Balmes
Summertime,Broadway and Taylor St Intersection,3 Distribution,Gabriele Muccino,Gabriele Muccino
Terminator - Genisys,Powell St at Geary St,Paramount Pictures,Alan Taylor,James Cameron
Pushing Dead,"915 Naples, San Francisco",TBD,Tom Brown,Tom Brown
Experiment in Terror,2632 Larkin Street at Lombard,Columbia Pictures,Blake Edwards,The Gordons
Looking Season 2 ep 202,601 Buena Vista Ave West,HBO,Andrew Haigh,Michael Lannan
Chance Season 2,Scott St between Jackson and Clay St,Hulu,Rozann Dawson,Alexandra Cunningham
Chance- Season 1 ep104,"Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd.",HULU,Carl Franklin,Peter Elkoff
Alexander's Ragtime Band,"Fairmont Hotel (950 Mason Street, Nob Hill)",Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola
Terminator - Genisys,Bush St. at Stockton St.,Paramount Pictures,Alan Taylor,James Cameron
Americana,Laguna Honda Hospital; 375 Laguna Honda Blvd.,,Zachary Shedd,Zachary Shedd
Hereafter,The Final Final (2990 Baker Street),Warner Bros. Pictures,Clint Eastwood,Peter Morgan
Sweet November,Christopher's Books (1400 18th Street),Warner Bros. Pictures,Pat O'Connor,Paul Yurick
Chance- Season 1 ep104,Palace of Fine Arts,HULU,Carl Franklin,Peter Elkoff
Americana,John Shelley Drive John McLaren Park,,Zachary Shedd,Zachary Shedd
