Title,Release Year,Locations,Production Company,Distributor,Director,Writer
Blue Jasmine,2013,5546 Geary Ave,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
Milk,2008,Marine Fireman's Union Headquarters,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black
Bullitt,1968,Bayshore Blvd near Cesar Chavez (Bayview),"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman
Hemingway & Gelhorn,2011,Muni Metro East (501 Cesar Chavez),"Attaboy Films, For Whom Productions, Home Box Office (HBO)",Home Box Office (HBO),Philip Kaufman,Jerry Stahl & Barbara Turner
Bullitt,1968,20th & Vermont Streets (Potrero Hill),"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman
Magnum Force,1973,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius
Looking Season 2 ep 204,2015,"Esta Noche, 3079 16th Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
The Presidio,1988,Coit Tower,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson
"Smile Again, Jenny Lee",2015,"Fairmont Hotel (950 Mason Street, Nob Hill)",Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick
The Dead Pool,1988,Fremont Street Exit of Bay Bridge,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Barbary Coast,1935,,The Samuel Goldwyn Company,United Artists,Howard Hawks,Ben Hecht
D.O.A,1950,Union Square,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse
Always Be My Maybe,2019,19th Ave Home,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong"
Dr. Dolittle 2,2001,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin
Bicentennial Man,1999,Golden Gate Bridge,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan
Time After Time,1979,Lombard & Divisadero Streets (Marina District),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Bitter Melon,2018,3139 16th St,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza
"Murder in the First, Season 3",2016,500 Grove Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Sphere,1998,S.S. Jeremiah O'Brien,Constant c Productions,Warner brothers Pictures,Barry Levinson,Kurt Wimmer
Woman on the Run,1950,835-865 Market Street at 5th Street,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster
The Internship,2013,Players Arcade at Pier 39,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn
Milk,2008,424 Sansome Street,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black
Edtv,1999,North Beach Video (1398 Grant Avenue at Green),Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz
Parks and Recreation,2014,Columbus and Green,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels
Bedazzled,2000,City Hall,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis
Chance- Season 1 ep102,2016,Heron and Berwick Alleys,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham
Time After Time,1979,One Embarcadero Center (Financial District),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street),1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus
Looking Season 2 ep 207,2015,770 Haight Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
GirlBoss,2017,"Musee Mecanique, Fisherman's Wharf","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Marnie,1964,"On Board the SS President Cleveland, docked at Pier 50",Universal Pictures,Universal Pictures,Alfred Hitchcock,Jay Presson Allen
I Am Michael,2015,Sanchez/Cumberland steps and sidewalks,Thatâs Hollywood,,Justin Kelly,Justin Kelly
Pleasure of His Company,1961,2700 Vallejo Street (Pacific Heights),Perlsea Company,Parmaount Pictures,George Seaton,Samuel A. Taylor
Big Eyes,2014,Pine St. & Grant,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander
The OA Part II,2019,Pier 43,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Terminator - Genisys,2015,Howard St. from Embarcadero to 11 St.,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
Kamikaze Hearts,1986,Market Street Between Noe and Sanchez,Leger/Bashore,Facets Multimedia Distribution,Juliet Bashore,Juliet Bashore
Dawn of the Planet of the Apes,2014,Filbert St. from Hyde to Leavenworth,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa
Chance- Season 1 ep108,2016,St. Mary's Square Park,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein
The OA Part II,2019,Cameron House - 920 Sacramento St,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Quitters,2015,21st St & Sanchez,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker
Twisted,2004,Veterans' War Memorial Building (401 Van Ness Avenue),Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp
The Competition,1980,Pier 39,Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky
Quitters,2015,Tonga Room,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker
Bullitt,1968,CafÃ© Cantata (2040 Union Street),"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman
Flubber,1997,Treasure Island,Walt Disney Pictures,Buena Vista Pictures,Les Mayfield,Samuel W. Taylor
By Hook or By Crook,2001,"Department of Public Health (101 Grove Street at Polk, Civic Center)",Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard
Basic Instinct,1992,Tosca CafÃ© (242 Columbus Avenue),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Birth of the Dragon,2016,Pier 45 - Jeremiah O'Brien Liberty Ship,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele"
Chance- Season 1 ep102,2016,"Duboce St., Duboce CafÃ©",TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham
Innerspace,1987,Telegraph Hill,Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser
Americana,2015,Coi Restaurant (373 Broadway),Sutro Films LLC,,Zachary Shedd,Zachary Shedd
Red Widow,2013,2nd St & Howard,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
Pretty Woman,1990,,Touchstone Pictures,Buena Vista Pictures,Garry Marshall,J.F. Lawton
"Looking ""Special""",2016,"Philz Coffee, 1258 Minnesota Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Foul Play,1978,Sacramento & Hyde Streets (Nob Hill),Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
Bullitt,1968,Taylor & Vallejo Streets (Russian Hill),"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman
"Looking ""Special""",2016,"Orphan Andy's, 3991 17th Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Vertigo,1958,Park Hill Sanatorium (351 Buena Vista Avenue East),Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel
Dirty Harry,1971,Bank of America Building (555 California Street),The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink
Looking,2014,Presidio Church at 130 Fisher Loop,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
D.O.A,1950,Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle),Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse
Fearless,1993,Folsom Street & Embarcadero,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias
A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum
Sudden Fear,1952,Lombard Street,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee
Dr. Dolittle 2,2001,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin
Joy Luck Club,1993,901 Union Street,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan
Chance- Season 1 ep102,2016,"YWCA, 940 Powell",TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham
Ant-Man,2015,Columbus between Bay and Washington,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari 
Dawn of the Planet of the Apes,2014,Columbus & Pacific Ave,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa
Copycat,1995,Alta Plaza Park,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman
Time After Time,1979,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Terminator - Genisys,2015,Powell St at Geary St,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
Looking Season 2 ep 202,2015,601 Buena Vista Ave West,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Vertigo,1958,Conservatory of Flowers (Golden Gate Park),Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel
Blue Jasmine,2013,Heald College,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
"Murder in the First, Season 2",2015,901 Missouri Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
The OA Part II,2019,Broadway Tunnel,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Looking Season 2 ep 207,2015,"Sparky's Diner, 242 Church Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Looking Season 2 ep 209,2015,"Mission Arts Center, 2450 Harrison Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Chance- Season 1 ep106,2016,60 Leavenworth St.,TVM Productions,HULU,Sara Gran,Dan Attias
Vertigo,1958,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel
The Right Stuff,1983,City Hall,The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman
Pal Joey,1957,"Spreckels Mansion (2080 Washington Street, Pacific Heights)",Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley
