animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A563488,DOG,MASTIFF,BULLMASTIFF,L15-013286,LIC UNALTERED,COUNTER,50.0,2015-06-27 00:00:00,2016-06-25 00:00:00,CURRENT
A596899,DOG,COLLIE,AUST CATTLE DOG,RAB8939711,RABIES CERT,VET,0.0,2016-08-11 00:00:00,2017-05-20 00:00:00,CURRENT
A628947,CAT,LONGHAIR,DOMESTIC MH,985113001276162,MICROCHIP ADO,HOME AGAIN,25.0,2017-11-01 00:00:00,2018-11-01 00:00:00,CURRENT
A177665,DOG,TOY,POMERANIAN,D04-014813,LIC ALTERED,,7.5,2003-02-15 00:00:00,2004-01-07 00:00:00,EXPIRED
A454762,DOG,TERRIER,SCHNAUZER MIN,L14-020088,LIC SR,HLP SCAN,5.0,2014-06-29 00:00:00,2015-04-10 00:00:00,RENEWED
A614560,DOG,SHEPHERD,GERM SHEPHERD,,,,,,,
A379204,DOG,TOY,CHIHUAHUA SH,L15-044798,LIC SR,VET,4.5,2015-03-17 00:00:00,2016-03-09 00:00:00,RENEWED
A560198,CAT,SHORTHAIR,AMER SH,,,,,,,
A582877,DOG,SETTER/RETRIEVE,LABRADOR RETR,L15-017725,LIC ALTERED,HLP SCAN,9.0,2016-02-09 00:00:00,2016-10-01 00:00:00,RENEWED
A632154,CAT,LONGHAIR,DOMESTIC LH,,,,,,,
A560207,DOG,TOY,CHIHUAHUA SH,L17-008057,LIC UNALTERED,COUNTER,60.0,2017-06-09 00:00:00,2018-05-19 00:00:00,CURRENT
A556307,DOG,POODLE,POODLE TOY,L15-058519,LIC ALTERED,HLP SCAN,9.5,2015-03-24 00:00:00,2016-02-12 00:00:00,RENEWED
A601054,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-042473,LIC UNALTERED,HLP WEB,60.5,2016-09-23 00:00:00,2017-08-12 00:00:00,RENEWED
A566929,DOG,MIX,MIX,L17-033205,LIC ALTERED,HLP SCAN,10.0,2017-09-28 00:00:00,2018-06-24 00:00:00,CURRENT
A627004,DOG,SETTER/RETRIEVE,LABRADOR RETR,L17-043929,LIC ALTERED,HLP SCAN,10.0,2017-09-28 00:00:00,2018-08-14 00:00:00,CURRENT
A601187,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-011749,LIC ALTERED,HLP SCAN,10.0,2016-09-26 00:00:00,2017-08-26 00:00:00,CURRENT
A574839,DOG,MASTIFF,ANATOL SHEPHERD,981020013650765,MICROCHIP,HLP WEB,0.0,2015-10-21 00:00:00,,CURRENT
