Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Nick Joicey,07/08/2019,1,"Sheffield, UK",Staff engaagement meetings in Northern DWP sites,Rail,Standard,NIL return,NIL return,£105.20,NIL return
Nick Joicey,04/09/2019,2,Cambridge,Summer School/ET Away Day,Rail,Standard,£20.00,NIL return,£77.45,NIL return
Nick Joicey,13/09/2019,1,High Wycombe,Executive Team Business Continuity Exercise,Rail,Standard,NIL return,NIL return,£21.45,NIL return
Nick Joicey,18/09/2019,1,Liverpool,Financial Management & Planning Conference,Rail,Standard,NIL return,NIL return,£94.85,NIL return
Nick Joicey,25/09/2019,1,"Blackpool, UK",Senior Leaders Session / Team meeting,Rail,Standard,NIL return,NIL return,£199.15,NIL return
Jane Cunliffe,24/07/2019,1,Sheffiled,Finance Executive Team Meeting,Rail,Standard,£0.00,NIL return,£97.50,NIL return
Jane Cunliffe,02/09/2019,1,Cambridge,Summer School Event,Rail,Standard,£0.00,NIL return,£26.45,NIL return
Jane Cunliffe,26/09/2019,1,"Leeds, UK",Visiting Staff/Meetings,Rail,Standard,£0.00,NIL return,£155.10,NIL return
Tara Smith,03/07/2019,1,"Newcastle, UK",Chair internal meeting,Rail,Standard,£0.00,NIL return,£92.80,NIL return
Tara Smith,09/07/2019,1,Barnsley,Hosting DWP Story event,Rail,Standard,£0.00,NIL return,£16.70,NIL return
Tara Smith,24/07/2019,1,"Sheffield, UK",Leadership Development event,Rail,Standard,£0.00,NIL return,£13.40,NIL return
Tara Smith,09/09/2019,1,"London, UK",Security Workshop,Rail,Standard,£0.00,NIL return,£278.05,NIL return
Tara Smith,12/09/2019,1,"Blackpool, UK",Management Team meetig,Car,NIL return,£0.00,NIL return,£69.32,NIL return
Tara Smith,19/09/2019,1,Liverpool,Conference attendance,Rail,Standard,£0.00,NIL return,£60.35,NIL return
Tara Smith,25/09/2019,2,"London, UK ",Internal meetings and Deloitte evening event,Rail,Standard,£148.50,NIL return,£289.25,NIL return
,,,,,,,,,,
Campbell (Michael) Mccafferty,02/07/2019,1,"Leeds, UK",Security SLT face to face meeting at Quarry House,Rail,Economy,£9.40,NIL return,£14.20,NIL return
Campbell (Michael) Mccafferty,04/07/2019,1,"Cosham, Portsmouth",Campbell presented DWP Story in Cosham,Car,NIL return,NIL return,£6.20,£35.10,NIL return
Campbell (Michael) Mccafferty,23/07/2019,2,"York, Sheffield, UK","Vetting Reform Board meeting in YorkFinance Executive Team (FET) Leadership Development in Sheffield, UK",Rail,Economy,£201.57,NIL return,£219.95,NIL return
Campbell (Michael) Mccafferty,05/08/2019,2,"Leeds, UK, Manchester","Data Protection One Workshop in Leeds, UKSecurity SLT face to face meeting in Manchester",Rail,Economy,£185.50,NIL return,£190.30,NIL return
Campbell (Michael) Mccafferty,13/08/2019,1,"London, UK",Security to meet with Cluster 3 CEOs/Directors,Rail,Economy,NIL return,NIL return,£4.80,NIL return
Campbell (Michael) Mccafferty,21/08/2019,1,"London, UK",Security to meet with Cluster 3 CEOs/Directors,Rail,Economy,NIL return,NIL return,£4.80,NIL return
Campbell (Michael) Mccafferty,02/09/2019,1,"Newcastle, UK",Security SLT face to face meeting at Longbenton,Rail,Economy,£105.00,NIL return,£181.25,NIL return
Campbell (Michael) Mccafferty,19/09/2019,1,"Civil Service Club, London, UK",Late meeting with Supplier,NIL return,Standard,£129.00,NIL return,£129.00,NIL return
Sue Moore,09/09/2019,4,"Bristol, Portsmouth",Infastructure Projects Authority (IPA) review ,"Car, Rail ",Standard ,£207.80,NIL return,£561.75,NIL return
Laura Squire,16/07/2019,1,"Leeds, UK, Kings Cross",Meetings with DWP staff,Rail,Standard,£0.00,NIL return,£265.00,NIL return
Laura Squire,24/07/2019,1,"Leeds, UK, Sheffield, UK",DWP event,Rail,Standard,£0.00,NIL return,£14.20,NIL return
Laura Squire,25/07/2019,1,"Leeds, UK, London, UK",Meetings with DWP staff,Rail,Standard,£0.00,NIL return,£266.00,NIL return
Laura Squire,28/08/2019,2,"Leeds, UK, London, UK",Meetings/interviewing,Rail,Standard,£145.00,NIL return,£416.25,NIL return
Laura Squire,30/08/2019,1,"Leeds, UK, Grimsby",Visit to meet Digital staff at Grimsby Service Staff,Rail,Standard,£0.00,NIL return,£57.30,NIL return
Laura Squire,03/09/2019,1,"Leeds, UK, Cambridge",Summer School,Rail,Standard,£0.00,NIL return,£99.75,NIL return
Laura Squire,04/09/2019,1,"Cambridge, London, UK",Meetings with DWP staff,Rail,Standard,£0.00,NIL return,£52.35,NIL return
Laura Squire,05/09/2019,1,"Cambridge, London, UK",Summer School,Rail,Standard,£0.00,NIL return,£86.45,NIL return
Laura Squire,26/09/2019,1,"Leeds, UK, London, UK",Meetings with DWP staff,Rail,Standard,£0.00,NIL return,£273.25,NIL return
Nagesh Reddy,04/07/2019,1,"Leeds, UK",Change Group Programme Directors & Senior Civil Servants (SCS) Away day,Hire Car,NIL return,NIL return,NIL return,"£73.86 
",NIL return
Nagesh Reddy,11/07/2019,1,"Oldham, UK","DWP Story - Phoenix House, Oldham, UK",Hire Car,NIL return,NIL return,NIL return,"£64.73

 ",NIL return
Nagesh Reddy,15/07/2019,1,"Leeds, UK","DWP Re-Imagine Team Meeting
Introducing Finance Transformation with HR Re-Imagine","Car, Rail",Standard,NIL return,NIL return,£112.60,NIL return
Nagesh Reddy,16/07/2019,1,"Caxton House, London, London, UK",Cloud implementation and transformation at DWP - face to face meeting,"Car, Rail",Standard,NIL return,NIL return,£380.00,NIL return
Nagesh Reddy,18/07/2019,1,"Caxton House, London, London, UK","Change Group Priorities Blueprint Work Programme - Away Day follow up 
Change Portfolio Board","Car, Rail",Standard,£3.65,NIL return,£396.75,NIL return
Nagesh Reddy,23/07/2019,2,"London, UK - Kensington","Travel night before
MPLA Cohort 24 - Organisational Design Masterclass on 24/07/2019","Car, Rail",Standard,£149.60,NIL return,£567.80,NIL return
Nagesh Reddy,13/08/2019,2,"Caxton House, London, London, UK","Travel night before
Meeting John Hatton, Crystal Akass & Nagesh Reddy
Cognitive HR Tools Meeting",Rail,Standard,£129.00,NIL return,£520.95,NIL return
Nagesh Reddy,03/09/2019,2,"Caxton House, London","Travel night before
DG & SRO meeting to discuss Re-Imagine Transformation ",Rail,Standard,£133.00,NIL return,£511.60,NIL return
Nagesh Reddy,11/09/2019,2,"London, UK Kensington
Caxton House, London","2 days - MPLA Cohort 24 - Risk Management Master Class
DWP Re-imagine Programme Board",Rail,Standard,£143.00,NIL return,£539.95,NIL return
Nagesh Reddy,16/09/2019,2,"London, UK Hounslow
Feltenham","Travel Night before
SAP Immersive Experience",Rail,Standard,£110.00,NIL return,£525.25,NIL return
Nagesh Reddy,19/09/2019,1,"Caxton House, London",Change Portfolio Board,Rail,Standard,NIL return,NIL return,£372.60,NIL return
Nagesh Reddy,24/09/2019,2,"Benton Park View - Newcastle, UK","Meeting with NE Hub Staff  - Finance Transformation Programme (Programme Closure) and DWP Re-imagine, Programme launch ",Hire Car,NIL return,£64.20,NIL return,£144.00,NIL return
Debbie Alder,22/08/2019,1,"Leeds, UK",People and Capability Hub visit,"Rail, Taxi",Standard,,NIL return,£151.28,NIL return
Debbie Alder,28/08/2019,3,"Plymouth, Taunton",Site visit/Twinning site,"Rail, Taxi",Standard,£194.28,NIL return,£377.03,NIL return
Debbie Alder,04/09/2019,3,Cambridge,DWP Summer school,"Rail, Taxi",Standard,£20.00,NIL return,£106.15,NIL return
Debbie Alder,09/09/2019,1,"London, UK",Civil Servive Human Rescources /Chinese Government event,Taxi,Standard,£0.00,NIL return,£7.00,NIL return
Debbie Alder,24/09/2019,1,"London, UK",Chartered Institute of Personnel and Development Awards/Profession,Taxi,Standard,£0.00,NIL return,£27.40,NIL return
Charlotte Clark,02/07/2019,1,Sunderland,DWP Story,Tube,Standard,£13.30,NIL return,£15.70,
Charlotte Clark,03/07/2019,1,Sunderland,DWP Story,Tube,Standard,£0.00,NIL return,£2.40,None
Charlotte Clark,08/07/2019,1,Hastings,Team meeting,Taxi,Standard,£71.10,NIL return,£81.10,None
Charlotte Clark,09/07/2019,1,Hasstings ,DWP Story,Taxi,Standard,£0.00,NIL return,£10.00,None
Charlotte Clark,23/07/2019,1,St Albans,Leadership Conference,Rail/Tube,Standard /return,£0.00,NIL return,£17.90,None
Charlotte Clark,25/07/2019,1,Acton,Team meeting,Tube,Standard,£0.00,NIL return,£6.60,None
Charlotte Clark,28/08/2019,1,"Blackpool, UK",Meetings with team members,Rail,Standard,£130.00,NIL return,£273.50,None
Charlotte Clark,30/08/2919,1,Dudley,Team meeting,Rail ,Standard,NIL return,NIL return,£77.50,None
Charlotte Clark,02/09/2019,2,"Stockport, Washington Tyne & Wear",Team meeting,Rail,Standard,£78.00,NIL return,£360.35,None
Charlotte Clark,03/09/2019,1,"Leeds, UK",Senior Team Day,Rail,Standard,£55.99,NIL return,£55.99,None
Helen Pickles,04/07/2019,1,"London, UK",Meetings with team,Rail,Standard,£0.00,NIL return,£185.00,NIL return
Helen Pickles,05/08/2019,3,"London, UK, Canterbury",Meetings with team and site visit,Rail,Standard,£0.00,NIL return,£354.60,NIL return
Helen Pickles,13/08/2019,1,"London, UK",Meetings with team,"Rail, taxi",Standard,£5.00,NIL return,£281.00,NIL return
Helen Pickles,10/09/2019,1,"Sheffield, UK",Meetings with team,Own car,NIL return,£0.00,NIL return,£8.50,NIL return
Helen Pickles,28/08/2019,1,"London, UK",Meetings with team and Cabinet Office,Rail,Standard,£0.00,NIL return,£271.25,NIL return
Helen Pickles,20/09/2019,1,"London, UK",Development Session with People & Capability senior team,"Rail, taxi",Standard,£0.00,NIL return,£233.00,NIL return
Helen Pickles,25/09/2019,1,"London, UK",Meetings with team,"Rail, taxi",Standard,£5.00,NIL return,£295.80,NIL return
Helen Pickles,30/09/2019,1,"Sheffield, UK",Meetings with team,Car,NIL return,£0.00,NIL return,£5.00,NIL return
Deb Walton,12/08/2019,1,"Sheffield, UK",SMT Meeting ,Rail,Standard,£0.00,NIL return,£187.05,NIL return
Deb Walton,20/08/2019,2,"Leeds, UK",Team meetings/Railing ,Rail,Standard,£80.85,NIL return,£176.90,NIL return
Deb Walton,05/09/2019,2,Cambridge,Summer School ,Rail,Standard,NIL return,NIL return,£62.45,NIL return
Crystal Akass,25/09/2019,2,Redhill,Attendance at HPDS event (Betchworth),Rail,Standard,NIL return,NIL return,£23.05,NIL return
Peter Schofield,04/07/2019,1,"Newcastle, UK",Site visit,Rail,Standard,£92.99,£3.10,£209.09,NIL return
Peter Schofield,22/08/2019,1,Canterbury,Site Visit,Rail,Standard,NIL return,NIL return,£31.75,NIL return
Peter Schofield,02/09/2019,5,Cambridge,Summer School,Rail,Standard,NIL return,NIL return,£28.48,NIL return
Peter Schofield,04/09/2019,5,Cambridge,Summer School,Rail,Standard,NIL return,NIL return,£59.25,NIL return
Peter Schofield,05/09/2019,5,Cambridge,Summer School,NIL return,NIL return,£20.00,NIL return,£20.00,NIL return
Peter Schofield,06/09/2019,5,Cambridge,Summer School,Rail,Standard,NIL return,NIL return,£25.35,NIL return
Peter Schofield,13/09/2019,1,High Wycombe,Site visit,Rail,Standard,£2.71,NIL return,£37.41,NIL return
Peter Schofield,21/09/2019,1,Ashridge,Windsor Conference,NIL return,NIL return,NIL return,£10.00,£10.00,NIL return
Martin Hagen,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return
John Clark,11/09/2019,1,"London, UK ",DWP meeting ,Rail,Standard,NIL return,NIL return,£73.55,NIL return
Sara Weller,11/07/2019,1,"London, UK",DWP meetings ,"Rail, Taxi",Standard,NIL return,£7.00,£50.00,NIL return
Sara Weller,29/07/2019,1,"London, UK",DWP meetings ,"Rail, Taxi",Standard,NIL return,£8.00,£8.00,NIL return
