Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
William (Graeme) Wallace,20/08/2019,2,"Blackpool, UK",Presenting at the DWP Story Event,Car,NIL return,£85.00,NIL return,£224.28,NIL return
William (Graeme) Wallace,27/08/2019,1,"Glasgow, Scotland",Presenting at the DWP Story Event,Rail ,Standard,£7.48,NIL return,£95.78,NIL return
William (Graeme) Wallace,02/09/2019,3,"London, UK",Service Excellence Executive Team meeting/Summer School Speaker,Rail ,Standard,£152.57,NIL return,£414.32,NIL return
William (Graeme) Wallace,16/09/2019,2,"London, UK",Service Transformation Board,Rail,Standard,£154.97,NIL return,£504.82,NIL return
William (Graeme) Wallace,23/09/2019,2,"London, UK",Scottish Devolution Programme Board face to face,Rail,Standard,£146.64,NIL return,£400.59,NIL return
Tom McCormack,01/07/2019,2,"Warrington/ London, UK",Site Visit/ Directorate Meeting,Rail,Standard,£129.20,NIL return,£474.60,NIL return
Tom McCormack,04/07/2019,1,"Newcastle, UK ",Civil Service Live,Car,NIL return,£0.00,NIL return,£9.30,NIL return
Tom McCormack,09/07/2019,3,"Hastings/Birkenhead, UK",Delivering Railing,Rail,Standard,£205.30,NIL return,£766.40,NIL return
Tom McCormack,17/07/2019,2,"Birkenhead, UK",Site Visits,Rail,Standard,£114.65,NIL return,£288.45,NIL return
Tom McCormack,23/07/2019,2,"London, UK",Meetings,Rail,Standard,£127.76,NIL return,£830.36,NIL return
Tom McCormack,29/07/2019,2,"Belfast/ London, UK",Site Visits/ Directorate Meetings,Rail,Standard,£121.75,NIL return,£731.71,NIL return
Tom McCormack,14/08/2019,1,York,Meetings,Rail,Standard,£5.00,NIL return,£124.00,NIL return
Bozena Hillyer,12/08/2019,1,Manchester,"Meet previous temporary Director and Fraud, Error and Debt Programme Team",Rail,Standard,£5.00,£14.50,£62.50,NIL return
Bozena Hillyer,13/08/2109,1,"Birmingham, UK",Meet with Staff and HR Business Partner,Rail,Standard,£5.00,£21.40,£26.10,NIL return
Bozena Hillyer,14/08/2019,1,Manchester,Meet with Debt Management Deputy Dierector and Film Vlog,Rail,Standard,NIL return,£14.50,£34.35,NIL return
Bozena Hillyer,20/08/2019,2,"London, UK",Meetings with DWP staff and at Cabinet Office,Rail,Standard,£161.60,£37.40,£524.25,NIL return
Bozena Hillyer,22/08/2019,1,"Blackpool, UK",Meeting with FED Programme Director and Team. ,Rail,Standard,NIL return,£28.70,£67.35,NIL return
Bozena Hillyer,28/08/2019,1,"Leeds, UK",DWP Meetings,Rail,Standard,£2.60,£25.50,£64.33,NIL return
Bozena Hillyer,29/08/2019,1,"London, UK",Meetings with DWP Staff and at Cabinet Office ,Rail,Standard,£3.20,£18.70,£347.15,NIL return
Bozena Hillyer,03/09/2019,2,"London, UK",DWP meetings - SEET/AME Board/ UC PDE/ FED Board,Rail,Standard,£153.22,£9.60,£423.07,NIL return
Bozena Hillyer,09/09/2019,2,"London, UK",DWP Meetings,Rail,Standard,£142.35,£40.40,£418.99,NIL return
Bozena Hillyer,11/09/2019,2,"Manchester/Newcastle, UK",CFCD Exective Meeting/ Autumn School,Rail,Standard,£102.88,£41.40,£228.53,NIL return
Bozena Hillyer,17/09/2019,1,"London, UK",DWP Meetings,Rail,Standard,NIL return,£23.50,£298.75,NIL return
Bozena Hillyer,23/09/2019,2,"London, UK",DWP Meetings/ Autumn School,Rail,Standard,£73.09,£11.50,£273.19,NIL return
Bozena Hillyer,26/09/2019,1,"London, UK",Meeting at Cabinet Office,Rail,Standard,£1.79,£25.70,£202.54,NIL return
Arlene Sugden,09/09/2019,2,"London, UK",Meetings,Air,Economy,£111.25,NIL return,£538.23,NIL return
Arlene Sugden,25/09/2019,2,Manchester,Team meeting event,Rail,Standard,£98.00,NIL return,£233.35,NIL return
Neil Couling,04/07/2019,1,"Leeds, UK","SCS Away day and Change Roadshow in Leeds, UK ",Rail,Standard,£95.32,NIL return,£230.22,NIL return
Neil Couling,05/07/2019,1,"Sheffield, UK","Change Group Programme Directors in Sheffield, UK",Rail,Standard,£6.84,NIL return,£117.34,NIL return
Neil Couling,10/07/2019,1,Bath,Presenting DWP Story in Bath,Hire car,NIL return,NIL return,NIL return,£83.01,NIL return
Neil Couling,19/07/2019,1,Manchester,Change Roadshow & Programme Induction Manchester,"Car, Air & Hire Car",Economy,£4.99,NIL return,£374.06,NIL return
Neil Couling,07/08/2019,1,Chesterfield,Visit to Chesterfield Service Centre,Rail,Standard,NIL return,NIL return,£207.25,NIL return
Neil Couling,13/08/2019,1,Manchester,Change Roadshow in Manchester,Rail,Standard,NIL return,NIL return,£356.25,NIL return
Neil Couling,13/09/2019,1,High Wycombe,Executive Team Business Continuity exercise,Hire Car,NIL return,£5.00,NIL return,£79.04,NIL return
Neil Couling,18/09/2019,2,Milton Keynes,Guest speaker at Cranfield Business School,Rail & taxi,Standard,NIL return,NIL return,£73.30,NIL return
Neil Couling,25/09/2019,1,"Leeds, UK",Universal Credit Programme Delivery Executive team meeting,Rail,Standard,NIL return,NIL return,£286.60,NIL return
Neil Couling,26/09/2019,1,"Birmingham, UK",Work and Health SCS Away Day,Rail,Standard,NIL return,NIL return,£130.95,NIL return
Ian Wright,04/07/2019,1,"Leeds, UK",Directors Away Day,"Taxi, Rail",Standard,£5.00,NIL return,£124.00,NIL return
Ian Wright,15/07/2019,3,"London, UK",Governance meetings and Non-Executive role,"Taxi, Rail",Standard,£502.83,NIL return,£871.93,NIL return
Ian Wright,31/07/2019,1,Harrogate,Governance meeting,"Taxi, Rail",Standard,NIL return,NIL return,£115.50,NIL return
Ian Wright,23/09/2019,2,"London, UK (travelled to Leeds, UK for 1 day then back to London, UK as per below)",Governance meetings and Non-Executive role,"Taxi, Rail",Standard,£461.61,NIL return,£825.61,NIL return
Ian Wright,25/09/2019,1,"Leeds, UK",Governance meeting,Rail,Standard,NIL return,NIL return,£280.00,NIL return
Pauline Crellin,31/07/2019,1,Harrogate,Universal Credit Programme Delivery Executive meeting,Rail,Standard,NIL return,NIL return,£269.00,NIL return
Pauline Crellin,03/09/2019,2,Cambridge,DWP Summer School,"Rail, Taxi",Standard,£20.00,NIL return,£98.30,NIL return
Pauline Crellin,12/09/2019,1,"London, UK EC1M6AX","Event with Simon McDougall, the Executive Director of the Information Commissioner's Office",Rail,Standard,NIL return,NIL return,£13.35,NIL return
Pauline Crellin,18/09/2019,1,Hendon Job Centre  ,Forward Institute Session - Responsible Decision Making,Rail,Standard,NIL return,NIL return,£13.35,NIL return
Deb Boore,01/07/2019,4,"London, UK ",Dual based location,"Taxi, Rail",Standard,£430.00,NIL return,£693.25,NIL return
Deb Boore,23/07/2019,4,"London, UK",Dual based location ,"Taxi, Rail",Standard,£428.34,NIL return,£700.12,NIL return
Deborah Boore,29/07/2019,4,"London, UK and a return journey to Harrogate on 31-07-2019",Dual based location and Harrogate Jobcentre site visit,"Taxi, Rail",Standard,£427.55,NIL return,"£1,034.14",NIL return
Deborah Boore,05/08/2019,4,"London, UK",Dual based location ,"Taxi, Rail",Standard,£390.00,NIL return,£648.34,NIL return
Deborah Boore,12/08/2019,4,"London, UK",Dual based location ,"Taxi, Rail",Standard,£260.00,NIL return,£481.79,NIL return
Deborah Boore,19/08/2019,4,"London, UK",Dual based location ,"Taxi, Rail",Standard,£447.09,NIL return,£558.52,NIL return
Deborah Boore,27/08/2019,3,"Birmingham, UK and London, UK",Industrial Action site support and Dual based location ,"Taxi, Rail",Standard,£227.00,NIL return,£470.53,NIL return
Deborah Boore,02/09/2019,4,"London, UK",Dual based location ,"Taxi, Rail",Standard,£390.00,NIL return,£641.70,NIL return
Deborah Boore,10/09/2019,4,"London, UK and Oldham, UK BC for the 2 day UCTD SLT ","Dual based location and the UCTD SLT attendance in Oldham, UK BC ","Taxi, Rail",Standard,£288.60,NIL return,£582.65,NIL return
Deborah Boore,16/09/2019,4,"London, UK",Dual based location ,"Taxi, Rail",Standard,£390.00,NIL return,£594.25,NIL return
Deborah Boore,22/09/2019,5,"London, UK",Dual Based Location and SCS CSL Academy Railing,"Taxi, Rail",Standard,£520.00,NIL return,£731.25,NIL return
Deborah Boore,29/09/2019,2,"London, UK",Dual based location early morning meeting on 30/09/2019,"Taxi, Rail",Standard,£260.00,NIL return,£370.75,NIL return
Paul Francis,04/07/2019,1,Quarry House,SCS Awayday,Rail,Standard,NIL return,NIL return,£124.00,NIL return
Paul Francis,09/07/2019,1,Manchester,Meeting with team,"Car, Rail",Standard,NIL return,£38.00,£186.50,NIL return
Paul Francis,22/07/2019,1,Manchester,Meeting with team,"Car, Rail",Standard,NIL return,£38.00,£159.00,NIL return
Paul Francis,31/07/2019,1,Harrogate,Programme Delivery Executive Meeting,Rail,Standard,NIL return,NIL return,£126.00,NIL return
Paul Francis,05/08/2019,1,Quarry House,Meeting with team,Rail,Standard,NIL return,NIL return,£124.00,NIL return
Paul Francis,10/09/2019,1,Manchester,DWP Summer Workshop,"Car, Rail",Standard,NIL return,£37.10,£185.85,NIL return
Paul Francis,25/09/2019,1,Coventry,DWP Strategy Workshop,Rail,Standard,NIL return,NIL return,£39.25,NIL return
Lara Sampson,04/07/2019,1,"London, UK to Leeds, UK return",Change Group Programme Directors & SCS Away day,Rail,Standard,NIL return,NIL return,£189.00,NIL return
Lara Sampson,16/07/2019,1,"London, UK to Harrogate return",visit to a DWP Jobcentre ,Rail,Standard,NIL return,NIL return,£192.45,NIL return
Lara Sampson,25/07/2019,1,"London, UK to Harrogate return",visit to a DWP Jobcentre ,Rail,Standard,NIL return,NIL return,£269.00,NIL return
Lara Sampson, 2019-08-08,1,"London, UK to Harrogate return",visit to a DWP Jobcentre ,Rail,Standard,NIL return,NIL return,£222.25,NIL return
Lara Sampson,13/08/2019,1,"London, UK to Harrogate return",visit to a DWP Jobcentre ,Rail,Standard,NIL return,NIL return,£206.25,NIL return
Lara Sampson,14/08/2019,1,"London, UK to Harrogate return",visit to a DWP Jobcentre ,Rail,Standard,NIL return,NIL return,£269.25,NIL return
Lara Sampson,24/09/2019,1,"London, UK to Redhill",DWP / Cabinet Office Railing course,Rail,Standard,NIL return,NIL return,£23.05,NIL return
James Bolton,07/08/2019,1,"Newcastle, UK",Meet & Greet new staff,Rail,Standard,NIL return,NIL return,£159.15,NIL return
James Bolton,11/09/2019,1,"Sheffield, UK",Meet & Greet new staff,Rail,Standard,NIL return,NIL return,£194.25,NIL return
James Bolton,24/09/2019,2,"Leeds, UK / Sheffield, UK",All staff conference,Rail,Standard,£82.00,NIL return,£220.65,NIL return
Paul Mckeown,19/07/2019,1,"Leeds, UK",Programme Governance meeting,Rail,Standard,NIL return,NIL return,£273.00,NIL return
Paul Mckeown,30/07/2019,1,"Leeds, UK",Workshop for Health Transformation programme,Rail,Standard,NIL return,NIL return,£273.00,NIL return
Paul Mckeown,31/07/2019,1,"Leeds, UK",Programme Governance meeting,Rail,Standard,NIL return,NIL return,£273.00,NIL return
Paul Mckeown,06/08/2019,2,"Newcastle, UK",Meet & Greet Staff & Programme Governance meeting,Rail,Standard,£86.10,NIL return,£406.35,NIL return
Paul Mckeown,02/09/2019,1,Cambridge,Summer School,Rail,Standard,NIL return,NIL return,£41.55,NIL return
Paul Mckeown,05/09/2019,1,Cambridge,Summer School,Rail,Standard,NIL return,NIL return,£27.45,NIL return
Paul Mckeown,06/09/2019,1,Cambridge,Summer School,Rail,Standard,NIL return,NIL return,£41.55,NIL return
Paul Mckeown,11/09/2019,1,"Sheffield, UK",Meet & Greet new staff,Rail,Standard,NIL return,NIL return,£231.35,NIL return
Paul Mckeown,18/09/2019,1,"Newcastle, UK",Meet & Greet Staff & Programme Governance meeting,Rail,Standard,NIL return,NIL return,£252.25,NIL return
Paul Mckeown,24/09/2019,2,"Leeds, UK / Sheffield, UK",All staff conference,Rail,Standard,£71.00,NIL return,£342.65,NIL return
Peter Knight,04/07/2019,1,"Leeds, UK",SCS Away Day,Rail,Standard,£5.00,NIL return,£270.00,NIL return
Peter Knight,10/07/2019,2,"Leeds, UK - Newcastle, UK",Board Meeting - DWPStory,Rail,Standard,£101.08,NIL return,£453.18,NIL return
Jean Paul Marks,25/07/2019,1,Slough,Visit to Health Model Office,Rail,Standard,NIL return,NIL return,£10.50,NIL return
Jean Paul Marks,26/07/2019,1,"Leeds, UK",Visit to UC Digital Hub,"Rail, Taxi",Standard,NIL return,NIL return,£140.70,NIL return
Jean Paul Marks,01/08/2019,2,"Blackpool, UK",To visit DWP sites for BBC filming documentary on UC,Rail,Standard,£85.60,NIL return,£85.60,NIL return
Jean Paul Marks,09/08/2019,1,Wylde Green to Coventry Service Centre,To visit Coventry Service Centre and engage wit the team,Taxi,Standard,NIL return,NIL return,£39.80,NIL return
Jean Paul Marks,15/08/2019,1,"London, UK Waterloo",To attend Secretary of State Awayday,Rail,Standard,NIL return,NIL return,£120.65,NIL return
Jean Paul Marks,04/09/2019,1,Cambridge,DWP Summer School - Cambridge,Rail,Standard,£20.00,NIL return,£58.95,NIL return
Jean Paul Marks,11/09/2019,1,Bridgend,Delivering Wellbeing Engagement Session,Rail,Standard,NIL return,NIL return,£250.13,NIL return
Jean Paul Marks,12/09/2019,1,Alton,Attending charitable board meeting,Rail,Standard,NIL return,NIL return,£18.95,NIL return
Jean Paul Marks,20/09/2019,1,Manchester Piccadilly,Delivering Wellbeing Engagement Session,Rail,Standard,NIL return,NIL return,£145.93,NIL return
Jean Paul Marks,23/09/2019,1,Salisbury,Delivering Wellbeing Engagement Session,Rail,Standard,NIL return,NIL return,£42.13,NIL return
Jean Paul Marks,24/09/2019,1,Clapham Junction,Perm Sec' Windsor Conference,Rail,Standard,NIL return,NIL return,£19.65,NIL return
Jean Paul Marks,25/09/2019,1,Five Ways,Delivering Wellbeing Engagement Session,Rail,Standard,£20.00,NIL return,£137.44,NIL return
Karen Gosden,14/08/2019,1,"Birmingham, UK",Legacy Business review,Rail,Standard,NIL return,NIL return,£28.00,NIL return
Karen Gosden,16/08/2019,1,"London, UK",Capacity Board,Rail,Standard,NIL return,NIL return,£202.25,NIL return
Karen Gosden,19/08/2019,1,"London, UK",Meeting with DWP Staff  ,Rail,Standard,NIL return,NIL return,£183.75,NIL return
Karen Gosden,20/08/2019,1,Daventry  / Coventry,Site visits Daventry and Coventry ,Car,NIL return,NIL return,NIL return,£4.80,NIL return
Karen Gosden,21/08/2019,1,"London, UK",Universal Credit Delivery Group ,Rail,Standard,NIL return,NIL return,£183.75,NIL return
Karen Gosden,28/08/2019,2,"London, UK","Group Director Interview panel, Meeting with DWP Staff ",Rail,Standard,£141.00,NIL return,£351.75,NIL return
Karen Gosden,03/09/2019,2,"London, UK","Meeting with DWP Staff, Work and Health Executive Meeting",Rail,Standard,£132.00,NIL return,£342.75,NIL return
Karen Gosden,05/09/2019,1,Cambridge,Summer school,Car,NIL return,NIL return,NIL return,£20.00,NIL return
Karen Gosden,10/09/2019,1,"London, UK",Capacity Board,Rail,Standard,NIL return,NIL return,£202.75,NIL return
Karen Gosden,11/09/2019,2,"Birmingham, UK", Area Directors Senior Leaders Meeting ,Car,NIL return,£78.55,NIL return,£94.55,NIL return
Karen Gosden,13/09/2019,1,High Wycombe,Executive Team Meeting,Car,NIL return,NIL return,NIL return,£11.40,NIL return
Karen Gosden,16/09/2019,1,Cardiff,Wales Senior Leadership team meeting ,Car,NIL return,NIL return,NIL return,£11.40,NIL return
Karen Gosden,17/09/2019,1,"London, UK",Meeting with DWP Staff,Rail,Standard,NIL return,NIL return,£202.75,NIL return
Karen Gosden,18/09/2019,1,"London, UK",Meeting with DWP Staff,Rail,Standard,NIL return,NIL return,£183.75,NIL return
Karen Gosden,19/09/2019,2,"Wrexham, Bangor, Holyhead",Site Visits Wrexham Bangor and Holyhead,Car,NIL return,£77.00,NIL return,£77.00,NIL return
Karen Gosden,23/09/2019,3,Cardiff,Site visit Cardiff and 2 day Mental Health First Aider course,Car,NIL return,£152.00,NIL return,£152.00,NIL return
Colin Stewart,03/07/2019,1,"London, UK","Meetings in Caxton House, London","Rail, Taxi",Standard,£5.00,NIL return,£5.00,NIL return
Colin Stewart,04/07/2019,1,Edinburgh,Whitehall Industry Group meeting,"Rail, Taxi",Standard,NIL return,NIL return,NIL return,NIL return
Colin Stewart,09/07/2019,1,"London, UK",Secretary of State meeting,"Rail, Taxi",Standard,£5.00,NIL return,£5.00,NIL return
Colin Stewart,10/07/2019,1,Blackpol,Presenting DWP Story sessions,"Rail, Taxi",Standard,£5.00,NIL return,£5.00,NIL return
Colin Stewart,11/07/2019,1,"London, UK",Meetings in Caxton Hse,"Rail, Taxi",Standard,£5.00,NIL return,£5.00,NIL return
Colin Stewart,16/07/2019,1,"London, UK",Meetings in Caxton Hse,"Rail, Taxi",Standard,£5.00,NIL return,£5.00,NIL return
Colin Stewart,17/07/2019,1,Stockport,Site visit Stockport SC,Car,Standard,£4.85,NIL return,£4.85,NIL return
Colin Stewart,19/07/2019,1,"Leeds, UK",North Senior Leaders Team meeting,"Rail, Taxi",Standard,£5.00,NIL return,£5.00,NIL return
Colin Stewart,23/07/2019,1,Southport,Site visit Southport JC,Hire car,NIL return,£4.50,NIL return,£52.96,£48.46
Colin Stewart,25/07/2019,1,"Birmingham, UK",Visit to Work Capability Assessment Centre,Hire car,NIL return,£5.00,NIL return,£53.46,£48.46
Colin Stewart,06/08/2019,2,"London, UK",Meetings in Caxton Hse,"Rail, Taxi",Standard,£175.60,NIL return,NIL return,NIL return
Colin Stewart,05/09/2019,2,Belfast,Meeting in OCC (UC) and Service Centre,"Rail, Taxi",Standard,£4.35,NIL return,£4.35,NIL return
Colin Stewart,13/09/2019,1,Chorlton ,Meetings in Chorlton,Taxi,Standard,NIL return,NIL return,,NIL return
Colin Stewart,17/09/2019,1,"London, UK","Meetings in Caxton House, London","Rail, Taxi",Standard,£9.85,NIL return,£9.85,NIL return
Colin Stewart,18/09/2019,1,Didsbury Job Centre,Meetings in Didsbury,Taxi,Standard,NIL return,NIL return,NIL return,NIL return
Colin Stewart,19/09/2019,1,Harrogate,Senior Leaders Team meeting,"Rail, Taxi",Standard,£2.85,NIL return,£2.85,NIL return
Colin Stewart,23/09/2019,1,Berkhamsted,conference,"Rail, Taxi",Standard,£7.40,NIL return,£7.40,NIL return
Colin Stewart,24/09/2019,1,"London, UK","Meetings in Caxton House, London","Rail, Taxi",Standard,£5.00,NIL return,£5.00,NIL return
Margarita Morrison,09/07/2019,2,"London, UK",Programme Delivery Executive Meeting ,"Bus, Air",Standard ,£26.67,£21.32,£351.17,NIL return
Margarita Morrison,17/07/2019,1,"Leeds, UK ","Due to travel to Leeds, UK night before but cancelled and travelled on 18/07/19. Admin hotel fee paid",Rail,Standard,£0.60,NIL return,£0.60,NIL return
Margarita Morrison,18/07/2019,1," Leeds, UK ",Trade Union Meeting ,Rail,Standard ,£9.20,£16.50,£165.20,NIL return
Margarita Morrison,23/07/2019,2,"London, UK ",Housing Meeting and Universal Credit Delivery Group ,"Air, Car ",Economy,£179.33,£91.40,£686.91,NIL return
Margarita Morrison,29/07/2019,1,"Barrhead, Scotland ",Site Visit ,Car,NIL return,NIL return,£31.91,£31.95,NIL return
Margarita Morrison,06/08/2018,3,"London, UK","Brexit Planning Meeting, Work and Health Executive Team Meeting, South of England Senior Leader Team Meeting ","Air, Car",Standard ,£338.48,£90.14,£758.80,NIL return
Margarita Morrison,13/08/2019,1,"Edinburgh, Scotland ",Senior Leader Team Meeting ,Rail,Standard ,£5.00,£11.50,£70.10,NIL return
Margarita Morrison,15/08/2019,1,"Glasgow, Scotland ",Senior Leader Team Build event ,Car ,Standard ,NIL return,£27.50,£27.50,NIL return
Margarita Morrison,16/08/2019,1,"Laurieston, Scotland ",Site Visit ,Car ,Standard ,NIL return,£17.10,£17.10,NIL return
Margarita Morrison,20/08/2019,3,"London, UK ","Housing Workshop, Programme Delivery Executive Meeting","Car, Air ",Standard ,£262.60,£76.89,£647.67,NIL return
Margarita Morrison,03/09/2019,2,"London, UK",Work and Health Execututive Team Meeting ,"Car, Air ",Standard ,£163.80,£80.34,£522.01,NIL return
Margarita Morrison,05/09/2019,1,"Edinburgh, Scotland ","Site visit, Business Review ","Car, Rail",Standard ,NIL return,£23.75,£38.95,NIL return
Margarita Morrison,16/09/2019,3,"London, UK","Business Review, Universal Credit Delivery Group Meeting ",Car/Air ,Standard ,£176.90,£104.06,£589.19,NIL return
Margarita Morrison,22/09/2019,5,"London, UK then Birmingham, UK ","Directors Induction Railing (London, UK) Directors Away Day (Birmingham, UK)","Car, Air, Rail",Standard ,£524.46,£69.52,£930.35,NIL return
Carol Morris,08/07/2019,3,Berkhamsted ,Senior Leadership Scheme course Attendance ,Rail ,Standard,NIL return,NIL return,£30.30,NIL return
Carol Morris,23/07/2019,1,St Albans,Senior Leadership Team Meeting ,Rail ,Standard,NIL return,NIL return,£21.30,NIL return
Carol Morris,10/09/2019,2,Belfast ,Visit to Service Centre site ,NIL return,NIL return,£75.00,NIL return,£75.00,NIL return
Carol Morris,10/09/2019,2,Belfast Service Centre,Visit to Service Centre site ,NIL return,NIL return,£20.00,NIL return,£20.00,NIL return
Carol Morris,10/09/2019,2,Kingston to Clapham Junction Rail Station ,Visit to Service Centre site ,Taxi ,NIL return,£28.30,NIL return,£28.30,NIL return
Carol Morris,10/09/2019,2,Belfast International ,Visit to Service Centre site ,Air ,Economy,£161.09,NIL return,£161.09,NIL return
Martin Brown,10/09/2019,1,"London, UK",Various Meetings with ET,Rail,Standard,NIL return,NIL return,£237.25,NIL return
Martin Brown,10/09/2019,1,"London, UK",Cancelled for Earlier Rail - Exchange form completed. ,Rail ,Standard,NIL return,NIL return,£202.50,NIL return
Martin Brown,11/09/2019,2,"Birmingham, UK",Senior Leadership Team,Car,NIL return,£74.00,NIL return,£74.00,NIL return
Martin Brown,17/09/2019,2,"London, UK ",Various Meetings with DWP staff and external providers,Rail,Standard,£164.50,NIL return,£279.50,NIL return
Martin Brown,24/09/2019,1,"London, UK",Various Meetings with DWP staff,Rail,Standard,£106.25,NIL return,£106.25,NIL return
Martin Brown,24/09/2019,,"London, UK",Cancelled Rail as  return same day,Rail,Standard,NIL return,NIL return,£203.00,NIL return
Lisa Hunter,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return,NIL return
Trevor Huddleston,10/07/2019,1,"Peterborough, UK",Senior Analyst Off-Site Event,Rail,Standard,NIL return,NIL return,NIL return,NIL return
Trevor Huddleston,09/09/2019,1,Oxford,Chief Scientfic Officer Off-Site Event,Rail,Standard,NIL return,NIL return,NIL return,NIL return
Trevor Huddleston,10/09/2019,1,"London, UK ",Chief Scientfic Officer Off-Site Event,Rail,Standard,NIL return,NIL return,NIL return,NIL return
Trevor Huddleston,18/09/2019,1,"Peterborough, UK",Senior Analyst Off-Site Event,Rail,Standard,NIL return,NIL return,NIL return,NIL return
David Snowball,11/07/2019,1,"London, UK",Official meetings,Rail,Standard,NIL return,NIL return,£185.50,NIL return
David Snowball,31/07/2019,1,"London, UK",Offical meetings,Rail,Standard,NIL return,NIL return,£148.50,NIL return
David Snowball,05/08/2019,1,"London, UK",Offical meetings,Rail,Standard,NIL return,NIL return,£178.85,NIL return
Sarah Albon,02/09/2019,5,Liverpool ,Offical meetings,Rail,Standard,£79.00,NIL return,£217.55,NIL return
Sarah Albon,10/09/2019,1,Chelmsford,Official meetings,Rail,Standard,NIL return,NIL return,£21.80,NIL return
Sarah Albon,12/09/2019,1,Edinburgh,Offical meetings,Air,Economy,NIL return,NIL return,£196.93,NIL return
Sarah Albon,18/09/2019,1,Cardiff,HSE One event,Rail,Standard,£106.00,NIL return,£285.30,NIL return
Sarah Albon,23/09/2019,4,"Sheffield, UK/Coventry",HSE One event,Rail,Standard,£417.99,NIL return,£536.24,NIL return
