Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
31/07/2001 00:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 00:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 01:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 01:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 02:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 02:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 03:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 03:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 04:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 04:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 05:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 05:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 06:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 06:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 07:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 07:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 08:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 08:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 09:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 09:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 10:00,120101,1,60,1,North Bound,1,North,-1,0,,1,0,
31/07/2001 10:00,120101,1,60,2,South Bound,2,South,-1,0,,1,0,
31/07/2001 11:00,120101,1,60,1,North Bound,1,North,55,0,,1,0,
