animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A562400,DOG,MASTIFF,PIT BULL,985112006353667,MICROCHIP,HLP WEB,0.0,2016-10-23 00:00:00,,CURRENT
A504945,DOG,MASTIFF,BOXER,L14-043120,LIC UNALTERED,COUNTER,50.0,2015-06-23 00:00:00,2015-11-02 00:00:00,CURRENT
A459454,DOG,TOY,SHIH TZU,L16-003210,LIC ALTERED,VET,10.0,2016-08-04 00:00:00,2017-06-16 00:00:00,CURRENT
A628734,CAT,SHORTHAIR,DOMESTIC SH,L17-009976,LIC ALTERED,ADOPT,10.0,2017-10-28 00:00:00,2018-10-25 00:00:00,CURRENT
A578228,DOG,,UNKNOWN,L15-020507,LIC ALTERED,HLP IMPORT,9.5,2015-12-10 00:00:00,2016-07-15 00:00:00,CURRENT
A586521,DOG,SETTER/RETRIEVE,LABRADOR RETR,,,,,,,
A584195,DOG,TOY,CHIHUAHUA SH,985112006945099,MICROCHIP ADO,HOME AGAIN,25.0,2016-03-31 00:00:00,2017-03-31 00:00:00,CURRENT
A592705,CAT,SHORTHAIR,DOMESTIC SH,4833316900,MICROCHIP,HLP SCAN,0.0,2017-12-18 00:00:00,,CURRENT
A611497,DOG,SETTER/RETRIEVE,GOLDEN RETR,L16-053444,LIC ALTERED,COUNTER,10.0,2017-02-24 00:00:00,2017-12-12 00:00:00,CURRENT
A559520,DOG,MASTIFF,BOXER,L15-003257,LIC ALTERED,HLP WEB,9.5,2015-05-18 00:00:00,2016-03-03 00:00:00,CURRENT
A302734,DOG,SHEPHERD,GERM SHEPHERD,D07-037291,LIC UNALTERED,,35.0,2006-11-24 00:00:00,2007-11-24 00:00:00,RENEWED
A595582,CAT,SHORTHAIR,AMER SH,,,,,,,
A624415,DOG,TOY,POMERANIAN,L17-003414,LIC ALTERED,COUNTER,10.0,2017-08-30 00:00:00,2018-08-30 00:00:00,CURRENT
A588522,DOG,MIX,MIX,L17-033042,LIC ALTERED,HLP SCAN,10.0,2017-03-27 00:00:00,2018-02-08 00:00:00,CURRENT
A580817,CAT,SHORTHAIR,DOMESTIC SH,U16-006079,RABIES CERT,HLP IMPORT,,2016-01-14 00:00:00,2016-12-11 00:00:00,CURRENT
A463015,CAT,SHORTHAIR,SIAMESE,C12-0004431,LIC ALTERED,VET,9.0,2012-04-26 00:00:00,2012-01-29 00:00:00,RENEWED
A613195,DOG,MASTIFF,BOXER,L16-010374,LIC ALTERED,VET,10.0,2017-03-22 00:00:00,2017-12-20 00:00:00,CURRENT
A604793,CAT,LONGHAIR,DOMESTIC MH,L16-013161,LIC ALTERED,VET,10.0,2016-11-16 00:00:00,2017-09-27 00:00:00,CURRENT
A593944,DOG,SHEPHERD,GERM SHEPHERD,R16-3499,RAB VAC CERT.,RESQ,0.0,2016-07-27 00:00:00,2017-07-25 00:00:00,CURRENT
A581096,DOG,SIGHTHOUND,SALUKI,L17-007435,LIC ALTERED,HLP SCAN,10.0,2017-09-28 00:00:00,2018-08-02 00:00:00,CURRENT
A452219,DOG,MASTIFF,PIT BULL,D14-055656,LIC UNALTERED,COUNTER,50.0,2013-12-27 00:00:00,2014-11-05 00:00:00,CURRENT
A499205,DOG,TOY,YORKSHIRE TERR,D14-029373,LIC UNALTERED,ONLINE,50.0,2013-08-03 00:00:00,2014-02-05 00:00:00,RENEWED
A578556,DOG,SETTER/RETRIEVE,LABRADOR RETR,U15-005552,RABIES CERT,HLP IMPORT,,2015-12-12 00:00:00,2018-11-09 00:00:00,CURRENT
A561800,DOG,MASTIFF,PIT BULL,985112006050778,MICROCHIP ADO,HOME AGAIN,25.0,2015-08-11 00:00:00,2016-08-11 00:00:00,CURRENT
A575665,DOG,SETTER/RETRIEVE,GOLDEN RETR,L15-060477,LIC ALTERED,MAIL,9.0,2015-11-03 00:00:00,2016-09-14 00:00:00,RENEWED
A448267,DOG,MASTIFF,BOXER,L16-035683,LIC ALTERED,HLP WEB,9.5,2016-01-26 00:00:00,2016-12-29 00:00:00,RENEWED
A562327,DOG,SETTER/RETRIEVE,LABRADOR RETR,U16-007697,RABIES CERT,HLP IMPORT,,2016-05-10 00:00:00,2017-04-02 00:00:00,CURRENT
A582992,DOG,MASTIFF,PIT BULL,L15-058208,LIC ALTERED,HLP SCAN,9.0,2016-02-09 00:00:00,2016-11-09 00:00:00,RENEWED
A591299,DOG,TERRIER,AIREDALE TERR,,,,,,,
A555238,CAT,SHORTHAIR,DOMESTIC SH,U15-001353,RABIES CERT,HLP SCAN,,2015-03-16 00:00:00,2016-01-14 00:00:00,CURRENT
A568821,CAT,SHORTHAIR,DOMESTIC SH,L16-036348,LIC ALTERED,HLP WEB,10.5,2016-02-14 00:00:00,2017-02-09 00:00:00,RENEWED
A595945,CAT,SHORTHAIR,SAVANNAH,L16-028982,LIC ALTERED,HLP SCAN,10.0,2016-07-30 00:00:00,2017-06-02 00:00:00,RENEWED
A559827,CAT,LONGHAIR,DOMESTIC MH,U15-002453,RABIES CERT,HLP IMPORT,,2015-05-07 00:00:00,2016-04-10 00:00:00,CURRENT
A627814,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A633120,DOG,MASTIFF,BOXER,L17-023597,LIC UNALTERED,HLP WEB,60.5,2017-12-27 00:00:00,2018-09-13 00:00:00,CURRENT
A551826,DOG,MASTIFF,ENG BULLDOG,L15-000290,LIC ALTERED,HLP WEB,9.5,2015-01-28 00:00:00,2016-01-28 00:00:00,CURRENT
A575677,GUINEA PIG,GUINEA PIG,GUINEA PIG,,,,,,,
A612819,DOG,SHEPHERD,GERM SHEPHERD,,,,,,,
A569855,DOG,TOY,CHIHUAHUA SH,L15-030804,LIC UNALTERED,COUNTER,50.0,2015-09-01 00:00:00,2016-07-03 00:00:00,CURRENT
A577694,DOG,SETTER/RETRIEVE,GOLDEN RETR,985113000107355,MICROCHIP,HLP WEB,0.0,2015-12-02 00:00:00,,CURRENT
A628321,DOG,SPITZ,CHOW CHOW,985113001276033,MICROCHIP RTO,HOME AGAIN,25.0,2017-10-28 00:00:00,2018-10-28 00:00:00,CURRENT
A575416,DOG,SETTER/RETRIEVE,LABRADOR RETR,L15-041299,LIC ALTERED,VET,9.0,2015-10-29 00:00:00,2016-03-15 00:00:00,CURRENT
A486140,DOG,COLLIE,BORDER COLLIE,D13-061703,LIC ALTERED,ONLINE,9.0,2013-02-15 00:00:00,2013-12-19 00:00:00,RENEWED
A589243,CAT,LONGHAIR,DOMESTIC MH,U16-007588,RABIES CERT,HLP IMPORT,,2016-05-10 00:00:00,2019-04-10 00:00:00,CURRENT
A587255,DOG,SHEPHERD,GERM SHEPHERD,U16-007259,RABIES CERT,HLP IMPORT,,2016-04-15 00:00:00,2017-03-19 00:00:00,RENEWED
A562555,DOG,SETTER/RETRIEVE,LABRADOR RETR,L15-003760,LIC 3Y,HLP WEB,24.5,2015-06-04 00:00:00,2018-05-22 00:00:00,CURRENT
A527915,DOG,TOY,CHIHUAHUA SH,L14-056810,LIC MULTIPLE,COUNTER,6.0,2014-05-31 00:00:00,2015-04-23 00:00:00,RENEWED
A609181,CAT,LONGHAIR,MAINE COON,L16-011990,LIC ALTERED,HLP SCAN,10.0,2017-01-29 00:00:00,2017-11-10 00:00:00,CURRENT
A578837,DOG,TERRIER,FEIST,L17-000404,LIC 3Y,HLP SCAN,27.0,2017-12-18 00:00:00,2020-09-21 00:00:00,CURRENT
A580402,DOG,MASTIFF,BOXER,985112006320919,MICROCHIP,HOME AGAIN,25.0,2016-01-07 00:00:00,2017-01-07 00:00:00,CURRENT
A593340,DOG,HOUND,ENG FOXHOUND,L16-040374,LIC ALTERED,HLP WEB,10.5,2016-06-29 00:00:00,2017-06-28 00:00:00,CURRENT
A591242,DOG,TERRIER,TIBETAN TERR,982000405439694,MICROCHIP,HLP SCAN,0.0,2017-05-17 00:00:00,2018-05-17 00:00:00,CURRENT
A603591,DOG,SIGHTHOUND,GREYHOUND,985113000146363,MICROCHIP,PET WATCH,0.0,2017-03-12 00:00:00,2018-03-12 00:00:00,CURRENT
A562510,DOG,MIX,MIX,L15-055231,LIC ALTERED,HLP SCAN,9.0,2015-06-04 00:00:00,2016-03-09 00:00:00,CURRENT
A582135,DOG,HOUND,BEAGLE,L15-036099,LIC ALTERED,HLP SCAN,9.0,2016-01-29 00:00:00,2016-09-28 00:00:00,CURRENT
