Title,Release Year,Locations,Production Company,Distributor,Director,Writer
The Sweetest Thing,2002,Golden Gate National Recreation Area,Columbia Pictures Corp.,Columbia Pictures,Roger Kumble,Nancy M. Pimental
Foul Play,1978,Octavia & Hayes Streets (Hayes Valley),Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
Summertime,2015,Oasis Nightclub (298 11th St),"Creative Monster Productions, Inc.",2 Distribution,Gabriele Muccino,Gabriele Muccino
Age of Adaline,2015,California @ Montgomery,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe
Dirty Harry,1971,"California Hall (625 Polk Street, Van Ness/Civic Center)",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink
Sweet November,2001,Blooms Saloon (18th Street between Missouri and Texas Streets),Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick
A Night Full of Rain,1978,Broadway (North Beach),Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller
San Andreas,2015,Grant St. at Bush St.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb 
Harold and Maude,1971,Sutro Baths (Point Lobos Avenue),Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins
Chance- Season 1 ep109,2016,"Cliffhouse, 1090 Point Lobos Ave.",TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias
Looking Season 2 ep 205,2015,24th Between Portrero & Alabama,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Looking Season 2 ep 202,2015,Eddy @ Polk Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
By Hook or By Crook,2001,"Department of Public Health (101 Grove Street at Polk, Civic Center)",Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard
Blue Jasmine,2013,Heald College,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
"Murder in the First, Season 2",2015,83 Watchman Way,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles
Cardinal X,2015,3639 Taraval St,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang
Sense8,2015,22nd St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis
Hulk,2003,Treasure Island,Universal Pictures,Universal Pictures,Ang Lee,Stan Lee
Knife Fight,2013,City Hall,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane
"Budding Prospects, Pilot",2017,Gough Street & Clay Street,Picrow Streaming Inc.,Amazon ,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
Interview With The Vampire,1994,Ferry Building,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice
The Last of the Gladiators,1988,,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff
Chance- Season 1 ep103,2016,"San Francisco Art Institute, 800 Chestnut",TVM Productions,HULU,Michael Lehmann,Kem Nunn
Mrs. Doubtfire,1993,Chrissy Field,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer
Looking Season 2 ep 210,2015,Twin Peaks Park,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Time After Time,1979,Lombard & Divisadero Streets (Marina District),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
GirlBoss,2017,Clarion Alley between Valencia and Mission,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
The OA Part II,2019,Pier 43,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Just Like Heaven,2005,,DreamWorks SKG,DreamWorks Distribution,Mark Waters,Peter Tolan
So I Married an Axe Murderer,1993,Prudente's Italian Deli (1462 Grant Ave at Union),TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox
Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,Four Square Productions,NAI Entertainment,John DeBello,John DeBello
GirlBoss,2017,Fillmore and Waller,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink
Herbie Rides Again,1974,Castagnola's Restaurant (Fisherman's Wharf),Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh
Golden Gate,1994,Golden Gate Bridge,American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang
The OA Part II,2019,"Fairmont Hotel (950 Mason Street, Nob Hill)",Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling"
Chance Season 2,2017,Embarcadero between Market to Fillmore St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
Milk,2008,City Hall,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black
Looking,2014,Punjab,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Ballers Season 3,2017,California and Jones St.,"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson
Chance - Season 1 Pilot,2016,"Jonell's Bar, 401 Ellis",TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Perlsea Company,Paramount Pictures,George Seaton,Samuel A. Taylor
Big Eyes,2014,Green St. & Grant Ave.,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander
The Wedding Planner,2001,Grace Cathedral Episcopal Church (1100 California Street),Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk
"Looking ""Special""",2016,Castro Street between 17th & 18th,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Steve Jobs,2015,Intersection of Columbus and Kearny,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin
Venom,2018,Grant Ave at Green St,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg"
Magnum Force,1973,San Francisco International Airport,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius
Getting Even with Dad,1994,Mason Street at Jackson,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker
"Budding Prospects, Pilot",2017,Lucky Street,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
Chance- Season 1 ep104,2016,11 San Jacinto Ave.,TVM Productions,HULU,Carl Franklin,Peter Elkoff
The Game,1997,Mason & California Streets (Nob Hill),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato
Getting Even with Dad,1994,Transbay Terminal (Mission Street at 1st Street),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker
"Murder in the First, Season 1",2014,Cameron House (920 Sacramento Street),Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
"Budding Prospects, Pilot",2017,1641 York Street,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)"
Looking,2014,2866 24th St.,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
San Andreas,2015,"Stage Work, 47 Julian St.","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb
Looking Season 2 ep 203,2015,"Balboa pool Lot, San Jose Avenue & Havelock St","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Golden Gate,1994,Bush Street (between Grant & Kearny Streets),American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang
