Title,Release Year,Locations,Production Company,Distributor,Director,Writer
Vegas in Space,1992,422 Oak Street at Laguna,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish
Boys and Girls,2000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews
"Smile Again, Jenny Lee",2015,New Taraval Caf̩ (1054 Taraval St.),Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick
Chance - Season 1 Pilot,2016,Washington Square Park,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
Time After Time,1979,Lombard & Broderick Streets (Marina District),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
The Birds,1963,Powell and Geary Streets (Union Square),Universal Pictures,Universal Pictures,Alfred Hitchcock,Evan Hunter
The Rock,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg
Sense8 - Season 2,2016,"Julia Morgan Ballroom at the Merchant's Exchange Building, 465 California St.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
Nine Months,1995,Marathon Plaza (303 2nd Street),1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus
Interview With The Vampire,1994,Ferry Building,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice
Bullitt,1968,"Candlestick Park Exit, Highway 101","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman
Patch Adams,1998,Treasure Island,Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk
Chance - Season 1 Pilot,2016,UN Plaza/ Civic Center Bart steps,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn
Harold and Maude,1971,Sutro Baths (Point Lobos Avenue),Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins
Joy Luck Club,1993,375 Laguna Honda Blvd.,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan
Quitters,2015,Tank Hill Park,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker
Tweek City,2005,,Tweek City LLC,Maverick Entertainment Group,Eric G. Johnson,Eric G. Johnson
Serendipity,2001,,Miramax Films,Miramax Home Entertainment,Peter Chelsom,Marc Klein
Happy Gilmore,1996,,Brillstein-Grey Entertainment,Universal Pictures,Dennis Dugan,Tim Herlihy
The Towering Inferno,1974,Firestation #38 (California & Laguna),Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant
Godzilla,2014,Pine St. & Davis St,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Chance- Season 1 ep104,2016,Bush and Sansome St.,TVM Productions,HULU,Carl Franklin,Peter Elkoff
The Love Bug,1968,100 Block of Lombard Street,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh
Red Widow,2013,Montgomery & Market Streets,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
GirlBoss,2017,"La Taqueria, 2889 Mission St.","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Looking Season 2 ep 207,2015,"Sparky's Diner, 242 Church Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
So I Married an Axe Murderer,1993,Swedenborgian Church (2107 Lyon Street),TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox
Looking,2014,Willy's Barber Shop,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
40 Days and 40 Nights,2002,"The Walden House, Buena Vista Park",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez
"Murder in the First, Season 3",2016,Pier 96,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
The Lady from Shanghai,1947,Former Hall of Justice (750 Kearny Street at Washington),Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles
Jade,1995,"Fairmont Hotel (950 Mason Street, Nob Hill)",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas
Godzilla,2014,Eddy & Taylor St.,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Ballers Season 3,2017,San Remo Hotel (2237 Mason),"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson
Sweet November,2001,Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place),Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick
Time After Time,1979,Golden Gate Bridge,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Milk,2008,Lower Haight Street,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black
The Lineup,1958,2090 Jackson Street,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant
Chance- Season 1 ep103,2016,"The Drew School, 2901 California",TVM Productions,HULU,Michael Lehmann,Kem Nunn
San Andreas,2015,Pier 43,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb 
Experiment in Terror,1962,George Washington High School (600 32nd Avenue ),Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons
Invasion of the Body Snatchers,1978,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)",Solofilm,United Artists,Philip Kaufman,Jack Finney
Pushing Dead,2016,42 Walter Street,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown
Godzilla,2014,Mission & Beal,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein
San Francisco,1936,The Barbary Coast,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos
Chance- Season 1 ep106,2016,60 Leavenworth St.,TVM Productions,HULU,Sara Gran,Dan Attias
Chance Season 2,2017,Embarcadero between Market to Fillmore St,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham
The Last Black Man in San Francisco,2019,Eddy St btwn Leavenworth and Hyde St,"LBMISF, LLC",A48,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Magnum Force,1973,"Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius
Can't Stop the Music,1980,101 Henry Adams Place,EMI Films,Associated Film Distribution (AFD),Nancy Walker,Allan Carr
50 First Dates,2004,Rainforest Caf̩ (145 Jefferson Street),Columbia Pictures Corporation,Columbia Pictures,Peter Segal,George Wing
Godzilla,2014,Pine St. & Davis St,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein
