Title,Release Year,Locations,Production Company,Distributor,Director,Writer
Twisted,2004,Veterans' War Memorial Building (401 Van Ness Avenue),Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp
A View to a Kill,1985,Embarcadero Freeway,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum
The Rock,1996,Coit Tower,Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg
Sweet November,2001,Chrissy Field,Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick
Beaches,1988,,Silver Screen Partners IV,Columbia Broadcasting System,Garry Marshall,Mary Agnes Donoghue
Milk,2008,Duboce Park,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black
Godzilla,2014,Pine St. & Davis St,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein
Bee Season,2005,,Bee Season Productions,Fox Searchlight Pictures,Scott McGehee,David Siegel
Experiment in Terror,1962,Roaring Twenties Nightclub (555 Broadway at Columbus),Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons
Blue Jasmine,2013,Grant & Washington St.,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen
Americana,2015,3232 Jackson Ave.,Sutro Films LLC,,Zachary Shedd,Zachary Shedd
"Murder in the First, Season 3",2016,500 Grove Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
The Bachelor,1999,Sutter-Stockton Garage (330 Sutter Street at Stockton),George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen
GirlBoss,2017,"La Taqueria, 2889 Mission St.","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon
Looking Season 2 ep 203,2015,"Doc's Clock, 2575 Misison Street","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
San Andreas,2015,Jefferson St. at Powell St.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb
The Candidate,1972,"Westin St. Francis Hotel (335 Powell Street, Union Square)",Redford-Ritchie Productions,Warner Bros. Pictures,Michael Ritchie,Jeremy Larner
Looking Season 2 ep 204,2015,3650 21st Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Vertigo,1958,"Fort Point (Presidio, Golden Gate National Recreation Area)",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel
Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District)",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons
George of the Jungle,1997,First Bank (550 Montgomery Street at Commercial),Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward
180,2011,City Hall,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba"
Edtv,1999,Palace of Fine Arts (3301 Lyon Street),Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz
Pushing Dead,2016,Koshland Park,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown
Looking Season 2 ep 209,2015,1890 Clay Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Sudden Impact,1983,"Pier 38-40, The Embarcadero",Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink
A Taiwanese Tale of Two Cities,2018,738 Washington St,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin"
Time After Time,1979,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Twisted,2004,The Saloon (1232 Grant Avenue),Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp
Twisted,2004,La Bodega (1332 Grant Avenue at Vallejo),Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp
Edtv,1999,"Castro Theatre (429 Castro Street, The Castro)",Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz
Sweet November,2001,Farley's Caf̩ (1315 18th Street Near Missouri),Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick
Woman on Top,2000,312 Fillmore Street,Fox Searchlight Pictures,Fox Searchlight Pictures,Fina Torres,Vera Blasi
When We Rise,2017,Bay Bridge,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
Etruscan Smile,2017,Hooker Alley Garden on Mason between Bush & Pine,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Doctor Dolittle,1998,Larkin & Hyde Streets,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin
Star Trek IV: The Voyage Home,1986,Intersection of Columbus & Mason Streets,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson
The Last Black Man in San Francisco,2019,4704 3rd St,"LBMISF, LLC",A34,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert"
Dim Sum: A Little Bit of Heart,1985,San Francisco International Airport,CIM,Orion Classics,Wayne Wang,Terrel Seltzer
Basic Instinct,1992,Pier 7 (The Embarcadero),Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas
Looking Season 2 ep 202,2015,651 Brannan Street,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
To the Ends of the Earth,1948,,Kennedy-Buckman Pictures,Columbia Pictures,Robert Stevenson,Jay Richard Kennedy
The Game,1997,Washington Street & Waverly Place (Chinatown),Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato
Sense8,2015,22nd St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis
When We Rise,2017,Buena Vista Park,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black
The Bachelor,1999,Danilo's Bakery (Green Street & Bannam Place),George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen
Looking,2014,Fort Funston,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
The Dead Pool,1988,Fremont Street Exit of Bay Bridge,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink
Bullitt,1968,20th & Vermont Streets (Potrero Hill),"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman
Summertime,2015,Oasis Nightclub (298 11th St),"Creative Monster Productions, Inc.",2 Distribution,Gabriele Muccino,Gabriele Muccino
Golden Gate,1994,University of California Hastings College of the Law,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,David Henry Hwang
Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District)",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons
Seven Girlfriends,1999,Golden Gate Bridge,White Dwarf Productions,Lions Gate Films Home Entertainment,Paul Lazarus,Paul Lazarus
Joy Luck Club,1993,Hang Ah Alley (Chinatown),Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan
Time After Time,1979,Lombard & Broderick Streets (Marina District),Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander
Junior,1994,Hyatt Fisherman's Wharf (555 Northpoint Street),Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade
Etruscan Smile,2017,Hooker Alley Garden on Mason between Bush & Pine,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro"
Sense8 - Season 2,2016,"Julia Morgan Ballroom at the Merchant's Exchange Building, 465 California St.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings"
Memoirs of an Invisible Man,1992,St. Elizabeth Apartment House (901 Powell Street at Sacramento),Warner Bros. Pictures,Warner Bros. Pictures,John Carpenter,Robert Collector
"Murder in the First, Season 1",2014,Palace of Fine Arts (3301 Lyon Street),Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
The Right Stuff,1983,Cow Palace,The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman
Terminator - Genisys,2015,Van Ness between Fell and Lombard,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron
Bitter Melon,2018,"Pay and Save Grocery, 599 Guerrero St",Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza
Pretty Woman,1990,,Touchstone Pictures,Buena Vista Pictures,Garry Marshall,J.F. Lawton
"Murder in the First, Season 1",2014,800 Bay Street,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal
Foul Play,1978,"Fort Point, Presidio",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
The Other Sister,1999,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall
Summertime,2015,Buena Vista East & Duboce; Buena Vista East & Haight,"Creative Monster Productions, Inc.",5 Distribution,Gabriele Muccino,Gabriele Muccino
The Master,2012,Pier 7/ Embarcadero,H.H. Project,Weinstein Company,Paul Thomas Anderson,Paul Thomas Anderson
Always Be My Maybe,2019,Pier 7,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong"
Chance- Season 1 ep104,2016,Palace of Fine Arts,TVM Productions,HULU,Carl Franklin,Peter Elkoff
Red Widow,2013,Montgomery & Market Streets,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
Family Plot,1976,Grace Cathedral Episcopal Church (1100 California Street),Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman
Foul Play,1978,430 Vallejo Street (Telegraph Hill),Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins
Looking,2014,The Stud,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Red Widow,2013,Broadway & Taylor,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg
Swing,2003,Regency Building (1290 Sutter Street),unlisted,Crazy Dreams Entertainment,Martin Guigui,Mary Keil
Looking Season 2 ep 210,2015,Twin Peaks Park,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
Copycat,1995,Twin Peaks,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman
Looking,2014,Dolores Park,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan
Red Diaper Baby,2004,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)",Hello Hooker Productions,Sundance Channel,Doug Pray,Josh Kornbluth
Looking Season 2 ep 207,2015,Delores Park,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan
