Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
19/09/2000 00:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 00:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 01:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 01:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 02:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 02:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 03:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 03:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 04:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 04:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 05:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 05:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 06:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 06:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 07:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 07:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 08:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 08:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 09:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 09:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 10:00,70301,1,60,1,Northbound,1,NorthEast,-1,0,,1,0,
19/09/2000 10:00,70301,1,60,2,Southbound,2,SouthWest,-1,0,,1,0,
19/09/2000 11:00,70301,1,60,1,Northbound,1,NorthEast,34,0,,1,0,
19/09/2000 11:00,70301,1,60,2,Southbound,2,SouthWest,23,0,,1,0,
19/09/2000 12:00,70301,1,60,1,Northbound,1,NorthEast,65,0,,1,0,
19/09/2000 12:00,70301,1,60,2,Southbound,2,SouthWest,51,0,,1,0,
19/09/2000 13:00,70301,1,60,1,Northbound,1,NorthEast,55,0,,1,0,
19/09/2000 13:00,70301,1,60,2,Southbound,2,SouthWest,47,0,,1,0,
19/09/2000 14:00,70301,1,60,1,Northbound,1,NorthEast,44,0,,1,0,
