ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
game of thrones,153,1.36,3.92%,33.17%,213.18,6.75
logan,151,1.16,5.30%,70.86%,145.2,5.42
fleet foxes,113,1.37,11.50%,80.65%,117.31,1.86
house of cards,110,1.14,0.91%,61.60%,199.13,5.02
john wick,97,1.18,10.31%,58.77%,111.29,3.33
elle,95,1.14,0.00%,41.67%,135.19,6.82
harry potter,94,1.78,1.06%,38.32%,331.59,9.48
mac demarco,86,1.19,4.65%,94.12%,66.98,1.36
forest swords,81,1.2,7.41%,91.75%,39.85,1.23
narkopop,79,1.23,1.27%,98.97%,56.54,0.03
elena ferrante,78,1.51,1.28%,42.37%,265.73,8.15
outlander,71,1.38,1.41%,35.71%,224.44,5.83
haim something to tell you,66,1.11,6.06%,87.67%,74.83,1.62
la femme qui fuit,66,1.67,4.55%,32.73%,193.97,5.79
guillaume musso,64,1.69,1.56%,35.19%,357.52,11.06
kevin morby,63,1.05,0.00%,98.48%,29.32,1.3
perfume genius,63,1.17,1.59%,93.24%,114.1,1.43
radiohead ok computer,63,1.03,1.59%,98.46%,13.73,1.02
sza,61,1.05,0.00%,98.44%,17.11,1.07
walking dead,61,1.38,3.28%,44.05%,354.75,9.9
james patterson,60,1.1,13.33%,40.91%,242.75,9.33
migos culture,60,1.05,0.00%,100.00%,34.92,1.08
alex rocket,59,1.03,0.00%,100.00%,9.92,1.03
beach house rarities,59,1.05,0.00%,98.39%,7.24,0.03
big thief capacity,59,1.22,0.00%,86.11%,7.47,0.0
jlin,59,1.12,0.00%,96.97%,16.97,1.14
mono no aware,59,1.05,0.00%,100.00%,7.98,1.05
thundercat drunk,59,1.05,0.00%,100.00%,9.92,1.05
ghost in the shell,58,1.38,3.45%,51.25%,161.55,5.1
arrival,57,1.37,0.00%,55.13%,235.61,6.33
homeland,57,1.19,1.75%,50.00%,115.05,5.93
Madame figaro,57,1.28,1.75%,32.88%,48.79,2.16
jay z 4:44,56,1.04,0.00%,100.00%,24.93,1.14
le plongeur,56,1.32,1.79%,41.89%,220.98,4.54
nxworries,56,1.04,5.36%,91.38%,122.55,3.36
washed out mister,55,1.04,0.00%,100.00%,4.75,0.0
fred vargas,54,1.39,0.00%,37.33%,303.41,6.96
la la land,51,1.65,0.00%,50.00%,269.63,6.14
mike God may help your hustle,51,1.06,0.00%,100.00%,8.82,0.0
paula hawkins,50,1.2,4.00%,66.67%,243.34,4.66
suits,50,1.32,2.00%,33.33%,193.48,7.42
yoga,48,1.4,4.17%,53.73%,522.56,13.71
Game of thrones,45,1.58,6.67%,28.17%,177.11,6.69
Le plongeur,45,1.13,0.00%,49.02%,193.38,4.49
Michael connelly,45,1.2,8.89%,44.44%,248.2,6.04
vikings,45,1.31,2.22%,49.15%,251.51,7.0
bluray,44,1.32,0.00%,17.24%,312.05,24.59
julie byrne,44,1.02,9.09%,91.11%,20.05,1.07
stephen king,44,1.32,0.00%,55.17%,266.98,9.59
beauty and the beast,43,1.19,0.00%,52.94%,112.81,4.84
foxygen,43,1.02,13.95%,70.45%,132.05,1.53
nora roberts,43,1.23,2.33%,47.17%,340.63,11.05
1984,42,1.74,0.00%,57.53%,278.67,9.19
arcade fire,42,1.21,7.14%,43.14%,176.69,6.43
broken social scene hug,42,1.05,0.00%,100.00%,12.62,0.0
lion,42,1.36,0.00%,57.89%,123.64,6.45
Logan,42,1.07,4.76%,60.00%,122.1,4.48
dirty projectors,40,1.05,2.50%,95.24%,13.33,1.28
drake more life,40,1.03,0.00%,97.56%,35.25,1.35
poldark,40,1.2,15.00%,33.33%,254.58,6.9
Figaro magazine,39,1.15,0.00%,20.00%,90.95,2.23
lorde melodrama,39,1.05,0.00%,92.68%,105.9,3.31
guide de la route,38,1.53,7.89%,43.10%,407.24,11.61
ray donovan,38,1.18,10.53%,55.56%,174.95,3.79
fargo,37,1.19,8.11%,68.18%,141.14,3.03
La femme qui fuit,37,1.59,5.41%,28.81%,135.59,5.03
valerian,37,1.43,2.70%,30.19%,371.51,8.73
michael connelly,36,1.19,2.78%,46.51%,411.75,6.81
bine,35,1.03,0.00%,13.89%,36.89,2.57
blade runner,35,1.31,2.86%,50.00%,232.0,7.57
Guillaume Musso,35,1.46,2.86%,39.22%,371.06,7.0
la tresse,35,1.2,0.00%,59.52%,144.11,3.26
michel tremblay,35,1.14,2.86%,52.50%,326.57,9.11
priests nothing feels natural,35,1.06,0.00%,97.30%,5.74,0.37
star wars,35,1.17,2.86%,65.85%,274.49,9.69
