COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE
Unknown,Cattaraugus,Allegany,31009700000000,KC 815,UN,NL,-78.53526,42.004826
Unknown,Allegany,Wirt,31003700000000,PYR 52,UM,NL,-78.1777,42.086384
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Hw-35,UN,IW,-78.57476,42.01266
Unknown,Allegany,Alma,31003700000000,Balcerak G 89,UN,NL,-78.06411999999999,42.066277
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 122,UL,OD,-78.05659,42.07827
Unknown,Cattaraugus,Allegany,31009700000000,KC 786,UN,NL,-78.53356,42.012806
Unknown,Allegany,Bolivar,31003700000000,DF 108,UN,NL,-78.14195,42.037987
Akron Natural Gas,Erie,Alden,31029000000000,Henskin Emil 3,UN,GD,-78.56663,42.87396
"Rose, Philip M.",Cattaraugus,Olean,31009100000000,Willrock W-7,UL,OD,-78.44802,42.019237
"B.C.R. Development, Inc.",Allegany,Alma,31003700000000,Lot 86 023,UL,IW,-77.97155,42.032724
Finance Oil & Gas,Erie,Collins,31029100000000,Elon Ecls R-107,UN,GD,-78.96995,42.503484
Williamsport Natural Gas E.Q.D,Steuben,Woodhull,31101000000000,Dorr 1,UL,DH,-77.3507,42.059740000000005
Unknown,Cattaraugus,Allegany,31009700000000,KC 742,UN,NL,-78.53178,42.011555
Unknown,Allegany,Alma,31003700000000,Root F 212,UM,NL,-78.06137,42.061901
Unknown,Cattaraugus,Allegany,31009700000000,KC 965,UN,NL,-78.54500999999999,42.001228000000005
Pulaski Gas & Oil,Oswego,Richland,31075000000000,NY Defense Reloc Corp,UL,GD,-76.15204,43.54269
Maple Gas Co.,Cattaraugus,Red House,31009100000000,Allegany State Park 96,UN,OD,-78.7236,42.026109999999996
Unknown,Allegany,Bolivar,31003700000000,OR 52,UL,NL,-78.09366,42.06657
NY Gas & Elec.,Erie,Lancaster,31029000000000,Reinhart,UM,GD,-78.6201,42.92965
Reservation Gas,Chautauqua,Hanover,31013000000000,Brown H G 1,UM,GD,-79.1191,42.47888
Unknown,Allegany,Bolivar,31003700000000,PFG 99,UM,NL,-78.13715,42.072456
Unknown,Cattaraugus,Allegany,31009700000000,KC 617,UM,NL,-78.5274,42.011565999999995
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 17,UL,OD,-78.05911,42.076640000000005
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Hamilton 134,UL,OD,-77.70149,42.08897
"Dougherty, F.L.",Chautauqua,Hanover,31013000000000,Cadwell 1,UM,GD,-79.1315,42.556709999999995
Unknown,Allegany,Bolivar,31003700000000,Dunn P 130,UM,NL,-78.15805999999999,42.055351
Unknown,Allegany,Wirt,31003700000000,Crockett D 56,UM,NL,-78.17494,42.09024
"B.C.R. Development, Inc.",Allegany,Alma,31003700000000,Warfield 111,UL,OD,-77.96311999999999,42.053470000000004
Pennzoil Products Co.,Allegany,Bolivar,31003700000000,Ballard 37,UL,IW,-78.19009,42.08428
