Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (Â£)
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,27.04.2018,16.05.2018,GPC04180000141,93.60
Stockport MBC,Services to People,Childrens & Educational Services,NATIONAL EXPRESS LIMIT,Care Payments,Social Community Care Supplies & Services  ,28.04.2018,16.05.2018,GPC04180000142,300.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,25.04.2018,16.05.2018,GPC04180000143,43.30
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,25.04.2018,16.05.2018,GPC04180000144,281.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,24.04.2018,16.05.2018,GPC04180000145,77.05
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STOCKPORT.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,24.04.2018,16.05.2018,GPC04180000146,10.00
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM E1LQPT       0,Travelling Expenses,Human Resources Travel & Subsistence ,23.04.2018,16.05.2018,GPC04180000147,95.98
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM E1MDXH       0,Care Payments,Social Community Care Supplies & Services  ,23.04.2018,16.05.2018,GPC04180000148,47.99
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.04.2018,16.05.2018,GPC04180000149,23.55
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.04.2018,16.05.2018,GPC04180000150,4.65
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,23.04.2018,16.05.2018,GPC04180000151,20.25
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,23.04.2018,16.05.2018,GPC04180000152,11.25
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,20.04.2018,16.05.2018,GPC04180000153,43.30
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.04.2018,16.05.2018,GPC04180000154,235.50
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,20.04.2018,16.05.2018,GPC04180000155,232.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,13.04.2018,16.05.2018,GPC04180000156,40.50
Stockport MBC,Services to People,Childrens & Educational Services,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,06.04.2018,16.05.2018,GPC04180000157,161.50
Stockport MBC,Services to People,Childrens & Educational Services,CO-OP GROUP 108403,Catering Supplies,Catering Food & Beverages ,01.05.2018,16.05.2018,GPC04180000158,3.59
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,25.04.2018,16.05.2018,GPC04180000159,16.25
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,23.04.2018,16.05.2018,GPC04180000160,114.63
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,18.04.2018,16.05.2018,GPC04180000161,10.83
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,17.04.2018,16.05.2018,GPC04180000162,3.77
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,16.04.2018,16.05.2018,GPC04180000163,47.49
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,27.04.2018,16.05.2018,GPC04180000164,161.77
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,28.04.2018,16.05.2018,GPC04180000165,184.77
