ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moyenne_de_la_recherche
harry potter,215.0,1.35,1.40%,43.99%,239.48,8.06
game of thrones,213.0,1.48,5.63%,36.39%,221.15,6.09
walking dead,167.0,1.2,11.98%,40.30%,156.51,4.9
homeland,137.0,1.26,2.92%,52.91%,201.1,5.27
outlander,117.0,1.41,2.56%,40.61%,263.38,6.27
vikings,104.0,1.3,7.69%,57.78%,118.28,3.35
house of cards,99.0,1.38,1.01%,48.91%,218.18,7.03
the lobster,93.0,1.05,10.75%,68.37%,85.65,1.49
blood orange freetown,88.0,1.11,7.95%,89.80%,37.34,0.24
bat for lashes,87.0,1.09,3.45%,93.68%,69.84,1.21
the knick,87.0,1.11,16.09%,55.67%,190.87,3.11
la fille du train,83.0,1.24,2.41%,40.78%,292.01,6.94
the walking dead,79.0,1.15,8.86%,52.75%,192.11,4.39
chairlift,75.0,1.03,0.00%,98.70%,29.99,1.03
the affair,75.0,1.16,16.00%,57.47%,44.31,1.8
mutual benefit,72.0,1.01,0.00%,100.00%,11.63,1.01
elza soares,71.0,1.03,2.82%,72.60%,130.68,3.76
once upon a time,71.0,1.23,4.23%,57.47%,110.13,4.76
star wars,71.0,1.46,0.00%,56.73%,378.62,10.2
eleanor friedberger,70.0,1.03,0.00%,98.61%,32.79,1.04
james patterson,70.0,1.17,5.71%,37.80%,281.36,11.63
julianna barwick,70.0,1.01,1.43%,98.59%,9.66,1.0
leon vynehall,70.0,1.04,0.00%,97.26%,7.81,0.03
andy stott,69.0,1.03,0.00%,98.59%,8.65,1.03
batman,69.0,1.35,5.80%,50.54%,237.91,8.28
classixx,69.0,1.01,0.00%,100.00%,19.3,1.1
field follower,69.0,1.03,0.00%,98.59%,16.84,1.04
marissa nadler,69.0,1.01,0.00%,100.00%,12.46,1.01
maxwell Black SUMMERS night,69.0,1.09,0.00%,93.33%,43.97,2.32
gotham,66.0,1.14,7.58%,68.00%,88.47,2.06
moodymann,66.0,1.02,0.00%,100.00%,14.52,1.02
kevin morby,62.0,1.08,1.61%,97.01%,10.42,0.16
stephen king,62.0,1.15,1.61%,60.56%,349.85,12.94
white lung paradise,62.0,1.06,3.23%,93.94%,29.84,0.32
nora roberts,61.0,1.33,3.28%,41.98%,338.28,15.7
dvSN,60.0,1.08,0.00%,98.46%,26.93,1.15
elena ferrante,60.0,1.2,1.67%,33.33%,226.27,7.18
la femme qui fuit,60.0,1.13,3.33%,55.88%,144.7,3.65
orange is the new black,57.0,1.35,1.75%,46.75%,260.14,6.51
guide de la route,56.0,1.34,1.79%,53.33%,271.8,6.25
car seat headrest,55.0,1.04,0.00%,96.49%,18.82,1.38
pokemon,54.0,1.89,3.70%,42.16%,413.0,11.63
guillaume musso,53.0,1.42,1.89%,40.00%,393.89,10.0
Outlander,51.0,1.27,3.92%,38.46%,276.96,5.98
person of interest,51.0,1.24,1.96%,46.03%,141.0,5.18
bluray,49.0,1.14,4.08%,21.43%,466.57,20.02
deadpool,49.0,1.37,4.08%,56.72%,181.39,5.65
alice clayton,48.0,1.0,0.00%,66.67%,148.63,3.15
gods of egypt,48.0,1.08,10.42%,73.08%,60.73,1.42
Opengl,48.0,1.67,12.50%,15.00%,197.15,2.27
orphan black,48.0,1.17,12.50%,48.21%,177.81,2.29
ray donovan,48.0,1.27,8.33%,59.02%,134.52,4.54
schoolboy q blank face,48.0,1.25,4.17%,88.33%,69.5,1.29
1984,47.0,1.55,4.26%,57.53%,287.87,5.68
kaytranada,47.0,1.26,0.00%,57.63%,106.74,3.04
La femme qui fuit,47.0,1.38,10.64%,33.85%,116.49,3.36
dheepan,46.0,1.11,13.04%,74.51%,142.22,1.52
Walking dead,46.0,1.22,13.04%,35.71%,95.67,3.98
yg still,46.0,1.07,2.17%,97.96%,31.63,0.24
aphex twin cheetah,45.0,1.04,0.00%,100.00%,55.87,0.53
cÃ©line dion,45.0,1.64,22.22%,27.03%,161.6,5.16
demolition,44.0,1.2,4.55%,71.70%,151.7,8.61
the 100,43.0,1.3,4.65%,51.79%,197.95,4.51
arrow,42.0,1.29,7.14%,53.70%,153.29,4.93
celine dion,42.0,1.12,4.76%,65.96%,166.6,7.05
green room,42.0,1.07,21.43%,62.22%,66.31,1.4
Guillaume musso,42.0,1.4,2.38%,37.29%,384.5,11.07
john grisham,42.0,1.21,2.38%,50.98%,215.74,6.69
le petit prince,42.0,1.6,7.14%,52.24%,264.17,8.07
yoga,42.0,1.43,2.38%,51.67%,265.12,9.6
Homeland,41.0,1.17,7.32%,43.75%,124.49,4.12
((TypeOfDocumentFacet=Livres_numeriques) and (TypeContentLimit=romans) not ((OFF=f) or (OFF=s))) not RELB=m,40.0,1.1,0.00%,43.18%,520.65,19.43
batman v superman,40.0,1.05,12.50%,71.43%,53.73,2.55
batman vs superman,40.0,1.13,5.00%,62.22%,127.95,5.63
born to be blue,40.0,1.15,17.50%,71.74%,51.45,1.98
La fille du train,40.0,1.35,15.00%,33.33%,228.88,4.88
les dÃ©mons,40.0,1.03,25.00%,63.41%,79.88,1.35
the good wife,40.0,1.33,5.00%,28.30%,70.25,4.0
Game of thrones,39.0,1.36,7.69%,22.64%,74.15,3.72
hunger games,39.0,1.31,0.00%,41.18%,355.31,7.97
michael connelly,39.0,1.15,5.13%,57.78%,169.92,6.62
sylvia day,39.0,1.26,2.56%,34.69%,148.77,6.62
michel bussi,38.0,1.45,0.00%,41.82%,294.55,9.68
radiohead,38.0,1.34,2.63%,50.98%,214.29,7.24
sicario,38.0,1.11,2.63%,71.43%,276.53,6.74
zootopia,38.0,1.34,2.63%,54.90%,122.89,5.76
michel tremblay,37.0,1.43,2.70%,58.49%,317.92,10.19
the girl on the train,37.0,1.43,0.00%,50.94%,249.76,5.51
better call saul,36.0,1.36,16.67%,48.98%,115.56,2.36
france lorrain,36.0,1.08,0.00%,66.67%,68.78,2.75
Harry Potter,36.0,1.36,0.00%,36.73%,338.06,9.42
louise penny,36.0,1.06,8.33%,36.84%,151.89,5.17
nicole bordeleau,36.0,1.33,2.78%,27.08%,347.69,6.14
philip kerr,36.0,1.06,2.78%,47.37%,376.58,8.64
sheer mag,36.0,1.0,0.00%,100.00%,9.61,1.0
true detective,36.0,1.56,2.78%,39.29%,218.03,4.36
fanny britt,35.0,1.34,0.00%,55.32%,177.74,5.31
fargo,35.0,1.26,0.00%,56.82%,117.4,5.2
me before you,35.0,1.09,2.86%,65.79%,284.06,5.09
revenge trans,35.0,1.0,0.00%,100.00%,15.31,0.0
demain,34.0,1.21,8.82%,53.66%,145.76,3.59
elle,34.0,1.03,0.00%,31.43%,35.88,6.26
kaytranada 99,34.0,1.44,0.00%,69.39%,131.47,4.21
