HMG Ref,Title,Description/Notes for Minister,Dept,Control Type,Requested Value,Approval Date
HMGA25,UN Sec Gen Climate Summit,Events supporting the Prime Ministers leadership role at the UN Secretary General Climate Summit.,DFID,Advertising and Marketing,"£751,000",02/07/2019
HMGA31,ICS,"Recruitment campaign to ensure programme delivery with all volunteer places filled. KPIs set for gender, disability and socio-economic background. ",DFID,Advertising and Marketing,"£329,200",24/07/2019
