ticket_id,issue_type,ticket_created_date_time,ticket_closed_date_time,ticket_status,neighborhood_district,city,state,case_title
101000138939,Road Surface Marking,05/15/2013 02:58:01 PM,,Open,CITY PARK,NEW ORLEANS,LA,Traffic Control - New
101000890111,Large Item Trash/Garbage Pickup,12/06/2018 03:55:35 PM,12/11/2018 07:54:32 AM,Closed,EAST CARROLLTON,NEW ORLEANS,LA,Large Item Trash/Garbage Pickup
101000429488,Trash/Garbage Pickup,07/20/2015 10:14:19 AM,08/31/2015 03:25:59 PM,Closed,LITTLE WOODS,NEW ORLEANS,LA,Start Trash Service
101000072128,Street Light,10/25/2012 01:37:15 PM,10/23/2013 05:00:49 PM,Closed,AUDUBON,NEW ORLEANS,LA,Non-urgent: Outage Or Cycling
101000121591,Residential Recycling Programs,03/27/2013 11:09:25 AM,04/05/2013 12:59:58 PM,Closed,MARLYVILLE - FONTAINBLEAU,NEW ORLEANS,LA,New Recycling Cart
101000324189,Trash/Garbage Pickup,10/22/2014 03:04:47 PM,10/22/2014 03:32:37 PM,Closed,UPTOWN,NEW ORLEANS,LA,Start Trash Service
101000448722,Abandoned Vehicle Reporting/Removal,09/01/2015 11:44:00 AM,11/09/2015 03:11:02 PM,Closed,WEST RIVERSIDE,NEW ORLEANS,LA,Abandoned Vehicle Stickered (5-day sticker)
101000842881,Abandoned Vehicle Reporting/Removal,08/08/2018 04:30:00 PM,08/13/2018 10:10:10 AM,Closed,BROADMOOR,NEW ORLEANS,LA,Abandoned Vehicle Stickered (5-day sticker)
101000476024,Pothole/Roadway Surface Repair,11/12/2015 11:12:00 AM,12/21/2015 10:12:00 AM,Closed,UPTOWN,NEW ORLEANS,LA,Pothole/Roadway Surface Repair (District B)
101000828350,Subsidence,07/06/2018 12:44:00 PM,,Open,TALL TIMBERS - BRECHTEL,NEW ORLEANS,LA,Subsidence (District C)
101000409282,Street Light,06/03/2015 04:10:47 PM,06/09/2015 01:15:16 PM,Closed,ST. CLAUDE,NEW ORLEANS,LA,Streetlight - Outage Or Cycling
101000802719,Large Item Trash/Garbage Pickup,05/02/2018 04:49:32 PM,05/05/2018 05:57:45 AM,Closed,BROADMOOR,NEW ORLEANS,LA,Large Item Trash/Garbage Pickup
101000520758,Traffic Signal,03/24/2016 08:20:00 AM,,Open,TULANE - GRAVIER,NEW ORLEANS,LA,Traffic Signal Timing
101000141159,Pothole/Roadway Surface Repair,05/22/2013 12:44:02 PM,,Open,LAKEVIEW,NEW ORLEANS,LA,Roadway Surface Repair - Pothole
