name,address1,address2,borough_name,website,borough_code,ward_2018_name,contact_name
Highgate Newtown Community Centre,25 Bertram Street,Camden,Camden,https://www.highgatenewtown.org.uk/,E09000007,Highgate,
Viking Community Centre,Radcliffe Way,Ealing,Ealing,,E09000009,Northolt West End,
Robert Owen Residents Hall,Fulham Palace Road,Hammersmith And Fulham,Hammersmith and Fulham,,E09000013,Palace Riverside,
Shoreditch Town Hall,380 Old Street,Hackney,Hackney,https://shoreditchtownhall.com/,E09000012,Hoxton East & Shoreditch,
Lauderdale House Society,Highgate Hill, Waterlow Park,Camden,,E09000007,Highgate,
City of London Community Education Centre,99 Golden Lane,Islington,Islington,,E09000019,Bunhill,
Thurlow Lodge Community Hall,1 Thurlow Street,Southwark,Southwark,http://www.creationtrust.org/hallsforhire,E09000028,Faraday,
Wheatsheaf Hall,Wheatsheaf Lane,Lambeth,Lambeth,wheatsheafhall.org.uk,E09000022,Oval,
Weston Rise Community Centre,187 Pentonville Road,Islington,Islington,,E09000019,Clerkenwell,Innes Marino
Victoria Park Community Centre,Egerton Road,Hackney,Hackney,https://victoria-park-community-centre-peabody.business.site/,E09000012,Springfield,
Hilgrove Estate TA Room,7 Hilgrove Road,Camden,Camden,,E09000007,Swiss Cottage,
C2K Community Centre,2 Penmon Road,Greenwich,Greenwich,,E09000011,Abbey Wood,
Jack Dunning Hall,6 Furrow Lane,Hackney,Hackney,,E09000012,Homerton,
Flintmill Meeting Rooms,72 Flintmill Crescent,Greenwich,Greenwich,,E09000011,Kidbrooke with Hornfair,
Ascot Community Centre,Hermit Road,Newham,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Ascot-Community-Centre.aspx,E09000025,Canning Town North,
Havelock Community Shop,39 Hunt Road,Southall,Ealing,,E09000009,Norwood Green,Anne-Marie Joseph
Providence Place Community Centre,1a Providence Court,Providence Place,Islington,,E09000019,St. Mary's,Ms Liz Anderson
RIverside Community Centre,113 Culvers Avenue,Sutton,Sutton,http://riversidecentre.org/,E09000029,The Wrythe,
Lytton Estate Community Hall,North End Crescent,Hammersmith And Fulham,Hammersmith and Fulham,lyttonresidents.blogspot.com,E09000013,Avonmore and Brook Green,
Curzon Community Centre,Bastable Avenue,Barking And Dagenham,Barking and Dagenham,http://thecurzonclub.99on.com/?i=1,E09000002,Thames,
St Hilda's East Community Centre,18 Club Row,Tower Hamlets,Tower Hamlets,http://www.sthildas.org.uk/,E09000030,Weavers,
Bullen Hall,Bennet Close,Richmond Upon Thames,Richmond upon Thames,https://www.richmond.gov.uk/services/hall_and_venue_bookings/bullen_hall_venue_hire,E09000027,Hampton Wick,
Trinity Community Centre,Bothwell Close,Newham,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Trinity-Community-Centre.aspx,E09000025,Canning Town South,
Casa De Mozambique in UK,Allensbury Place,Camden,Camden,,E09000007,Cantelowes,
Cundy Community Centre,Hartington Road,Newham,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Cundy-Community-Centre.aspx,E09000025,Custom House,
Woolwich Public Hall,Wellington Street,Greenwich,Greenwich,https://www.royalgreenwich.gov.uk/info/200164/about_the_royal_borough/327/woolwich_town_hall,E09000011,Woolwich Riverside,
Marks Gate Community Hall,Rose Lane,Barking And Dagenham,Barking and Dagenham,https://www.lbbd.gov.uk/services/marks-gate-hall,E09000002,Chadwell Heath,
I Can Care Centre,Woodside House, Woodside Park,Haringey,,E09000014,Woodside,Raj Doshi
Renton Close Community Centre,Brixton Hill,Lambeth,Lambeth,https://rentonclose.org/hire-the-centre/,E09000022,Brixton Hill,
Talacre Action Group,Wilkin Street,,Camden,,E09000007,Haverstock,
