ï»¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃ©ro-de-MinistÃ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1219,Other machinery and parts,628215
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1243,Meas.contr.lab.med.&opt.instr.& parts,113447
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1245,Safety & sanitat.equipment and parts,7494
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1249,Other equipment and parts,18111
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1245,Safety & sanitat.equipment and parts,16292
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1211,Special industry machinery,88890
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1219,Other machinery and parts,2053320
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1239,Other office equipment and parts,34396
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1243,Meas.contr.lab.med.&opt.instr.& parts,12823215
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1245,Safety & sanitat.equipment and parts,23450
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1249,Other equipment and parts,324563
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1223,Image/Video Communications Equip,23733
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1283,Computer Equip DCE desktop/pers/portable,18127
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1223,Image/Video Communications Equip,23705
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1283,Computer Equip DCE desktop/pers/portable,19100
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,187831
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",35358
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1261,Road motor vehicles,2247810
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1264,Other vehicles,575267
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1264,Other vehicles,40000
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1264,Other vehicles,293917
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1212,"Tools, and implements",17430
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1219,Other machinery and parts,221925
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1223,Image/Video Communications Equip,83
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",182220
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1239,Other office equipment and parts,6236
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",3710
2018/2019,2,Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,1242,"Elec.lighting,distr.&contr.equip.& parts",6066
