Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,29.01.2018,16.02.2018,GPC01180000001,6.50
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,28.01.2018,16.02.2018,GPC01180000002,8.14
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,25.01.2018,16.02.2018,GPC01180000003,20.31
Stockport MBC,Services to People,Central Support Costs,KOELN HBF  SEGAFREDO,Expenses and Allowances,Human Resources Travel & Subsistence ,24.01.2018,16.02.2018,GPC01180000004,3.07
Stockport MBC,Services to People,Central Support Costs,DB BAHN REISEZENTRUM,Travelling Expenses,Human Resources Travel & Subsistence ,24.01.2018,16.02.2018,GPC01180000005,53.36
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,24.01.2018,16.02.2018,GPC01180000006,25.33
Stockport MBC,Services to People,Adult Social Care,GO METRO GARE DU MIDI,Travelling Expenses,Human Resources Travel & Subsistence ,24.01.2018,16.02.2018,GPC01180000007,4.07
Stockport MBC,Services to People,Adult Social Care,GO METRO GARE DU MIDI,Travelling Expenses,Human Resources Travel & Subsistence ,24.01.2018,16.02.2018,GPC01180000008,12.67
Stockport MBC,Services to People,Adult Social Care,CARREFOUR MARKET ST H,Expenses and Allowances,Human Resources Travel & Subsistence ,24.01.2018,16.02.2018,GPC01180000009,14.49
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Expenses and Allowances,Human Resources Travel & Subsistence ,22.01.2018,16.02.2018,GPC01180000010,12.90
Stockport MBC,Services to People,Adult Social Care,HOTEL INVICTUS,Travelling Expenses,Human Resources Travel & Subsistence ,08.01.2018,16.02.2018,GPC01180000011,386.91
Stockport MBC,Services to People,Adult Social Care,WWW.JET2. 0LS80034184558,Travelling Expenses,Human Resources Travel & Subsistence ,08.01.2018,16.02.2018,GPC01180000012,280.80
Stockport MBC,Services to People,Central Support Costs,BRUSSELS  082101738PFV,Travelling Expenses,Human Resources Travel & Subsistence ,04.01.2018,16.02.2018,GPC01180000013,163.39
Stockport MBC,Services to People,Central Support Costs,HOTEL ON BOOKING.COM,Expenses and Allowances,Human Resources Travel & Subsistence ,08.01.2018,16.02.2018,GPC01180000014,211.04
Stockport MBC,Services to People,Central Support Costs,DB BAHN  A-NR FDEKGE,Travelling Expenses,Human Resources Travel & Subsistence ,04.01.2018,16.02.2018,GPC01180000015,36.20
Stockport MBC,Services to People,Central Support Costs,EUROSTAR INTERNET,Travelling Expenses,Human Resources Travel & Subsistence ,04.01.2018,16.02.2018,GPC01180000016,116.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK AFE3SEWTU2,Publicity and Promotion,Facilities & Management Services  ,31.01.2018,16.02.2018,GPC01180000017,6.64
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 8FE3SEWTU2,Publicity and Promotion,Facilities & Management Services  ,31.01.2018,16.02.2018,GPC01180000018,169.22
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 3H7H4F2MG2,Publicity and Promotion,Facilities & Management Services  ,31.01.2018,16.02.2018,GPC01180000019,30.14
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK XG7H4F2MG2,Publicity and Promotion,Facilities & Management Services  ,31.01.2018,16.02.2018,GPC01180000020,524.94
Stockport MBC,Corporate and Support Services,Central Support Costs,B&M RETAIL LTD,Publicity and Promotion,Facilities & Management Services  ,24.01.2018,16.02.2018,GPC01180000021,21.94
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.02.2018,16.02.2018,GPC01180000022,19.48
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,31.01.2018,16.02.2018,GPC01180000023,18.62
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.01.2018,16.02.2018,GPC01180000024,3.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,29.01.2018,16.02.2018,GPC01180000025,18.10
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.01.2018,16.02.2018,GPC01180000026,8.73
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.01.2018,16.02.2018,GPC01180000027,13.24
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,24.01.2018,16.02.2018,GPC01180000028,17.20
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,23.01.2018,16.02.2018,GPC01180000029,9.24
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,22.01.2018,16.02.2018,GPC01180000030,34.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.01.2018,16.02.2018,GPC01180000031,11.68
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.01.2018,16.02.2018,GPC01180000032,24.07
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.01.2018,16.02.2018,GPC01180000033,37.84
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.01.2018,16.02.2018,GPC01180000034,8.69
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.01.2018,16.02.2018,GPC01180000035,31.26
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS,Catering Supplies,Catering Food & Beverages ,10.01.2018,16.02.2018,GPC01180000036,3.04
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.01.2018,16.02.2018,GPC01180000037,46.21
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,05.01.2018,16.02.2018,GPC01180000038,13.50
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT NHS FOUNDATI,Travelling Expenses,Human Resources Travel & Subsistence ,02.01.2018,16.02.2018,GPC01180000039,3.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,01.02.2018,16.02.2018,GPC01180000040,33.45
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,01.02.2018,16.02.2018,GPC01180000041,33.15
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,01.02.2018,16.02.2018,GPC01180000042,42.90
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,29.01.2018,16.02.2018,GPC01180000043,-67.50
Stockport MBC,Services to People,Childrens & Educational Services,HSE,Fees and Charges,Financial Services  ,25.01.2018,16.02.2018,GPC01180000044,25.00
Stockport MBC,Services to People,Childrens & Educational Services,EB  OFSTED BIG CONVERS,Expenses and Allowances,Human Resources Training & Conferences ,10.01.2018,16.02.2018,GPC01180000045,75.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.01.2018,16.02.2018,GPC01180000046,114.19
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.01.2018,16.02.2018,GPC01180000047,82.57
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.01.2018,16.02.2018,GPC01180000048,49.83
Stockport MBC,Services to People,Childrens & Educational Services,AVIS RENT-A-CAR,Care Payments,Social Community Care Supplies & Services  ,16.01.2018,16.02.2018,GPC01180000049,55.56
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEFP1C FP1C51,Care Payments,Social Community Care Supplies & Services  ,16.01.2018,16.02.2018,GPC01180000050,219.98
Stockport MBC,Services to People,Childrens & Educational Services,PARTNER NETWORKS LTD,Staff Training,Human Resources  ,11.01.2018,16.02.2018,GPC01180000051,418.80
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,25.01.2018,16.02.2018,GPC01180000052,32.75
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TICKETS08712200260,Expenses and Allowances,Human Resources Training & Conferences ,19.01.2018,16.02.2018,GPC01180000053,50.00
Stockport MBC,Corporate and Support Services,Central Support Costs,EGRESS SWITCH,Fees and Charges,"Works - Construction, Repair & Maintenance  ",10.01.2018,16.02.2018,GPC01180000054,96.00
Stockport MBC,Services to People,Childrens & Educational Services,WH SMITH,Library Equipment,Education Library Books ,31.01.2018,16.02.2018,GPC01180000055,9.99
Stockport MBC,Services to People,Childrens & Educational Services,WWW.FABERMUSIC.COM,Library Equipment,Education Library Books ,29.01.2018,16.02.2018,GPC01180000056,27.00
Stockport MBC,Services to People,Childrens & Educational Services,PLAY WITH A PRO DIGITA,Information and Communications Technology,Information Communication Technology  ,18.01.2018,16.02.2018,GPC01180000057,11.17
Stockport MBC,Services to People,Childrens & Educational Services,UNIVERSITY OF MANCHEST,Travelling Expenses,Human Resources Travel & Subsistence ,17.01.2018,16.02.2018,GPC01180000058,2.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,16.01.2018,16.02.2018,GPC01180000059,160.30
Stockport MBC,Services to People,Childrens & Educational Services,UNIVERSITY OF MANCHEST,Travelling Expenses,Human Resources Travel & Subsistence ,11.01.2018,16.02.2018,GPC01180000060,3.00
Stockport MBC,Services to People,Childrens & Educational Services,RIVER PRO AUDIO,Office Expenses,Stationery    ,09.01.2018,16.02.2018,GPC01180000061,172.80
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,05.01.2018,16.02.2018,GPC01180000062,18.73
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  4A4QUARTET,Library Equipment,Education Library Books ,04.01.2018,16.02.2018,GPC01180000063,12.87
Stockport MBC,Services to People,Childrens & Educational Services,TWITTER ONLINE ADS,Publicity and Promotion,Facilities & Management Services  ,01.02.2018,16.02.2018,GPC01180000064,20.00
Stockport MBC,Services to People,Childrens & Educational Services,FACEBK HPDUSE2SK2,Publicity and Promotion,Facilities & Management Services  ,31.01.2018,16.02.2018,GPC01180000065,4.28
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.01.2018,16.02.2018,GPC01180000066,46.90
Stockport MBC,Services to People,Childrens & Educational Services,MSFT  <E010056N2F>,Fees and Charges,"Works - Construction, Repair & Maintenance  ",28.01.2018,16.02.2018,GPC01180000067,442.66
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,29.01.2018,16.02.2018,GPC01180000068,117.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Publicity and Promotion,Facilities & Management Services  ,18.01.2018,16.02.2018,GPC01180000069,350.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,17.01.2018,16.02.2018,GPC01180000070,25.05
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TONERPRINTERCOPIER,Office Expenses,Stationery    ,11.01.2018,16.02.2018,GPC01180000071,707.92
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Publicity and Promotion,Facilities & Management Services  ,09.01.2018,16.02.2018,GPC01180000072,200.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.01.2018,16.02.2018,GPC01180000073,40.70
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.01.2018,16.02.2018,GPC01180000074,122.86
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.01.2018,16.02.2018,GPC01180000075,48.76
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.01.2018,16.02.2018,GPC01180000076,108.63
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,17.01.2018,16.02.2018,GPC01180000077,10.50
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,16.01.2018,16.02.2018,GPC01180000078,13.50
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL SST,Travelling Expenses,Human Resources Travel & Subsistence ,11.01.2018,16.02.2018,GPC01180000079,4.90
Stockport MBC,Services to People,Childrens & Educational Services,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,05.01.2018,16.02.2018,GPC01180000080,860.00
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,29.01.2018,16.02.2018,GPC01180000081,12.20
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,18.01.2018,16.02.2018,GPC01180000082,12.20
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,10.01.2018,16.02.2018,GPC01180000083,6.10
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,05.01.2018,16.02.2018,GPC01180000084,6.10
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,31.01.2018,16.02.2018,GPC01180000085,10.95
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,31.01.2018,16.02.2018,GPC01180000086,10.13
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,30.01.2018,16.02.2018,GPC01180000087,47.79
Stockport MBC,Services to People,Childrens & Educational Services,SIMPLY TRAINING AND DE,Staff Training,Human Resources  ,30.01.2018,16.02.2018,GPC01180000088,18.00
Stockport MBC,Services to People,Childrens & Educational Services,HOME BARGAINS,Furniture and Equipment,Environmental Services Technical Equipment ,30.01.2018,16.02.2018,GPC01180000089,4.56
Stockport MBC,Services to People,Childrens & Educational Services,LIFE LEISURE,Fees and Charges,Education  ,29.01.2018,16.02.2018,GPC01180000090,16.20
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,26.01.2018,16.02.2018,GPC01180000091,12.92
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,25.01.2018,16.02.2018,GPC01180000092,14.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,24.01.2018,16.02.2018,GPC01180000093,36.51
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,23.01.2018,16.02.2018,GPC01180000094,46.86
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,23.01.2018,16.02.2018,GPC01180000095,5.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,22.01.2018,16.02.2018,GPC01180000096,16.43
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,18.01.2018,16.02.2018,GPC01180000097,2.73
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Office Expenses,Mail Services   ,17.01.2018,16.02.2018,GPC01180000098,80.64
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,16.01.2018,16.02.2018,GPC01180000099,32.12
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,16.01.2018,16.02.2018,GPC01180000100,11.96
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,15.01.2018,16.02.2018,GPC01180000101,16.49
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,12.01.2018,16.02.2018,GPC01180000102,7.93
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,10.01.2018,16.02.2018,GPC01180000103,28.00
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,09.01.2018,16.02.2018,GPC01180000104,24.30
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Environmental Services Technical Equipment ,09.01.2018,16.02.2018,GPC01180000105,10.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON UK MARKETPLACE,Information and Communications Technology,Information Communication Technology  ,01.02.2018,16.02.2018,GPC01180000106,33.90
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON EU,Information and Communications Technology,Information Communication Technology  ,02.02.2018,16.02.2018,GPC01180000107,27.45
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,PAYPAL  VANESSATREA,Furniture and Equipment,Environmental Services Technical Equipment ,30.01.2018,16.02.2018,GPC01180000108,189.59
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.SHAWS.CO.UK,Office Expenses,Stationery    ,29.01.2018,16.02.2018,GPC01180000109,-99.90
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.SHAWS.CO.UK,Office Expenses,Stationery    ,18.01.2018,16.02.2018,GPC01180000110,83.25
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.GOV.UK,Legal Fees,Legal Services  ,17.01.2018,16.02.2018,GPC01180000111,10.00
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.GOV.UK,Legal Fees,Legal Services  ,15.01.2018,16.02.2018,GPC01180000112,10.00
Stockport MBC,Corporate and Support Services,Central Support Costs,MAN MET UNI,Staff Training,Human Resources  ,05.01.2018,16.02.2018,GPC01180000113,70.00
Stockport MBC,Corporate and Support Services,Planning Services,AMAZON UK MARKETPLACE,Publicity and Promotion,Arts & Leisure Services  ,05.01.2018,16.02.2018,GPC01180000114,55.63
Stockport MBC,Corporate and Support Services,Planning Services,AMAZON UK MARKETPLACE,Publicity and Promotion,Arts & Leisure Services  ,04.01.2018,16.02.2018,GPC01180000115,93.57
Stockport MBC,Services to People,Childrens & Educational Services,LAEKING LIMITED,Office Expenses,Stationery    ,27.01.2018,16.02.2018,GPC01180000116,250.00
Stockport MBC,Services to People,Childrens & Educational Services,BOOKERECOMM,Catering Supplies,Catering Food & Beverages ,25.01.2018,16.02.2018,GPC01180000117,281.14
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,23.01.2018,16.02.2018,GPC01180000118,43.94
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,22.01.2018,16.02.2018,GPC01180000119,6.59
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,22.01.2018,16.02.2018,GPC01180000120,37.80
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,22.01.2018,16.02.2018,GPC01180000121,18.43
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,19.01.2018,16.02.2018,GPC01180000122,16.85
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,19.01.2018,16.02.2018,GPC01180000123,8.55
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,19.01.2018,16.02.2018,GPC01180000124,21.60
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,20.01.2018,16.02.2018,GPC01180000125,1.94
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,21.01.2018,16.02.2018,GPC01180000126,147.12
Stockport MBC,Services to People,Childrens & Educational Services,THE CAF  AT THE MUSEUM,Catering Supplies,Catering Food & Beverages ,18.01.2018,16.02.2018,GPC01180000127,4.50
Stockport MBC,Services to People,Childrens & Educational Services,UNIVERSITY OF MANCHEST,Travelling Expenses,Human Resources Travel & Subsistence ,18.01.2018,16.02.2018,GPC01180000128,3.00
Stockport MBC,Services to People,Childrens & Educational Services,M6 TOLL,Travelling Expenses,Human Resources Travel & Subsistence ,17.01.2018,16.02.2018,GPC01180000129,5.90
Stockport MBC,Services to People,Childrens & Educational Services,M6 TOLL,Travelling Expenses,Human Resources Travel & Subsistence ,16.01.2018,16.02.2018,GPC01180000130,5.90
Stockport MBC,Services to People,Childrens & Educational Services,PP OLIVERDUNN,Furniture and Equipment,Environmental Services Technical Equipment ,12.01.2018,16.02.2018,GPC01180000131,200.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Environmental Services Technical Equipment ,12.01.2018,16.02.2018,GPC01180000132,2.47
Stockport MBC,Services to People,Adult Social Care,EB  NATIONAL AMHP LEAD,Fees and Charges,Human Resources Training & Conferences ,30.01.2018,16.02.2018,GPC01180000133,50.00
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,24.01.2018,16.02.2018,GPC01180000134,123.08
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,23.01.2018,16.02.2018,GPC01180000135,13.74
