ï»¿Title,"All staff (excluding atypical) by academic contract marker, mode of employment, hourly paid marker, terms of employment, zero hours contract and sex",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,All,Hourly paid,5
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,All,Other,0
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,All,Total,20
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,All,Salaried,225
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,All,Hourly paid,650
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,All,Other,0
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,All,Total,880
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,All,Salaried,245
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,All,Hourly paid,655
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,All,Other,0
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,All,Total,900
Academic contract,Full-time,Fixed-term contract,All,All,Salaried,35560
Academic contract,Full-time,Fixed-term contract,All,All,Hourly paid,715
Academic contract,Full-time,Fixed-term contract,All,All,Other,30
Academic contract,Full-time,Fixed-term contract,All,All,Total,36305
Academic contract,Full-time,Fixed-term contract,All,Female,Salaried,15510
Academic contract,Full-time,Fixed-term contract,All,Female,Hourly paid,390
Academic contract,Full-time,Fixed-term contract,All,Female,Other,10
Academic contract,Full-time,Fixed-term contract,All,Female,Total,15910
Academic contract,Full-time,Fixed-term contract,All,Male,Salaried,20040
Academic contract,Full-time,Fixed-term contract,All,Male,Hourly paid,330
Academic contract,Full-time,Fixed-term contract,All,Male,Other,15
Academic contract,Full-time,Fixed-term contract,All,Male,Total,20385
Academic contract,Full-time,Fixed-term contract,All,Other,Salaried,10
Academic contract,Full-time,Fixed-term contract,All,Other,Hourly paid,0
Academic contract,Full-time,Fixed-term contract,All,Other,Other,0
Academic contract,Full-time,Fixed-term contract,All,Other,Total,10
Academic contract,Part-time,Fixed-term contract,All,All,Salaried,18830
Academic contract,Part-time,Fixed-term contract,All,All,Hourly paid,17475
Academic contract,Part-time,Fixed-term contract,All,All,Other,145
Academic contract,Part-time,Fixed-term contract,All,All,Total,36445
Academic contract,Part-time,Fixed-term contract,All,Female,Salaried,10685
Academic contract,Part-time,Fixed-term contract,All,Female,Hourly paid,8765
Academic contract,Part-time,Fixed-term contract,All,Female,Other,100
Academic contract,Part-time,Fixed-term contract,All,Female,Total,19555
Academic contract,Part-time,Fixed-term contract,All,Male,Salaried,8140
Academic contract,Part-time,Fixed-term contract,All,Male,Hourly paid,8705
Academic contract,Part-time,Fixed-term contract,All,Male,Other,45
Academic contract,Part-time,Fixed-term contract,All,Male,Total,16885
Academic contract,Part-time,Fixed-term contract,All,Other,Salaried,0
Academic contract,Part-time,Fixed-term contract,All,Other,Hourly paid,5
Academic contract,Part-time,Fixed-term contract,All,Other,Other,0
Academic contract,Part-time,Fixed-term contract,All,Other,Total,5
Academic contract,All,Fixed-term contract,All,All,Salaried,54385
Academic contract,All,Fixed-term contract,All,All,Hourly paid,18195
Academic contract,All,Fixed-term contract,All,All,Other,170
Academic contract,All,Fixed-term contract,All,All,Total,72750
Academic contract,All,Fixed-term contract,All,Female,Salaried,26195
Academic contract,All,Fixed-term contract,All,Female,Hourly paid,9155
Academic contract,All,Fixed-term contract,All,Female,Other,110
Academic contract,All,Fixed-term contract,All,Female,Total,35460
Academic contract,All,Fixed-term contract,All,Male,Salaried,28180
Academic contract,All,Fixed-term contract,All,Male,Hourly paid,9035
Academic contract,All,Fixed-term contract,All,Male,Other,60
Academic contract,All,Fixed-term contract,All,Male,Total,37275
Academic contract,All,Fixed-term contract,All,Other,Salaried,10
Academic contract,All,Fixed-term contract,All,Other,Hourly paid,5
Academic contract,All,Fixed-term contract,All,Other,Other,0
Academic contract,All,Fixed-term contract,All,Other,Total,15
Academic contract,Full-time,Open-ended/permanent,All,All,Salaried,106760
Academic contract,Full-time,Open-ended/permanent,All,All,Hourly paid,435
Academic contract,Full-time,Open-ended/permanent,All,All,Other,15
Academic contract,Full-time,Open-ended/permanent,All,All,Total,107210
Academic contract,Full-time,Open-ended/permanent,All,Female,Salaried,43505
Academic contract,Full-time,Open-ended/permanent,All,Female,Hourly paid,215
Academic contract,Full-time,Open-ended/permanent,All,Female,Other,10
Academic contract,Full-time,Open-ended/permanent,All,Female,Total,43730
Academic contract,Full-time,Open-ended/permanent,All,Male,Salaried,63220
Academic contract,Full-time,Open-ended/permanent,All,Male,Hourly paid,215
Academic contract,Full-time,Open-ended/permanent,All,Male,Other,5
Academic contract,Full-time,Open-ended/permanent,All,Male,Total,63440
Academic contract,Full-time,Open-ended/permanent,All,Other,Salaried,35
Academic contract,Full-time,Open-ended/permanent,All,Other,Hourly paid,0
Academic contract,Full-time,Open-ended/permanent,All,Other,Other,0
Academic contract,Full-time,Open-ended/permanent,All,Other,Total,35
Academic contract,Part-time,Open-ended/permanent,All,All,Salaried,26560
Academic contract,Part-time,Open-ended/permanent,All,All,Hourly paid,10525
Academic contract,Part-time,Open-ended/permanent,All,All,Other,20
Academic contract,Part-time,Open-ended/permanent,All,All,Total,37110
Academic contract,Part-time,Open-ended/permanent,All,Female,Salaried,15815
Academic contract,Part-time,Open-ended/permanent,All,Female,Hourly paid,5345
Academic contract,Part-time,Open-ended/permanent,All,Female,Other,15
Academic contract,Part-time,Open-ended/permanent,All,Female,Total,21175
Academic contract,Part-time,Open-ended/permanent,All,Male,Salaried,10740
Academic contract,Part-time,Open-ended/permanent,All,Male,Hourly paid,5175
Academic contract,Part-time,Open-ended/permanent,All,Male,Other,10
Academic contract,Part-time,Open-ended/permanent,All,Male,Total,15925
Academic contract,Part-time,Open-ended/permanent,All,Other,Salaried,5
Academic contract,Part-time,Open-ended/permanent,All,Other,Hourly paid,5
Academic contract,Part-time,Open-ended/permanent,All,Other,Other,0
Academic contract,Part-time,Open-ended/permanent,All,Other,Total,10
Academic contract,All,Open-ended/permanent,All,All,Salaried,133320
Academic contract,All,Open-ended/permanent,All,All,Hourly paid,10960
Academic contract,All,Open-ended/permanent,All,All,Other,35
Academic contract,All,Open-ended/permanent,All,All,Total,144315
Academic contract,All,Open-ended/permanent,All,Female,Salaried,59320
Academic contract,All,Open-ended/permanent,All,Female,Hourly paid,5565
Academic contract,All,Open-ended/permanent,All,Female,Other,20
Academic contract,All,Open-ended/permanent,All,Female,Total,64905
Academic contract,All,Open-ended/permanent,All,Male,Salaried,73960
Academic contract,All,Open-ended/permanent,All,Male,Hourly paid,5395
Academic contract,All,Open-ended/permanent,All,Male,Other,15
Academic contract,All,Open-ended/permanent,All,Male,Total,79365
Academic contract,All,Open-ended/permanent,All,Other,Salaried,45
Academic contract,All,Open-ended/permanent,All,Other,Hourly paid,5
Academic contract,All,Open-ended/permanent,All,Other,Other,0
Academic contract,All,Open-ended/permanent,All,Other,Total,45
Non-academic contract,Full-time,Fixed-term contract,All,All,Salaried,20210
Non-academic contract,Full-time,Fixed-term contract,All,All,Hourly paid,140
Non-academic contract,Full-time,Fixed-term contract,All,All,Other,5
Non-academic contract,Full-time,Fixed-term contract,All,All,Total,20355
Non-academic contract,Full-time,Fixed-term contract,All,Female,Salaried,12220
Non-academic contract,Full-time,Fixed-term contract,All,Female,Hourly paid,80
Non-academic contract,Full-time,Fixed-term contract,All,Female,Other,5
Non-academic contract,Full-time,Fixed-term contract,All,Female,Total,12305
Non-academic contract,Full-time,Fixed-term contract,All,Male,Salaried,7975
Non-academic contract,Full-time,Fixed-term contract,All,Male,Hourly paid,60
Non-academic contract,Full-time,Fixed-term contract,All,Male,Other,0
Non-academic contract,Full-time,Fixed-term contract,All,Male,Total,8040
Non-academic contract,Full-time,Fixed-term contract,All,Other,Salaried,10
Non-academic contract,Full-time,Fixed-term contract,All,Other,Hourly paid,0
Non-academic contract,Full-time,Fixed-term contract,All,Other,Other,0
Non-academic contract,Full-time,Fixed-term contract,All,Other,Total,10
Non-academic contract,Part-time,Fixed-term contract,All,All,Salaried,8940
Non-academic contract,Part-time,Fixed-term contract,All,All,Hourly paid,4750
Non-academic contract,Part-time,Fixed-term contract,All,All,Other,5
Non-academic contract,Part-time,Fixed-term contract,All,All,Total,13695
Non-academic contract,Part-time,Fixed-term contract,All,Female,Salaried,6870
Non-academic contract,Part-time,Fixed-term contract,All,Female,Hourly paid,2855
Non-academic contract,Part-time,Fixed-term contract,All,Female,Other,5
Non-academic contract,Part-time,Fixed-term contract,All,Female,Total,9730
Non-academic contract,Part-time,Fixed-term contract,All,Male,Salaried,2070
Non-academic contract,Part-time,Fixed-term contract,All,Male,Hourly paid,1895
Non-academic contract,Part-time,Fixed-term contract,All,Male,Other,0
Non-academic contract,Part-time,Fixed-term contract,All,Male,Total,3965
Non-academic contract,Part-time,Fixed-term contract,All,Other,Salaried,0
Non-academic contract,Part-time,Fixed-term contract,All,Other,Hourly paid,0
Non-academic contract,Part-time,Fixed-term contract,All,Other,Other,0
Non-academic contract,Part-time,Fixed-term contract,All,Other,Total,5
Non-academic contract,All,Fixed-term contract,All,All,Salaried,29150
Non-academic contract,All,Fixed-term contract,All,All,Hourly paid,4895
Non-academic contract,All,Fixed-term contract,All,All,Other,10
Non-academic contract,All,Fixed-term contract,All,All,Total,34055
Non-academic contract,All,Fixed-term contract,All,Female,Salaried,19090
Non-academic contract,All,Fixed-term contract,All,Female,Hourly paid,2935
Non-academic contract,All,Fixed-term contract,All,Female,Other,10
Non-academic contract,All,Fixed-term contract,All,Female,Total,22035
Non-academic contract,All,Fixed-term contract,All,Male,Salaried,10045
Non-academic contract,All,Fixed-term contract,All,Male,Hourly paid,1955
Non-academic contract,All,Fixed-term contract,All,Male,Other,0
Non-academic contract,All,Fixed-term contract,All,Male,Total,12005
Non-academic contract,All,Fixed-term contract,All,Other,Salaried,15
Non-academic contract,All,Fixed-term contract,All,Other,Hourly paid,0
Non-academic contract,All,Fixed-term contract,All,Other,Other,0
Non-academic contract,All,Fixed-term contract,All,Other,Total,15
Non-academic contract,Full-time,Open-ended/permanent,All,All,Salaried,131965
Non-academic contract,Full-time,Open-ended/permanent,All,All,Hourly paid,345
Non-academic contract,Full-time,Open-ended/permanent,All,All,Other,10
Non-academic contract,Full-time,Open-ended/permanent,All,All,Total,132320
Non-academic contract,Full-time,Open-ended/permanent,All,Female,Salaried,71525
Non-academic contract,Full-time,Open-ended/permanent,All,Female,Hourly paid,190
Non-academic contract,Full-time,Open-ended/permanent,All,Female,Other,5
Non-academic contract,Full-time,Open-ended/permanent,All,Female,Total,71725
Non-academic contract,Full-time,Open-ended/permanent,All,Male,Salaried,60370
Non-academic contract,Full-time,Open-ended/permanent,All,Male,Hourly paid,155
Non-academic contract,Full-time,Open-ended/permanent,All,Male,Other,5
Non-academic contract,Full-time,Open-ended/permanent,All,Male,Total,60525
Non-academic contract,Full-time,Open-ended/permanent,All,Other,Salaried,70
Non-academic contract,Full-time,Open-ended/permanent,All,Other,Hourly paid,0
Non-academic contract,Full-time,Open-ended/permanent,All,Other,Other,0
Non-academic contract,Full-time,Open-ended/permanent,All,Other,Total,70
Non-academic contract,Part-time,Open-ended/permanent,All,All,Salaried,54300
Non-academic contract,Part-time,Open-ended/permanent,All,All,Hourly paid,2210
Non-academic contract,Part-time,Open-ended/permanent,All,All,Other,5
Non-academic contract,Part-time,Open-ended/permanent,All,All,Total,56515
Non-academic contract,Part-time,Open-ended/permanent,All,Female,Salaried,44720
Non-academic contract,Part-time,Open-ended/permanent,All,Female,Hourly paid,1360
Non-academic contract,Part-time,Open-ended/permanent,All,Female,Other,5
Non-academic contract,Part-time,Open-ended/permanent,All,Female,Total,46090
Non-academic contract,Part-time,Open-ended/permanent,All,Male,Salaried,9560
Non-academic contract,Part-time,Open-ended/permanent,All,Male,Hourly paid,845
Non-academic contract,Part-time,Open-ended/permanent,All,Male,Other,0
Non-academic contract,Part-time,Open-ended/permanent,All,Male,Total,10410
Non-academic contract,Part-time,Open-ended/permanent,All,Other,Salaried,15
Non-academic contract,Part-time,Open-ended/permanent,All,Other,Hourly paid,0
Non-academic contract,Part-time,Open-ended/permanent,All,Other,Other,0
Non-academic contract,Part-time,Open-ended/permanent,All,Other,Total,15
Non-academic contract,All,Open-ended/permanent,All,All,Salaried,186265
Non-academic contract,All,Open-ended/permanent,All,All,Hourly paid,2555
Non-academic contract,All,Open-ended/permanent,All,All,Other,15
Non-academic contract,All,Open-ended/permanent,All,All,Total,188835
Non-academic contract,All,Open-ended/permanent,All,Female,Salaried,116250
Non-academic contract,All,Open-ended/permanent,All,Female,Hourly paid,1555
Non-academic contract,All,Open-ended/permanent,All,Female,Other,10
Non-academic contract,All,Open-ended/permanent,All,Female,Total,117815
Non-academic contract,All,Open-ended/permanent,All,Male,Salaried,69930
Non-academic contract,All,Open-ended/permanent,All,Male,Hourly paid,1000
Non-academic contract,All,Open-ended/permanent,All,Male,Other,5
Non-academic contract,All,Open-ended/permanent,All,Male,Total,70935
Non-academic contract,All,Open-ended/permanent,All,Other,Salaried,85
Non-academic contract,All,Open-ended/permanent,All,Other,Hourly paid,0
Non-academic contract,All,Open-ended/permanent,All,Other,Other,0
Non-academic contract,All,Open-ended/permanent,All,Other,Total,85
Academic contract,Full-time,All,All,All,Salaried,142320
Academic contract,Full-time,All,All,All,Hourly paid,1150
Academic contract,Full-time,All,All,All,Other,40
Academic contract,Full-time,All,All,All,Total,143510
Academic contract,Full-time,All,All,Female,Salaried,59015
Academic contract,Full-time,All,All,Female,Hourly paid,605
Academic contract,Full-time,All,All,Female,Other,20
Academic contract,Full-time,All,All,Female,Total,59635
Academic contract,Full-time,All,All,Male,Salaried,83260
Academic contract,Full-time,All,All,Male,Hourly paid,545
Academic contract,Full-time,All,All,Male,Other,20
Academic contract,Full-time,All,All,Male,Total,83830
Academic contract,Full-time,All,All,Other,Salaried,45
Academic contract,Full-time,All,All,Other,Hourly paid,0
Academic contract,Full-time,All,All,Other,Other,0
Academic contract,Full-time,All,All,Other,Total,45
Academic contract,Full-time,All,Not on a zero hours contract,All,Salaried,142305
Academic contract,Full-time,All,Not on a zero hours contract,All,Hourly paid,1055
Academic contract,Full-time,All,Not on a zero hours contract,All,Other,25
Academic contract,Full-time,All,Not on a zero hours contract,All,Total,143390
Academic contract,Full-time,All,Not on a zero hours contract,Female,Salaried,59005
Academic contract,Full-time,All,Not on a zero hours contract,Female,Hourly paid,545
Academic contract,Full-time,All,Not on a zero hours contract,Female,Other,15
Academic contract,Full-time,All,Not on a zero hours contract,Female,Total,59565
Academic contract,Full-time,All,Not on a zero hours contract,Male,Salaried,83255
Academic contract,Full-time,All,Not on a zero hours contract,Male,Hourly paid,505
Academic contract,Full-time,All,Not on a zero hours contract,Male,Other,10
Academic contract,Full-time,All,Not on a zero hours contract,Male,Total,83775
Academic contract,Full-time,All,Not on a zero hours contract,Other,Salaried,45
Academic contract,Full-time,All,Not on a zero hours contract,Other,Hourly paid,0
Academic contract,Full-time,All,Not on a zero hours contract,Other,Other,0
Academic contract,Full-time,All,Not on a zero hours contract,Other,Total,45
Academic contract,Full-time,All,On a zero hours contract,All,Salaried,10
Academic contract,Full-time,All,On a zero hours contract,All,Hourly paid,95
Academic contract,Full-time,All,On a zero hours contract,All,Other,15
Academic contract,Full-time,All,On a zero hours contract,All,Total,125
Academic contract,Full-time,All,On a zero hours contract,Female,Salaried,10
Academic contract,Full-time,All,On a zero hours contract,Female,Hourly paid,60
Academic contract,Full-time,All,On a zero hours contract,Female,Other,5
Academic contract,Full-time,All,On a zero hours contract,Female,Total,70
Academic contract,Full-time,All,On a zero hours contract,Male,Salaried,5
Academic contract,Full-time,All,On a zero hours contract,Male,Hourly paid,40
Academic contract,Full-time,All,On a zero hours contract,Male,Other,10
Academic contract,Full-time,All,On a zero hours contract,Male,Total,50
Academic contract,Part-time,All,All,All,Salaried,45390
Academic contract,Part-time,All,All,All,Hourly paid,28000
Academic contract,Part-time,All,All,All,Other,165
Academic contract,Part-time,All,All,All,Total,73555
Academic contract,Part-time,All,All,Female,Salaried,26505
Academic contract,Part-time,All,All,Female,Hourly paid,14115
Academic contract,Part-time,All,All,Female,Other,115
Academic contract,Part-time,All,All,Female,Total,40730
Academic contract,Part-time,All,All,Male,Salaried,18880
Academic contract,Part-time,All,All,Male,Hourly paid,13880
Academic contract,Part-time,All,All,Male,Other,55
Academic contract,Part-time,All,All,Male,Total,32810
Academic contract,Part-time,All,All,Other,Salaried,10
Academic contract,Part-time,All,All,Other,Hourly paid,10
Academic contract,Part-time,All,All,Other,Other,0
Academic contract,Part-time,All,All,Other,Total,15
Academic contract,Part-time,All,Not on a zero hours contract,All,Salaried,45180
Academic contract,Part-time,All,Not on a zero hours contract,All,Hourly paid,24125
Academic contract,Part-time,All,Not on a zero hours contract,All,Other,135
Academic contract,Part-time,All,Not on a zero hours contract,All,Total,69440
Academic contract,Part-time,All,Not on a zero hours contract,Female,Salaried,26390
Academic contract,Part-time,All,Not on a zero hours contract,Female,Hourly paid,12090
Academic contract,Part-time,All,Not on a zero hours contract,Female,Other,95
Academic contract,Part-time,All,Not on a zero hours contract,Female,Total,38575
Academic contract,Part-time,All,Not on a zero hours contract,Male,Salaried,18785
Academic contract,Part-time,All,Not on a zero hours contract,Male,Hourly paid,12030
Academic contract,Part-time,All,Not on a zero hours contract,Male,Other,40
Academic contract,Part-time,All,Not on a zero hours contract,Male,Total,30850
Academic contract,Part-time,All,Not on a zero hours contract,Other,Salaried,10
Academic contract,Part-time,All,Not on a zero hours contract,Other,Hourly paid,5
Academic contract,Part-time,All,Not on a zero hours contract,Other,Other,0
Academic contract,Part-time,All,Not on a zero hours contract,Other,Total,15
Academic contract,Part-time,All,On a zero hours contract,All,Salaried,210
Academic contract,Part-time,All,On a zero hours contract,All,Hourly paid,3875
Academic contract,Part-time,All,On a zero hours contract,All,Other,30
Academic contract,Part-time,All,On a zero hours contract,All,Total,4115
Academic contract,Part-time,All,On a zero hours contract,Female,Salaried,115
Academic contract,Part-time,All,On a zero hours contract,Female,Hourly paid,2025
Academic contract,Part-time,All,On a zero hours contract,Female,Other,15
Academic contract,Part-time,All,On a zero hours contract,Female,Total,2155
Academic contract,Part-time,All,On a zero hours contract,Male,Salaried,95
Academic contract,Part-time,All,On a zero hours contract,Male,Hourly paid,1850
Academic contract,Part-time,All,On a zero hours contract,Male,Other,15
Academic contract,Part-time,All,On a zero hours contract,Male,Total,1960
Academic contract,Part-time,All,On a zero hours contract,Other,Salaried,0
Academic contract,Part-time,All,On a zero hours contract,Other,Hourly paid,0
Academic contract,Part-time,All,On a zero hours contract,Other,Other,0
Academic contract,Part-time,All,On a zero hours contract,Other,Total,0
Academic contract,All,All,All,All,Salaried,187710
Academic contract,All,All,All,All,Hourly paid,29150
Academic contract,All,All,All,All,Other,205
Academic contract,All,All,All,All,Total,217065
Academic contract,All,All,All,Female,Salaried,85515
Academic contract,All,All,All,Female,Hourly paid,14720
Academic contract,All,All,All,Female,Other,130
Academic contract,All,All,All,Female,Total,100365
Academic contract,All,All,All,Male,Salaried,102135
Academic contract,All,All,All,Male,Hourly paid,14425
Academic contract,All,All,All,Male,Other,75
Academic contract,All,All,All,Male,Total,116640
Academic contract,All,All,All,Other,Salaried,55
Academic contract,All,All,All,Other,Hourly paid,10
Academic contract,All,All,All,Other,Other,0
Academic contract,All,All,All,Other,Total,65
Academic contract,All,All,Not on a zero hours contract,All,Salaried,187485
Academic contract,All,All,Not on a zero hours contract,All,Hourly paid,25180
Academic contract,All,All,Not on a zero hours contract,All,Other,160
Academic contract,All,All,Not on a zero hours contract,All,Total,212830
Academic contract,All,All,Not on a zero hours contract,Female,Salaried,85390
Academic contract,All,All,Not on a zero hours contract,Female,Hourly paid,12635
Academic contract,All,All,Not on a zero hours contract,Female,Other,110
Academic contract,All,All,Not on a zero hours contract,Female,Total,98140
Academic contract,All,All,Not on a zero hours contract,Male,Salaried,102040
Academic contract,All,All,Not on a zero hours contract,Male,Hourly paid,12535
Academic contract,All,All,Not on a zero hours contract,Male,Other,50
Academic contract,All,All,Not on a zero hours contract,Male,Total,114625
Academic contract,All,All,Not on a zero hours contract,Other,Salaried,55
Academic contract,All,All,Not on a zero hours contract,Other,Hourly paid,5
Academic contract,All,All,Not on a zero hours contract,Other,Other,0
Academic contract,All,All,Not on a zero hours contract,Other,Total,60
Academic contract,All,All,On a zero hours contract,All,Salaried,220
Academic contract,All,All,On a zero hours contract,All,Hourly paid,3975
Academic contract,All,All,On a zero hours contract,All,Other,45
Academic contract,All,All,On a zero hours contract,All,Total,4240
Academic contract,All,All,On a zero hours contract,Female,Salaried,125
Academic contract,All,All,On a zero hours contract,Female,Hourly paid,2080
Academic contract,All,All,On a zero hours contract,Female,Other,20
Academic contract,All,All,On a zero hours contract,Female,Total,2225
Academic contract,All,All,On a zero hours contract,Male,Salaried,100
Academic contract,All,All,On a zero hours contract,Male,Hourly paid,1890
Academic contract,All,All,On a zero hours contract,Male,Other,25
Academic contract,All,All,On a zero hours contract,Male,Total,2010
Academic contract,All,All,On a zero hours contract,Other,Salaried,0
Academic contract,All,All,On a zero hours contract,Other,Hourly paid,0
Academic contract,All,All,On a zero hours contract,Other,Other,0
Academic contract,All,All,On a zero hours contract,Other,Total,0
Non-academic contract,Full-time,All,All,All,Salaried,152175
Non-academic contract,Full-time,All,All,All,Hourly paid,485
Non-academic contract,Full-time,All,All,All,Other,15
Non-academic contract,Full-time,All,All,All,Total,152675
Non-academic contract,Full-time,All,All,Female,Salaried,83750
Non-academic contract,Full-time,All,All,Female,Hourly paid,270
Non-academic contract,Full-time,All,All,Female,Other,10
Non-academic contract,Full-time,All,All,Female,Total,84030
Non-academic contract,Full-time,All,All,Male,Salaried,68345
Non-academic contract,Full-time,All,All,Male,Hourly paid,215
Non-academic contract,Full-time,All,All,Male,Other,5
Non-academic contract,Full-time,All,All,Male,Total,68565
Non-academic contract,Full-time,All,All,Other,Salaried,80
Non-academic contract,Full-time,All,All,Other,Hourly paid,0
Non-academic contract,Full-time,All,All,Other,Other,0
Non-academic contract,Full-time,All,All,Other,Total,80
Non-academic contract,Full-time,All,Not on a zero hours contract,All,Salaried,152150
Non-academic contract,Full-time,All,Not on a zero hours contract,All,Hourly paid,480
Non-academic contract,Full-time,All,Not on a zero hours contract,All,Other,15
Non-academic contract,Full-time,All,Not on a zero hours contract,All,Total,152645
Non-academic contract,Full-time,All,Not on a zero hours contract,Female,Salaried,83735
Non-academic contract,Full-time,All,Not on a zero hours contract,Female,Hourly paid,265
Non-academic contract,Full-time,All,Not on a zero hours contract,Female,Other,10
Non-academic contract,Full-time,All,Not on a zero hours contract,Female,Total,84010
Non-academic contract,Full-time,All,Not on a zero hours contract,Male,Salaried,68340
Non-academic contract,Full-time,All,Not on a zero hours contract,Male,Hourly paid,215
Non-academic contract,Full-time,All,Not on a zero hours contract,Male,Other,5
Non-academic contract,Full-time,All,Not on a zero hours contract,Male,Total,68555
Non-academic contract,Full-time,All,Not on a zero hours contract,Other,Salaried,80
Non-academic contract,Full-time,All,Not on a zero hours contract,Other,Hourly paid,0
Non-academic contract,Full-time,All,Not on a zero hours contract,Other,Other,0
Non-academic contract,Full-time,All,Not on a zero hours contract,Other,Total,80
Non-academic contract,Full-time,All,On a zero hours contract,All,Salaried,20
Non-academic contract,Full-time,All,On a zero hours contract,All,Hourly paid,5
Non-academic contract,Full-time,All,On a zero hours contract,All,Other,0
Non-academic contract,Full-time,All,On a zero hours contract,All,Total,30
Non-academic contract,Full-time,All,On a zero hours contract,Female,Salaried,15
Non-academic contract,Full-time,All,On a zero hours contract,Female,Hourly paid,5
Non-academic contract,Full-time,All,On a zero hours contract,Female,Other,0
Non-academic contract,Full-time,All,On a zero hours contract,Female,Total,20
Non-academic contract,Full-time,All,On a zero hours contract,Male,Salaried,10
Non-academic contract,Full-time,All,On a zero hours contract,Male,Hourly paid,0
Non-academic contract,Full-time,All,On a zero hours contract,Male,Other,0
Non-academic contract,Full-time,All,On a zero hours contract,Male,Total,10
Non-academic contract,Part-time,All,All,All,Salaried,63240
Non-academic contract,Part-time,All,All,All,Hourly paid,6960
Non-academic contract,Part-time,All,All,All,Other,10
Non-academic contract,Part-time,All,All,All,Total,70210
Non-academic contract,Part-time,All,All,Female,Salaried,51590
Non-academic contract,Part-time,All,All,Female,Hourly paid,4220
Non-academic contract,Part-time,All,All,Female,Other,10
Non-academic contract,Part-time,All,All,Female,Total,55820
Non-academic contract,Part-time,All,All,Male,Salaried,11630
Non-academic contract,Part-time,All,All,Male,Hourly paid,2740
Non-academic contract,Part-time,All,All,Male,Other,0
Non-academic contract,Part-time,All,All,Male,Total,14375
Non-academic contract,Part-time,All,All,Other,Salaried,20
Non-academic contract,Part-time,All,All,Other,Hourly paid,0
Non-academic contract,Part-time,All,All,Other,Other,0
Non-academic contract,Part-time,All,All,Other,Total,20
Non-academic contract,Part-time,All,Not on a zero hours contract,All,Salaried,62865
Non-academic contract,Part-time,All,Not on a zero hours contract,All,Hourly paid,4650
Non-academic contract,Part-time,All,Not on a zero hours contract,All,Other,10
Non-academic contract,Part-time,All,Not on a zero hours contract,All,Total,67525
Non-academic contract,Part-time,All,Not on a zero hours contract,Female,Salaried,51390
Non-academic contract,Part-time,All,Not on a zero hours contract,Female,Hourly paid,2795
Non-academic contract,Part-time,All,Not on a zero hours contract,Female,Other,10
Non-academic contract,Part-time,All,Not on a zero hours contract,Female,Total,54195
Non-academic contract,Part-time,All,Not on a zero hours contract,Male,Salaried,11460
Non-academic contract,Part-time,All,Not on a zero hours contract,Male,Hourly paid,1855
Non-academic contract,Part-time,All,Not on a zero hours contract,Male,Other,0
Non-academic contract,Part-time,All,Not on a zero hours contract,Male,Total,13310
Non-academic contract,Part-time,All,Not on a zero hours contract,Other,Salaried,20
Non-academic contract,Part-time,All,Not on a zero hours contract,Other,Hourly paid,0
Non-academic contract,Part-time,All,Not on a zero hours contract,Other,Other,0
Non-academic contract,Part-time,All,Not on a zero hours contract,Other,Total,20
Non-academic contract,Part-time,All,On a zero hours contract,All,Salaried,375
Non-academic contract,Part-time,All,On a zero hours contract,All,Hourly paid,2310
Non-academic contract,Part-time,All,On a zero hours contract,All,Other,0
Non-academic contract,Part-time,All,On a zero hours contract,All,Total,2685
Non-academic contract,Part-time,All,On a zero hours contract,Female,Salaried,200
Non-academic contract,Part-time,All,On a zero hours contract,Female,Hourly paid,1425
Non-academic contract,Part-time,All,On a zero hours contract,Female,Other,0
Non-academic contract,Part-time,All,On a zero hours contract,Female,Total,1625
Non-academic contract,Part-time,All,On a zero hours contract,Male,Salaried,175
Non-academic contract,Part-time,All,On a zero hours contract,Male,Hourly paid,885
Non-academic contract,Part-time,All,On a zero hours contract,Male,Other,0
Non-academic contract,Part-time,All,On a zero hours contract,Male,Total,1060
Non-academic contract,All,All,All,All,Salaried,215415
Non-academic contract,All,All,All,All,Hourly paid,7445
Non-academic contract,All,All,All,All,Other,25
Non-academic contract,All,All,All,All,Total,222885
Non-academic contract,All,All,All,Female,Salaried,135340
Non-academic contract,All,All,All,Female,Hourly paid,4490
Non-academic contract,All,All,All,Female,Other,20
Non-academic contract,All,All,All,Female,Total,139850
Non-academic contract,All,All,All,Male,Salaried,79980
Non-academic contract,All,All,All,Male,Hourly paid,2955
Non-academic contract,All,All,All,Male,Other,5
Non-academic contract,All,All,All,Male,Total,82940
Non-academic contract,All,All,All,Other,Salaried,95
Non-academic contract,All,All,All,Other,Hourly paid,0
Non-academic contract,All,All,All,Other,Other,0
Non-academic contract,All,All,All,Other,Total,100
Non-academic contract,All,All,Not on a zero hours contract,All,Salaried,215015
