ï»¿Title,"All staff (excluding atypical) by academic contract marker, mode of employment, hourly paid marker, terms of employment, zero hours contract and sex",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Male,Salaried,63215
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Male,Hourly paid,180
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Male,Other,5
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Male,Total,63405
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Male,Salaried,10670
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Male,Hourly paid,4045
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Male,Other,5
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Male,Total,14725
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Male,Salaried,73885
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Male,Hourly paid,4230
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Male,Other,15
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Male,Total,78125
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,Male,Salaried,0
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,Male,Hourly paid,5
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,Male,Other,10
Academic contract,Full-time,Fixed-term contract,On a zero hours contract,Male,Total,15
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,Male,Salaried,25
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,Male,Hourly paid,720
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,Male,Other,15
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,Male,Total,760
Academic contract,All,Fixed-term contract,On a zero hours contract,Male,Salaried,25
Academic contract,All,Fixed-term contract,On a zero hours contract,Male,Hourly paid,725
Academic contract,All,Fixed-term contract,On a zero hours contract,Male,Other,25
Academic contract,All,Fixed-term contract,On a zero hours contract,Male,Total,775
Academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Male,Salaried,0
Academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Male,Hourly paid,35
Academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Male,Other,0
Academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Male,Total,40
Academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Male,Salaried,70
Academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Male,Hourly paid,1130
Academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Male,Other,0
Academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Male,Total,1200
Academic contract,All,Open-ended/permanent,On a zero hours contract,Male,Salaried,70
Academic contract,All,Open-ended/permanent,On a zero hours contract,Male,Hourly paid,1165
Academic contract,All,Open-ended/permanent,On a zero hours contract,Male,Other,0
Academic contract,All,Open-ended/permanent,On a zero hours contract,Male,Total,1235
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Other,Salaried,10
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Other,Hourly paid,0
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Other,Other,0
Academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Other,Total,10
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Other,Salaried,0
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Other,Hourly paid,5
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Other,Other,0
Academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Other,Total,5
Academic contract,All,Fixed-term contract,Not on a zero hours contract,Other,Salaried,10
Academic contract,All,Fixed-term contract,Not on a zero hours contract,Other,Hourly paid,5
Academic contract,All,Fixed-term contract,Not on a zero hours contract,Other,Other,0
Academic contract,All,Fixed-term contract,Not on a zero hours contract,Other,Total,15
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Other,Salaried,35
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Other,Hourly paid,0
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Other,Other,0
Academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Other,Total,35
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Other,Salaried,5
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Other,Hourly paid,5
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Other,Other,0
Academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Other,Total,10
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Other,Salaried,45
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Other,Hourly paid,5
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Other,Other,0
Academic contract,All,Open-ended/permanent,Not on a zero hours contract,Other,Total,45
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,Other,Salaried,0
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,Other,Hourly paid,0
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,Other,Other,0
Academic contract,Part-time,Fixed-term contract,On a zero hours contract,Other,Total,0
Academic contract,All,Fixed-term contract,On a zero hours contract,Other,Salaried,0
Academic contract,All,Fixed-term contract,On a zero hours contract,Other,Hourly paid,0
Academic contract,All,Fixed-term contract,On a zero hours contract,Other,Other,0
Academic contract,All,Fixed-term contract,On a zero hours contract,Other,Total,0
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Female,Salaried,12220
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Female,Hourly paid,80
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Female,Other,5
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Female,Total,12300
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Female,Salaried,6775
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Female,Hourly paid,1825
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Female,Other,5
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Female,Total,8600
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Female,Salaried,18990
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Female,Hourly paid,1905
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Female,Other,5
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Female,Total,20900
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Female,Salaried,71515
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Female,Hourly paid,190
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Female,Other,5
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Female,Total,71710
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Female,Salaried,44615
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Female,Hourly paid,970
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Female,Other,5
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Female,Total,45595
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Female,Salaried,116130
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Female,Hourly paid,1160
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Female,Other,10
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Female,Total,117300
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,Female,Salaried,0
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,Female,Hourly paid,5
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,Female,Other,0
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,Female,Total,5
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,Female,Salaried,95
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,Female,Hourly paid,1030
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,Female,Other,0
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,Female,Total,1130
Non-academic contract,All,Fixed-term contract,On a zero hours contract,Female,Salaried,100
Non-academic contract,All,Fixed-term contract,On a zero hours contract,Female,Hourly paid,1035
Non-academic contract,All,Fixed-term contract,On a zero hours contract,Female,Other,0
Non-academic contract,All,Fixed-term contract,On a zero hours contract,Female,Total,1135
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Female,Salaried,10
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Female,Hourly paid,5
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Female,Other,0
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Female,Total,15
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Female,Salaried,105
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Female,Hourly paid,390
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Female,Other,0
Non-academic contract,Part-time,Open-ended/permanent,On a zero hours contract,Female,Total,495
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,Female,Salaried,115
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,Female,Hourly paid,395
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,Female,Other,0
Non-academic contract,All,Open-ended/permanent,On a zero hours contract,Female,Total,510
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Male,Salaried,7975
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Male,Hourly paid,60
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Male,Other,0
Non-academic contract,Full-time,Fixed-term contract,Not on a zero hours contract,Male,Total,8035
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Male,Salaried,2020
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Male,Hourly paid,1265
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Male,Other,0
Non-academic contract,Part-time,Fixed-term contract,Not on a zero hours contract,Male,Total,3285
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Male,Salaried,9995
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Male,Hourly paid,1325
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Male,Other,0
Non-academic contract,All,Fixed-term contract,Not on a zero hours contract,Male,Total,11320
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Male,Salaried,60365
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Male,Hourly paid,155
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Male,Other,5
Non-academic contract,Full-time,Open-ended/permanent,Not on a zero hours contract,Male,Total,60520
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Male,Salaried,9440
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Male,Hourly paid,585
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Male,Other,0
Non-academic contract,Part-time,Open-ended/permanent,Not on a zero hours contract,Male,Total,10025
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Male,Salaried,69800
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Male,Hourly paid,740
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Male,Other,5
Non-academic contract,All,Open-ended/permanent,Not on a zero hours contract,Male,Total,70545
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,Male,Salaried,0
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,Male,Hourly paid,0
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,Male,Other,0
Non-academic contract,Full-time,Fixed-term contract,On a zero hours contract,Male,Total,0
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,Male,Salaried,50
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,Male,Hourly paid,625
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,Male,Other,0
Non-academic contract,Part-time,Fixed-term contract,On a zero hours contract,Male,Total,680
Non-academic contract,All,Fixed-term contract,On a zero hours contract,Male,Salaried,50
Non-academic contract,All,Fixed-term contract,On a zero hours contract,Male,Hourly paid,630
Non-academic contract,All,Fixed-term contract,On a zero hours contract,Male,Other,0
Non-academic contract,All,Fixed-term contract,On a zero hours contract,Male,Total,680
Non-academic contract,Full-time,Open-ended/permanent,On a zero hours contract,Male,Salaried,5
