animal_id,animal_type,color_group,primary_color,breed_group,primary_breed,status_date,location,animal_identity,tag_no,tag_type,tag_subtype
A450764,CAT,OO,GRAY TABBY,SHORTHAIR,DOMESTIC SH,2012-01-24 00:00:00,SHELTER,364822.0,L15-066849,LIC 3Y,MAIL
A598400,CAT,,,SHORTHAIR,DOMESTIC SH,2016-08-29 00:00:00,LOCKBOX,513321.0,L16-058882,LIC ALTERED,HLP SCAN
A611185,DOG,BR,RED,SETTER/RETRIEVE,GOLDEN RETR,2017-02-21 00:00:00,LOCKBOX,525970.0,L17-039518,LIC ALTERED,HLP SCAN
A627149,DOG,BR,YELLOW,MASTIFF,AMER BULLDOG,2017-09-29 00:00:00,LOCKBOX,541837.0,L17-011769,LIC UNALTERED,HLP SCAN
A594046,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2016-07-08 00:00:00,LOCKBOX,508971.0,L16-005390,LIC ALTERED,HLP SCAN
A560921,DOG,OO,YELLOW,SETTER/RETRIEVE,LABRADOR RETR,2015-05-20 00:00:00,SHELTER,475841.0,L17-018709,LIC UNALTERED,HLP WEB
A605080,CAT,B,CALICO,SHORTHAIR,DOMESTIC SH,2016-11-21 00:00:00,SHELTER,519931.0,,,
A561318,DOG,BR,TAN,SETTER/RETRIEVE,LABRADOR RETR,2015-05-21 00:00:00,LOCKBOX,476238.0,L15-030219,LIC ALTERED,HLP SCAN
A550192,DOG,OO,UNKNOWN,MASTIFF,BOXER,2015-01-09 00:00:00,WEB,465087.0,,,
A474043,DOG,W,WHITE,TERRIER,JACK RUSS TER,2012-08-16 00:00:00,SHELTER,388395.0,D11-038082,LIC ALTERED,VET
A569930,DOG,B,BLACK,TERRIER,PARSON RUSS TER,2015-09-01 00:00:00,LOCKBOX,484873.0,L17-006881,LIC ALTERED,MAIL
A614401,DOG,B,BLACK,COLLIE,BORDER COLLIE,2017-04-04 00:00:00,SHELTER,529150.0,RAB170073,RAB VAC CERT.,VET
A582865,DOG,B,GRAY,TOY,SHIH TZU,2016-02-09 00:00:00,LOCKBOX,497822.0,4A6728752B,MICROCHIP,HLP SCAN
A593174,DOG,B,BLACK,POODLE,POODLE MIN,2016-06-28 00:00:00,SHELTER,508097.0,L16-008948,LIC ALTERED,ADOPT
A586397,DOG,B,BLACK,SHEPHERD,GERM SHEPHERD,2016-04-01 00:00:00,SHELTER,501352.0,R16-1575,RAB VAC CERT.,RESQ
A593786,CAT,OO,BLK TABBY,SHORTHAIR,DOMESTIC SH,2016-07-06 00:00:00,SHELTER,508711.0,L16-009085,LIC ALTERED,VET
A571803,CAT,BR,ORG TABBY,SHORTHAIR,DOMESTIC SH,2015-09-22 00:00:00,SHELTER,486746.0,,,
A463906,DOG,OO,BROWN,SHEPHERD,GERM SHEPHERD,2012-05-02 00:00:00,SHELTER,378149.0,L14-029089,LIC ALTERED,HLP SCAN
A550102,CAT,BR,CREAM,LONGHAIR,DOMESTIC MH,2015-01-08 00:00:00,LOCKBOX,464996.0,982000357587182,MICROCHIP,HLP IMPORT
A427127,DOG,B,BLACK,TERRIER,MIN PINSCHER,2010-11-24 00:00:00,SHELTER,340652.0,D12-036915,LIC SR,ONLINE
A552832,CAT,OO,SLVR TABBY,SHORTHAIR,DOMESTIC SH,2015-02-09 00:00:00,SHELTER,467744.0,L15-056333,LIC ALTERED,ADOPT
A556306,DOG,BR,TAN,TOY,CHIHUAHUA SH,2015-03-24 00:00:00,LOCKBOX,471220.0,L15-043665,LIC ALTERED,HLP SCAN
A558284,DOG,BR,BROWN,MASTIFF,PIT BULL,2016-05-31 00:00:00,SHELTER,473202.0,,,
A608994,DOG,OO,TAN,TOY,CHIHUAHUA SH,2017-01-26 00:00:00,SHELTER,523829.0,L16-013054,LIC ALTERED,VET
A579380,CAT,BR,ORANGE,SHORTHAIR,DOMESTIC SH,2015-12-20 00:00:00,LOCKBOX,494332.0,L15-035528,LIC ALTERED,HLP SCAN
A603796,DOG,W,WHITE,MASTIFF,PIT BULL,2016-11-07 00:00:00,SHELTER,518702.0,L16-006317,LIC ALTERED,ADOPT
A573227,DOG,W,WHITE,POODLE,BICHON FRISE,2015-10-02 00:00:00,LOCKBOX,488170.0,U16-008632,RABIES CERT,HLP SCAN
A561140,DOG,W,WHITE,,,2015-05-21 00:00:00,LOCKBOX,476060.0,U15-002847,RABIES CERT,HLP SCAN
A565065,DOG,OO,TAN,TERRIER,JACK RUSS TER,2015-07-06 00:00:00,SHELTER,479996.0,L15-056529,LIC ALTERED,VET
A574342,DOG,W,CREAM,HOUND,BEAGLE,2015-10-20 00:00:00,SHELTER,489287.0,R15-1321,RAB VAC CERT.,RESQ
A589897,DOG,B,BLACK,TOY,CHIHUAHUA SH,2016-05-11 00:00:00,SHELTER,504814.0,L16-055210,LIC ALTERED,HLP SCAN
A572030,DOG,B,BLACK,SHEPHERD,GERM SHEPHERD,2015-09-23 00:00:00,LOCKBOX,486973.0,RAB9124228,RABIES CERT,VET
A626035,DOG,,MAHAGONY,MASTIFF,BOXER,2017-09-26 00:00:00,LOCKBOX,540771.0,L17-029411,LIC ALTERED,HLP SCAN
A610339,DOG,OO,WHITE,SPANIEL,COCKER SPAN,2017-02-15 00:00:00,SHELTER,525147.0,090845862,MICROCHIP,AVID
A600811,CAT,OO,GRAY TABBY,LONGHAIR,DOMESTIC MH,2016-09-21 00:00:00,SHELTER,515719.0,L16-003406,LIC ALTERED,VET
A600621,DOG,OO,BLACK,SHEPHERD,GERM SHEPHERD,2016-09-20 00:00:00,SHELTER,515529.0,L16-033657,LIC ALTERED,MAIL
A598088,DOG,OO,TAN,TOY,CHIHUAHUA SH,2016-08-25 00:00:00,SHELTER,513008.0,L17-042953,LIC SR,COUNTER
A556602,DOG,W,WHITE,COLLIE,BORDER COLLIE,2015-03-27 00:00:00,SHELTER,471515.0,,,
A404452,CAT,B,TORTIE,SHORTHAIR,DOMESTIC SH,2010-02-10 00:00:00,LOCKBOX,317495.0,C14-002443,LIC ALTERED,VET
A594079,CAT,BR,ORANGE,SHORTHAIR,DOMESTIC SH,2016-07-08 00:00:00,LOCKBOX,509003.0,L17-010401,LIC ALTERED,HLP SCAN
A557076,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2015-04-04 00:00:00,LOCKBOX,471989.0,L16-044614,LIC 3Y,HLP WEB
A627389,DOG,BR,GOLD,SETTER/RETRIEVE,GOLDEN RETR,2017-10-02 00:00:00,LOCKBOX,542061.0,L17-000139,LIC 3Y,HLP SCAN
A560681,DOG,BR,BROWN,SHEPHERD,GERM SHEPHERD,2015-05-18 00:00:00,SHELTER,475596.0,,,
A606073,DOG,OO,WHITE,SHEPHERD,GERM SHEPHERD,2016-12-06 00:00:00,SHELTER,520924.0,L17-037358,LIC 3Y,VET
A557380,CAT,W,BROWN,SHORTHAIR,DOMESTIC SH,2015-04-08 00:00:00,SHELTER,472294.0,985112004702056,MICROCHIP,VET
A628974,DOG,OO,BLACK,TOY,YORKSHIRE TERR,2017-10-25 00:00:00,LICENSE,543613.0,L17-014945,LIC ALTERED,VET
A210526,DOG,B,BLACK,TOY,BOSTON TERRIER,2005-03-13 00:00:00,SHELTER,248358.0,D05-034679,LIC ALTERED,
A585006,DOG,BR,TAN,MIX,MIX,2016-03-09 00:00:00,LOCKBOX,499962.0,L16-027592,LIC ALTERED,HLP IMPORT
A576224,DOG,OO,UNKNOWN,TOY,YORKSHIRE TERR,2015-11-12 00:00:00,WEB,491173.0,,,
A604338,DOG,B,BLACK,COLLIE,AUST SHEPHERD,2016-11-10 00:00:00,LOCKBOX,519193.0,L16-032187,LIC 3Y,HLP SCAN
A579653,DOG,BR,BROWN,TOY,CHIHUAHUA SH,2015-12-27 00:00:00,SHELTER,494605.0,985112006321000,MICROCHIP RTO,HOME AGAIN
A554732,DOG,OO,WHITE,POODLE,BICHON FRISE,2015-03-10 00:00:00,SHELTER,469649.0,L17-034978,LIC SR,VET
A589504,DOG,OO,BLACK,TOY,BOSTON TERRIER,2016-05-10 00:00:00,SHELTER,504423.0,L16-048449,LIC ALTERED,VET
A552652,DOG,B,BLACK,SHEEPDOG,BEARDED COLLIE,2015-02-06 00:00:00,LOCKBOX,467564.0,L14-063449,LIC SR,HLP WEB
A297601,DOG,BR,FAWN,TOY,PUG,2007-02-05 00:00:00,SHELTER,114201.0,L15-062204,LIC SR,COUNTER
A515148,DOG,BR,FAWN,MASTIFF,BOXER,2014-01-12 00:00:00,SHELTER,429912.0,L17-049715,LIC ALTERED,MAIL
A632089,DOG,B,BL BRINDLE,MASTIFF,CANE CORSO,2017-12-11 00:00:00,SHELTER,546712.0,L17-053354,LIC ALTERED,ADOPT
A611396,CAT,B,BLK TABBY,SHORTHAIR,DOMESTIC SH,2017-02-23 00:00:00,SHELTER,526179.0,,,
A608372,DOG,OO,UNKNOWN,MASTIFF,ENG BULLDOG,2017-01-19 00:00:00,WEB,523207.0,,,
A030012,CAT,B,GRAY TABBY,SHORTHAIR,DOMESTIC SH,2017-05-06 00:00:00,SHELTER,108362.0,D14-025796,LIC ALTERED,MAIL
A559277,DOG,OO,BLACK,TERRIER,CAIRN TERRIER,2015-05-05 00:00:00,SHELTER,474195.0,L16-014930,LIC SR,MAIL
A555637,DOG,W,WHITE,MASTIFF,PIT BULL,2015-03-16 00:00:00,SHELTER,470549.0,L16-044562,LIC ALTERED,HLP WEB
A576517,DOG,OO,UNKNOWN,MASTIFF,AM PIT BULL TER,2015-11-17 00:00:00,WEB,491466.0,,,
A613859,DOG,OO,BLACK,MASTIFF,PIT BULL,2017-03-28 00:00:00,SHELTER,528614.0,L16-013281,LIC ALTERED,VET
A573634,CAT,BR,GRAY,SHORTHAIR,DOMESTIC SH,2015-10-08 00:00:00,SHELTER,488577.0,,,
A584870,DOG,OO,UNKNOWN,TOY,SHIH TZU,2016-03-09 00:00:00,LOCKBOX,499826.0,U16-006855,RABIES CERT,HLP IMPORT
A555226,DOG,BR,TAN,TOY,POMERANIAN,2015-03-16 00:00:00,LOCKBOX,470144.0,U17-009081,RABIES CERT,HLP SCAN
A624202,DOG,BR,CHOCOLATE,SETTER/RETRIEVE,LABRADOR RETR,2017-08-25 00:00:00,LOCKBOX,538924.0,L16-007988,LIC ALTERED,HLP WEB
A623884,DOG,BR,BROWN,SETTER/RETRIEVE,LABRADOR RETR,2017-08-19 00:00:00,SHELTER,538605.0,,,
A622588,CAT,OO,BUFF,SHORTHAIR,DOMESTIC SH,2017-07-31 00:00:00,LICENSE,537317.0,L17-041273,LIC ALTERED,VET
A609202,DOG,B,TRICOLOR,COLLIE,BORDER COLLIE,2017-01-30 00:00:00,LOCKBOX,524036.0,L17-001938,LIC ALTERED,HLP SCAN
A552808,DOG,OO,UNKNOWN,TERRIER,MIN PINSCHER,2015-02-09 00:00:00,WEB,467720.0,,,
A626514,DOG,B,BLACK,,,2017-09-28 00:00:00,LOCKBOX,541239.0,L17-033714,LIC ALTERED,HLP SCAN
A573671,DOG,BR,TAN,TOY,YORKSHIRE TERR,2015-10-09 00:00:00,SHELTER,488614.0,L15-063503,LIC ALTERED,COUNTER
A513188,DOG,W,WHITE,POODLE,BICHON FRISE,2013-12-20 00:00:00,SHELTER,427923.0,D14-060846,LIC ALTERED,MAIL
A597195,DOG,BR,YELLOW,SETTER/RETRIEVE,LABRADOR RETR,2016-08-12 00:00:00,LOCKBOX,512109.0,L16-002286,LIC ALTERED,HLP SCAN
A567964,DOG,BR,RED,MASTIFF,PIT BULL,2015-08-06 00:00:00,SHELTER,482904.0,L15-057552,LIC ALTERED,HLP IMPORT
A067944,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2017-06-15 00:00:00,SHELTER,176145.0,C13-045765,LIC ALTERED,MAIL
A583597,DOG,W,WHITE,POODLE,POODLE MIN,2016-03-03 00:00:00,SHELTER,498562.0,,,
A571608,DOG,B,BLACK,TERRIER,TERRIER,2015-09-21 00:00:00,LOCKBOX,486551.0,L15-026245,LIC ALTERED,HLP SCAN
A305382,DOG,BR,BROWN,COLLIE,COLLIE ROUGH,2007-04-12 00:00:00,LOCKBOX,116792.0,D11-02650,LIC ALTERED,VET
A607214,DOG,B,BLACK,MASTIFF,ROTTWEILER,2016-12-28 00:00:00,SHELTER,522045.0,,,
A587839,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2016-04-20 00:00:00,LOCKBOX,502791.0,L16-057704,LIC ALTERED,HLP SCAN
A617255,DOG,B,BLACK,MASTIFF,PIT BULL,2017-05-15 00:00:00,SHELTER,532012.0,985113001038628,MICROCHIP ADO,HOME AGAIN
A554604,CAT,OO,BLACK,SHORTHAIR,DOMESTIC SH,2015-03-06 00:00:00,SHELTER,469521.0,982000357718989,MICROCHIP,PET WATCH
A619677,CAT,OO,UNKNOWN,SHORTHAIR,DOMESTIC SH,2017-06-09 00:00:00,WEB,534402.0,,,
A583681,DOG,BR,FAWN,MASTIFF,FRENCH BULLDOG,2016-02-22 00:00:00,LOCKBOX,498646.0,U16-006652,RABIES CERT,HLP SCAN
A574439,CAT,,,SHORTHAIR,DOMESTIC SH,2015-10-14 00:00:00,LOCKBOX,489384.0,L16-011664,LIC ALTERED,HLP SCAN
A623232,DOG,OO,UNKNOWN,TERRIER,MIN PINSCHER,2017-08-10 00:00:00,WEB,537964.0,,,
A560719,CAT,W,WHITE,SHORTHAIR,DOMESTIC SH,2015-05-20 00:00:00,SHELTER,475636.0,,,
A610317,DOG,BR,GOLD,SETTER/RETRIEVE,GOLDEN RETR,2017-02-14 00:00:00,LOCKBOX,525125.0,985113000247856,MICROCHIP,HLP WEB
A523342,DOG,OO,BLACK,HOUND,BEAGLE,2014-04-10 00:00:00,SHELTER,438134.0,982000357821796,MICROCHIP,PET WATCH
A627664,CAT,OO,BLUE,SHORTHAIR,RUSSIAN BLUE,2017-10-06 00:00:00,SHELTER,542335.0,,,
A614016,DOG,BR,CHOCOLATE,,,2017-03-28 00:00:00,LOCKBOX,528768.0,L17-033620,LIC ALTERED,HLP SCAN
A588926,CAT,OO,WHITE,LONGHAIR,DOMESTIC MH,2016-05-03 00:00:00,SHELTER,503845.0,L16-045783,LIC ALTERED,VET
A557798,DOG,B,BLACK,SHEPHERD,GERM SHEPHERD,2015-04-14 00:00:00,SHELTER,472713.0,L15-013661,LIC ALTERED,COUNTER
A625339,DOG,W,WHITE,MASTIFF,PIT BULL,2017-09-17 00:00:00,SHELTER,540074.0,985113001313748,MICROCHIP ADO,HOME AGAIN
A613746,DOG,OO,UNKNOWN,MASTIFF,PIT BULL,2017-03-27 00:00:00,WEB,528501.0,,,
A577228,CAT,B,BLACK,LONGHAIR,DOMESTIC MH,2015-11-25 00:00:00,SHELTER,492178.0,985112006924725,MICROCHIP ADO,HOME AGAIN
A535006,CAT,W,BLACK,SHORTHAIR,DOMESTIC SH,2014-08-20 00:00:00,SHELTER,449849.0,L14-014378,LIC ALTERED,VET
A579529,DOG,B,BLACK,TOY,CHIHUAHUA SH,2015-12-21 00:00:00,SHELTER,494481.0,L16-040709,LIC ALTERED,HLP WEB
A554540,CAT,BR,BROWN,SHORTHAIR,DOMESTIC SH,2015-03-06 00:00:00,WEB,469457.0,,,
A614805,DOG,B,BLACK,TOY,POMERANIAN,2017-04-07 00:00:00,LOCKBOX,529554.0,L17-038602,LIC ALTERED,HLP SCAN
A019375,DOG,OO,BL BRINDLE,MASTIFF,STAFFORDSHIRE,2005-03-13 00:00:00,SHELTER,205200.0,D05-037233,LIC ALTERED,
A352729,DOG,BR,TAN,COLLIE,BORDER COLLIE,2008-06-11 00:00:00,SHELTER,208984.0,D09-002528,LIC ALTERED,
A555714,DOG,BR,BROWN,SETTER/RETRIEVE,LABRADOR RETR,2015-03-18 00:00:00,LOCKBOX,470626.0,L16-000193,LIC SR,COUNTER
A617102,CAT,OO,BLACK,SHORTHAIR,DOMESTIC SH,2017-05-11 00:00:00,SHELTER,531858.0,L16-031173,LIC ALTERED,VET
A611056,DOG,B,BLACK,TERRIER,SCHNAUZER STAND,2017-02-21 00:00:00,LOCKBOX,525852.0,L16-046167,LIC SR,HLP SCAN
A498973,DOG,BR,TAN,HOUND,BEAGLE,2013-07-31 00:00:00,SHELTER,413622.0,D14-057009,LIC ALTERED,COUNTER
A579769,DOG,OO,BLACK,SHEPHERD,GERM SHEPHERD,2015-12-30 00:00:00,SHELTER,494721.0,L15-070624,LIC ALTERED,COUNTER
A379418,DOG,OO,CHOCOLATE,SETTER/RETRIEVE,LABRADOR RETR,2009-04-01 00:00:00,SHELTER,292042.0,D12-045984,LIC ALTERED,ONLINE
A467042,CAT,B,BLACK,SHORTHAIR,DOMESTIC SH,2012-05-25 00:00:00,LICENSE,381323.0,C12-0048024,LIC ALTERED,VET
A576665,DOG,OO,UNKNOWN,SHEPHERD,GERM SHEPHERD,2015-11-19 00:00:00,WEB,491614.0,,,
A558901,DOG,B,BLACK,SHEPHERD,GERM SHEPHERD,2015-05-02 00:00:00,LOCKBOX,473820.0,0A13711306,MICROCHIP,HLP WEB
A603055,DOG,OO,WHITE,SETTER/RETRIEVE,LABRADOR RETR,2016-10-27 00:00:00,SHELTER,517958.0,RAB9365207,RABIES CERT,VET
A603809,CAT,OO,BLK TABBY,SHORTHAIR,DOMESTIC SH,2016-11-08 00:00:00,SHELTER,518715.0,L17-037341,LIC ALTERED,VET
A552878,DOG,B,BLACK,SETTER/RETRIEVE,LABRADOR RETR,2015-02-10 00:00:00,LOCKBOX,467790.0,L14-043470,LIC ALTERED,HLP WEB
A571916,CAT,B,BLACK,LONGHAIR,DOMESTIC MH,2015-09-23 00:00:00,LOCKBOX,486859.0,U15-004085,RABIES CERT,HLP IMPORT
