Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,01/02/2018,PI132259,20.0,WENSLEYDALE TOURNAMENT OF SONG,S0384,Dales Countryside Museum,Advertising,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132290,184.66,NEWSQUEST (YORKSHIRE & NORTH EAST)  LTD,S1498,Farmed Land,Advertising,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132289,199.5,NEWSQUEST (YORKSHIRE & NORTH EAST)  LTD,S1498,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132179,360.0,NEWSQUEST (YORKSHIRE & NORTH EAST)  LTD,S1498,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132291,468.0,NEWSQUEST (YORKSHIRE & NORTH EAST)  LTD,S1498,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132325,5.34,THE GOODLIFE,S0190,Support Services,Catering (Internal),,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132325,61.36,THE GOODLIFE,S0190,Dales Countryside Museum,Catering (Internal),,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132258,7.08,ELIJAH ALLEN & SON,S0419,Dales Countryside Museum,Catering (Internal),,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132257,37.1,ELIJAH ALLEN & SON,S0419,Dales Countryside Museum,Catering (Internal),,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132169,56.65,DM & SL WHITE,S0664,Support Services,Catering (Internal),,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132316,245.0,THREE HARES CAFE & THE MOOCHER,S4960,Farmed Land,Catering (Internal),,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132228,8.99,THE OUTDOORS COMPANY,S2561,Contracts - Area Rangers,Clothing,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132228,104.99,THE OUTDOORS COMPANY,S2561,Contracts - Area Rangers,Clothing,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132266,14.99,RICHARD SPEAK & CO LTD,S2733,Biodiversity,Clothing,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132266,44.78,RICHARD SPEAK & CO LTD,S2733,Biodiversity,Clothing,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132266,44.78,RICHARD SPEAK & CO LTD,S2733,Biodiversity,Clothing,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132266,67.17,RICHARD SPEAK & CO LTD,S2733,Biodiversity,Clothing,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132266,67.17,RICHARD SPEAK & CO LTD,S2733,Biodiversity,Clothing,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132272,500.0,NORTH YORKSHIRE COUNTY COUNCIL,S0012,Planning Policy - Local Plan,Consultancy,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132253,579.0,NORTH YORKSHIRE COUNTY COUNCIL,S0012,Dales Countryside Museum,Consultancy,,,,
Yorkshire Dales National Park Authority,01/02/2018,PI132227,500.0,CHARLIE MORGAN GRASSMASTER LTD,S4567,Farmed Land,Consultancy,,,,
