COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE
Bolivar Bucher,Allegany,Bolivar,31003600000000,Bucher U6,UL,NL
Unknown,Allegany,Bolivar,31003700000000,PFG 55,UM,NL
NYS Natural Gas Corp.,Steuben,Erwin,31101000000000,Keegan 1,UM,DH
NYS Natural Gas Corp.,Steuben,Cameron,31101000000000,Thompson 2,UL,GD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Keenan U1,UL,OD
"BDH Oil, Inc.",Cattaraugus,Allegany,31009100000000,Nichols Run Ho-221,UL,OD
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Tollner 2,UM,GD
Unknown,Allegany,Wirt,31003700000000,Jakima S 36,UN,NL
Unknown,Steuben,Erwin,31101000000000,3 Shallow Gas Wells,UM,GW
Unknown,Allegany,Bolivar,31003700000000,Dunn P 127,UM,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 947,UN,NL
Leffler & Luder,Chautauqua,Stockton,31013000000000,Slefkin Harry 1,UN,GD
Unknown,Allegany,Bolivar,31003700000000,Dunn P 122,UM,NL
Moose Oil Co.,Allegany,Bolivar,31003600000000,Tullar p-35,UL,IW
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 104,UN,NL
Unknown,Allegany,Bolivar,31003700000000,PYR 134,UM,NL
Mayrock Oil Co.,Allegany,Scio,31003700000000,Holton p29,UL,IW
Unknown,Cattaraugus,Allegany,31009700000000,KC 614,UL,NL
Unknown,Allegany,Wirt,31003700000000,Webb E 32,UL,NL
Unknown,Allegany,Genesee,31003600000000,Oconnor 45,UL,OD
Unknown,Allegany,Alma,31003700000000,Fisher J 10,UN,NL
Rogers et al,Chemung,Southport,31015000000000,Messing 1,UM,DW
Unknown,Allegany,Wirt,31003700000000,Reiman L 101,UN,NL
Unknown,Chautauqua,Sheridan,31013700000000,Metzger 1,UN,GD
Unknown,Chautauqua,Ripley,31013700000000,Motel 1,UN,NL
Unknown,Allegany,Bolivar,31003700000000,PG 15,UM,NL
"Cabot, G.L.",Oneida,Camden,31065000000000,Meeker Ezra,UL,DH
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Rex P-363,UL,NL
Unknown,Erie,Alden,31029600000000,U1,UL,NL
"Major, Michael Eli",Cattaraugus,Portville,31009000000000,Fee 1,UM,OW
Alden Batavia Natural Gas Co.,Erie,Alden,31029000000000,Whartz Estate & Przybylc,UM,GD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Barney 292,UL,IW
Unknown,Cattaraugus,Allegany,31009700000000,KC 144,UN,NL
Unknown,Allegany,Bolivar,31003700000000,PFG 16,UN,NL
"BDH Oil, Inc.",Cattaraugus,Allegany,31009600000000,Nichols Run Do-2,UL,OD
Unknown,Allegany,Bolivar,31003700000000,Dunn P 97,UN,NL
Unknown,Allegany,Bolivar,31003700000000,PYR 140,UN,NL
Unknown,Erie,Hamburg,31029600000000,Lakeside Memorial Park 1,UM,GD
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Ho-4,UL,OD
Unknown,Chautauqua,Sheridan,31013000000000,Stebbins W K,UM,GD
Unknown,Erie,Alden,31029000000000,Knowles James,UM,GD
Unknown,Allegany,Wirt,31003700000000,Crockett D 33,UN,NL
Unknown,Allegany,Clarksville,31003700000000,Fee 1,UN,OD
Unknown,Allegany,Bolivar,31003700000000,PG 44,UM,NL
Unknown,Allegany,Wirt,31003700000000,Reiman L 37,UN,NL
Unknown,Allegany,Alma,31003700000000,Root F 192,UM,NL
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 50,UN,NL
