DfENumber,SchoolName,Year,Places,PlaceAllocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8164702,All Saints RC School,2017,178,178,171,7,0,0,0,0,7,0,25,10,0,0,136,0,0,178
8164500,Archbishop Holgates CE School,2017,300,300,285,10,4,1,0,0,6,136,88,44,0,0,26,0,0,300
8164153,Fulford School,2017,266,266,263,3,0,0,0,0,3,258,5,0,0,0,0,0,0,266
8164063,Huntington School,2017,239,239,234,5,0,0,0,0,2,194,25,18,0,0,0,0,0,239
8164508,Joseph Rowntree School,2017,220,220,212,8,0,0,0,0,3,194,11,12,0,0,0,0,0,220
8164602,Manor CE Academy,2017,220,220,214,5,1,0,0,0,4,0,0,0,28,102,76,7,3,220
8164229,Millthorpe School,2017,212,212,192,16,1,3,0,0,2,158,23,29,0,0,0,0,0,212
8164000,Vale of York Academy,2017,190,141,91,9,9,2,1,29,0,119,1,21,0,0,0,0,0,141
8164703,York High School,2017,180,180,147,17,5,0,1,10,2,172,2,4,0,0,0,0,0,180
