ï»¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃ©ro-de-MinistÃ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1212,"Tools, and implements",858.66
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1219,Other machinery and parts,2686074.01
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1223,Image/Video Communications Equip,122850.54
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1231,"Off.furn.&furnish.,incl. parts",12337.95
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1239,Other office equipment and parts,2358.88
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1241,"Plumbing equipment & fittings,incl parts",3528.84
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1242,"Elec.lighting,distr.&contr.equip.& parts",271619.46
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1243,Meas.contr.lab.med.&opt.instr.& parts,9632254.4
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1245,Safety & sanitat.equipment and parts,12200.0
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1249,Other equipment and parts,308797.73
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1261,Road motor vehicles,340572.4
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1264,Other vehicles,1744570.4
2016/2017,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food (Department of),1283,Computer Equip DCE desktop/pers/portable,48472.35
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1212,"Tools, and implements",3123.67
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1219,Other machinery and parts,402941.08
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1223,Image/Video Communications Equip,9278.81
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1231,"Off.furn.&furnish.,incl. parts",351564.49
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1239,Other office equipment and parts,36656.65
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1241,"Plumbing equipment & fittings,incl parts",136.34
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1242,"Elec.lighting,distr.&contr.equip.& parts",3438.5
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1243,Meas.contr.lab.med.&opt.instr.& parts,1197574.83
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1249,Other equipment and parts,77905.94
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1261,Road motor vehicles,42924.2
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1263,Road motor vehicles parts,33.18
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1282,Computer Equip Prod and Ops envir,117077.07
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1283,Computer Equip DCE desktop/pers/portable,47213.51
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1284,Client Software DCE,5531.83
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1285,Aplicatn SW&Devlpmnt&Delivery Applicatn,37662.34
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1286,Server OS and Utility Software,2589.33
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1289,Comm/networking Equipment,149887.09
2016/2017,2,Agriculture and Agri-Food,133,Canadian Grain Commission,1243,Meas.contr.lab.med.&opt.instr.& parts,70692.89
2016/2017,3,National Revenue,130,Canada Revenue Agency(Agency Activities),1231,"Off.furn.&furnish.,incl. parts",6488894.32
