CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50009999,MEXICAN GRILL,Bronx,341,HUNTS POINT TERMINAL MARKET,10474.0,9179391258,Mexican,F,04L,Cycle Inspection / Initial Inspection,BX27
50000338,ZORALIE RESTAURANT,Manhattan,449,WEST   51 STREET,10019.0,6465903751,Latin American,D,10F,Cycle Inspection / Re-inspection,MN15
50073722,SAMWON GARDEN,Manhattan,37,WEST   32 STREET,10001.0,2126953131,Korean,F,10F,Cycle Inspection / Re-inspection,MN17
50077379,THE 18TH ROOM,Manhattan,134,9 AVENUE,10011.0,2123490500,Continental,D,04H,Cycle Inspection / Re-inspection,MN13
50039472,ARTH ALGANATIN,Bronx,700,RHINELANDER AVENUE,10462.0,7189189181,Middle Eastern,U,05H,Cycle Inspection / Re-inspection,BX37
41160620,TERESA'S GOURMET,Manhattan,51,WEST   51 STREET,10019.0,2122657988,American,D,09B,Cycle Inspection / Re-inspection,MN17
50001693,ANKA GRILL,Manhattan,642,LEXINGTON AVENUE,10022.0,6466926494,Turkish,U,08A,Cycle Inspection / Re-inspection,MN19
50084168,THE MILLENNIUM RESTAURANT AND BAKERY,Queens,22318,LINDEN BLVD,11411.0,7184816000,Caribbean,F,05D,Cycle Inspection / Initial Inspection,QN33
50082789,SABOR RESTAURANT & BAKERY,Queens,1520,COLLEGE POINT BLVD,11356.0,3473684407,Latin American,D,06C,Cycle Inspection / Re-inspection,QN23
40392939,JACKSON HOUSE RESTAURANT,Queens,8214,37 AVENUE,11372.0,7186396201,American,D,06D,Cycle Inspection / Re-inspection,QN28
50018892,NEW HO WAH CHINESE,Queens,4201,BROADWAY,11103.0,7189561849,Chinese,U,08A,Cycle Inspection / Re-inspection,QN70
50088597,FRIENDLY BAGELS AND DELI,Staten Island,712-714,CASTLETON AVE,10310.0,7187277171,American,P,02B,Pre-permit (Operational) / Initial Inspection,SI35
